"Temperature_t1","Temperature_t2","socialdiversity","Site","DEQ","ALEX1","ALEX2","ALEX3","ALEX4","ALEX5","ALEX6","ALEX7","ALEX8","ALEX9","ALEX10","ALEX11","ALEX12","ALEX13","ALEX14","ALEX15","ALEX16","langfamily"
36.8,36.7,8,"Tsinghua",26.88780212,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3
34.2,36.6,6,"Oxford",51.75,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,1
35,35.2,5,"Oxford",51.75,2,2,4,2,2,2,2,2,2,1,2,3,2,2,2,2,1
36.1,35.8,7,"Oxford",51.75,3,4,1,2,4,2,3,4,2,1,2,2,2,2,4,2,1
35.72222222,36.44444444,5,"Chile",42.07719421,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,4,1
35.3,35.9,7,"Bamberg",51.65660095,1,2,1,2,1,3,4,2,4,2,2,4,4,1,1,1,1
34.8,36,4,"Oxford",51.75,2,2,2,4,2,2,2,3,2,2,2,2,2,3,3,2,1
35.1,36.5,5,"Oxford",51.75,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,1
35.3,36.4,5,"Oxford",51.75,3,3,4,3,4,4,3,3,2,3,4,2,2,2,2,2,1
35.1,36.1,7,"Oslo",59.91270447,1,1,1,2,2,1,1,2,1,3,1,1,1,1,2,1,1
36.2,35.5,7,"Chile",33.44999695,2,1,2,1,1,2,4,2,3,2,3,1,2,1,2,1,1
35.6,36.4,4,"Oxford",51.75,4,2,4,3,4,4,4,2,3,2,4,2,2,2,4,2,1
36.5,36.4,7,"Oxford",51.75,2,3,1,2,2,2,3,1,2,1,2,2,2,1,4,2,1
36.3,36.3,6,"Kassel",48.40150452,2,2,1,2,1,2,2,2,1,1,2,2,1,1,4,2,1
36.2,36,10,"Chile",33.44999695,1,2,2,2,1,2,3,2,1,1,1,2,3,3,4,2,1
35.9,36.4,3,"Oxford",51.75,5,5,4,5,4,4,4,5,3,4,4,3,2,2,4,2,1
35.5,35.5,5,"Chile",33.44999695,3,2,2,2,2,3,2,3,3,3,2,3,4,2,3,3,1
36.5,36.7,5,"Oxford",51.75,2,2,4,3,2,3,3,2,2,2,2,4,4,2,4,3,1
36.6,36.6,9,"Chile",33.44999695,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1
36.7,36.9,5,"Bamberg",51.26669312,4,4,3,3,2,4,4,4,4,2,4,1,1,2,3,2,1
35,36.5,5,"Oxford",51.75,4,4,4,4,5,4,4,3,3,4,2,1,4,2,2,3,1
35.8,36.2,8,"Zurich",47.16610718,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,2,1
36.3,36.1,4,"Bamberg",49.89720154,5,5,2,5,5,5,5,4,2,5,4,2,2,2,5,2,1
36.5,36,9,"Bamberg",50.51669312,2,2,3,2,4,2,3,1,1,3,2,3,1,1,2,3,1
36.6,36.6,7,"Kassel",48.76669312,1,1,1,2,4,1,1,2,2,1,1,2,1,2,3,2,1
38.4,38.4,6,"Bamberg",50.15739441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35.8,36.3,5,"Bamberg",51.17599487,2,2,3,2,2,2,2,1,2,1,2,2,2,2,3,1,1
35.8,36.5,5,"Oxford",51.75,3,1,1,1,1,3,1,2,1,1,1,1,1,3,1,1,1
36.3,36.7,5,"Bamberg",52.51669312,2,2,2,3,1,1,2,2,3,2,1,2,2,2,4,1,1
36.6,36.4,8,"Portugal",38.71670532,1,1,1,2,2,1,1,2,2,1,1,3,1,3,2,3,1
37,36.5,10,"Poland",52.59309387,5,4,4,4,3,4,4,4,5,3,3,2,4,1,5,2,1
36.3,36.6,5,"Oxford",51.75,1,4,1,1,2,2,2,1,3,1,1,3,3,1,2,3,1
36.3,36.6,7,"Bamberg",50.11669922,2,3,1,3,2,1,2,2,2,2,2,2,2,2,4,3,1
35.3,35.3,6,"Oxford",51.75,1,2,1,2,1,1,1,2,2,1,2,1,2,4,5,2,1
