Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
31-May-2018_13:49:03 Exp 7333 24 female R 1 1 1 moralOther moralOther match m m 1 0.7311 
31-May-2018_13:49:05 Exp 7333 24 female R 1 1 2 moralOther moralSelf mismatch n n 1 0.6592 
31-May-2018_13:49:07 Exp 7333 24 female R 1 1 3 moralSelf moralOther mismatch n m 0 0.5294 
31-May-2018_13:49:09 Exp 7333 24 female R 1 1 4 immoralSelf immoralSelf match m n 0 0.7855 
31-May-2018_13:49:12 Exp 7333 24 female R 1 1 5 moralOther immoralSelf mismatch n n 1 0.6396 
31-May-2018_13:49:14 Exp 7333 24 female R 1 1 6 immoralSelf moralOther mismatch n n 1 0.6577 
31-May-2018_13:49:16 Exp 7333 24 female R 1 1 7 moralSelf moralOther mismatch n m 0 0.4799 
31-May-2018_13:49:19 Exp 7333 24 female R 1 1 8 immoralOther immoralOther match m n 0 0.8980 
31-May-2018_13:49:21 Exp 7333 24 female R 1 1 9 immoralOther immoralOther match m m 1 0.7282 
31-May-2018_13:49:23 Exp 7333 24 female R 1 1 10 immoralOther moralSelf mismatch n n 1 0.7124 
31-May-2018_13:49:26 Exp 7333 24 female R 1 1 11 moralSelf moralSelf match m n 0 0.9084 
31-May-2018_13:49:28 Exp 7333 24 female R 1 1 12 moralSelf moralSelf match m m 1 0.4967 
31-May-2018_13:49:30 Exp 7333 24 female R 1 1 13 immoralOther moralOther mismatch n n 1 0.7527 
31-May-2018_13:49:33 Exp 7333 24 female R 1 1 14 immoralOther moralOther mismatch n m 0 0.6688 
31-May-2018_13:49:35 Exp 7333 24 female R 1 1 15 moralSelf moralSelf match m m 1 0.7049 
31-May-2018_13:49:37 Exp 7333 24 female R 1 1 16 moralSelf moralOther mismatch n m 0 0.5351 
31-May-2018_13:49:40 Exp 7333 24 female R 1 1 17 immoralSelf immoralOther mismatch n n 1 0.8232 
31-May-2018_13:49:42 Exp 7333 24 female R 1 1 18 immoralOther immoralOther match m m 1 0.6533 
31-May-2018_13:49:45 Exp 7333 24 female R 1 1 19 immoralSelf immoralSelf match m m 1 0.9575 
31-May-2018_13:49:47 Exp 7333 24 female R 1 1 20 immoralSelf immoralOther mismatch n n 1 0.6796 
31-May-2018_13:49:49 Exp 7333 24 female R 1 1 21 moralOther moralSelf mismatch n m 0 0.8258 
31-May-2018_13:49:52 Exp 7333 24 female R 1 1 22 immoralSelf immoralSelf match m n 0 0.6479 
31-May-2018_13:49:54 Exp 7333 24 female R 1 1 23 moralOther moralOther match m m 1 0.7360 
31-May-2018_13:49:56 Exp 7333 24 female R 1 1 24 moralOther moralOther match m m 1 0.5522 
31-May-2018_13:49:58 Exp 7333 24 female R 1 2 1 moralSelf immoralOther mismatch n n 1 0.4984 
31-May-2018_13:50:01 Exp 7333 24 female R 1 2 2 immoralOther immoralOther match m n 0 0.6404 
31-May-2018_13:50:03 Exp 7333 24 female R 1 2 3 moralSelf moralSelf match m m 1 0.7225 
31-May-2018_13:50:05 Exp 7333 24 female R 1 2 4 immoralOther immoralOther match m m 1 0.7647 
31-May-2018_13:50:08 Exp 7333 24 female R 1 2 5 immoralOther moralOther mismatch n n 1 0.7029 
31-May-2018_13:50:10 Exp 7333 24 female R 1 2 6 moralOther moralOther match m n 0 1.0450 
31-May-2018_13:50:13 Exp 7333 24 female R 1 2 7 immoralOther immoralSelf mismatch n m 0 0.7752 
31-May-2018_13:50:15 Exp 7333 24 female R 1 2 8 immoralSelf moralSelf mismatch n n 1 0.9593 
31-May-2018_13:50:18 Exp 7333 24 female R 1 2 9 immoralSelf immoralSelf match m n 0 0.7294 
31-May-2018_13:50:20 Exp 7333 24 female R 1 2 10 immoralSelf immoralSelf match m m 1 0.5615 
31-May-2018_13:50:22 Exp 7333 24 female R 1 2 11 moralSelf moralSelf match m m 1 0.5716 
31-May-2018_13:50:24 Exp 7333 24 female R 1 2 12 immoralSelf moralSelf mismatch n n 1 0.6918 
31-May-2018_13:50:27 Exp 7333 24 female R 1 2 13 immoralSelf immoralSelf match m m 1 0.5560 
31-May-2018_13:50:29 Exp 7333 24 female R 1 2 14 moralOther moralOther match m n 0 0.7442 
31-May-2018_13:50:31 Exp 7333 24 female R 1 2 15 moralSelf immoralSelf mismatch n n 1 0.7982 
31-May-2018_13:50:34 Exp 7333 24 female R 1 2 16 immoralSelf immoralOther mismatch n n 1 0.9763 
31-May-2018_13:50:36 Exp 7333 24 female R 1 2 17 moralOther immoralOther mismatch n m 0 0.8005 
31-May-2018_13:50:39 Exp 7333 24 female R 1 2 18 moralOther moralOther match m m 1 0.5546 
31-May-2018_13:50:41 Exp 7333 24 female R 1 2 19 moralSelf moralSelf match m m 1 0.9507 
31-May-2018_13:50:44 Exp 7333 24 female R 1 2 20 moralOther immoralOther mismatch n m 0 0.9309 
31-May-2018_13:50:46 Exp 7333 24 female R 1 2 21 immoralOther immoralOther match m m 1 0.7231 
31-May-2018_13:50:48 Exp 7333 24 female R 1 2 22 immoralOther moralSelf mismatch n n 1 0.7412 
31-May-2018_13:50:51 Exp 7333 24 female R 1 2 23 moralOther moralSelf mismatch n n 1 0.9474 
31-May-2018_13:50:53 Exp 7333 24 female R 1 2 24 moralSelf moralOther mismatch n m 0 0.7274 
31-May-2018_13:50:56 Exp 7333 24 female R 1 3 1 moralSelf immoralOther mismatch n n 1 0.8395 
31-May-2018_13:50:58 Exp 7333 24 female R 1 3 2 moralOther immoralOther mismatch n n 1 0.8578 
31-May-2018_13:51:01 Exp 7333 24 female R 1 3 3 moralOther moralOther match m n 0 1.0159 
31-May-2018_13:51:03 Exp 7333 24 female R 1 3 4 immoralSelf immoralOther mismatch n m 0 0.9361 
31-May-2018_13:51:06 Exp 7333 24 female R 1 3 5 moralOther moralOther match m NA -1 1.0850 
31-May-2018_13:51:08 Exp 7333 24 female R 1 3 6 immoralSelf immoralSelf match m m 1 0.5783 
31-May-2018_13:51:11 Exp 7333 24 female R 1 3 7 immoralOther immoralOther match m n 0 0.5285 
31-May-2018_13:51:13 Exp 7333 24 female R 1 3 8 immoralOther immoralOther match m m 1 0.6486 
31-May-2018_13:51:15 Exp 7333 24 female R 1 3 9 immoralSelf immoralOther mismatch n n 1 0.8249 
31-May-2018_13:51:18 Exp 7333 24 female R 1 3 10 immoralSelf immoralSelf match m NA -1 1.0850 
31-May-2018_13:51:20 Exp 7333 24 female R 1 3 11 moralSelf moralSelf match m m 1 0.5929 
31-May-2018_13:51:22 Exp 7333 24 female R 1 3 12 moralSelf moralOther mismatch n m 0 0.5171 
31-May-2018_13:51:25 Exp 7333 24 female R 1 3 13 moralOther moralOther match m m 1 0.7052 
31-May-2018_13:51:27 Exp 7333 24 female R 1 3 14 moralOther immoralOther mismatch n n 1 0.6715 
31-May-2018_13:51:29 Exp 7333 24 female R 1 3 15 immoralSelf moralSelf mismatch n m 0 0.6675 
31-May-2018_13:51:32 Exp 7333 24 female R 1 3 16 immoralOther immoralSelf mismatch n m 0 0.7036 
31-May-2018_13:51:34 Exp 7333 24 female R 1 3 17 immoralSelf immoralSelf match m n 0 0.6938 
31-May-2018_13:51:36 Exp 7333 24 female R 1 3 18 moralOther immoralOther mismatch n n 1 0.7739 
31-May-2018_13:51:38 Exp 7333 24 female R 1 3 19 moralSelf moralOther mismatch n m 0 0.4460 
31-May-2018_13:51:41 Exp 7333 24 female R 1 3 20 immoralOther moralOther mismatch n n 1 0.8402 
31-May-2018_13:51:43 Exp 7333 24 female R 1 3 21 immoralOther immoralOther match m m 1 0.4663 
31-May-2018_13:51:45 Exp 7333 24 female R 1 3 22 moralSelf moralSelf match m m 1 0.6724 
31-May-2018_13:51:47 Exp 7333 24 female R 1 3 23 immoralOther immoralSelf mismatch n n 1 0.5967 
