"Date","Prac","Subject","Age","Sex","Hand","Block","Bin","Trial","Shape","Label","Match","CorrResp","Resp","ACC","RT","Morality","Identity"
"02-May-2018_14:23:06","Exp",7302,22,"female","R",1,1,1,"immoralSelf","immoralOther","mismatch","n","m",0,0.7561,"Bad","Self"
"02-May-2018_14:23:08","Exp",7302,22,"female","R",1,1,2,"moralOther","moralSelf","mismatch","n","n",1,0.7043,"Good","Other"
"02-May-2018_14:23:10","Exp",7302,22,"female","R",1,1,3,"immoralOther","moralOther","mismatch","n","n",1,0.9903,"Bad","Other"
"02-May-2018_14:23:13","Exp",7302,22,"female","R",1,1,4,"moralSelf","immoralSelf","mismatch","n",NA,-1,1.042,"Good","Self"
"02-May-2018_14:23:15","Exp",7302,22,"female","R",1,1,5,"immoralSelf","immoralSelf","match","m","m",1,0.8207,"Bad","Self"
"02-May-2018_14:23:17","Exp",7302,22,"female","R",1,1,6,"immoralSelf","immoralSelf","match","m","m",1,0.7547,"Bad","Self"
"02-May-2018_14:23:19","Exp",7302,22,"female","R",1,1,7,"moralOther","moralOther","match","m","m",1,0.5429,"Good","Other"
"02-May-2018_14:23:21","Exp",7302,22,"female","R",1,1,8,"moralSelf","moralSelf","match","m","m",1,0.9009,"Good","Self"
"02-May-2018_14:23:24","Exp",7302,22,"female","R",1,1,9,"moralOther","immoralSelf","mismatch","n","n",1,0.9551,"Good","Other"
"02-May-2018_14:23:26","Exp",7302,22,"female","R",1,1,10,"immoralSelf","moralOther","mismatch","n","n",1,0.6952,"Bad","Self"
"02-May-2018_14:23:28","Exp",7302,22,"female","R",1,1,11,"moralOther","moralSelf","mismatch","n","n",1,0.7593,"Good","Other"
"02-May-2018_14:23:30","Exp",7302,22,"female","R",1,1,12,"immoralOther","immoralOther","match","m","m",1,0.7135,"Bad","Other"
"02-May-2018_14:23:32","Exp",7302,22,"female","R",1,1,13,"moralOther","moralOther","match","m","m",1,0.5656,"Good","Other"
"02-May-2018_14:23:34","Exp",7302,22,"female","R",1,1,14,"moralSelf","immoralSelf","mismatch","n","m",0,0.5357,"Good","Self"
"02-May-2018_14:23:36","Exp",7302,22,"female","R",1,1,15,"immoralOther","immoralOther","match","m","m",1,0.8078,"Bad","Other"
"02-May-2018_14:23:38","Exp",7302,22,"female","R",1,1,16,"immoralSelf","moralSelf","mismatch","n","n",1,0.96,"Bad","Self"
"02-May-2018_14:23:40","Exp",7302,22,"female","R",1,1,17,"moralSelf","immoralSelf","mismatch","n","n",1,0.6661,"Good","Self"
"02-May-2018_14:23:42","Exp",7302,22,"female","R",1,1,18,"moralSelf","moralSelf","match","m","m",1,0.6962,"Good","Self"
"02-May-2018_14:23:45","Exp",7302,22,"female","R",1,1,19,"immoralSelf","immoralSelf","match","m","n",0,0.8803,"Bad","Self"
"02-May-2018_14:23:47","Exp",7302,22,"female","R",1,1,20,"moralOther","moralOther","match","m","m",1,0.5785,"Good","Other"
"02-May-2018_14:23:49","Exp",7302,22,"female","R",1,1,21,"immoralOther","moralOther","mismatch","n","n",1,0.7845,"Bad","Other"
"02-May-2018_14:23:51","Exp",7302,22,"female","R",1,1,22,"moralSelf","moralSelf","match","m","m",1,0.8146,"Good","Self"
"02-May-2018_14:23:53","Exp",7302,22,"female","R",1,1,23,"immoralOther","immoralOther","match","m","m",1,0.6548,"Bad","Other"
"02-May-2018_14:23:55","Exp",7302,22,"female","R",1,1,24,"immoralOther","moralOther","mismatch","n","n",1,0.8789,"Bad","Other"
