"Subject","Age","Sex","Morality","Identity","dprime"
7304,25,"female","Bad","Other",0.686677464942068
7304,25,"female","Bad","Self",1.42446274084413
7304,25,"female","Good","Other",1.02648826119236
7304,25,"female","Good","Self",2.76003555952322
7305,18,"male","Bad","Other",2.74514395446192
7305,18,"male","Bad","Self",1.4997789717236
7305,18,"male","Good","Other",2.16512288913838
7305,18,"male","Good","Self",2.02799728351972
7306,21,"male","Bad","Other",2.48890357354283
7306,21,"male","Bad","Self",2.16512288913838
7306,21,"male","Good","Other",3.21082066243415
7306,21,"male","Good","Self",1.96989539999828
7307,22,"female","Bad","Other",1.61738360641984
7307,22,"female","Bad","Self",2.39133283331441
7307,22,"female","Good","Other",1.78269576392589
7307,22,"female","Good","Self",2.16160889052001
7308,20,"female","Bad","Other",2.99513785802358
7308,20,"female","Bad","Self",1.42518518250521
7308,20,"female","Good","Other",1.96989539999828
7308,20,"female","Good","Self",2.78834518671839
7309,26,"male","Bad","Other",1.75713983672332
7309,26,"male","Bad","Self",0.801820173098776
7309,26,"male","Good","Other",0.925281228667647
7309,26,"male","Good","Self",2.00640703455788
7310,21,"female","Bad","Other",3.46081456599581
7310,21,"female","Bad","Self",3.07119047511945
7310,21,"female","Good","Other",3.25177201729619
7310,21,"female","Good","Self",2.86145768788896
7311,20,"female","Bad","Other",1.35794568638489
7311,20,"female","Bad","Self",2.86145768788896
7311,20,"female","Good","Other",2.24669279388255
7311,20,"female","Good","Self",1.10099085734796
7312,21,"female","Bad","Other",1.24687845036557
7312,21,"female","Bad","Self",2.4194385788375
7312,21,"female","Good","Other",1.53813066350857
7312,21,"female","Good","Self",2.92666997500801
7313,20,"female","Bad","Other",1.32699294032412
7313,20,"female","Bad","Self",0.125279759794909
7313,20,"female","Good","Other",1.0493635566673
7313,20,"female","Good","Self",0.919327558579834
7314,19,"female","Bad","Other",2.02680696670737
7314,19,"female","Bad","Self",2.0393603947036
7314,19,"female","Good","Other",2.90615750635366
7314,19,"female","Good","Self",2.0393603947036
7315,20,"female","Bad","Other",1.58591952213123
7315,20,"female","Bad","Self",2.22154323327357
7315,20,"female","Good","Other",1.93553241356273
7315,20,"female","Good","Self",2.82245897906864
7316,21,"female","Bad","Other",2.02799728351972
7316,21,"female","Bad","Self",1.89542147814485
7316,21,"female","Good","Other",1.90848872986577
7316,21,"female","Good","Self",3.53686718309168
