"Subject","Match","Morality","Identity","Ntrials","corrTrials","ACC","RT"
7304,"match","Bad","Other",75,51,0.68,0.772743137254902
7304,"match","Bad","Self",75,60,0.8,0.701163333333333
7304,"match","Good","Other",75,60,0.8,0.74875
7304,"match","Good","Self",75,74,0.986666666666667,0.549127027027027
7304,"mismatch","Bad","Other",75,44,0.586666666666667,0.737170454545455
7304,"mismatch","Bad","Self",75,54,0.72,0.76122962962963
7304,"mismatch","Good","Other",75,43,0.573333333333333,0.768144186046512
7304,"mismatch","Good","Self",75,53,0.706666666666667,0.738154716981132
7305,"match","Bad","Other",75,72,0.96,0.640694444444444
7305,"match","Bad","Self",75,63,0.84,0.605468253968254
7305,"match","Good","Other",75,70,0.933333333333333,0.591458571428571
7305,"match","Good","Self",75,69,0.92,0.578685507246377
7305,"mismatch","Bad","Other",75,63,0.84,0.735066666666667
7305,"mismatch","Bad","Self",75,52,0.693333333333333,0.724509615384615
7305,"mismatch","Good","Other",75,56,0.746666666666667,0.703530357142857
7305,"mismatch","Good","Self",75,55,0.733333333333333,0.711345454545455
7306,"match","Bad","Other",75,67,0.893333333333333,0.757010447761194
7306,"match","Bad","Self",75,70,0.933333333333333,0.746868571428571
7306,"match","Good","Other",75,74,0.986666666666667,0.579809459459459
7306,"match","Good","Self",75,59,0.786666666666667,0.771135593220339
7306,"mismatch","Bad","Other",75,67,0.893333333333333,0.798032835820896
7306,"mismatch","Bad","Self",75,56,0.746666666666667,0.783757142857143
7306,"mismatch","Good","Other",75,63,0.84,0.754433333333333
7306,"mismatch","Good","Self",75,66,0.88,0.77164696969697
7307,"match","Bad","Other",75,55,0.733333333333333,0.769
7307,"match","Bad","Self",75,70,0.933333333333333,0.629395714285714
7307,"match","Good","Other",75,62,0.826666666666667,0.699329032258065
7307,"match","Good","Self",75,64,0.853333333333333,0.6592546875
7307,"mismatch","Bad","Other",75,63,0.84,0.735280952380952
7307,"mismatch","Bad","Self",75,61,0.813333333333333,0.730818032786885
7307,"mismatch","Good","Other",75,60,0.8,0.7335
7307,"mismatch","Good","Self",75,65,0.866666666666667,0.794706153846154
7308,"match","Bad","Other",75,67,0.893333333333333,0.713426865671642
7308,"match","Bad","Self",75,50,0.666666666666667,0.770714
7308,"match","Good","Other",75,66,0.88,0.735087878787879
7308,"match","Good","Self",75,71,0.946666666666667,0.621478873239437
7308,"mismatch","Bad","Other",75,72,0.96,0.700161111111111
7308,"mismatch","Bad","Self",75,63,0.84,0.783871428571429
7308,"mismatch","Good","Other",75,59,0.786666666666667,0.766359322033898
7308,"mismatch","Good","Self",75,66,0.88,0.723507575757576
7309,"match","Bad","Other",75,64,0.853333333333333,0.6783734375
7309,"match","Bad","Self",75,54,0.72,0.726181481481481
7309,"match","Good","Other",75,57,0.76,0.671419298245614
7309,"match","Good","Self",75,70,0.933333333333333,0.596724285714286
7309,"mismatch","Bad","Other",75,57,0.76,0.704173684210526
