"Subject","Age","Sex","ACC_match_Bad_Other","ACC_match_Bad_Self","ACC_match_Good_Other","ACC_match_Good_Self","ACC_mismatch_Bad_Other","ACC_mismatch_Bad_Self","ACC_mismatch_Good_Other","ACC_mismatch_Good_Self","d_Bad_Other","d_Bad_Self","d_Good_Other","d_Good_Self","RT_match_Bad_Other","RT_match_Bad_Self","RT_match_Good_Other","RT_match_Good_Self","RT_mismatch_Bad_Other","RT_mismatch_Bad_Self","RT_mismatch_Good_Other","RT_mismatch_Good_Self"
7304,25,"female",0.68,0.8,0.8,0.986666666666667,0.586666666666667,0.72,0.573333333333333,0.706666666666667,0.686677464942068,1.42446274084413,1.02648826119236,2.76003555952322,0.772743137254902,0.701163333333333,0.74875,0.549127027027027,0.737170454545455,0.76122962962963,0.768144186046512,0.738154716981132
7305,18,"male",0.96,0.84,0.933333333333333,0.92,0.84,0.693333333333333,0.746666666666667,0.733333333333333,2.74514395446192,1.4997789717236,2.16512288913838,2.02799728351972,0.640694444444444,0.605468253968254,0.591458571428571,0.578685507246377,0.735066666666667,0.724509615384615,0.703530357142857,0.711345454545455
7306,21,"male",0.893333333333333,0.933333333333333,0.986666666666667,0.786666666666667,0.893333333333333,0.746666666666667,0.84,0.88,2.48890357354283,2.16512288913838,3.21082066243415,1.96989539999828,0.757010447761194,0.746868571428571,0.579809459459459,0.771135593220339,0.798032835820896,0.783757142857143,0.754433333333333,0.77164696969697
7307,22,"female",0.733333333333333,0.933333333333333,0.826666666666667,0.853333333333333,0.84,0.813333333333333,0.8,0.866666666666667,1.61738360641984,2.39133283331441,1.78269576392589,2.16160889052001,0.769,0.629395714285714,0.699329032258065,0.6592546875,0.735280952380952,0.730818032786885,0.7335,0.794706153846154
7308,20,"female",0.893333333333333,0.666666666666667,0.88,0.946666666666667,0.96,0.84,0.786666666666667,0.88,2.99513785802358,1.42518518250521,1.96989539999828,2.78834518671839,0.713426865671642,0.770714,0.735087878787879,0.621478873239437,0.700161111111111,0.783871428571429,0.766359322033898,0.723507575757576
7309,26,"male",0.853333333333333,0.72,0.76,0.933333333333333,0.76,0.586666666666667,0.586666666666667,0.693333333333333,1.75713983672332,0.801820173098776,0.925281228667647,2.00640703455788,0.6783734375,0.726181481481481,0.671419298245614,0.596724285714286,0.704173684210526,0.7536,0.757265909090909,0.726486538461538
7310,21,"female",0.893333333333333,0.96,0.96,0.96,0.986666666666667,0.906666666666667,0.933333333333333,0.866666666666667,3.46081456599581,3.07119047511945,3.25177201729619,2.86145768788896,0.621974626865672,0.665611111111111,0.539376388888889,0.568088888888889,0.651759459459459,0.636123529411765,0.605555714285714,0.678649230769231
7311,20,"female",0.813333333333333,0.96,0.92,0.853333333333333,0.68,0.866666666666667,0.8,0.52,1.35794568638489,2.86145768788896,2.24669279388255,1.10099085734796,0.587834426229508,0.467927777777778,0.52511884057971,0.5453953125,0.5839,0.517061538461538,0.589851666666667,0.612820512820513
7312,21,"female",0.72,0.88,0.706666666666667,0.973333333333333,0.746666666666667,0.893333333333333,0.84,0.84,1.24687845036557,2.4194385788375,1.53813066350857,2.92666997500801,0.790755555555556,0.792693939393939,0.772635849056604,0.615847945205479,0.783103571428571,0.7566,0.769460317460318,0.740398412698413
7313,20,"female",0.808219178082192,0.36,0.608108108108108,0.405405405405405,0.675675675675676,0.685714285714286,0.780821917808219,0.876712328767123,1.32699294032412,0.125279759794909,1.0493635566673,0.919327558579834,0.515679661016949,0.591844444444445,0.585624444444444,0.585113333333333,0.563912,0.600341666666667,0.593256140350877,0.563953125
