"Date","Subject","Age","Sex","Hand","Block","Bin","Trial","Task","Shape","corrResp","Resp","ACC","RT","Morality","Identity"
"02-May-2018_14:36:40",7302,22,"female","R",1,1,1,"Id","immoralOther","J",NA,-1,1.042,"Bad","Other"
"02-May-2018_14:36:42",7302,22,"female","R",1,1,2,"Id","moralSelf","H","h",1,0.7564,"Good","Self"
"02-May-2018_14:36:44",7302,22,"female","R",1,1,3,"Id","immoralSelf","H","h",1,0.4825,"Bad","Self"
"02-May-2018_14:36:46",7302,22,"female","R",1,1,4,"Id","moralSelf","H","h",1,0.5446,"Good","Self"
"02-May-2018_14:36:47",7302,22,"female","R",1,1,5,"Id","moralOther","J","j",1,0.5028,"Good","Other"
"02-May-2018_14:36:49",7302,22,"female","R",1,1,6,"Id","moralSelf","H","h",1,0.5228,"Good","Self"
"02-May-2018_14:36:51",7302,22,"female","R",1,1,7,"Id","immoralSelf","H","h",1,0.4969,"Bad","Self"
"02-May-2018_14:36:53",7302,22,"female","R",1,1,8,"Id","moralOther","J","j",1,0.511,"Good","Other"
"02-May-2018_14:36:54",7302,22,"female","R",1,1,9,"Id","immoralSelf","H","h",1,0.5591,"Bad","Self"
"02-May-2018_14:36:56",7302,22,"female","R",1,1,10,"Id","immoralOther","J","j",1,0.7311,"Bad","Other"
"02-May-2018_14:36:58",7302,22,"female","R",1,1,11,"Id","immoralSelf","H","h",1,0.3893,"Bad","Self"
"02-May-2018_14:37:00",7302,22,"female","R",1,1,12,"Id","moralSelf","H","h",1,0.5154,"Good","Self"
"02-May-2018_14:37:01",7302,22,"female","R",1,1,13,"Id","immoralOther","J","j",1,0.4794,"Bad","Other"
"02-May-2018_14:37:03",7302,22,"female","R",1,1,14,"Id","immoralSelf","H","h",1,0.5855,"Bad","Self"
"02-May-2018_14:37:05",7302,22,"female","R",1,1,15,"Id","moralOther","J","j",1,0.5497,"Good","Other"
"02-May-2018_14:37:06",7302,22,"female","R",1,1,16,"Id","moralOther","J","j",1,0.5497,"Good","Other"
"02-May-2018_14:37:08",7302,22,"female","R",1,1,17,"Id","immoralOther","J","j",1,0.6759,"Bad","Other"
"02-May-2018_14:37:10",7302,22,"female","R",1,1,18,"Id","immoralOther","J","j",1,0.4919,"Bad","Other"
"02-May-2018_14:37:12",7302,22,"female","R",1,1,19,"Id","moralOther","J","j",1,0.6541,"Good","Other"
"02-May-2018_14:37:13",7302,22,"female","R",1,1,20,"Id","immoralSelf","H","h",1,0.4502,"Bad","Self"
"02-May-2018_14:37:15",7302,22,"female","R",1,1,21,"Id","immoralOther","J","j",1,0.6642,"Bad","Other"
"02-May-2018_14:37:17",7302,22,"female","R",1,1,22,"Id","moralSelf","H","h",1,0.5624,"Good","Self"
"02-May-2018_14:37:18",7302,22,"female","R",1,1,23,"Id","moralOther","J","j",1,0.5085,"Good","Other"
"02-May-2018_14:37:20",7302,22,"female","R",1,1,24,"Id","moralSelf","H","h",1,0.5865,"Good","Self"
"02-May-2018_14:37:22",7302,22,"female","R",1,2,1,"Id","immoralSelf","H","h",1,0.5226,"Bad","Self"
"02-May-2018_14:37:24",7302,22,"female","R",1,2,2,"Id","moralOther","J","j",1,0.4527,"Good","Other"
"02-May-2018_14:37:25",7302,22,"female","R",1,2,3,"Id","immoralOther","J","j",1,0.5529,"Bad","Other"
"02-May-2018_14:37:27",7302,22,"female","R",1,2,4,"Id","immoralSelf","H","h",1,0.5409,"Bad","Self"
"02-May-2018_14:37:29",7302,22,"female","R",1,2,5,"Id","immoralSelf","H","h",1,0.4971,"Bad","Self"
"02-May-2018_14:37:31",7302,22,"female","R",1,2,6,"Id","moralSelf","H","h",1,0.4752,"Good","Self"
"02-May-2018_14:37:32",7302,22,"female","R",1,2,7,"Id","immoralOther","J","j",1,0.4592,"Bad","Other"
"02-May-2018_14:37:34",7302,22,"female","R",1,2,8,"Id","moralSelf","H","h",1,0.5934,"Good","Self"
"02-May-2018_14:37:36",7302,22,"female","R",1,2,9,"Id","immoralSelf","H","h",1,0.4073,"Bad","Self"
"02-May-2018_14:37:37",7302,22,"female","R",1,2,10,"Id","moralOther","J","j",1,0.4296,"Good","Other"
"02-May-2018_14:37:39",7302,22,"female","R",1,2,11,"Id","moralOther","J","j",1,0.4777,"Good","Other"
"02-May-2018_14:37:41",7302,22,"female","R",1,2,12,"Id","immoralOther","J","j",1,0.5138,"Bad","Other"
"02-May-2018_14:37:42",7302,22,"female","R",1,2,13,"Id","immoralSelf","H","h",1,0.5039,"Bad","Self"
"02-May-2018_14:37:44",7302,22,"female","R",1,2,14,"Id","immoralOther","J","j",1,0.5119,"Bad","Other"
"02-May-2018_14:37:46",7302,22,"female","R",1,2,15,"Id","moralOther","J","j",1,0.544,"Good","Other"
"02-May-2018_14:37:47",7302,22,"female","R",1,2,16,"Id","moralOther","J","j",1,0.5721,"Good","Other"
"02-May-2018_14:37:49",7302,22,"female","R",1,2,17,"Id","moralSelf","H","h",1,0.4822,"Good","Self"
"02-May-2018_14:37:51",7302,22,"female","R",1,2,18,"Id","moralSelf","H","h",1,0.5362,"Good","Self"
"02-May-2018_14:37:52",7302,22,"female","R",1,2,19,"Id","immoralOther","J","j",1,0.5924,"Bad","Other"
"02-May-2018_14:37:54",7302,22,"female","R",1,2,20,"Id","moralSelf","H","j",0,0.4425,"Good","Self"
"02-May-2018_14:37:56",7302,22,"female","R",1,2,21,"Id","immoralSelf","H","h",1,0.5465,"Bad","Self"
"02-May-2018_14:37:57",7302,22,"female","R",1,2,22,"Id","moralSelf","H","h",1,0.3867,"Good","Self"
"02-May-2018_14:37:59",7302,22,"female","R",1,2,23,"Id","moralOther","J","j",1,0.5848,"Good","Other"
"02-May-2018_14:38:01",7302,22,"female","R",1,2,24,"Id","immoralOther","J","j",1,0.5288,"Bad","Other"
"02-May-2018_14:38:10",7302,22,"female","R",1,3,1,"Id","moralOther","J","j",1,0.5494,"Good","Other"
"02-May-2018_14:38:12",7302,22,"female","R",1,3,2,"Id","immoralSelf","H","h",1,0.4995,"Bad","Self"
"02-May-2018_14:38:13",7302,22,"female","R",1,3,3,"Id","immoralOther","J","j",1,0.4736,"Bad","Other"
"02-May-2018_14:38:15",7302,22,"female","R",1,3,4,"Id","immoralSelf","H","h",1,0.5517,"Bad","Self"
"02-May-2018_14:38:16",7302,22,"female","R",1,3,5,"Id","immoralSelf","H","h",1,0.5218,"Bad","Self"
"02-May-2018_14:38:18",7302,22,"female","R",1,3,6,"Id","moralOther","J","j",1,0.4798,"Good","Other"
"02-May-2018_14:38:20",7302,22,"female","R",1,3,7,"Id","moralOther","J","j",1,0.46,"Good","Other"
"02-May-2018_14:38:22",7302,22,"female","R",1,3,8,"Id","immoralSelf","H","h",1,0.448,"Bad","Self"
"02-May-2018_14:38:24",7302,22,"female","R",1,3,9,"Id","moralOther","J","j",1,0.5002,"Good","Other"
"02-May-2018_14:38:25",7302,22,"female","R",1,3,10,"Id","immoralOther","J","j",1,0.5102,"Bad","Other"
"02-May-2018_14:38:27",7302,22,"female","R",1,3,11,"Id","moralSelf","H","h",1,0.5463,"Good","Self"
"02-May-2018_14:38:29",7302,22,"female","R",1,3,12,"Id","moralSelf","H","h",1,0.4104,"Good","Self"
"02-May-2018_14:38:31",7302,22,"female","R",1,3,13,"Id","moralSelf","H","h",1,0.3506,"Good","Self"
"02-May-2018_14:38:32",7302,22,"female","R",1,3,14,"Id","immoralSelf","H","h",1,0.2767,"Bad","Self"
"02-May-2018_14:38:34",7302,22,"female","R",1,3,15,"Id","immoralOther","J","j",1,0.4707,"Bad","Other"
"02-May-2018_14:38:35",7302,22,"female","R",1,3,16,"Id","moralOther","J","j",1,0.4888,"Good","Other"
"02-May-2018_14:38:37",7302,22,"female","R",1,3,17,"Id","immoralOther","J","j",1,0.5189,"Bad","Other"
"02-May-2018_14:38:39",7302,22,"female","R",1,3,18,"Id","moralSelf","H","h",1,0.4771,"Good","Self"
"02-May-2018_14:38:41",7302,22,"female","R",1,3,19,"Id","moralOther","J","j",1,0.4451,"Good","Other"
"02-May-2018_14:38:43",7302,22,"female","R",1,3,20,"Id","immoralOther","J","j",1,0.4752,"Bad","Other"
"02-May-2018_14:38:44",7302,22,"female","R",1,3,21,"Id","moralSelf","H","h",1,0.4173,"Good","Self"
"02-May-2018_14:38:46",7302,22,"female","R",1,3,22,"Id","immoralSelf","H","h",1,0.4274,"Bad","Self"
"02-May-2018_14:38:47",7302,22,"female","R",1,3,23,"Id","moralSelf","H","h",1,0.4475,"Good","Self"
"02-May-2018_14:38:49",7302,22,"female","R",1,3,24,"Id","immoralOther","J","j",1,0.5176,"Bad","Other"
"02-May-2018_14:38:51",7302,22,"female","R",1,4,1,"Id","moralSelf","H","j",0,0.3298,"Good","Self"
"02-May-2018_14:38:53",7302,22,"female","R",1,4,2,"Id","immoralSelf","H","h",1,0.3738,"Bad","Self"
"02-May-2018_14:38:54",7302,22,"female","R",1,4,3,"Id","immoralOther","J","j",1,0.4418,"Bad","Other"
"02-May-2018_14:38:56",7302,22,"female","R",1,4,4,"Id","moralOther","J","j",1,0.566,"Good","Other"
"02-May-2018_14:38:57",7302,22,"female","R",1,4,5,"Id","immoralSelf","H","h",1,0.448,"Bad","Self"
"02-May-2018_14:38:59",7302,22,"female","R",1,4,6,"Id","moralSelf","H","h",1,0.4482,"Good","Self"
"02-May-2018_14:39:00",7302,22,"female","R",1,4,7,"Id","moralOther","J","j",1,0.5123,"Good","Other"
