Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
02-May-2018_14:36:40 7302 22 female R 1 1 1 self immoralOther J NA -1 1.0420 
02-May-2018_14:36:42 7302 22 female R 1 1 2 self moralSelf H h 1 0.7564 
02-May-2018_14:36:44 7302 22 female R 1 1 3 self immoralSelf H h 1 0.4825 
02-May-2018_14:36:46 7302 22 female R 1 1 4 self moralSelf H h 1 0.5446 
02-May-2018_14:36:47 7302 22 female R 1 1 5 self moralOther J j 1 0.5028 
02-May-2018_14:36:49 7302 22 female R 1 1 6 self moralSelf H h 1 0.5228 
02-May-2018_14:36:51 7302 22 female R 1 1 7 self immoralSelf H h 1 0.4969 
02-May-2018_14:36:53 7302 22 female R 1 1 8 self moralOther J j 1 0.5110 
02-May-2018_14:36:54 7302 22 female R 1 1 9 self immoralSelf H h 1 0.5591 
02-May-2018_14:36:56 7302 22 female R 1 1 10 self immoralOther J j 1 0.7311 
02-May-2018_14:36:58 7302 22 female R 1 1 11 self immoralSelf H h 1 0.3893 
02-May-2018_14:37:00 7302 22 female R 1 1 12 self moralSelf H h 1 0.5154 
02-May-2018_14:37:01 7302 22 female R 1 1 13 self immoralOther J j 1 0.4794 
02-May-2018_14:37:03 7302 22 female R 1 1 14 self immoralSelf H h 1 0.5855 
02-May-2018_14:37:05 7302 22 female R 1 1 15 self moralOther J j 1 0.5497 
02-May-2018_14:37:06 7302 22 female R 1 1 16 self moralOther J j 1 0.5497 
02-May-2018_14:37:08 7302 22 female R 1 1 17 self immoralOther J j 1 0.6759 
02-May-2018_14:37:10 7302 22 female R 1 1 18 self immoralOther J j 1 0.4919 
02-May-2018_14:37:12 7302 22 female R 1 1 19 self moralOther J j 1 0.6541 
02-May-2018_14:37:13 7302 22 female R 1 1 20 self immoralSelf H h 1 0.4502 
02-May-2018_14:37:15 7302 22 female R 1 1 21 self immoralOther J j 1 0.6642 
02-May-2018_14:37:17 7302 22 female R 1 1 22 self moralSelf H h 1 0.5624 
02-May-2018_14:37:18 7302 22 female R 1 1 23 self moralOther J j 1 0.5085 
02-May-2018_14:37:20 7302 22 female R 1 1 24 self moralSelf H h 1 0.5865 
02-May-2018_14:37:22 7302 22 female R 1 2 1 self immoralSelf H h 1 0.5226 
02-May-2018_14:37:24 7302 22 female R 1 2 2 self moralOther J j 1 0.4527 
02-May-2018_14:37:25 7302 22 female R 1 2 3 self immoralOther J j 1 0.5529 
02-May-2018_14:37:27 7302 22 female R 1 2 4 self immoralSelf H h 1 0.5409 
02-May-2018_14:37:29 7302 22 female R 1 2 5 self immoralSelf H h 1 0.4971 
02-May-2018_14:37:31 7302 22 female R 1 2 6 self moralSelf H h 1 0.4752 
02-May-2018_14:37:32 7302 22 female R 1 2 7 self immoralOther J j 1 0.4592 
02-May-2018_14:37:34 7302 22 female R 1 2 8 self moralSelf H h 1 0.5934 
02-May-2018_14:37:36 7302 22 female R 1 2 9 self immoralSelf H h 1 0.4073 
02-May-2018_14:37:37 7302 22 female R 1 2 10 self moralOther J j 1 0.4296 
02-May-2018_14:37:39 7302 22 female R 1 2 11 self moralOther J j 1 0.4777 
02-May-2018_14:37:41 7302 22 female R 1 2 12 self immoralOther J j 1 0.5138 
02-May-2018_14:37:42 7302 22 female R 1 2 13 self immoralSelf H h 1 0.5039 
02-May-2018_14:37:44 7302 22 female R 1 2 14 self immoralOther J j 1 0.5119 
02-May-2018_14:37:46 7302 22 female R 1 2 15 self moralOther J j 1 0.5440 
02-May-2018_14:37:47 7302 22 female R 1 2 16 self moralOther J j 1 0.5721 
02-May-2018_14:37:49 7302 22 female R 1 2 17 self moralSelf H h 1 0.4822 
02-May-2018_14:37:51 7302 22 female R 1 2 18 self moralSelf H h 1 0.5362 
02-May-2018_14:37:52 7302 22 female R 1 2 19 self immoralOther J j 1 0.5924 
02-May-2018_14:37:54 7302 22 female R 1 2 20 self moralSelf H j 0 0.4425 
02-May-2018_14:37:56 7302 22 female R 1 2 21 self immoralSelf H h 1 0.5465 
02-May-2018_14:37:57 7302 22 female R 1 2 22 self moralSelf H h 1 0.3867 
02-May-2018_14:37:59 7302 22 female R 1 2 23 self moralOther J j 1 0.5848 
02-May-2018_14:38:01 7302 22 female R 1 2 24 self immoralOther J j 1 0.5288 
