Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
12-May-2018_16:05:45 Exp 7311 20 2 R 1 1 1 moralSelf immoralOther mismatch n n 1 0.5358 
12-May-2018_16:05:47 Exp 7311 20 2 R 1 1 2 moralOther immoralOther mismatch n n 1 0.5793 
12-May-2018_16:05:49 Exp 7311 20 2 R 1 1 3 moralOther moralOther match m m 1 0.4716 
12-May-2018_16:05:51 Exp 7311 20 2 R 1 1 4 immoralSelf immoralOther mismatch n n 1 0.4379 
12-May-2018_16:05:53 Exp 7311 20 2 R 1 1 5 moralOther moralOther match m m 1 0.5912 
12-May-2018_16:05:55 Exp 7311 20 2 R 1 1 6 immoralSelf immoralSelf match m m 1 0.3918 
12-May-2018_16:05:58 Exp 7311 20 2 R 1 1 7 immoralOther immoralOther match m n 0 0.5124 
12-May-2018_16:06:00 Exp 7311 20 2 R 1 1 8 immoralOther immoralOther match m m 1 0.4673 
12-May-2018_16:06:02 Exp 7311 20 2 R 1 1 9 immoralSelf immoralOther mismatch n n 1 0.4293 
12-May-2018_16:06:04 Exp 7311 20 2 R 1 1 10 immoralSelf immoralSelf match m m 1 0.4026 
12-May-2018_16:06:06 Exp 7311 20 2 R 1 1 11 moralSelf moralSelf match m n 0 0.5593 
12-May-2018_16:06:08 Exp 7311 20 2 R 1 1 12 moralSelf moralOther mismatch n m 0 0.4992 
12-May-2018_16:06:10 Exp 7311 20 2 R 1 1 13 moralOther moralOther match m m 1 0.5058 
12-May-2018_16:06:12 Exp 7311 20 2 R 1 1 14 moralOther immoralOther mismatch n n 1 0.5648 
12-May-2018_16:06:14 Exp 7311 20 2 R 1 1 15 immoralSelf moralSelf mismatch n m 0 0.3888 
12-May-2018_16:06:17 Exp 7311 20 2 R 1 1 16 immoralOther immoralSelf mismatch n m 0 0.4934 
12-May-2018_16:06:19 Exp 7311 20 2 R 1 1 17 immoralSelf immoralSelf match m m 1 0.4121 
12-May-2018_16:06:21 Exp 7311 20 2 R 1 1 18 moralOther immoralOther mismatch n n 1 0.5171 
12-May-2018_16:06:23 Exp 7311 20 2 R 1 1 19 moralSelf moralOther mismatch n n 1 0.7803 
12-May-2018_16:06:25 Exp 7311 20 2 R 1 1 20 immoralOther moralOther mismatch n m 0 0.5606 
12-May-2018_16:06:28 Exp 7311 20 2 R 1 1 21 immoralOther immoralOther match m m 1 0.7004 
12-May-2018_16:06:30 Exp 7311 20 2 R 1 1 22 moralSelf moralSelf match m m 1 0.6351 
12-May-2018_16:06:32 Exp 7311 20 2 R 1 1 23 immoralOther immoralSelf mismatch n n 1 0.5967 
12-May-2018_16:06:34 Exp 7311 20 2 R 1 1 24 moralSelf moralSelf match m m 1 0.5011 
12-May-2018_16:06:37 Exp 7311 20 2 R 1 2 1 moralSelf moralSelf match m m 1 0.6198 
12-May-2018_16:06:39 Exp 7311 20 2 R 1 2 2 immoralOther immoralOther match m m 1 0.6129 
12-May-2018_16:06:41 Exp 7311 20 2 R 1 2 3 immoralSelf immoralSelf match m m 1 0.4379 
12-May-2018_16:06:43 Exp 7311 20 2 R 1 2 4 immoralSelf moralOther mismatch n m 0 0.5115 
12-May-2018_16:06:45 Exp 7311 20 2 R 1 2 5 moralOther moralOther match m m 1 0.4503 
12-May-2018_16:06:47 Exp 7311 20 2 R 1 2 6 moralOther moralSelf mismatch n m 0 0.4240 
12-May-2018_16:06:49 Exp 7311 20 2 R 1 2 7 immoralSelf moralSelf mismatch n m 0 0.3814 
12-May-2018_16:06:51 Exp 7311 20 2 R 1 2 8 immoralOther moralSelf mismatch n m 0 0.4576 
12-May-2018_16:06:54 Exp 7311 20 2 R 1 2 9 immoralOther immoralOther match m m 1 0.6276 
12-May-2018_16:06:56 Exp 7311 20 2 R 1 2 10 immoralSelf immoralSelf match m m 1 0.5289 
12-May-2018_16:06:58 Exp 7311 20 2 R 1 2 11 immoralSelf moralOther mismatch n n 1 0.5163 
12-May-2018_16:07:00 Exp 7311 20 2 R 1 2 12 immoralOther immoralSelf mismatch n m 0 0.4835 
12-May-2018_16:07:02 Exp 7311 20 2 R 1 2 13 moralOther moralOther match m m 1 0.4219 
12-May-2018_16:07:04 Exp 7311 20 2 R 1 2 14 immoralSelf immoralSelf match m m 1 0.4830 
12-May-2018_16:07:06 Exp 7311 20 2 R 1 2 15 moralSelf immoralSelf mismatch n m 0 0.6295 
12-May-2018_16:07:09 Exp 7311 20 2 R 1 2 16 moralOther moralOther match m m 1 0.5149 
12-May-2018_16:07:11 Exp 7311 20 2 R 1 2 17 moralOther immoralSelf mismatch n m 0 0.4259 
12-May-2018_16:07:13 Exp 7311 20 2 R 1 2 18 moralSelf immoralSelf mismatch n m 0 0.5512 
12-May-2018_16:07:15 Exp 7311 20 2 R 1 2 19 moralOther immoralSelf mismatch n n 1 0.7711 
12-May-2018_16:07:17 Exp 7311 20 2 R 1 2 20 immoralOther immoralOther match m m 1 0.5552 
12-May-2018_16:07:20 Exp 7311 20 2 R 1 2 21 moralSelf moralSelf match m m 1 0.7430 
12-May-2018_16:07:22 Exp 7311 20 2 R 1 2 22 moralSelf moralSelf match m m 1 0.5426 
12-May-2018_16:07:24 Exp 7311 20 2 R 1 2 23 moralSelf immoralOther mismatch n m 0 0.5823 
12-May-2018_16:07:26 Exp 7311 20 2 R 1 2 24 immoralOther immoralSelf mismatch n n 1 0.6106 
12-May-2018_16:07:29 Exp 7311 20 2 R 1 3 1 moralOther moralOther match m m 1 0.5236 
12-May-2018_16:07:31 Exp 7311 20 2 R 1 3 2 immoralSelf immoralSelf match m m 1 0.5628 
12-May-2018_16:07:33 Exp 7311 20 2 R 1 3 3 immoralSelf immoralOther mismatch n n 1 0.4987 
12-May-2018_16:07:35 Exp 7311 20 2 R 1 3 4 moralSelf moralSelf match m m 1 0.5535 
12-May-2018_16:07:37 Exp 7311 20 2 R 1 3 5 immoralSelf immoralSelf match m m 1 0.4053 
12-May-2018_16:07:39 Exp 7311 20 2 R 1 3 6 immoralSelf immoralSelf match m m 1 0.4342 
12-May-2018_16:07:41 Exp 7311 20 2 R 1 3 7 immoralOther immoralOther match m n 0 0.5477 
12-May-2018_16:07:44 Exp 7311 20 2 R 1 3 8 moralOther immoralSelf mismatch n n 1 0.5632 
12-May-2018_16:07:46 Exp 7311 20 2 R 1 3 9 moralOther moralOther match m m 1 0.3554 
12-May-2018_16:07:48 Exp 7311 20 2 R 1 3 10 immoralOther immoralSelf mismatch n m 0 0.6072 
12-May-2018_16:07:50 Exp 7311 20 2 R 1 3 11 immoralSelf moralSelf mismatch n m 0 0.3962 
12-May-2018_16:07:52 Exp 7311 20 2 R 1 3 12 moralSelf immoralSelf mismatch n m 0 0.4205 
12-May-2018_16:07:54 Exp 7311 20 2 R 1 3 13 immoralOther immoralOther match m m 1 0.6696 
12-May-2018_16:07:56 Exp 7311 20 2 R 1 3 14 moralOther moralSelf mismatch n m 0 0.4278 
12-May-2018_16:07:58 Exp 7311 20 2 R 1 3 15 moralSelf moralOther mismatch n m 0 0.5210 
12-May-2018_16:08:01 Exp 7311 20 2 R 1 3 16 immoralOther immoralOther match m m 1 0.6402 
12-May-2018_16:08:03 Exp 7311 20 2 R 1 3 17 moralOther moralSelf mismatch n m 0 0.6817 
