Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
16-May-2018_14:04:35 7314 19 female R 1 1 1 self moralSelf J j 1 0.6652 
16-May-2018_14:04:37 7314 19 female R 1 1 2 self moralOther H h 1 0.6952 
16-May-2018_14:04:39 7314 19 female R 1 1 3 self immoralOther H h 1 0.9173 
16-May-2018_14:04:41 7314 19 female R 1 1 4 self moralSelf J j 1 0.7256 
16-May-2018_14:04:43 7314 19 female R 1 1 5 self moralOther H h 1 0.6896 
16-May-2018_14:04:45 7314 19 female R 1 1 6 self moralSelf J j 1 0.6156 
16-May-2018_14:04:47 7314 19 female R 1 1 7 self moralOther H h 1 0.6378 
16-May-2018_14:04:49 7314 19 female R 1 1 8 self moralOther H j 0 0.6940 
16-May-2018_14:04:51 7314 19 female R 1 1 9 self immoralSelf J j 1 0.6341 
16-May-2018_14:04:53 7314 19 female R 1 1 10 self immoralSelf J j 1 0.8162 
16-May-2018_14:04:55 7314 19 female R 1 1 11 self immoralOther H h 1 0.6463 
16-May-2018_14:04:57 7314 19 female R 1 1 12 self immoralSelf J j 1 0.6224 
16-May-2018_14:04:58 7314 19 female R 1 1 13 self moralSelf J h 0 0.6185 
16-May-2018_14:05:00 7314 19 female R 1 1 14 self moralOther H h 1 0.7626 
16-May-2018_14:05:02 7314 19 female R 1 1 15 self immoralSelf J j 1 0.5887 
16-May-2018_14:05:04 7314 19 female R 1 1 16 self moralSelf J j 1 0.8908 
16-May-2018_14:05:06 7314 19 female R 1 1 17 self immoralSelf J j 1 0.8329 
16-May-2018_14:05:09 7314 19 female R 1 1 18 self immoralOther H NA -1 1.0850 
16-May-2018_14:05:11 7314 19 female R 1 1 19 self moralSelf J j 1 0.6291 
16-May-2018_14:05:13 7314 19 female R 1 1 20 self immoralOther H NA -1 1.0850 
16-May-2018_14:05:15 7314 19 female R 1 1 21 self immoralSelf J j 1 0.5694 
16-May-2018_14:05:17 7314 19 female R 1 1 22 self immoralOther H h 1 0.7755 
16-May-2018_14:05:19 7314 19 female R 1 1 23 self moralOther H h 1 0.4637 
16-May-2018_14:05:21 7314 19 female R 1 1 24 self immoralOther H j 0 0.6878 
16-May-2018_14:05:23 7314 19 female R 1 2 1 self immoralSelf J j 1 0.5918 
16-May-2018_14:05:25 7314 19 female R 1 2 2 self immoralSelf J j 1 0.8420 
16-May-2018_14:05:28 7314 19 female R 1 2 3 self immoralOther H h 1 0.8162 
16-May-2018_14:05:30 7314 19 female R 1 2 4 self moralSelf J j 1 0.6702 
16-May-2018_14:05:31 7314 19 female R 1 2 5 self moralOther H h 1 0.5444 
16-May-2018_14:05:33 7314 19 female R 1 2 6 self moralSelf J j 1 0.7064 
16-May-2018_14:05:35 7314 19 female R 1 2 7 self moralSelf J j 1 0.6805 
16-May-2018_14:05:37 7314 19 female R 1 2 8 self moralSelf J j 1 0.5227 
16-May-2018_14:05:39 7314 19 female R 1 2 9 self moralSelf J j 1 0.3970 
16-May-2018_14:05:41 7314 19 female R 1 2 10 self moralOther H h 1 0.6169 
16-May-2018_14:05:43 7314 19 female R 1 2 11 self immoralSelf J NA -1 1.0850 
16-May-2018_14:05:45 7314 19 female R 1 2 12 self immoralOther H h 1 0.7171 
16-May-2018_14:05:47 7314 19 female R 1 2 13 self immoralOther H h 1 0.9153 
16-May-2018_14:05:49 7314 19 female R 1 2 14 self moralSelf J j 1 0.6854 
16-May-2018_14:05:51 7314 19 female R 1 2 15 self immoralOther H h 1 0.7214 
16-May-2018_14:05:53 7314 19 female R 1 2 16 self immoralOther H h 1 0.5956 
16-May-2018_14:05:55 7314 19 female R 1 2 17 self immoralOther H h 1 0.4756 
16-May-2018_14:05:56 7314 19 female R 1 2 18 self moralOther H h 1 0.7178 
16-May-2018_14:05:58 7314 19 female R 1 2 19 self moralOther H h 1 0.6039 
16-May-2018_14:06:00 7314 19 female R 1 2 20 self immoralSelf J j 1 0.5599 
16-May-2018_14:06:02 7314 19 female R 1 2 21 self moralOther H h 1 0.6441 
16-May-2018_14:06:04 7314 19 female R 1 2 22 self immoralSelf J j 1 0.8383 
16-May-2018_14:06:06 7314 19 female R 1 2 23 self moralOther H h 1 0.5343 
16-May-2018_14:06:08 7314 19 female R 1 2 24 self immoralSelf J j 1 0.7843 
16-May-2018_14:06:19 7314 19 female R 1 3 1 self immoralOther H h 1 0.7331 
16-May-2018_14:06:21 7314 19 female R 1 3 2 self immoralSelf J j 1 0.5871 
16-May-2018_14:06:23 7314 19 female R 1 3 3 self moralOther H h 1 0.8052 
16-May-2018_14:06:25 7314 19 female R 1 3 4 self immoralSelf J j 1 0.7834 
16-May-2018_14:06:27 7314 19 female R 1 3 5 self moralOther H h 1 0.7495 
16-May-2018_14:06:29 7314 19 female R 1 3 6 self moralSelf J j 1 0.6456 
16-May-2018_14:06:31 7314 19 female R 1 3 7 self moralSelf J j 1 0.4858 
16-May-2018_14:06:33 7314 19 female R 1 3 8 self moralOther H h 1 0.4819 
