Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
02-May-2018_14:26:54 Exp 7303 28 male R 1 1 1 immoralSelf immoralOther mismatch n n 1 0.6804 
02-May-2018_14:26:56 Exp 7303 28 male R 1 1 2 moralOther moralSelf mismatch n n 1 0.5540 
02-May-2018_14:26:58 Exp 7303 28 male R 1 1 3 immoralOther moralOther mismatch n n 1 0.6528 
02-May-2018_14:27:00 Exp 7303 28 male R 1 1 4 moralSelf immoralSelf mismatch n n 1 0.6016 
02-May-2018_14:27:02 Exp 7303 28 male R 1 1 5 immoralSelf immoralSelf match m n 0 0.6214 
02-May-2018_14:27:04 Exp 7303 28 male R 1 1 6 immoralSelf immoralSelf match m n 0 0.7058 
02-May-2018_14:27:06 Exp 7303 28 male R 1 1 7 moralOther moralOther match m m 1 0.6918 
02-May-2018_14:27:08 Exp 7303 28 male R 1 1 8 moralSelf moralSelf match m m 1 0.6334 
02-May-2018_14:27:10 Exp 7303 28 male R 1 1 9 moralOther immoralSelf mismatch n n 1 0.7380 
02-May-2018_14:27:12 Exp 7303 28 male R 1 1 10 immoralSelf moralOther mismatch n n 1 0.8765 
02-May-2018_14:27:14 Exp 7303 28 male R 1 1 11 moralOther moralSelf mismatch n m 0 0.6097 
02-May-2018_14:27:17 Exp 7303 28 male R 1 1 12 immoralOther immoralOther match m m 1 0.7058 
02-May-2018_14:27:19 Exp 7303 28 male R 1 1 13 moralOther moralOther match m m 1 0.6758 
02-May-2018_14:27:21 Exp 7303 28 male R 1 1 14 moralSelf immoralSelf mismatch n m 0 0.6251 
02-May-2018_14:27:23 Exp 7303 28 male R 1 1 15 immoralOther immoralOther match m n 0 0.9173 
02-May-2018_14:27:25 Exp 7303 28 male R 1 1 16 immoralSelf moralSelf mismatch n m 0 0.6835 
02-May-2018_14:27:27 Exp 7303 28 male R 1 1 17 moralSelf immoralSelf mismatch n m 0 0.4930 
02-May-2018_14:27:29 Exp 7303 28 male R 1 1 18 moralSelf moralSelf match m m 1 0.5227 
02-May-2018_14:27:31 Exp 7303 28 male R 1 1 19 immoralSelf immoralSelf match m n 0 0.7209 
02-May-2018_14:27:33 Exp 7303 28 male R 1 1 20 moralOther moralOther match m m 1 0.6392 
02-May-2018_14:27:35 Exp 7303 28 male R 1 1 21 immoralOther moralOther mismatch n n 1 0.6637 
02-May-2018_14:27:37 Exp 7303 28 male R 1 1 22 moralSelf moralSelf match m m 1 0.6088 
02-May-2018_14:27:39 Exp 7303 28 male R 1 1 23 immoralOther immoralOther match m n 0 0.5807 
02-May-2018_14:27:41 Exp 7303 28 male R 1 1 24 immoralOther moralOther mismatch n n 1 0.7360 
02-May-2018_14:27:43 Exp 7303 28 male R 1 2 1 moralSelf moralSelf match m m 1 0.6104 
02-May-2018_14:27:45 Exp 7303 28 male R 1 2 2 moralSelf immoralSelf mismatch n n 1 0.6665 
02-May-2018_14:27:47 Exp 7303 28 male R 1 2 3 immoralOther immoralOther match m m 1 0.6515 
02-May-2018_14:27:49 Exp 7303 28 male R 1 2 4 immoralOther immoralSelf mismatch n m 0 0.6243 
02-May-2018_14:27:51 Exp 7303 28 male R 1 2 5 immoralSelf immoralOther mismatch n n 1 0.8286 
02-May-2018_14:27:53 Exp 7303 28 male R 1 2 6 immoralOther immoralOther match m m 1 0.7210 
02-May-2018_14:27:55 Exp 7303 28 male R 1 2 7 moralSelf moralSelf match m m 1 0.6552 
02-May-2018_14:27:58 Exp 7303 28 male R 1 2 8 moralOther moralOther match m n 0 0.6440 
02-May-2018_14:28:00 Exp 7303 28 male R 1 2 9 immoralSelf immoralOther mismatch n m 0 0.7965 
02-May-2018_14:28:02 Exp 7303 28 male R 1 2 10 moralOther moralOther match m m 1 0.6921 
02-May-2018_14:28:04 Exp 7303 28 male R 1 2 11 immoralSelf moralSelf mismatch n n 1 0.8660 
02-May-2018_14:28:06 Exp 7303 28 male R 1 2 12 moralSelf immoralSelf mismatch n m 0 0.7070 
02-May-2018_14:28:08 Exp 7303 28 male R 1 2 13 immoralSelf immoralSelf match m n 0 0.7329 
02-May-2018_14:28:10 Exp 7303 28 male R 1 2 14 moralOther immoralOther mismatch n m 0 0.6153 
02-May-2018_14:28:12 Exp 7303 28 male R 1 2 15 moralOther immoralOther mismatch n n 1 0.7513 
02-May-2018_14:28:15 Exp 7303 28 male R 1 2 16 immoralSelf immoralSelf match m m 1 0.8663 
02-May-2018_14:28:17 Exp 7303 28 male R 1 2 17 moralOther immoralOther mismatch n n 1 0.8193 
02-May-2018_14:28:19 Exp 7303 28 male R 1 2 18 moralSelf immoralOther mismatch n n 1 0.9074 
02-May-2018_14:28:21 Exp 7303 28 male R 1 2 19 moralSelf moralSelf match m m 1 0.6614 
02-May-2018_14:28:23 Exp 7303 28 male R 1 2 20 immoralOther moralOther mismatch n m 0 0.9264 
02-May-2018_14:28:26 Exp 7303 28 male R 1 2 21 immoralOther immoralOther match m m 1 0.6808 
02-May-2018_14:28:28 Exp 7303 28 male R 1 2 22 immoralSelf immoralSelf match m m 1 0.7625 
02-May-2018_14:28:30 Exp 7303 28 male R 1 2 23 immoralOther moralOther mismatch n n 1 0.8735 
02-May-2018_14:28:32 Exp 7303 28 male R 1 2 24 moralOther moralOther match m m 1 0.5428 
02-May-2018_14:28:34 Exp 7303 28 male R 1 3 1 immoralOther immoralOther match m n 0 0.6695 
02-May-2018_14:28:36 Exp 7303 28 male R 1 3 2 moralOther immoralOther mismatch n n 1 0.6271 
02-May-2018_14:28:38 Exp 7303 28 male R 1 3 3 moralSelf moralOther mismatch n n 1 0.7910 
02-May-2018_14:28:40 Exp 7303 28 male R 1 3 4 immoralSelf moralSelf mismatch n n 1 0.7107 
02-May-2018_14:28:42 Exp 7303 28 male R 1 3 5 moralOther moralOther match m m 1 0.6565 
02-May-2018_14:28:44 Exp 7303 28 male R 1 3 6 moralOther moralOther match m m 1 0.6177 
02-May-2018_14:28:47 Exp 7303 28 male R 1 3 7 immoralOther immoralSelf mismatch n n 1 0.8417 
02-May-2018_14:28:49 Exp 7303 28 male R 1 3 8 moralSelf immoralOther mismatch n n 1 0.6582 
02-May-2018_14:28:51 Exp 7303 28 male R 1 3 9 immoralOther immoralOther match m n 0 0.7074 
02-May-2018_14:28:53 Exp 7303 28 male R 1 3 10 moralSelf moralOther mismatch n n 1 0.7733 
02-May-2018_14:28:55 Exp 7303 28 male R 1 3 11 immoralSelf immoralSelf match m m 1 0.7804 
02-May-2018_14:28:57 Exp 7303 28 male R 1 3 12 moralSelf moralSelf match m m 1 0.7198 
02-May-2018_14:28:59 Exp 7303 28 male R 1 3 13 immoralSelf immoralSelf match m n 0 0.8460 
02-May-2018_14:29:01 Exp 7303 28 male R 1 3 14 immoralOther immoralSelf mismatch n n 1 0.6828 
02-May-2018_14:29:04 Exp 7303 28 male R 1 3 15 immoralSelf moralSelf mismatch n m 0 0.8843 
02-May-2018_14:29:06 Exp 7303 28 male R 1 3 16 moralOther moralOther match m m 1 0.6699 
02-May-2018_14:29:08 Exp 7303 28 male R 1 3 17 immoralSelf immoralSelf match m m 1 0.6911 
02-May-2018_14:29:10 Exp 7303 28 male R 1 3 18 moralOther moralSelf mismatch n m 0 0.6007 
02-May-2018_14:29:12 Exp 7303 28 male R 1 3 19 immoralSelf moralSelf mismatch n n 1 0.8526 
02-May-2018_14:29:14 Exp 7303 28 male R 1 3 20 immoralOther immoralSelf mismatch n n 1 0.7775 
02-May-2018_14:29:16 Exp 7303 28 male R 1 3 21 moralOther moralSelf mismatch n n 1 0.8048 
02-May-2018_14:29:18 Exp 7303 28 male R 1 3 22 moralSelf moralSelf match m m 1 0.7448 
02-May-2018_14:29:21 Exp 7303 28 male R 1 3 23 immoralOther immoralOther match m m 1 0.8394 
02-May-2018_14:29:23 Exp 7303 28 male R 1 3 24 moralSelf moralSelf match m m 1 0.5999 
02-May-2018_14:29:36 Exp 7303 28 male R 1 4 1 immoralSelf immoralSelf match m m 1 0.6555 
02-May-2018_14:29:38 Exp 7303 28 male R 1 4 2 moralOther immoralOther mismatch n n 1 0.7643 
02-May-2018_14:29:40 Exp 7303 28 male R 1 4 3 moralSelf moralOther mismatch n m 0 0.5875 
02-May-2018_14:29:42 Exp 7303 28 male R 1 4 4 moralSelf moralSelf match m m 1 0.7150 
02-May-2018_14:29:44 Exp 7303 28 male R 1 4 5 immoralOther immoralOther match m m 1 0.9692 
02-May-2018_14:29:46 Exp 7303 28 male R 1 4 6 immoralOther immoralOther match m m 1 0.5684 
02-May-2018_14:29:48 Exp 7303 28 male R 1 4 7 immoralSelf moralOther mismatch n n 1 0.6474 
02-May-2018_14:29:50 Exp 7303 28 male R 1 4 8 moralOther moralOther match m m 1 0.6923 
02-May-2018_14:29:52 Exp 7303 28 male R 1 4 9 moralOther moralOther match m m 1 0.5941 
02-May-2018_14:29:54 Exp 7303 28 male R 1 4 10 moralSelf moralSelf match m m 1 0.6497 
02-May-2018_14:29:56 Exp 7303 28 male R 1 4 11 immoralSelf moralSelf mismatch n n 1 0.8865 
02-May-2018_14:29:58 Exp 7303 28 male R 1 4 12 moralSelf moralOther mismatch n m 0 0.6240 
02-May-2018_14:30:00 Exp 7303 28 male R 1 4 13 moralOther moralSelf mismatch n m 0 0.6123 
02-May-2018_14:30:03 Exp 7303 28 male R 1 4 14 immoralOther moralSelf mismatch n n 1 0.7805 
02-May-2018_14:30:05 Exp 7303 28 male R 1 4 15 immoralOther moralOther mismatch n n 1 0.8557 
02-May-2018_14:30:07 Exp 7303 28 male R 1 4 16 immoralSelf moralOther mismatch n m 0 0.8046 
02-May-2018_14:30:09 Exp 7303 28 male R 1 4 17 moralSelf moralOther mismatch n m 0 0.6403 
02-May-2018_14:30:11 Exp 7303 28 male R 1 4 18 moralSelf moralSelf match m m 1 0.6330 
02-May-2018_14:30:13 Exp 7303 28 male R 1 4 19 immoralSelf immoralSelf match m n 0 0.6495 
02-May-2018_14:30:15 Exp 7303 28 male R 1 4 20 immoralOther moralOther mismatch n n 1 0.9023 
02-May-2018_14:30:18 Exp 7303 28 male R 1 4 21 moralOther moralOther match m m 1 1.0280 
02-May-2018_14:30:20 Exp 7303 28 male R 1 4 22 moralOther immoralSelf mismatch n m 0 0.7924 
02-May-2018_14:30:22 Exp 7303 28 male R 1 4 23 immoralOther immoralOther match m n 0 0.6560 
02-May-2018_14:30:24 Exp 7303 28 male R 1 4 24 immoralSelf immoralSelf match m n 0 0.8331 
02-May-2018_14:30:26 Exp 7303 28 male R 1 5 1 moralOther immoralSelf mismatch n n 1 0.7857 
02-May-2018_14:30:29 Exp 7303 28 male R 1 5 2 moralOther moralOther match m m 1 0.8491 
02-May-2018_14:30:31 Exp 7303 28 male R 1 5 3 immoralOther immoralOther match m m 1 0.7980 
02-May-2018_14:30:33 Exp 7303 28 male R 1 5 4 moralSelf moralSelf match m m 1 0.6420 
02-May-2018_14:30:35 Exp 7303 28 male R 1 5 5 immoralSelf immoralSelf match m m 1 0.7224 
02-May-2018_14:30:37 Exp 7303 28 male R 1 5 6 moralOther moralOther match m m 1 0.5847 
02-May-2018_14:30:39 Exp 7303 28 male R 1 5 7 immoralOther immoralSelf mismatch n m 0 0.7880 
02-May-2018_14:30:41 Exp 7303 28 male R 1 5 8 immoralOther immoralOther match m m 1 0.8436 
02-May-2018_14:30:43 Exp 7303 28 male R 1 5 9 immoralOther moralSelf mismatch n n 1 0.7082 
02-May-2018_14:30:45 Exp 7303 28 male R 1 5 10 moralSelf immoralSelf mismatch n m 0 0.5741 
02-May-2018_14:30:48 Exp 7303 28 male R 1 5 11 moralOther immoralOther mismatch n n 1 0.7936 
02-May-2018_14:30:50 Exp 7303 28 male R 1 5 12 immoralOther moralSelf mismatch n n 1 0.8092 
02-May-2018_14:30:52 Exp 7303 28 male R 1 5 13 immoralSelf moralOther mismatch n n 1 0.6653 
02-May-2018_14:30:54 Exp 7303 28 male R 1 5 14 moralSelf immoralOther mismatch n n 1 0.7783 
02-May-2018_14:30:56 Exp 7303 28 male R 1 5 15 immoralSelf immoralSelf match m m 1 0.7577 
