Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
02-Jun-2018_13:40:26 prac 73370 18 female R 1 1 1 moralSelf moralOther mismatch m NA -1 1.0841 
02-Jun-2018_13:40:29 prac 73370 18 female R 1 1 2 moralSelf moralSelf match n NA -1 1.0841 
02-Jun-2018_13:40:31 prac 73370 18 female R 1 1 3 moralSelf immoralSelf mismatch m NA -1 1.0841 
02-Jun-2018_13:40:34 prac 73370 18 female R 1 1 4 moralOther immoralSelf mismatch m NA -1 1.0841 
02-Jun-2018_13:40:37 prac 73370 18 female R 1 1 5 moralOther moralOther match n NA -1 1.0841 
02-Jun-2018_13:40:39 prac 73370 18 female R 1 1 6 immoralOther moralSelf mismatch m m 1 0.6846 
02-Jun-2018_13:40:42 prac 73370 18 female R 1 1 7 immoralOther immoralOther match n m 0 0.9391 
02-Jun-2018_13:40:45 prac 73370 18 female R 1 1 8 immoralOther moralOther mismatch m NA -1 1.0841 
02-Jun-2018_13:40:47 prac 73370 18 female R 1 1 9 immoralOther immoralSelf mismatch m m 1 0.9692 
02-Jun-2018_13:40:50 prac 73370 18 female R 1 1 10 immoralSelf immoralSelf match n n 1 1.0292 
02-Jun-2018_13:40:53 prac 73370 18 female R 1 1 11 moralOther immoralOther mismatch m NA -1 1.0841 
02-Jun-2018_13:40:55 prac 73370 18 female R 1 1 12 immoralSelf immoralSelf match n m 0 0.8052 
02-Jun-2018_13:40:58 prac 73370 18 female R 1 1 13 moralOther immoralOther mismatch m NA -1 1.0841 
02-Jun-2018_13:41:00 prac 73370 18 female R 1 1 14 immoralSelf moralSelf mismatch m NA -1 1.0842 
02-Jun-2018_13:41:03 prac 73370 18 female R 1 1 15 moralOther moralOther match n NA -1 1.0841 
02-Jun-2018_13:41:06 prac 73370 18 female R 1 1 16 moralSelf moralSelf match n n 1 1.0454 
02-Jun-2018_13:41:08 prac 73370 18 female R 1 1 17 moralSelf moralSelf match n n 1 0.6713 
02-Jun-2018_13:41:11 prac 73370 18 female R 1 1 18 moralOther moralOther match n n 1 1.0614 
02-Jun-2018_13:41:13 prac 73370 18 female R 1 1 19 immoralOther immoralOther match n n 1 1.0074 
02-Jun-2018_13:41:16 prac 73370 18 female R 1 1 20 immoralSelf immoralOther mismatch m n 0 1.0332 
02-Jun-2018_13:41:19 prac 73370 18 female R 1 1 21 moralSelf moralOther mismatch m NA -1 1.0841 
02-Jun-2018_13:41:22 prac 73370 18 female R 1 1 22 immoralSelf moralSelf mismatch m NA -1 1.0841 
02-Jun-2018_13:41:24 prac 73370 18 female R 1 1 23 immoralSelf immoralSelf match n m 0 0.7627 
02-Jun-2018_13:41:27 prac 73370 18 female R 1 1 24 immoralOther immoralOther match n n 1 0.9227 
02-Jun-2018_13:41:29 prac 73370 18 female R 1 2 1 moralSelf moralOther mismatch m NA -1 1.0841 
02-Jun-2018_13:41:31 prac 73370 18 female R 1 2 2 moralSelf moralSelf match n n 1 0.5249 
02-Jun-2018_13:41:34 prac 73370 18 female R 1 2 3 immoralSelf immoralSelf match n n 1 0.7851 
02-Jun-2018_13:41:36 prac 73370 18 female R 1 2 4 moralOther immoralOther mismatch m m 1 0.9647 
02-Jun-2018_13:41:39 prac 73370 18 female R 1 2 5 immoralSelf immoralOther mismatch m m 1 1.0527 
02-Jun-2018_13:41:42 prac 73370 18 female R 1 2 6 immoralSelf moralOther mismatch m NA -1 1.0841 
02-Jun-2018_13:41:44 prac 73370 18 female R 1 2 7 immoralOther immoralOther match n m 0 0.8740 
02-Jun-2018_13:41:47 prac 73370 18 female R 1 2 8 immoralOther immoralOther match n n 1 0.9033 
02-Jun-2018_13:41:49 prac 73370 18 female R 1 2 9 immoralOther moralOther mismatch m m 1 0.7901 
02-Jun-2018_13:41:52 prac 73370 18 female R 1 2 10 moralSelf moralSelf match n n 1 1.0707 
02-Jun-2018_13:41:55 prac 73370 18 female R 1 2 11 moralOther moralOther match n NA -1 1.0841 
02-Jun-2018_13:41:57 prac 73370 18 female R 1 2 12 moralSelf moralOther mismatch m m 1 0.7993 
02-Jun-2018_13:42:00 prac 73370 18 female R 1 2 13 moralSelf moralSelf match n n 1 0.8841 
02-Jun-2018_13:42:02 prac 73370 18 female R 1 2 14 immoralOther immoralOther match n NA -1 1.0841 
02-Jun-2018_13:42:05 prac 73370 18 female R 1 2 15 immoralSelf immoralSelf match n n 1 1.0251 
02-Jun-2018_13:42:08 prac 73370 18 female R 1 2 16 moralSelf immoralOther mismatch m NA -1 1.0841 
