Subject,trials,OtherimMoral_dprime,SelfimMoral_dprime,OtherMoral_dprime,SelfMoral_dprime
7302,174,2.48,NA,NA,1.833
7302,176,NA,2.157,NA,NA
7302,180,NA,NA,2.97,NA
7303,90,1.922,1.288,NA,1.736
7303,89,NA,NA,1.585,NA
7304,138,0.966,NA,NA,NA
7304,146,NA,1.539,NA,NA
7304,143,NA,NA,1.213,NA
7304,149,NA,NA,NA,2.622
7305,146,2.869,NA,2.247,NA
7305,143,NA,1.736,NA,NA
7305,147,NA,NA,NA,2.126
7306,143,2.971,NA,NA,NA
7306,147,NA,2.357,NA,NA
7306,148,NA,NA,3.131,2.027
7307,144,1.793,NA,NA,NA
7307,146,NA,2.559,NA,NA
7307,150,NA,NA,1.752,NA
7307,147,NA,NA,NA,2.282
7308,149,2.966,NA,NA,NA
7308,141,NA,1.713,NA,NA
7308,147,NA,NA,2.065,NA
7308,150,NA,NA,NA,2.712
7309,150,1.726,0.79,NA,NA
7309,148,NA,NA,0.952,NA
7309,149,NA,NA,NA,2.053
7310,150,3.276,2.973,NA,2.773
7310,148,NA,NA,3.356,NA
7311,149,1.376,NA,NA,NA
7311,150,NA,2.773,2.196,1.08
7312,135,1.758,NA,NA,NA
7312,145,NA,2.701,NA,NA
7312,141,NA,NA,1.945,NA
7312,149,NA,NA,NA,3.03
7313,138,1.624,NA,NA,NA
7313,142,NA,0.192,NA,NA
7313,143,NA,NA,1.135,NA
7313,145,NA,NA,NA,0.971
7314,147,2.124,NA,3.103,NA
7314,146,NA,2.21,NA,NA
7314,145,NA,NA,NA,2.251
7315,141,1.87,NA,NA,NA
7315,149,NA,2.231,NA,NA
7315,139,NA,NA,2.525,NA
7315,147,NA,NA,NA,3.012
7316,148,2.043,1.895,NA,NA
7316,150,NA,NA,1.871,NA
7316,149,NA,NA,NA,3.421
7317,144,2.803,NA,NA,NA
7317,135,NA,1.291,0.609,NA
7317,141,NA,NA,NA,1.939
7318,148,2.153,NA,1.945,NA
7318,146,NA,1.612,NA,NA
7318,147,NA,NA,NA,2.343
7319,148,2.272,NA,NA,NA
7319,149,NA,1.997,NA,NA
7319,150,NA,NA,2.661,3.524
7321,148,2.541,NA,NA,NA
7321,145,NA,1.32,NA,NA
7321,149,NA,NA,2.584,NA
7321,147,NA,NA,NA,2.296
7322,140,0.547,NA,NA,NA
7322,149,NA,1.52,NA,NA
7322,147,NA,NA,2.126,NA
7322,143,NA,NA,NA,1.359
7323,149,3.893,NA,2.235,NA
7323,147,NA,2.14,NA,NA
7323,146,NA,NA,NA,2.68
7324,138,1.964,NA,NA,NA
7324,136,NA,2.054,NA,NA
7324,139,NA,NA,1.747,NA
7324,142,NA,NA,NA,2.125
7325,150,2.293,NA,1.999,NA
7325,149,NA,2.053,NA,2.118
7326,143,2.532,NA,NA,1.992
7326,145,NA,2.083,NA,NA
7326,142,NA,NA,2.691,NA
7327,149,3.081,2.923,NA,NA
7327,146,NA,NA,2.798,NA
7327,148,NA,NA,NA,2.606
7328,143,1.836,NA,NA,NA
7328,146,NA,2.555,1.674,NA
7328,147,NA,NA,NA,3.609
7329,147,2.048,NA,1.116,NA
7329,146,NA,0.764,NA,NA
7329,149,NA,NA,NA,2.065
7331,145,1.843,NA,2.383,NA
7331,142,NA,1.263,NA,NA
7331,148,NA,NA,NA,3.924
7332,145,1.826,NA,NA,2.547
7332,144,NA,1.815,NA,NA
7332,143,NA,NA,1.409,NA
7333,147,2.435,2.318,NA,NA
7333,145,NA,NA,2.083,NA
7333,146,NA,NA,NA,2.402
7334,141,1.728,NA,NA,NA
7334,145,NA,1.921,NA,NA
7334,143,NA,NA,3.031,NA
7334,148,NA,NA,NA,1.967
7335,146,2.181,NA,NA,2.011
7335,137,NA,1.162,1.524,NA
7336,148,2.596,NA,NA,NA
7336,150,NA,2.151,NA,NA
7336,147,NA,NA,1.722,NA
7336,149,NA,NA,NA,2.391
7337,147,3.188,NA,2.166,NA
7337,143,NA,2.694,NA,NA
7337,146,NA,NA,NA,1.917
7338,148,2.836,NA,NA,NA
7338,144,NA,2.47,NA,NA
7338,149,NA,NA,3.614,NA
7338,145,NA,NA,NA,2.394
7339,149,2.865,NA,NA,NA
7339,148,NA,2.491,NA,NA
7339,146,NA,NA,2.428,NA
7339,147,NA,NA,NA,3.031
7340,143,1.6,1.606,NA,NA
7340,139,NA,NA,2.169,NA
7340,148,NA,NA,NA,2.734
7341,149,2.326,NA,NA,3.013
7341,147,NA,1.969,NA,NA
7341,148,NA,NA,2.47,NA
7342,147,1.599,NA,NA,NA
7342,142,NA,1.015,NA,NA
7342,148,NA,NA,2.496,1.288
7343,147,1.734,NA,1.202,NA
7343,148,NA,1.765,NA,NA
7343,146,NA,NA,NA,1.659
7344,147,1.611,NA,NA,NA
7344,149,NA,2.923,NA,2.925
7344,148,NA,NA,2.382,NA
7345,147,2.726,NA,1.567,NA
7345,148,NA,1.925,NA,NA
7345,143,NA,NA,NA,2.739
73370,140,2.209,NA,NA,NA
73370,141,NA,2.477,NA,NA
73370,129,NA,NA,0.555,NA
73370,147,NA,NA,NA,3.917
