Subject,Other_immoral_dprime,Self_immoral_dprime,Other_moral_dprime,Self_moral_dprime
7302,2.48,2.157,2.97,1.833
7303,1.922,1.288,1.585,1.736
7304,0.966,1.539,1.213,2.622
7305,2.869,1.736,2.247,2.126
7306,2.971,2.357,3.131,2.027
7307,1.793,2.559,1.752,2.282
7308,2.966,1.713,2.065,2.712
7309,1.726,0.79,0.952,2.053
7310,3.276,2.973,3.356,2.773
7311,1.376,2.773,2.196,1.08
7312,1.758,2.701,1.945,3.03
7313,1.624,0.192,1.135,0.971
7314,2.124,2.21,3.103,2.251
7315,1.87,2.231,2.525,3.012
7316,2.043,1.895,1.871,3.421
7317,2.803,1.291,0.609,1.939
7318,2.153,1.612,1.945,2.343
7319,2.272,1.997,2.661,3.524
7321,2.541,1.32,2.584,2.296
7322,0.547,1.52,2.126,1.359
7323,3.893,2.14,2.235,2.68
7324,1.964,2.054,1.747,2.125
7325,2.293,2.053,1.999,2.118
7326,2.532,2.083,2.691,1.992
7327,3.081,2.923,2.798,2.606
7328,1.836,2.555,1.674,3.609
7329,2.048,0.764,1.116,2.065
7331,1.843,1.263,2.383,3.924
7332,1.826,1.815,1.409,2.547
7333,2.435,2.318,2.083,2.402
7334,1.728,1.921,3.031,1.967
7335,2.181,1.162,1.524,2.011
7336,2.596,2.151,1.722,2.391
7337,3.188,2.694,2.166,1.917
7338,2.836,2.47,3.614,2.394
7339,2.865,2.491,2.428,3.031
7340,1.6,1.606,2.169,2.734
7341,2.326,1.969,2.47,3.013
7342,1.599,1.015,2.496,1.288
7343,1.734,1.765,1.202,1.659
7344,1.611,2.923,2.382,2.925
7345,2.726,1.925,1.567,2.739
73370,2.209,2.477,0.555,3.917
