age,ALEX1,ALEX2,ALEX3,ALEX4,ALEX5,ALEX6,ALEX7,ALEX8,ALEX9,ALEX10,ALEX11,ALEX12,ALEX13,ALEX14,ALEX15,ALEX16,anxiety,artgluctot,attachhome,attachphone,AvgHumidity,avoidance,cigs,DIDF,eatdrink,ECR1,ECR2,ECR3,ECR4,ECR5,ECR6,ECR7,ECR8,ECR9,ECR10,ECR11,ECR12,ECR13,ECR14,ECR15,ECR16,ECR17,ECR18,ECR19,ECR20,ECR21,ECR22,ECR23,ECR24,ECR25,ECR26,ECR27,ECR28,ECR29,ECR30,ECR31,ECR32,ECR33,ECR34,ECR35,ECR36,endtime,EOT,exercise,gluctot,health,HOME1,HOME2,HOME3,HOME4,HOME5,HOME6,HOME7,HOME8,HOME9,KAMF1,KAMF2,KAMF3,KAMF4,KAMF5,KAMF6,KAMF7,networksize,nostalgia,onlineid,onlineid1,onlineid2,onlineid3,onlineid4,onlineid5,onlineid6,onlineid7,onlineid8,onlineid9,onlineid10,onlineide11,phone1,phone2,phone3,phone4,phone5,phone6,phone7,phone8,phone9,romantic,scontrol1,scontrol2,scontrol3,scontrol4,scontrol5,scontrol6,scontrol7,scontrol8,scontrol9,scontrol10,scontrol11,scontrol12,scontrol13,selfcontrol,sex,smoke,SNI1,SNI2,SNI3,SNI4,SNI5,SNI6,SNI7,SNI8,SNI9,SNI10,SNI11,SNI12,SNI13,SNI14,SNI15,SNI16,SNI17,SNI18,SNI19,SNI20,SNI21,SNI22,SNI23,SNI24,SNI25,SNI26,SNI27,SNI28,SNI29,SNI30,SNI31,SNI32,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS7,socialdiversity,socialembedded,STRAQ_1,STRAQ_2,STRAQ_3,STRAQ_4,STRAQ_6,STRAQ_7,STRAQ_8,STRAQ_9,STRAQ_10,STRAQ_11,STRAQ_12,STRAQ_19,STRAQ_20,STRAQ_21,STRAQ_22,STRAQ_23,STRAQ_24,STRAQ_25,STRAQ_26,STRAQ_27,STRAQ_28,STRAQ_29,STRAQ_30,STRAQ_31,STRAQ_32,STRAQ_33,STRAQ_5,STRAQ_13,STRAQ_14,STRAQ_15,STRAQ_16,STRAQ_17,STRAQ_18,STRAQ_34,STRAQ_35,STRAQ_36,STRAQ_37,STRAQ_38,STRAQ_39,STRAQ_40,STRAQ_41,STRAQ_42,STRAQ_43,STRAQ_44,STRAQ_45,STRAQ_46,STRAQ_47,STRAQ_48,STRAQ_49,STRAQ_50,STRAQ_51,STRAQ_52,STRAQ_53,STRAQ_54,STRAQ_55,STRAQ_56,STRAQ_57,stress,stress1,stress2,stress3,stress4,stress5,stress6,stress7,stress8,stress9,stress10,stress11,stress12,stress13,stress14,Temperature_t1,Temperature_t2,thermotype,avgtemp,filter_$,mintemp,language,langfamily,Zanxiety,Zavoidance,Site
1975,1,1,1,2,2,1,2,2,4,1,1,2,4,3,4,2,3.722222222,6,3.111111111,3.444444444,89,3.277777778,15,1.636363636,1,5,5,3,5,5,3,1,6,5,2,6,3,3,2,3,3,6,1,2,2,5,3,3,2,5,5,3,2,4,2,3,3,4,5,4,2,9:23:38,3,2,0,4,4,3,4,3,3,2,4,3,2,4,4,5,4,4,1,2,17,4.333333333,2.272727273,2,2,2,4,2,2,2,2,3,2,2,4,4,2,5,2,2,4,4,4,2,2,2,2,1,1,4,2,2,5,4,3,5,4,2.846153846,1,1,2,1, ,4,4,5, ,1, ,6,3,1, ,1, ,3,2,6,1,1, ,1, , , , , , , , , , ,6,5,5,3,2,5,4,5,1,4,4,4,5,2,2,2,2,4,2,2,1,4,5,4,2,2,4,3,2,4,3,2,3,4,3,4,4,3,3,2,4,4,1,2,2,4,3,4,5,4,4,1,1,4,4,3,1,2,4,4,2,2,4,2,2,1,3.076923077,4,2,4,4,4,3,4,3,3,2,4,3,2,1,34.9,35.9,2,35.4,1,-1.666666667,5,1,0.186319648,-0.00190691,Oxford
1995,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,2,4.055555556,0,4.888888889,2,89,3, ,2.181818182,1,6,4,2,5,5,2,3,5,2,3,7,4,3,3,4,5,5,5,3,4,3,2,2,3,3,4,5,3,2,2,4,2,3,3,3,3,9:23:26,2.2,2,0,4,5,5,5,5,5,4,5,5,5,1,2,6,2,3,2,2,28,6.5,2.636363636,3,2,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,3,4,2,4,3,4,5,4,3.769230769,1,2,1,1, ,4,4,1, ,8,6,4,1,1, ,2,8,3,8,5,3,1, ,1, , , , , , , , , , ,6,7,6,7,6,7,6,7,2,2,4,3,3,3,4,5,2,5,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,2,4,3,3,4,4,4,4,4,2,3,3,3,4,2,3,4,3,2,3,3,4,4,4,3,4,4,2,2.461538462,2,3,3,3,2,2,2,2,2,3,2,4,4,2,35.8,36,2,35.9,1,-1.666666667,5,1,0.47268285,-0.249805147,Oxford
1995,4,1,1,2,4,1,4,1,1,2,1,1,2,1,1,1,1.444444444,0,1.333333333,2,89,1.611111111, ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,3,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2,3,1,1,2,8:57:08,1.2,2,12,4,1,1,4,1,1,1,1,1,1,5,6,5,4,3,1,1,24,6.833333333,2.181818182,3,4,2,4,1,1,1,3,3,1,1,1,4,1,4,1,1,1,1,4,1,2,3,3,2,4,2,4,1,3,5,4,4,4,3.153846154,1,2,1,1, ,4,4,4,4,2,2,5,5,1, ,2,8,2,1,6,1,1, ,1, , , , , , , , , , ,7,7,7,7,7,6,6,8,3,4,5,4,4,4,4,4,4,5,2,1,2,4,2,2,4,5,4,5,1,4,5,1,1,5,3,1,4,4,2,2,1,2,3,2,2,4,2,2,3,2,5,2,2,2,4,4,5,5,5,2,5,4,4,2,1,5,2.384615385,3,3,4,1,2,1,2,2,3,3,3,4,2,2,34,36.2,2,35.1,1,-1.666666667,5,1,-1.770495569,-1.489296336,Oxford
1988,2,3,4,5,3,4,2,4,4,3,2,2,4,2,4,3,4.722222222,2,3.888888889,3,89,3.944444444, ,3.272727273,2,3,6,6,5,4,4,3,3,4,4,6,5,6,5,5,5,6,5,5,5,5,4,3,4,6,3,3,4,5,3,4,5,3,2,3,4,8:55:14,3,2,0,3,5,4,5,5,4,2,2,4,4,5,4,3,1,2,2,2,19,3.5,2,1,1,2,3,2,2,2,1,2,4,2,2,4,3,2,3,2,3,4,4,1,4,2,1,1,2,1,2,3,4,3,2,2,2,2.230769231,2,2,1,1, ,4,4,5, ,1, ,5,1,1, ,1, ,3,8,4,1,1, ,2, , , , , , , , , , ,2,5,3,4,5,2,4,5,1,4,2,3,3,4,3,3,3,2,2,2,2,3,3,3,4,4,2,2,3,2,4,3,4,3,2,4,2,4,4,5,2,2,4,3,4,3,4,3,2,3,2,3,4,3,2,3,4,4,4,5,3,3,3,2,2,4,2.846153846,3,3,4,2,3,2,3,2,3,3,4,3,3,2,36.9,37,2,36.95,1,-1.666666667,5,1,1.045409255,0.593048861,Oxford
1991,2,1,1,5,2,2,3,4,1,1,2,1,2,4,4,2,2.111111111,0,4.666666667,1.777777778,89,4.944444444, ,2.181818182,1,1,1,1,1,1,5,2,1,7,1,6,1,2,1,2,1,2,2,1,7,2,5,2,4,2,6,7,6,6,6,7,2,7,6,6,7,8:54:35,2.6,2,5,4,5,5,5,5,4,5,4,4,5,1,1,3,2,2,2,1,29,1.5,1.909090909,3,2,1,4,1,1,1,1,2,2,3,2,1,1,1,1,3,2,1,4,2,3,5,5,3,5,5,5,4,4,3,4,4,4,4.153846154,1,2,2,1, ,2,2,5, ,8,5,7,3,2,8,1, ,3,1,8,1,1, ,1, , , , , , , , , , ,1,2,2,1,2,1,1,7,2,1,1,1,4,4,1,3,4,1,1,1,4,4,2,3,4,4,4,4,5,4,4,4,1,1,1,4,1,1,4,1,4,3,4,5,5,4,4,4,4,3,4,4,4,1,1,4,4,4,4,1,1,4,5,4,4,1,2.538461538,3,4,3,2,2,1,3,2,2,3,3,5,2,3,35.3,36.1,4,35.7,1,-1.666666667,5,1,-1.197769164,1.485482517,Oxford
1995,2,3,1,3,2,1,1,2,1,2,1,2,3,4,5,4,2,0,3.333333333,2.444444444,89,3.777777778, ,1.727272727,1,1,1,1,2,2,1,1,2,6,2,2,2,4,1,2,1,3,2,5,5,4,4,3,4,3,3,1,3,6,5,4,3,4,5,3,3,8:39:12,3.6,2,0,4,4,4,4,4,4,2,2,3,3,3,3,3,2,2,4,4,33,2,2.454545455,4,4,2,4,3,1,2,1,2,1,3,3,3,2,3,2,2,2,3,2,2,5,5,5,2,3,4,3,3,5,5,5,4,3,4,1,2,2,1, ,4,4,5, ,2,1,5,5,1, ,2,8,1, , ,8,1, ,2,Rowing Club,Rugby Club, , , ,7,7, , , ,1,2,3,2,2,2,2,6,4,2,4,4,4,4,3,4,3,2,4,2,4,2,4,1,5,3,3,4,4,4,3,3,2,2,3,4,3,2,2,2,2,3,2,4,4,4,4,4,2,3,4,2,2,2,4,2,2,2,4,3,2,2,2,3,2,1,2.076923077,2,2,3,2,2,2,2,2,2,2,2,4,2,2,34.7,36.4,4,35.55,1,-1.666666667,5,1,-1.293223565,0.444309918,Oxford
1996,1,1,1,1,4,1,2,1,4,2,1,2,4,3,5,5,2.555555556, ,3.111111111,3.777777778,89,6.444444444, ,1.727272727,1,2,1,4,1,4,1,2,7,1,4,2,1,2,1,1,2,6,4,7,1,6,7,7,7,7,7,7,6,6,7,7,7,6,7,7,7,8:32:08,3.8,2, ,4,5,2,4,5,2,1,5,1,3,2,2,2,2,2,2,2,53,5.833333333,2.818181818,4,4,2,2,3,2,2,2,4,2,4,3,4,5,4,1,3,5,5,4,2,2,4,2,2,1,3,2,2,4,5,3,1,2,2.538461538,2,2,2,1, ,4,4,5, ,3,2,8,8,1, ,2,8,1, , ,6,1, ,2,University Friends,Business Social,Lecturers/ Advisors,Friends from home,Neighbors,20,15,5,9,6,6,7,5,5,6,6,5, , ,2,4,2,4,5,4,5,5,4,1,2,4,2,3,2,5,2,4,4,1,5,2,2,2,5,3,2,1,1,5,1,5,1,1,2,4,2,4,5,2,2,4,2,1,1,1,4,1,1,3,5,5,1,4,3,2,4,1.538461538,1,2,1,2,2,2,1,1,2,1,2,4,2,1,36,36.3,2,36.15,1,-1.666666667,5,1,-0.815951561,2.824133,Oxford
1973,3,3,2,3,4,4,4,4,4,5,3,2,2,3,4,1,3.055555556,0,3.555555556,3.333333333,89,3.222222222,10,3.545454545,1,3,2,3,2,3,3,3,3,3,1,5,2,5,4,5,3,3,2,3,2,4,3,3,3,4,4,4,3,3,2,2,3,3,4,6,2,8:28:57,2.4,2,1,1,3,3,2,4,3,4,5,4,4,3,3,2,2,2,3,3,17,6.333333333,2.545454545,2,3,3,2,3,2,4,3,2,1,3,3,4,3,3,2,4,3,4,4,2,1,4,5,2,2,3,3,2,4,3,2,3,2,2.769230769,1,1,4,1, ,4,2,5, ,8,3,4,4,1, ,2,8,1, , ,4,2,2,2,ODAA, , , , ,1, , , , ,6,6,7,6,7,6,6,7,2,3,2,3,4,2,3,4,3,2,4,2,2,3,4,4,4,4,3,4,3,4,2,3,2,1,2,4,4,3,2,3,1,4,3,5,4,4,5,2,2,1,4,3,2,4,4,3,2,2,3,2,4,3,4,2,2,2,3,4,3,3,3,3,3,4,4,1,3,2,4,3,3,36.5,36.6,2,36.55,1,-1.666666667,5,1,-0.386406757,-0.051486557,Oxford
1996,2,3,1,3,2,2,2,2,2,2,1,2,2,4,3,2,3.555555556,0,3.333333333,1.888888889,89,4, ,2,1,4,4,4,4,4,1,4,4,4,4,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8:28:03,2.6,2,0,3,3,3,4,5,4,3,2,3,3,3,3,2,1,3,3,1,17,5.666666667,1.818181818,2,3,2,2,2,1,2,2,1,1,2,3,2,1,4,3,1,1,1,1,2,3,3,5,5,5,3,4,5,3,4,2,4,2,3.692307692,1,2,2,1, ,4,4,5, ,2,2,3,2,1, ,2,8,1, , ,1,1, ,2,Oxford Latin Speaking Society,Oxford Latin Conversation Society,Plato Reading Group, , ,2,4,1, , ,7,7,6,6,5,3,3,6,2,3,5,4,2,2,1,2,2,4,4,2,2,2,4,5,4,2,3,3,2,3,3,4,3,4,3,1,4,5,2,2,1,3,2,1,2,2,5,2,2,2,4,2,1,4,3,3,1,1,3,4,2,2,2,2,2,2,2.615384615,5,2,3,2,2,2,2,3,2,4,1,5,3,3,34.7,36.3,2,35.5,1,-1.666666667,5,1,0.043138047,0.642628508,Oxford
1996,3,3,1,2,4,1,2,4,4,1,4,1,2,3,5,4,4.388888889,0,3.222222222,4.222222222,89,5.277777778,1,2.636363636,1,5,6,6,5,4,3,5,7,3,3,6,4,4,2,1,4,7,4,5,7,5,5,6,5,6,7,7,4,4,5,3,6,5,6,5,4,8:25:57,3,2,2,3,4,5,3,3,4,2,2,3,3,4,5,1,3,2,3,2,19,5.166666667,3.909090909,5,4,5,4,3,3,4,3,3,4,5,4,4,2,4,5,4,5,5,5,2,3,4,5,1,2,1,2,4,3,2,5,3,2,2.846153846,2,1,2,1, ,4,4,5, ,6,3,8,8,1, ,2,8,1, , ,3,1, ,1, , , , , , , , , , ,7,4,5,5,5,5,4,6,3,1,4,4,4,3,3,2,4,5,5,1,2,1,4,3,4,2,2,3,4,5,3,3,3,4,3,1,5,5,4,4,4,4,2,4,4,4,1,4,4,4,4,3,2,2,3,4,2,2,4,5,4,2,4,4,2,2,3.153846154,3,4,5,4,3,1,3,4,3,3,2,4,2,4,35.9,36.3,2,36.1,1,-1.666666667,5,1,0.759046053,1.782960402,Oxford
