"","age","language","avgtemp","DEQ","ALEX1","ALEX2","ALEX3","ALEX4","ALEX5","ALEX6","ALEX7","ALEX8","ALEX9","ALEX10","ALEX11","ALEX12","ALEX13","ALEX14","ALEX15","ALEX16","ECR1","ECR2","ECR3","ECR4","ECR5","ECR6","ECR7","ECR8","ECR9","ECR10","ECR11","ECR12","ECR13","ECR14","ECR15","ECR16","ECR17","ECR18","ECR19","ECR20","ECR21","ECR22","ECR23","ECR24","ECR25","ECR26","ECR27","ECR28","ECR29","ECR30","ECR31","ECR32","ECR33","ECR34","ECR35","ECR36","HOME1","HOME2","HOME3","HOME4","HOME5","HOME6","HOME7","HOME8","HOME9","KAMF1","KAMF2","KAMF3","KAMF4","KAMF5","KAMF6","KAMF7","SNI1","SNI2","SNI3","SNI4","SNI5","SNI6","SNI7","SNI8","SNI9","SNI10","SNI11","SNI12","SNI13","SNI14","SNI15","SNI16","SNI17","SNI18","SNI19","SNI20","SNI21","SNI22","SNI23","SNI24","SNI25","SNI26","SNI27","SNI28","SNI29","SNI30","SNI31","SNI32","socialdiversity"
"1",1922,7,36.75,26.88780212,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,5,2,2,2,5,2,2,2,4,2,2,5,5,2,5,2,6,5,4,5,5,2,5,2,3,5,2,5,4,6,6,2,4,4,4,4,3,3,2,2,3,2,2,4,2,2,2,2,2,1,0,1,1,5,0,6,2,7,3,1,1,2,5,3,1,2,3,2,1,1,"ʮ      վ",NA,NA,NA,NA,3,NA,NA,NA,NA,8
"2",1940,5,35.4,51.75,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,7,1,3,1,1,1,1,1,1,4,4,4,2,1,4,4,1,1,5,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,8,4,1,NA,2,2,1,NA,8,5,2,1,1,NA,2,1,8,1,1,NA,2,"Pensioners","Men/women with foreign spouses not in UK",NA,NA,NA,25,30,NA,NA,NA,6
"3",1945,5,35.1,51.75,2,2,4,2,2,2,2,2,2,1,2,3,2,2,2,2,5,3,3,2,4,3,2,2,3,4,5,4,2,2,2,5,3,2,2,2,2,2,2,1,1,2,3,2,5,2,3,2,4,4,3,6,5,3,4,4,3,4,4,5,4,5,5,5,2,3,2,1,1,6,4,2,2,1,NA,1,NA,3,2,1,NA,1,NA,1,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"4",1948,5,35.95,51.75,3,4,1,2,4,2,3,4,2,1,2,2,2,2,4,2,1,1,1,1,2,2,2,1,7,1,1,2,1,1,1,2,4,7,1,1,1,7,7,3,2,2,6,1,1,1,1,1,1,2,1,2,5,5,5,5,5,4,3,4,4,4,4,4,4,5,1,2,1,3,3,1,NA,1,NA,4,3,1,1,2,8,1,NA,1,NA,NA,3,2,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"5",1948,2,36.08333333,42.07719421,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,4,2,2,4,2,5,6,1,1,4,2,2,5,4,1,1,2,2,5,2,2,2,2,2,1,2,2,4,1,2,2,2,1,6,5,1,5,5,5,5,5,5,3,2,4,3,4,5,5,3,3,2,1,5,4,4,1,1,1,NA,6,4,7,5,1,NA,1,NA,1,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"6",1951,1,35.6,51.65660095,1,2,1,2,1,3,4,2,4,2,2,4,4,1,1,1,1,2,1,1,1,3,1,1,1,2,1,6,5,1,1,1,2,1,1,2,7,2,1,1,1,2,2,2,6,2,2,1,7,6,3,5,5,5,5,4,2,5,4,5,4,4,7,6,1,6,3,7,1,3,3,1,NA,1,NA,7,2,7,2,2,1,1,NA,1,NA,NA,2,2,8,2,"Telefonseelsorge","Seniorenheim",NA,NA,NA,7,2,NA,NA,NA,7
"7",1952,5,35.4,51.75,2,2,2,4,2,2,2,3,2,2,2,2,2,3,3,2,3,5,4,5,6,5,5,2,5,4,5,3,3,3,4,4,3,2,3,2,4,2,3,2,2,3,2,2,3,3,2,2,3,3,3,5,4,3,4,4,3,4,5,4,4,4,4,2,3,2,2,2,5,2,2,1,NA,1,NA,1,NA,3,1,1,NA,1,NA,1,NA,NA,2,1,NA,2,"badminton","bridge 1","bridge 2","bridge 3","badminton 2",12,5,6,1,4,4
"8",1952,5,35.8,51.75,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,5,5,5,2,4,2,3,5,5,2,6,3,4,2,3,4,4,2,2,3,5,2,4,3,3,2,5,2,2,3,2,2,5,6,2,4,5,5,5,5,5,5,3,5,5,4,6,4,4,4,3,3,4,3,3,2,2,1,NA,2,2,5,3,1,NA,1,NA,1,NA,NA,3,1,NA,2,"street band","samba band",NA,NA,NA,10,10,NA,NA,NA,5
"9",1952,5,35.85,51.75,3,3,4,3,4,4,3,3,2,3,4,2,2,2,2,2,5,5,5,5,4,5,5,5,3,4,3,4,4,5,5,4,6,5,3,3,6,5,5,3,5,4,5,4,3,3,4,3,5,5,3,4,5,3,4,5,3,5,5,5,5,5,6,4,6,3,2,1,4,2,2,1,NA,1,NA,1,NA,7,3,1,NA,2,4,2,1,7,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"10",1953,4,35.6,59.91270447,1,1,1,2,2,1,1,2,1,3,1,1,1,1,2,1,5,2,3,2,3,5,1,1,2,2,2,5,2,5,1,5,1,2,7,2,5,2,2,2,2,2,3,2,2,3,2,2,4,4,2,5,5,5,5,5,2,5,5,5,5,5,8,7,1,3,2,5,4,2,2,2,2,5,NA,3,1,2,2,1,NA,1,NA,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
