"","date","time","subject","blockcode","trialcode","trialnum","response","latency","imageName","responsetext","scene_category","correct_response","aesthetic_condition","semantic_condition","ImageID","categorization_accuracy"
"1","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",1,"36",1635,"highways_00329_top.png","J","highways","37","top","top","highways_00329",0
"2","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",2,"31",1760,"beaches_00126_top.png","S","beaches","31","top","top","beaches_00126",1
"3","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",3,"36",1000,"city_00138_top.png","J","city","36","top","top","city_00138",1
"4","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",4,"32",1822,"forests_00136_top.png","D","forests","32","top","top","forests_00136",1
"5","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",5,"33",659,"mountains_00257_top.png","F","mountains","33","top","top","mountains_00257",1
"6","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",6,"31",1568,"beaches_20081106_00066_bottom.png","S","beaches","31","bottom","bottom","beaches_20081106_00066",1
"7","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",7,"31",1406,"beaches_00265_top.png","S","beaches","31","top","top","beaches_00265",1
"8","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",8,"36",1716,"highways_00205_top.png","J","highways","37","top","top","highways_00205",0
"9","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",9,"38",8005,"offices_00484_top_inverted.png","L","offices","38","top","top_inverted","offices_00484",1
"10","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",10,"32",1563,"forests_00247_bottom.png","D","forests","32","bottom","bottom","forests_00247",1
"11","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",11,"31",1274,"beaches_00115_bottom.png","S","beaches","31","bottom","bottom","beaches_00115",1
"12","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",12,"32",1021,"forests_00119_top.png","D","forests","32","top","top","forests_00119",1
"13","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",13,"32",786,"forests_00195_top.png","D","forests","32","top","top","forests_00195",1
"14","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",14,"32",1033,"forests_00265_top.png","D","forests","32","top","top","forests_00265",1
"15","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",15,"33",1054,"mountains_00178_top.png","F","mountains","33","top","top","mountains_00178",1
"16","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",16,"36",954,"city_00219_bottom.png","J","city","36","bottom","bottom","city_00219",1
"17","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",17,"37",994,"highways_00208_top.png","K","highways","37","top","top","highways_00208",1
"18","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",18,"31",1872,"beaches_00179_top.png","S","beaches","31","top","top","beaches_00179",1
"19","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",19,"37",1923,"city_00309_bottom.png","K","city","36","bottom","bottom","city_00309",0
"20","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",20,"31",957,"beaches_00248_bottom.png","S","beaches","31","bottom","bottom","beaches_00248",1
"21","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",21,"31",1156,"beaches_20081106_00066_top.png","S","beaches","31","top","top","beaches_20081106_00066",1
"22","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",22,"33",3180,"mountains_00107_bottom.png","F","mountains","33","bottom","bottom","mountains_00107",1
"23","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",23,"37",1155,"highways_00220_bottom.png","K","highways","37","bottom","bottom","highways_00220",1
"24","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",24,"38",579,"offices_00243_top.png","L","offices","38","top","top","offices_00243",1
"25","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",25,"38",841,"offices_00282_top.png","L","offices","38","top","top","offices_00282",1
"26","2023-04-13","00:59:05","5c842b246a4b9b0014c84c30","categorize","categorize",26,"32",1294,"forests_00294_bottom.png","D","forests","32","bottom","bottom","forests_00294",1
