SubjectID;Sex;GroupName;ShareCondition ;Shares;GroupRelationship;OutgroupName;SpoilsGroupAssignment;Stage1.Contribution;Stage2.OppPot0;Stage2.OppPot6;Stage2.OppPot12;Stage2.OppPot18;ContestWonLost;SpoilsChipsWon;TotalSpoilsChips;PaidSpoilsBirr;ShowupFeeBirr
N1;male;Nyangatom;Equal;Equal;Enmity;Dassanach;7;0;0;0;6;6;lost;0;0;0;20
N2;male;Nyangatom;Equal;Equal;Enmity;Dassanach;1;6;0;0;6;6;won;6;10;20;20
N3;male;Nyangatom;Equal;Equal;Enmity;Dassanach;3;6;6;6;6;6;lost;0;0;0;20
N4;male;Nyangatom;Equal;Equal;Enmity;Dassanach;8;6;0;0;6;6;won;4;8;16;20
N5;male;Nyangatom;Equal;Equal;Enmity;Dassanach;3;0;0;0;0;6;lost;0;0;0;20
N6;male;Nyangatom;Equal;Equal;Enmity;Dassanach;5;6;6;0;6;6;won;4;8;16;20
N7;male;Nyangatom;Equal;Equal;Enmity;Dassanach;7;6;6;0;6;6;lost;0;0;0;20
N8;male;Nyangatom;Equal;Equal;Enmity;Dassanach;2;6;6;6;6;6;won;8;12;24;20
N9;male;Nyangatom;Equal;Equal;Enmity;Dassanach;7;6;0;0;6;6;lost;0;0;0;20
N10;male;Nyangatom;Equal;Equal;Enmity;Dassanach;2;6;0;0;6;6;won;8;12;24;20
N11;male;Nyangatom;Equal;Equal;Enmity;Dassanach;6;6;0;0;6;6;won;4;8;16;20
N12;male;Nyangatom;Equal;Equal;Enmity;Dassanach;4;0;0;0;0;0;lost;0;0;0;20
N13;male;Nyangatom;Equal;Equal;Enmity;Dassanach;5;6;0;0;6;6;won;4;8;16;20
N14;male;Nyangatom;Equal;Equal;Enmity;Dassanach;8;6;0;0;6;6;won;4;8;16;20
N15;male;Nyangatom;Equal;Equal;Enmity;Dassanach;2;6;0;0;6;6;won;8;12;24;20
N16;male;Nyangatom;Equal;Equal;Enmity;Dassanach;5;0;0;0;6;6;won;4;14;28;20
N17;male;Nyangatom;Equal;Equal;Enmity;Dassanach;6;6;6;0;6;6;won;4;8;16;20
N18;male;Nyangatom;Equal;Equal;Enmity;Dassanach;4;6;6;6;6;6;lost;0;0;0;20
N19;male;Nyangatom;Equal;Equal;Enmity;Dassanach;6;6;0;6;6;6;won;4;8;16;20
N20;male;Nyangatom;Equal;Equal;Enmity;Dassanach;1;6;0;0;6;6;won;6;10;20;20
N21;male;Nyangatom;Equal;Equal;Enmity;Dassanach;4;6;0;0;6;6;lost;0;0;0;20
N22;male;Nyangatom;Equal;Equal;Enmity;Dassanach;8;6;0;6;0;6;won;4;8;16;20
N23;male;Nyangatom;Equal;Equal;Enmity;Dassanach;1;6;0;0;6;6;won;6;10;20;20
N24;male;Nyangatom;Equal;Equal;Enmity;Dassanach;3;0;0;0;6;6;lost;0;0;0;20
N25;male;Nyangatom;Equal;Equal;Neutral;Highlanders;3;6;0;0;6;6;won;10;14;28;20
N26;male;Nyangatom;Equal;Equal;Neutral;Highlanders;6;0;0;0;6;0;lost;0;10;20;20
