Participant,Months,Gender,Condition,Obstacle,Task,Outcome,Looking,TaskOrder,Habituated
P01,11.23013446,f,1,yes,Inefficient,Unexpected,18.39224902,1,0
P01,11.23013446,f,1,yes,Inefficient,Expected,21.44848551,1,0
P01,11.49314528,f,4,no,Efficient,Unexpected,9.086885091,6,0
P01,11.49314528,f,4,no,Efficient,Expected,12.64622677,6,0
P02,11.26301082,m,1,yes,Efficient,Unexpected,30.56036081,1,1
P02,11.26301082,m,1,yes,Efficient,Expected,19.50562538,1,1
P02,11.29588717,m,4,no,Inefficient,Unexpected,14.12820482,2,0
P02,11.29588717,m,4,no,Inefficient,Expected,13.26426464,2,0
P03e,11.26301082,m,2,yes,Inefficient,Unexpected,5.991114083,4,0
P03e,11.26301082,m,2,yes,Inefficient,Expected,6.424672792,4,0
P03e,11.32876352,m,3,no,Efficient,Unexpected,16.88643679,6,1
P03e,11.32876352,m,3,no,Efficient,Expected,13.81512879,6,1
P04,10.72327974,f,3,no,Inefficient,Unexpected,23.28766173,1,0
P04,10.72327974,f,3,no,Inefficient,Expected,13.01145448,1,0
P04,11.09862906,f,2,yes,Efficient,Unexpected,18.85464266,5,1
P04,11.09862906,f,2,yes,Efficient,Expected,7.551044712,5,1
P05,10.7561561,f,4,no,Efficient,Unexpected,3.978141438,2,1
P05,10.7561561,f,4,no,Efficient,Expected,7.027462145,2,1
P05,11.23013446,f,1,yes,Inefficient,Unexpected,12.55545708,6,0
P05,11.23013446,f,1,yes,Inefficient,Expected,25.1630324,6,0
P06,11.36163987,f,4,no,Inefficient,Unexpected,15.53124146,4,0
P06,11.36163987,f,4,no,Inefficient,Expected,13.44529056,4,0
P06,11.49314528,f,1,yes,Efficient,Unexpected,7.481662878,6,0
P06,11.49314528,f,1,yes,Efficient,Expected,13.75180465,6,0
P06c,11.09862906,f,4,no,Inefficient,Unexpected,12.43093816,4,0
P06c,11.09862906,f,4,no,Inefficient,Expected,4.446261099,4,0
P06c,11.16438176,f,1,yes,Efficient,Unexpected,6.667969898,6,0
P06c,11.16438176,f,1,yes,Efficient,Expected,3.271804197,6,0
P07c,10.8219088,m,3,no,Efficient,Unexpected,15.77312705,4,0
P07c,10.8219088,m,3,no,Efficient,Expected,6.761134534,4,0
P07c,10.88766151,m,2,yes,Inefficient,Unexpected,6.750955638,6,0
P07c,10.88766151,m,2,yes,Inefficient,Expected,4.089089014,6,0
P08,11.16438176,f,2,yes,Efficient,Unexpected,11.80711177,3,0
P08,11.16438176,f,2,yes,Efficient,Expected,6.099912602,3,0
P08,11.23013446,f,3,no,Inefficient,Unexpected,6.013463255,5,0
P08,11.23013446,f,3,no,Inefficient,Expected,4.431426848,5,0
P08b,10.85478515,m,2,yes,Efficient,Unexpected,4.898416216,3,1
P08b,10.85478515,m,2,yes,Efficient,Expected,3.948468103,3,1
P08b,10.92053786,m,3,no,Inefficient,Unexpected,1.637513056,5,0
P08b,10.92053786,m,3,no,Inefficient,Expected,2.401549976,5,0
P08c,10.62465069,m,2,yes,Efficient,Unexpected,4.6366855,3,1
P08c,10.62465069,m,2,yes,Efficient,Expected,3.009511625,3,1
P08c,10.69040339,m,3,no,Inefficient,Unexpected,3.321039542,5,1
P08c,10.69040339,m,3,no,Inefficient,Expected,7.182050917,5,1
P08d,11.03287635,f,2,yes,Efficient,Unexpected,4.744268959,3,0
P08d,11.03287635,f,2,yes,Efficient,Expected,9.138324,3,0
P08d,11.09862906,f,3,no,Inefficient,Unexpected,5.485779125,5,1
P08d,11.09862906,f,3,no,Inefficient,Expected,4.607711625,5,1
P08e,10.72327974,m,2,yes,Efficient,Unexpected,6.934866465,3,0
P08e,10.72327974,m,2,yes,Efficient,Expected,2.18029008,3,0
P08e,10.78903245,m,3,no,Inefficient,Unexpected,4.174914033,5,0
P08e,10.78903245,m,3,no,Inefficient,Expected,7.374470779,5,0
