Participant,Months,Gender,Condition,Order,Object_Preferred,Side,Outcome,Looking,TaskOrder,Habituated
P03,10.72327974,m,5,2,green,left,Unexpected,16.45852667,1,1
P03,10.72327974,m,5,1,green,left,Expected,14.36812166,1,1
P04,10.88766151,f,7,2,green,right,Unexpected,4.249047967,4,1
P04,10.88766151,f,7,1,green,right,Expected,8.496139772,4,1
P09,11.16438176,m,1,2,blue,left,Unexpected,5.683462872,6,0
P09,11.16438176,m,1,1,blue,left,Expected,9.975886388,6,0
P11,11.26301082,m,5,2,green,left,Unexpected,5.128495901,5,1
P11,11.26301082,m,5,1,green,left,Expected,5.485389746,5,1
P12,11.32876352,f,7,2,green,right,Unexpected,25.28323503,4,1
P12,11.32876352,f,7,1,green,right,Expected,5.759862687,4,1
P14,11.0657527,m,3,2,blue,right,Unexpected,13.67607564,4,1
P14,11.0657527,m,3,1,blue,right,Expected,2.754888247,4,1
P17,11,f,1,2,blue,left,Unexpected,6.309091824,3,0
P17,11,f,1,1,blue,left,Expected,7.562311559,3,0
P19,11.09862906,f,5,2,green,left,Unexpected,9.491345255,2,0
P19,11.09862906,f,5,1,green,left,Expected,4.321335583,2,0
P20,11.46026893,f,7,2,green,right,Unexpected,8.727413345,6,1
P20,11.46026893,f,7,1,green,right,Expected,2.570308674,6,1
P22,10.85478515,f,3,2,blue,right,Unexpected,9.140491575,1,0
P22,10.85478515,f,3,1,blue,right,Expected,7.08768372,1,0
P25,10.92053786,f,1,2,blue,left,Unexpected,18.51815751,3,1
P25,10.92053786,f,1,1,blue,left,Expected,10.72501505,3,1
P27,10.59177434,f,5,2,green,left,Unexpected,11.6285605,1,0
P27,10.59177434,f,5,1,green,left,Expected,15.72243808,1,0
P28,11.19725811,m,7,2,green,right,Unexpected,12.57427986,2,1
P28,11.19725811,m,7,1,green,right,Expected,7.453599924,2,1
P03b,10.59177434,f,5,2,green,left,Unexpected,9.494270778,1,0
P03b,10.59177434,f,5,1,green,left,Expected,10.31584389,1,0
P20b,11.39451622,m,7,2,green,right,Unexpected,6.610254333,6,1
P20b,11.39451622,m,7,1,green,right,Expected,19.509296,6,1
P27b,10.55889798,f,5,2,green,left,Unexpected,17.59458675,1,0
P27b,10.55889798,f,5,1,green,left,Expected,11.52200117,1,0
P03c,11.19725811,m,5,2,green,left,Unexpected,20.75792018,1,1
P03c,11.19725811,m,5,1,green,left,Expected,3.217971815,1,1
P03d,10.49314528,m,5,2,green,left,Unexpected,5.286493583,1,1
P03d,10.49314528,m,5,1,green,left,Expected,1.770033749,1,1
P03e,11.16438176,m,5,2,green,left,Unexpected,9.199239167,1,0
P03e,11.16438176,m,5,1,green,left,Expected,14.39991571,1,0
P30c,10.69040339,m,3,2,blue,right,Unexpected,3.1133455,4,0
P30c,10.69040339,m,3,1,blue,right,Expected,4.409164042,4,0
P27d,10.95341421,m,5,2,green,left,Unexpected,7.072916542,1,1
P27d,10.95341421,m,5,1,green,left,Expected,8.750066084,1,1
P20e,10.78903245,f,7,2,green,right,Unexpected,3.41043942,6,1
P20e,10.78903245,f,7,1,green,right,Expected,21.66551257,6,1
P06c,11,f,3,2,blue,right,Unexpected,6.28588128,1,0
P06c,11,f,3,1,blue,right,Expected,6.240300357,1,0
P01,11.46026893,f,2,1,blue,left,Unexpected,16.73036348,5,0
P01,11.46026893,f,2,2,blue,left,Expected,12.21585245,5,0
P02,11.49314528,m,4,1,blue,right,Unexpected,17.9047791,6,1
P02,11.49314528,m,4,2,blue,right,Expected,5.411385144,6,1
