Participant,Months,Gender,Order,Task,Outcome,Looking,TaskOrder,Habituated
P01,11.29588717,f,2,Inaccessible,Unexpected,7.601408109,3,1
P01,11.29588717,f,1,Inaccessible,Expected,19.35810742,3,1
P02,11.26301082,m,2,Efficient,Unexpected,30.56036081,1,1
P02,11.26301082,m,1,Efficient,Expected,19.50562538,1,1
P02,11.29588717,m,2,Inefficient,Unexpected,14.12820482,2,0
P02,11.29588717,m,1,Inefficient,Expected,13.26426464,2,0
P02,11.32876352,m,2,Multiagent,Unexpected,9.663566777,3,0
P02,11.32876352,m,1,Multiagent,Expected,28.87990157,3,0
P02,11.46026893,m,2,Instrumental,Unexpected,24.14596836,5,0
P02,11.46026893,m,1,Instrumental,Expected,6.949906164,5,0
P03,10.72327974,m,2,GoalDirected,Unexpected,16.45852667,1,1
P03,10.72327974,m,1,GoalDirected,Expected,14.36812166,1,1
P03,10.8219088,m,2,Instrumental,Unexpected,5.732533452,3,0
P03,10.8219088,m,1,Instrumental,Expected,17.29061909,3,0
P03,10.88766151,m,2,Inefficient,Unexpected,12.85656038,4,0
P03,10.88766151,m,1,Inefficient,Expected,7.433459226,4,0
P03,11.09862906,m,2,Multiagent,Unexpected,12.94406431,5,0
P03,11.09862906,m,1,Multiagent,Expected,9.015163406,5,0
P04,10.7561561,f,2,Inaccessible,Unexpected,6.735022464,2,0
P04,10.7561561,f,1,Inaccessible,Expected,19.06544805,2,0
P04,10.88766151,f,2,GoalDirected,Unexpected,4.249047967,4,1
P04,10.88766151,f,1,GoalDirected,Expected,8.496139772,4,1
P05,10.95341421,f,2,Multiagent,Unexpected,7.142446229,3,1
P05,10.95341421,f,1,Multiagent,Expected,10.82665958,3,1
P05,11.13150541,f,2,Inaccessible,Unexpected,6.663244802,4,0
P05,11.13150541,f,1,Inaccessible,Expected,5.201595567,4,0
P06,11.26301082,f,2,Instrumental,Unexpected,12.12652213,3,1
P06,11.26301082,f,1,Instrumental,Expected,12.4444995,3,1
P06,11.36163987,f,2,Inefficient,Unexpected,15.53124146,4,0
P06,11.36163987,f,1,Inefficient,Expected,13.44529056,4,0
P06,11.49314528,f,2,Efficient,Unexpected,7.481662878,6,0
P06,11.49314528,f,1,Efficient,Expected,13.75180465,6,0
P08,11.19725811,f,2,Inaccessible,Unexpected,1.677556775,4,0
P08,11.19725811,f,1,Inaccessible,Expected,2.012337352,4,0
P09,10.92053786,m,2,Instrumental,Unexpected,7.312127885,3,0
P09,10.92053786,m,1,Instrumental,Expected,9.078944121,3,0
P09,11.09862906,m,2,Inaccessible,Unexpected,5.873244472,4,0
P09,11.09862906,m,1,Inaccessible,Expected,13.95623511,4,0
P09,11.16438176,m,2,GoalDirected,Unexpected,5.683462872,6,0
P09,11.16438176,m,1,GoalDirected,Expected,9.975886388,6,0
P10,11.03287635,m,2,Efficient,Unexpected,2.493694475,3,0
P10,11.03287635,m,1,Efficient,Expected,3.633389665,3,0
P11,10.78903245,m,2,Inaccessible,Unexpected,16.60457919,1,0
P11,10.78903245,m,1,Inaccessible,Expected,18.27806435,1,0
P11,10.8219088,m,2,Multiagent,Unexpected,7.640059787,2,0
P11,10.8219088,m,1,Multiagent,Expected,8.753105475,2,0
P11,10.85478515,m,2,Instrumental,Unexpected,1.575704441,3,0
P11,10.85478515,m,1,Instrumental,Expected,13.15774657,3,0
P11,10.88766151,m,2,Inefficient,Unexpected,2.549748693,4,0
P11,10.88766151,m,1,Inefficient,Expected,2.356219074,4,0
P11,11.26301082,m,2,GoalDirected,Unexpected,5.128495901,5,1
P11,11.26301082,m,1,GoalDirected,Expected,5.485389746,5,1
P11,11.32876352,m,2,Efficient,Unexpected,14.51622872,6,0
P11,11.32876352,m,1,Efficient,Expected,5.145809741,6,0
P12,11.29588717,f,2,Inaccessible,Unexpected,11.37704799,3,0
P12,11.29588717,f,1,Inaccessible,Expected,8.09991147,3,0
P12,11.32876352,f,2,GoalDirected,Unexpected,25.28323503,4,1
P12,11.32876352,f,1,GoalDirected,Expected,5.759862687,4,1
P13,11.0657527,f,2,Inefficient,Unexpected,3.095358211,5,0
P13,11.0657527,f,1,Inefficient,Expected,1.662537429,5,0
P14,10.92053786,m,2,Efficient,Unexpected,22.14550615,2,1
P14,10.92053786,m,1,Efficient,Expected,5.335892845,2,1
