Participant,Age (Months),Name for Mother,Name for Father
1,6.098360656,0.136298569,-0.036534275
2,6.098360656,0.227779572,-0.066622324
3,6.196721311,0.037705825,0.009462487
4,6,0.069355153,0.036604472
5,6.163934426,0.157410955,-0.026552023
6,6.327868852,0.350044436,0.279548092
7,6.459016393,0.059177175,0.024116091
8,6.68852459,0.048242446,0.093801458
9,6.950819672,-0.049896519,0.149131293
10,6.491803279,0.089847716,0.149658457
11,6.557377049,-0.074469572,0.118728417
12,6.62295082,0.277926631,-0.033689368
13,6,-0.175013871,0.218784522
14,6.491803279,0.101910302,0.124084553
15,6.754098361,0.250964432,-0.036345527
16,6.885245902,0.001015633,0.147656275
17,6.68852459,0.049541969,0.105623043
18,6.06557377,0.102860621,-0.002418091
19,6.06557377,0.100487385,-0.003294589
20,6.229508197,0.029652017,0.072040156
