id,GENDER,trait,trait_1PP,trait_3PP_sp,trait_3PP_real
1,2,1,0.598417208,5.769231,3.153846
1,2,2,0.633928571,5.769231,3.48
1,2,3,0.314326299,4.64,6.307692
2,1,1,0.511160714,3.958333,5.166667
2,1,2,0.683644481,4.653846,4.88
2,1,3,0.353896104,4.769231,5.48
3,2,1,0.705965909,5.884615,5.269231
3,2,2,0.44724026,3.923077,4.615385
3,2,3,0.556818182,6.6,6.884615
4,1,1,0.486810065,4.692308,5.5
4,1,2,0.635957792,5.038462,5.48
4,1,3,0.624797078,4.730769,4.846154
5,2,1,0.425933442,5.64,3.769231
5,2,2,0.763798701,5.26087,5.708333
5,2,3,0.600446429,5.8,4.64
6,1,1,0.482751623,4.96,3.730769
6,1,2,0.768871753,5.36,5.16
6,1,3,0.527394481,4.416667,3.269231
7,1,1,0.49898539,4.28,1.730769
7,1,2,0.978896104,4.923077,2.538462
7,1,3,0.442167208,4.083333,6.6
8,2,1,0.716112013,5.307692,4.4
8,2,2,0.428977273,4.708333,4.153846
8,2,3,0.819602273,5.923077,5.692308
9,1,1,0.532467532,6.461538,6.230769
9,1,2,0.635957792,6.24,5.75
9,1,3,0.547686688,4.541667,6.153846
10,1,1,0.764813312,6.846154,6.615385
10,1,2,0.960633117,6.56,6.346154
10,1,3,0.753652597,3.92,4.807692
11,2,1,0.514204545,6,3.192308
11,2,2,0.737418831,5.153846,3.73913
11,2,3,0.37012987,5.307692,5.269231
12,1,1,0.639001623,6.115385,3.961538
12,1,2,0.844967532,6.52,5.730769
12,1,3,0.596387987,3.84,3.916667
13,1,1,0.037337662,3.384615,5.115385
13,1,2,0.792207792,3.12,5.153846
13,1,3,0.006899351,4.791667,4.384615
14,2,1,0.493912338,3.583333,4.92
14,2,2,0.793222403,3.538462,3.769231
14,2,3,0.279829545,5.64,7.115385
15,1,1,0.4,5.76,2.615385
15,1,2,0.85,5.541667,3.875
15,1,3,0.39,4.653846,4.346154
16,1,1,0.9,6.230769,5
16,1,2,0.87,5.76,5.307692
16,1,3,0.9,4.44,4.28
17,2,1,0.5,5.5,3.153846
17,2,2,0.91,5.375,3.875
17,2,3,0.3,5.375,5.5
18,1,1,0.7303,6.230769,4.307692
18,1,2,0.8429,6.416667,4.961538
18,1,3,0.6623,3.92,5.2
19,1,1,0.537540584,5.192308,5.961538
19,1,2,0.747564935,5.846154,5.846154
19,1,3,0.149959416,4.538462,5.384615
20,2,1,0.699878247,5.115385,5.307692
20,2,2,0.881493506,4.923077,5.615385
20,2,3,0.668425325,6.115385,5.730769
21,2,1,0.594358766,4.269231,3.5
21,2,2,0.999188312,3.923077,3.769231
21,2,3,0.86525974,6.961538,5.538462
22,2,1,0.156047078,5.423077,2
22,2,2,0.982954545,5.076923,2.538462
22,2,3,0,5.884615,5.576923
23,1,1,0.584212662,5.923077,4.423077
23,1,2,0.934253247,5.538462,4.884615
23,1,3,0.550730519,5.230769,3.807692
24,1,1,0.615665584,5.769231,6.846154
24,1,2,0.73538961,5.538462,5.923077
24,1,3,0.622767857,4.884615,5.230769
25,1,1,0.823660714,6.538462,4.576923
25,1,2,0.892654221,6.115385,5.538462
25,1,3,0.910917208,4.576923,3.769231
26,1,1,0.527394481,4.576923,5.115385
26,1,2,0.866274351,4.307692,6.384615
26,1,3,0.720170455,5.230769,4.461538
27,1,1,0.634943182,6.538462,4.769231
27,1,2,0.933238636,5.846154,4.538462
27,1,3,0.65726461,4.923077,5.5
28,1,1,0.5,5.769231,4.538462
28,1,2,0.610592532,5.884615,5.692308
28,1,3,0.502029221,4.730769,4.692308
29,2,1,0.686688312,5.538462,4.076923
29,2,2,0.81148539,6,3.692308
29,2,3,0.609577922,6.038462,6.153846
30,2,1,0.194602273,5.730769,4
30,2,2,0.983969156,6,3.846154
30,2,3,0.688717532,5.038462,6.307692
31,2,1,0.554788961,6.923077,3.230769
31,2,2,0.834821429,6.730769,3.807692
31,2,3,0.199675325,4.5,6.307692
32,2,1,0.652191558,6.230769,2.576923
32,2,2,0.542613636,5.461538,3.192308
32,2,3,0.410714286,5.307692,4.576923
33,1,1,0.68161526,4.615385,5.5
33,1,2,0.791193182,4.807692,5.846154
33,1,3,0.345779221,5.038462,5.269231
34,1,1,0.545657468,5.692308,3.769231
34,1,2,0.99512987,5.076923,6.423077
34,1,3,0.869318182,5.615385,4.730769
35,1,1,0.636972403,5.076923,5.153846
35,1,2,0.866274351,4.769231,5.615385
35,1,3,0.683644481,5.192308,5.038462
36,1,1,0.749594156,4.961538,5.461538
36,1,2,0.939326299,5.076923,6.423077
36,1,3,0.598417208,5.730769,4.538462
37,1,1,0.437094156,4.923077,3.307692
37,1,2,0.807426948,4.423077,3.961538
37,1,3,0.724228896,6.115385,6
38,1,1,0.243506494,5.033333333,4.966666667
38,1,2,0.150974026,4.866666667,5.633333333
38,1,3,0.831168831,5.3,5.166666667
39,1,1,0.487824675,6.3,2.966666667
39,1,2,0.553571429,5.5,4.2
39,1,3,0.875811688,5.2,4.633333333
40,1,1,0.308441558,6.566666667,5.333333333
40,1,2,0.454545455,5.333333333,5.6
40,1,3,0.98538961,5.4,4.533333333
41,1,1,0.663149351,6.566666667,4.633333333
41,1,2,0.357954545,5.066666667,4.8
41,1,3,0.935876623,6,5.533333333
42,2,1,0.535714286,5.766666667,3.966666667
42,2,2,0.982954545,5.4,4.333333333
42,2,3,1,5.3,5.866666667
43,1,1,0.497564935,5.733333333,3.9
43,1,2,0.67775974,5.266666667,4.166666667
43,1,3,0.48538961,5.233333333,6.033333333
44,2,1,0.568993506,5.8,5.733333333
44,2,2,0.219967532,5.3,5.933333333
44,2,3,0.989448052,5.933333333,6.933333333
45,1,1,0.75487013,6.133333333,5.133333333
45,1,2,0.486201299,6.133333333,5.5
45,1,3,0.668831169,4.966666667,5.133333333
46,2,1,0.597402597,5.766666667,4.7
46,2,2,0.693181818,5.966666667,4.033333333
46,2,3,0.982142857,5.5,7.333333333
47,1,1,0.491883117,5.9,5.166666667
