gender,ppt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2,1,1.37,1.993,1.826,1.481,2.024,1.305,1.421,1.685,2.001,1.833,2.094,2.009,1.584,1.879,1.57,1.309,1.479,2.152,2.061,1.06,1.981,1.815,2.002,1.491,1.873,1.636,2.087,2.212,1.814,1.485,1.417,1.613,2.294,1.851,1.827,2.006,2.142,2.093,1.894,2.024,1.672,2.028,2.404,1.618,1.49,1.554,1.964,1.709,2.098,2.117,1.708,1.915,2.383,2.198,1.519,1.781,2.073,2.38,1.659,1.706,1.839,1.845,1.968,1.668,1.698,1.585,2.156,1.824,1.611,1.599,1.639,2.206,1.365,1.694,1.962,1.443,1.462
1,2,1.677,1.26,1.917,1.671,1.32,1.296,1.29,1.628,1.768,1.79,2.157,1.611,1.759,1.94,1.12,1.249,2.277,1.675,1.584,2.235,1.657,1.609,1.522,1.581,1.966,1.566,1.832,1.348,2.003,1.771,2.365,2.03,1.474,1.188,1.922,2.249,1.352,1.565,1.531,2.143,1.664,1.582,1.249,1.474,1.269,1.547,1.788,1.878,1.633,1.855,1.079,1.78,1.485,2.113,2.095,1.295,1.819,1.698,1.513,1.557,1.916,1.733,1.727,1.901,1.886,1.974,1.874,2.181,1.82,2.142,1.932,1.818,2.039,1.986,2.016,1.892,1.672
2,3,1.785,2.404,1.31,2.082,1.862,1.692,1.698,1.339,2.087,2.053,1.698,1.937,1.885,1.391,2.273,1.978,1.612,2.331,2.509,1.487,1.396,1.666,2.28,1.762,2.329,1.568,2.083,2.016,1.247,1.421,1.494,1.716,1.969,1.723,1.516,1.974,1.718,1.436,2.371,2.265,1.972,1.566,2.638,1.896,2.114,0.991,1.92,2.123,2.476,2.038,1.624,1.994,2.464,2.282,1.745,1.93,2.548,2.43,1.775,1.704,2.255,1.935,2.061,1.835,2.219,1.635,2.365,1.629,1.562,1.261,1.771,2.429,1.682,1.651,2.073,1.845,1.519
1,4,1.114,1.008,2.388,0.74,1.941,1.725,1.917,2.096,0.889,1.034,1.493,2.215,0.917,1.941,1.39,0.735,1.62,1.568,2.054,1.867,2.191,1.666,2.02,1.073,1.623,0.988,1.607,1.409,2.01,2.005,1.456,1.93,1.441,0.932,1.915,1.673,1.888,1.548,1.38,1.717,1.176,2.529,1.82,2.148,0.808,1.678,1.461,1.094,1.395,1.586,1.122,1.097,0.998,1.421,1.388,1.009,1.275,1.78,1.773,1.925,1.152,1.561,1.607,1.747,2.08,1.741,2.001,1.421,1.563,1.373,2.29,2.027,1.284,1.943,1.778,1.776,1.424
2,5,1.944,2.462,1.503,2.024,1.61,1.802,1.751,1.97,2.43,1.657,2.226,2.097,2.387,2.11,1.693,1.88,2.16,2.42,2.155,0.728,1.743,1.855,1.982,2.165,1.963,1.963,1.939,2.212,1.889,1.307,1.775,1.156,2.175,2.156,1.47,1.881,1.423,1.965,1.991,1.935,1.359,1.846,2.278,1.169,2.083,1.493,1.761,2.287,1.82,2.232,1.893,2.197,2.464,2.161,1.669,2.329,2.219,2.385,1.158,1.69,1.883,1.608,1.878,1.669,1.204,1.669,1.851,1.754,1.775,1.251,1.253,1.602,1.901,1.6,1.346,1.425,1.921
1,6,2.359,2.109,1.883,2.286,1.358,0.76,1.292,1.751,2.211,1.734,2.229,1.272,1.85,2.18,1.604,1.852,2.614,2.092,1.851,2.291,1.591,1.943,1.836,2.183,1.93,1.819,1.974,1.77,2.478,1.888,2.652,1.515,1.691,1.174,1.542,1.628,1.099,1.795,1.794,2.427,2.408,1.779,1.273,1.395,1.964,1.688,1.808,2.199,2.188,2.042,1.57,1.88,1.894,2.171,1.831,1.994,2.134,2.214,1.576,1.117,2.02,2.012,2.067,1.357,1.587,1.765,1.11,1.823,2.009,1.509,1.575,1.192,2.035,2.192,0.835,1.728,2.019
1,7,2.586,1.665,2.185,2.291,1.656,1.285,1.58,2.175,2.456,1.216,2.486,1.482,1.566,2.225,1.769,1.878,2.581,1.816,1.674,2.518,1.934,2.309,1.474,2.083,1.859,1.429,1.975,1.82,2.335,2.202,2.857,2.027,1.525,1.512,1.747,1.593,1.38,1.891,1.633,2.16,2.261,1.9,1.291,2.109,2.217,2.243,1.822,1.839,1.651,2.27,1.95,2.04,1.804,1.924,2.287,2.157,2.056,1.666,1.626,2.064,2.404,2.39,2.541,1.93,2.146,2.36,2.023,2.547,2.307,2.259,2.291,2.182,2.54,2.659,2.089,2.648,2.586
2,8,1.566,1.998,1.543,1.66,1.353,0.98,1.357,1.38,1.945,2.107,1.775,1.77,1.58,1.493,1.589,1.497,1.788,1.955,2.201,1.527,1.291,1.31,1.877,1.641,1.921,1.511,1.913,1.84,1.647,1.392,1.802,1.226,1.72,1.368,1.479,2.004,1.546,1.63,2.362,2.321,1.954,1.514,2.291,1.406,1.665,1.105,1.784,1.801,2.232,1.779,1.344,1.675,2.215,1.967,1.414,1.583,2.41,2.013,1.463,1.685,1.834,1.863,1.872,1.66,2.011,1.746,1.98,1.666,1.631,1.346,1.463,2.15,1.489,1.824,1.717,1.265,1.441
1,9,2.164,1.372,2.435,1.656,1.651,0.826,1.945,1.752,2.19,1.242,2.361,1.877,1.08,2.262,1.126,1.003,2.434,1.564,1.371,1.956,2.233,1.915,1.411,1.694,1.511,1.554,1.68,1.59,2.356,1.689,2.451,1.555,1.435,1.321,1.585,1.562,1.655,1.859,1.655,1.952,1.889,1.953,1.171,1.658,1.516,1.783,1.673,1.408,1.095,1.627,1.861,1.617,1.709,1.39,1.638,1.845,1.511,1.134,1.393,2.008,1.694,2.079,2.312,1.421,1.676,2.286,1.747,2.132,1.796,2.17,2.094,1.969,2.024,2.284,1.984,1.833,2.447
1,10,1.853,1.263,1.671,1.836,2.136,1.31,1.804,1.72,1.675,0.86,2.091,1.669,1.039,2.172,1.675,1.495,2.063,1.622,1.532,2.105,1.837,2.352,1.988,1.426,1.778,1.168,1.866,1.239,2.213,1.836,1.969,2.269,1.499,1.061,1.714,1.205,1.653,1.371,1.382,1.994,1.857,2.348,1.434,2.2,1.654,1.693,1.919,1.833,1.871,2.059,1.596,1.821,1.63,2.061,2.036,1.723,1.765,2.406,1.922,1.395,2.132,2.166,2.301,1.571,2.101,2.048,1.98,2.07,1.713,1.775,2.358,2.094,1.838,2.039,1.975,2.292,2.006
