Subj,Finished,punishPolice,punishMoney,blamePerson,dichot,moralPerson,moralAction,competence,youNotice,youFine,youPolice,Gender,Age,Ethnicity.race,PolFac_1,PolFac_2,PolFac_3,scenariosDO,sceneType
1,1,7,7,7,1,5,3,3,4,5,5,1,37,4,3,3,3,prAndSn,jaywalking
2,1,4,1,7,0,6,1,5,7,1,1,1,19,7,4,4,3,prAndSn,jaywalking
3,1,2,5,7,0,6,5,4,7,1,1,1,39,7,NA,2,3,prAlone,jaywalking
4,1,7,7,7,0,3,3,3,5,3,3,2,18,7,3,3,3,prAlone,jaywalking
5,1,6,6,6,1,6,6,4,6,6,6,2,35,7,3,3,2,prAlone,jaywalking
6,1,1,1,1,0,1,1,5,3,1,1,1,28,5,6,6,3,prAlone,jaywalking
7,1,4,4,5,1,3,3,4,4,2,2,1,20,4,4,4,4,prAlone,jaywalking
8,1,6,6,6,1,3,3,4,6,5,5,2,29,4,5,7,NA,prAlone,jaywalking
9,1,6,5,4,1,6,5,7,6,5,7,1,44,4,5,5,6,prAndSn,jaywalking
10,1,3,3,7,0,3,1,2,5,4,4,2,24,4,5,5,5,prAndSn,jaywalking
11,1,5,3,5,0,2,2,4,3,2,2,2,21,4,3,5,4,prAlone,jaywalking
12,1,1,4,3,0,6,1,4,5,5,1,2,33,8,4,7,6,prAndSn,jaywalking
13,1,7,7,7,1,4,4,4,1,1,1,2,34,4,6,NA,NA,prAndSn,jaywalking
14,1,6,6,7,1,3,4,5,5,3,2,1,32,4,4,4,4,prAndSn,jaywalking
15,1,3,3,6,1,3,2,4,4,3,2,1,19,8,6,6,6,prAndSn,jaywalking
16,1,3,3,2,0,3,1,4,4,1,1,1,24,7,5,6,5,prAndSn,jaywalking
17,1,4,5,6,0,6,2,2,2,2,3,2,31,4,3,5,3,prAndSn,jaywalking
18,1,7,7,7,1,1,1,4,4,5,3,2,35,4,5,5,5,prAlone,jaywalking
19,1,2,1,7,0,1,1,6,3,1,2,2,26,4,6,6,6,prAlone,jaywalking
20,1,3,2,4,0,1,1,5,3,2,2,2,65,4,2,2,1,prAlone,jaywalking
