Subj,Condition,Type,sceneType,IPSame,duration,Finished,sheepPic,attn1,attn2,catcall_pilot,cheat_pilot,provoke_pilot,talking_pilot,crash_pilot,shoving_pilot,demand,hypothesis,self_attn1,self_attn2,Gender,sex_orientation,Age,Ethnicity.race,PolFac_1,PolFac_2,PolFac_3,Survey,MoralAction,PunishAction,Punish_police,BlameAct,Deserve,Legit1,Legit2,LegitExist,Legit3,Disobey,MoralPerson,Future1,Future2,Character,dichot,you_notice,you_fine,you_police,feel1,feel2,feel3
1,1,1,crash,0,0,1,1,1,1,2,2,2,2,8,2,1,How someone judges others on them breaking laws ,7,7,2,1,36,4,4,4,4,5,4,1,1,4,1,4,4,4,5,3,2,4,4,2,1,3,2,2,5,5,3
1,1,2,cheat,0,0,1,1,1,1,2,2,2,2,8,2,1,How someone judges others on them breaking laws ,7,7,2,1,36,4,4,4,4,5,2,5,4,5,1,4,4,7,5,2,1,3,6,1,0,2,5,2,5,1,1
1,1,2,provoke,0,0,1,1,1,1,2,2,2,2,8,2,1,How someone judges others on them breaking laws ,7,7,2,1,36,4,4,4,4,5,1,4,5,5,2,2,2,7,5,2,1,4,7,1,1,4,4,4,7,1,1
1,1,2,shoving,0,0,1,1,1,1,2,2,2,2,8,2,1,How someone judges others on them breaking laws ,7,7,2,1,36,4,4,4,4,5,1,1,1,4,1,4,4,4,6,3,2,3,7,1,1,2,2,2,6,5,3
1,1,2,talking,0,0,1,1,1,1,2,2,2,2,8,2,1,How someone judges others on them breaking laws ,7,7,2,1,36,4,4,4,4,5,4,3,3,5,3,4,5,4,5,3,2,4,7,2,0,1,2,1,4,2,2
1,2,1,catcalling,0,0,1,1,1,1,2,2,2,2,8,2,1,How someone judges others on them breaking laws ,7,7,2,1,36,4,4,4,4,5,1,4,1,7,2,4,5,1,6,2,1,3,7,1,1,3,2,2,6,1,1
3,1,1,provoke,0,0,1,1,1,1,9,2,2,1,9,2,2,How we would address instances of crimes that we don’t consider to be serious in the context of other behaviors that we find morally wrong ,7,7,2,5,22,4,7,7,7,5,1,1,1,1,1,1,1,7,4,1,4,7,2,1,0,3,5,2,5,5,5
3,1,1,shoving,0,0,1,1,1,1,9,2,2,1,9,2,2,How we would address instances of crimes that we don’t consider to be serious in the context of other behaviors that we find morally wrong ,7,7,2,5,22,4,7,7,7,5,1,1,1,1,1,1,1,7,2,2,5,6,2,1,0,2,2,2,7,7,7
3,1,2,catcalling,0,0,1,1,1,1,9,2,2,1,9,2,2,How we would address instances of crimes that we don’t consider to be serious in the context of other behaviors that we find morally wrong ,7,7,2,5,22,4,7,7,7,5,2,3,2,2,2,5,7,1,5,4,2,4,2,1,0,3,4,3,5,5,5
3,1,2,cheat,0,0,1,1,1,1,9,2,2,1,9,2,2,How we would address instances of crimes that we don’t consider to be serious in the context of other behaviors that we find morally wrong ,7,7,2,5,22,4,7,7,7,5,3,3,2,2,2,5,4,3,5,3,2,3,2,2,0,3,4,3,7,6,6
3,1,2,crash,0,0,1,1,1,1,9,2,2,1,9,2,2,How we would address instances of crimes that we don’t consider to be serious in the context of other behaviors that we find morally wrong ,7,7,2,5,22,4,7,7,7,5,3,2,2,2,1,3,3,6,7,6,2,2,2,2,0,3,3,3,7,7,7
3,2,2,talking,0,0,1,1,1,1,9,2,2,1,9,2,2,How we would address instances of crimes that we don’t consider to be serious in the context of other behaviors that we find morally wrong ,7,7,2,5,22,4,7,7,7,5,7,7,7,7,6,7,7,1,7,5,4,7,2,7,1,4,5,4,1,1,1
4,1,1,crash,0,0,1,1,1,1,1,1,1,1,1,1,2,The relative societal impacts of various crimes versus their negative impact on society,6,7,1,1,21,4,3,5,3,4,4,4,4,4,4,4,4,4,4,4,1,6,5,1,0,1,1,1,7,7,7
4,1,2,catcalling,0,0,1,1,1,1,1,1,1,1,1,1,2,The relative societal impacts of various crimes versus their negative impact on society,6,7,1,1,21,4,3,5,3,4,1,1,1,1,1,5,4,1,5,2,1,6,5,1,0,1,1,1,7,7,7
4,1,2,provoke,0,0,1,1,1,1,1,1,1,1,1,1,2,The relative societal impacts of various crimes versus their negative impact on society,6,7,1,1,21,4,3,5,3,4,2,3,3,6,2,6,4,5,5,3,2,6,6,2,1,6,3,2,5,4,6
4,1,2,talking,0,0,1,1,1,1,1,1,1,1,1,1,2,The relative societal impacts of various crimes versus their negative impact on society,6,7,1,1,21,4,3,5,3,4,5,2,1,6,2,6,6,2,5,3,1,6,5,1,0,1,1,1,7,7,7
4,2,1,cheat,0,0,1,1,1,1,1,1,1,1,1,1,2,The relative societal impacts of various crimes versus their negative impact on society,6,7,1,1,21,4,3,5,3,4,4,5,3,5,4,3,3,5,4,3,3,5,1,2,0,2,1,1,4,3,3
4,2,2,shoving,0,0,1,1,1,1,1,1,1,1,1,1,2,The relative societal impacts of various crimes versus their negative impact on society,6,7,1,1,21,4,3,5,3,4,4,5,5,6,5,5,4,4,6,5,4,6,3,4,1,6,6,5,2,2,2
5,1,1,talking,0,0,1,1,1,1,1,2,1,8,1,9,1,It's about how we perceive people through their actions,7,7,2,7,22,4,3,3,4,4,3,3,1,4,2,1,4,2,4,3,5,6,3,3,0,3,5,2,7,5,5
5,2,1,cheat,0,0,1,1,1,1,1,2,1,8,1,9,1,It's about how we perceive people through their actions,7,7,2,7,22,4,3,3,4,4,7,6,6,7,6,6,5,1,6,3,6,7,3,6,1,5,7,7,6,5,7
5,2,1,provoke,0,0,1,1,1,1,1,2,1,8,1,9,1,It's about how we perceive people through their actions,7,7,2,7,22,4,3,3,4,4,6,6,5,6,6,6,6,2,6,3,6,7,2,3,1,7,6,7,5,5,6
5,2,2,catcalling,0,0,1,1,1,1,1,2,1,8,1,9,1,It's about how we perceive people through their actions,7,7,2,7,22,4,3,3,4,4,5,5,4,5,4,6,7,1,6,1,2,2,3,3,1,7,5,3,7,5,1
5,2,2,crash,0,0,1,1,1,1,1,2,1,8,1,9,1,It's about how we perceive people through their actions,7,7,2,7,22,4,3,3,4,4,7,7,7,7,7,7,7,1,7,1,7,5,4,6,1,7,6,7,7,3,6
5,2,2,shoving,0,0,1,1,1,1,1,2,1,8,1,9,1,It's about how we perceive people through their actions,7,7,2,7,22,4,3,3,4,4,7,5,5,6,5,5,6,2,7,1,5,6,4,6,1,7,6,7,2,6,6
6,1,1,catcalling,0,0,1,1,1,1,9,1,1,1,9,1,5,Opinions  on feeling pressired how to feel ,7,7,2,1,32,4,4,3,3,5,1,2,1,1,1,1,7,1,4,7,1,3,4,1,0,1,1,1,6,6,6
6,1,1,shoving,0,0,1,1,1,1,9,1,1,1,9,1,5,Opinions  on feeling pressired how to feel ,7,7,2,1,32,4,4,3,3,5,4,1,3,1,1,2,1,7,3,5,1,5,1,1,0,3,1,1,7,7,7
6,1,1,talking,0,0,1,1,1,1,9,1,1,1,9,1,5,Opinions  on feeling pressired how to feel ,7,7,2,1,32,4,4,3,3,5,4,1,1,2,3,3,1,5,7,4,5,7,4,6,1,2,1,1,6,6,5
6,2,1,crash,0,0,1,1,1,1,9,1,1,1,9,1,5,Opinions  on feeling pressired how to feel ,7,7,2,1,32,4,4,3,3,5,4,7,7,6,7,7,6,1,7,1,6,4,6,4,1,5,7,7,7,4,4
