StartDate,ID,Gratitude,Role,Willing,Likely,PercentageAgree_1,Difficult,Awkward,Embarrased,Positive,Inconvenient,Annoyed,Pleased,Prosocial1,Comfort1,Prosocial2,Conform2,Gender,Gender_more,Year,Ethnicity,Ethniticy_more,Education,Comment
7/17/18 13:37,25,Gratitude,Helper,6,7,20,7,5,3,4,3,2,6,2,2,-1,-2,Male,,2000,White,,Grade 12 or GED (High school graduate),
7/21/18 14:26,44,Gratitude,Helper,2,0,20,7,9,4,5,5,5,8,1,2,3,-1,Female,,2000,White,,Grade 12 or GED (High school graduate),
7/25/18 12:36,113,Gratitude,Requester,0,0,70,0,0,0,3,8,2,6,2,3,1,1,Female,,2000,Hispanic,,Grade 12 or GED (High school graduate),
7/26/18 14:54,193,No gratitude,Helper,7,5,30,4,6,3,1,0,0,4,2,-2,1,-3,Male,,2000,White,,Grades 9 through 11 (Some high school),
7/17/18 12:50,15,No gratitude,Requester,4,4,50,7,3,1,5,6,3,8,1,-2,3,1,Male,,1999,Asian,,College 1 year to 3 years (Some college or technical school),
7/23/18 13:28,73,Gratitude,Requester,8,8,70,7,7,5,4,6,6,5,1,1,2,1,Male,,1999,Asian,,College 1 year to 3 years (Some college or technical school),
7/23/18 13:38,74,No gratitude,Requester,6,7,70,8,9,3,0,2,2,5,2,3,1,3,Female,,1999,White,,College 1 year to 3 years (Some college or technical school),
7/23/18 13:59,80,No gratitude,Requester,5,5,30,0,3,0,0,2,7,3,0,2,2,0,Male,,1999,Hispanic,,Grade 12 or GED (High school graduate),
7/25/18 12:08,109,No gratitude,Requester,6,4,60,7,0,3,4,7,2,6,2,-1,3,1,Male,,1999,White,,College 1 year to 3 years (Some college or technical school),
7/25/18 12:41,117,Gratitude,Helper,7,6,40,4,4,7,3,8,8,7,1,0,1,0,Male,,1999,Asian,,College 1 year to 3 years (Some college or technical school),
7/17/18 11:41,4,No gratitude,Requester,3,3,40,3,3,3,2,4,6,6,0,2,1,2,Female,,1998,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/17/18 15:29,40,Gratitude,Helper,7,7,40,5,7,3,4,6,6,5,1,-2,3,0,Female,,1998,White,,College 1 year to 3 years (Some college or technical school),
7/17/18 15:04,40,Gratitude,Helper,6,4,20,7,8,4,4,4,3,6,2,1,2,1,Male,,1998,White,,College 1 year to 3 years (Some college or technical school),
7/23/18 14:34,88,Gratitude,Requester,3,3,30,2,8,6,4,3,2,8,1,1,1,1,Female,,1998,Hispanic,,College 1 year to 3 years (Some college or technical school),
7/25/18 12:24,115,No gratitude,Requester,7,5,40,2,5,1,2,6,2,6,1,1,3,-3,Male,,1998,Asian,,College 1 year to 3 years (Some college or technical school),
7/25/18 15:38,156,Gratitude,Helper,9,9,60,2,7,7,4,6,2,8,2,2,2,0,Male,,1998,Hispanic,,College 1 year to 3 years (Some college or technical school),
7/26/18 11:41,166,No gratitude,Helper,7,7,30,2,2,2,3,2,2,8,2,-2,1,-2,Female,,1998,White,,College 1 year to 3 years (Some college or technical school),
7/26/18 13:22,176,Gratitude,Helper,6,5,40,5,6,6,3,1,1,6,2,1,2,0,Male,,1998,White,,Grade 12 or GED (High school graduate),
7/17/18 11:04,1,No gratitude,Helper,8,8,40,5,10,10,5,3,5,5,3,0,3,-1,Female,,1997,White,,College 1 year to 3 years (Some college or technical school),
7/17/18 11:49,6,No gratitude,Helper,10,9,30,6,8,3,2,3,2,3,2,3,2,1,Female,,1997,Other (please specify),Mixed,College 1 year to 3 years (Some college or technical school),
7/17/18 12:10,9,Gratitude,Requester,8,8,70,6,2,0,0,1,2,1,-1,-2,-1,-1,Female,,1997,White,,College 1 year to 3 years (Some college or technical school),
7/17/18 12:56,16,No gratitude,Helper,7,8,70,8,4,2,3,2,2,5,2,-2,3,-2,Male,,1997,White,,College 1 year to 3 years (Some college or technical school),
7/17/18 14:14,30,No gratitude,Requester,7,7,50,6,7,8,3,0,3,7,1,1,2,1,Female,,1997,White,,College 1 year to 3 years (Some college or technical school),
7/23/18 13:56,79,Gratitude,Requester,2,2,20,5,8,7,5,2,7,8,2,2,-2,2,Female,,1997,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 14:28,86,No gratitude,Requester,7,7,70,8,9,9,5,2,2,7,2,0,2,-2,Female,,1997,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 15:24,98,Gratitude,Requester,4,2,30,3,4,3,3,5,6,4,-2,2,0,2,Female,,1997,Black,,College 1 year to 3 years (Some college or technical school),
7/25/18 12:20,111,Gratitude,Helper,7,8,40,8,10,10,5,0,0,10,3,3,3,1,Female,,1997,White,,College 1 year to 3 years (Some college or technical school),
7/26/18 11:34,165,No gratitude,Requester,1,2,80,4,5,4,3,5,4,6,2,2,2,-1,Female,,1997,White,,College 1 year to 3 years (Some college or technical school),
7/17/18 13:27,22,No gratitude,Helper,4,2,10,1,0,0,3,2,3,2,1,-3,3,-3,Other,non-binary,1996,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/21/18 14:06,42,No gratitude,Requester,8,7,80,7,7,6,2,3,5,2,1,3,-1,2,Male,,1996,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 11:56,107,Gratitude,Requester,6,6,60,4,4,2,1,4,4,3,-1,1,2,-2,Female,,1996,Asian,,"Bachelor's degree (For example: BA, AB, BS)",i would love to know the results of this study!
7/25/18 13:51,130,No gratitude,Helper,8,9,70,7,8,7,1,2,1,3,3,2,1,1,Male,,1996,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 15:10,150,No gratitude,Requester,1,0,10,6,0,2,-1,4,3,0,-3,1,-1,2,Male,,1996,Other (please specify),latino-african,Grade 12 or GED (High school graduate),
7/26/18 12:15,170,Gratitude,Requester,3,5,20,4,5,6,4,2,3,7,-1,3,1,1,Male,,1996,White,,College 1 year to 3 years (Some college or technical school),
7/26/18 14:39,194,Gratitude,Requester,4,4,50,7,7,5,4,2,3,7,-2,2,2,-1,Male,,1996,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/17/18 13:01,18,No gratitude,Helper,4,4,50,3,4,2,-2,3,3,4,2,1,-1,2,Male,,1995,Black,,Grade 12 or GED (High school graduate),
7/17/18 14:37,34,Gratitude,Helper,6,8,30,2,4,4,5,0,0,9,3,-2,2,-1,Male,,1995,Asian,,College 1 year to 3 years (Some college or technical school),
7/17/18 14:56,37,Gratitude,Requester,7,5,60,6,8,7,3,6,4,5,1,3,1,2,Male,,1995,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 12:11,55,Gratitude,Helper,10,10,70,10,8,9,3,1,0,8,2,1,2,1,Male,,1995,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 13:24,72,No gratitude,Requester,4,4,60,3,7,1,0,3,6,0,1,2,0,-2,Male,,1995,Asian,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 13:46,76,No gratitude,Helper,4,4,20,5,7,4,3,2,2,6,2,2,2,1,Female,,1995,Black,,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 12:01,108,Gratitude,Requester,6,5,70,5,,2,2,1,2,5,1,2,-1,1,Male,,1995,Hispanic,,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 12:38,116,No gratitude,Helper,8,8,50,5,0,0,2,0,0,6,2,-3,2,-3,Male,,1995,Asian,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/25/18 15:28,154,No gratitude,Helper,5,5,70,8,10,9,4,0,0,5,3,1,2,-1,Female,,1995,Other (please specify),middle eastern,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 15:35,155,No gratitude,Requester,6,6,50,8,9,7,5,5,4,7,-1,1,-2,1,Female,,1995,Other (please specify),middle eastern,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 15:39,157,Gratitude,Helper,7,7,50,5,7,3,4,0,1,10,2,-2,0,-2,Female,,1995,Other (please specify),middle eastern,"Bachelor's degree (For example: BA, AB, BS)",
7/21/18 14:43,48,No gratitude,Helper,7,7,50,4,6,9,4,0,0,6,3,1,1,0,Female,,1994,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 11:55,51,No gratitude,Requester,4,4,30,3,4,3,2,4,5,3,-1,-1,-1,-1,Female,,1994,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 14:39,89,No gratitude,Requester,9,10,90,8,5,10,5,1,0,9,2,1,3,-2,Female,,1994,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 14:05,134,No gratitude,Requester,4,7,70,3,6,2,3,6,1,7,1,1,2,-1,Male,,1994,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/25/18 15:46,158,No gratitude,Helper,7,8,40,4,3,6,3,4,4,6,1,0,2,-1,Male,,1994,Asian,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/26/18 14:33,192,Gratitude,Requester,5,5,50,3,3,6,4,3,4,6,-1,1,2,-1,Female,,1994,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/17/18 12:31,12,No gratitude,Helper,5,4,10,0,4,0,0,0,0,3,1,-3,2,-3,Female,,1993,Black,,Grade 12 or GED (High school graduate),
7/21/18 14:02,41,Gratitude,Requester,6,6,60,7,9,9,4,5,4,6,2,1,2,2,Male,,1993,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 11:55,52,Gratitude,Requester,6,4,30,7,9,7,5,6,4,8,1,3,2,1,Male,,1993,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 12:47,62,No gratitude,Requester,4,4,40,6,5,4,2,4,4,5,2,2,1,0,Male,,1993,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/17/18 13:07,17,Gratitude,Helper,7,5,40,8,9,7,5,3,3,9,1,1,3,1,Female,,1992,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/17/18 13:57,28,Gratitude,Helper,7,6,60,8,7,5,5,3,2,8,2,2,2,1,Male,,1992,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/17/18 15:08,38,Gratitude,Helper,5,5,10,2,0,0,2,6,2,3,-1,-2,-1,2,Male,,1992,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 13:04,67,No gratitude,Requester,4,4,70,7,6,9,4,4,5,6,-1,1,2,-1,Female,,1992,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 13:17,69,No gratitude,Requester,5,3,40,2,3,2,3,3,4,3,1,2,1,0,Female,,1992,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 13:18,71,No gratitude,Helper,8,6,60,5,7,6,2,7,2,7,2,1,2,1,Female,,1992,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
