"Subj","Trial","Aes","Aes2","SelfR","Fam","Condition","Image","Question"
"s01",29,0.76,96,1,"1","SR","s01_sr01",1
"s01",68,0.05,7,0.03,"0","SR","s01_sr02",2
"s01",53,0.03,3,0.01,"0","SR","s01_sr03",3
"s01",41,0.04,3,0.02,"0","SR","s01_sr04",3
"s01",69,0,2,0.99,"0.5","SR","s01_sr05",5
"s01",23,0.01,0,0.46,"0.5","SR","s01_sr06",6
"s01",56,0.02,4,0.8,"0.5","SR","s01_sr07",7
"s01",55,0.02,2,0.57,"0.5","SR","s01_sr08",12
"s01",33,0.01,1,0.36,"0.5","SR","s01_sr09",11
"s01",43,0.04,15,0.07,"0","SR","s01_sr10",16
"s01",7,0.1,2,0.59,"0.5","SR","s01_sr11",18
"s01",4,0.29,4,0.62,"0.5","SR","s01_sr12",19
"s01",37,0.02,2,0.24,"0.5","SR","s01_sr13",19
"s01",61,0.07,6,0.27,"0.5","SR","s01_sr14",3
"s01",76,0.02,3,0.16,"0.5","SR","s01_sr15",3
"s01",22,0.12,3,0.15,"0.5","SR","s01_sr16",1
"s01",47,0.02,1,0.98,"0.5","SR","s01_sr17",16
"s01",36,0.53,44,0.42,"0.5","SR","s01_sr18",18
"s01",3,0.59,1,0.98,"0.5","SR","s01_sr19",19
"s01",25,0.32,20,0.99,"0.5","SR","s01_sr20",8
"s02",52,0.69,67,0.94,"1","SR","s02_sr01",1
"s02",13,0.72,79,0.93,"1","SR","s02_sr02",2
"s02",28,0.48,71,0.52,"1","SR","s02_sr03",4
"s02",40,0.67,75,0.99,"1","SR","s02_sr04",4
"s02",12,0.2,4,0.52,"1","SR","s02_sr05",5
"s02",58,0.75,87,0.97,"1","SR","s02_sr06",7
"s02",25,0.01,49,0.01,"1","SR","s02_sr07",6
"s02",26,0.41,64,0.8,"1","SR","s02_sr08",10
"s02",48,0.45,59,0.91,"1","SR","s02_sr09",11
"s02",38,0.55,70,0.97,"1","SR","s02_sr10",12
"s02",74,0.23,15,0.9,"1","SR","s02_sr11",15
"s02",77,0.06,9,0,"1","SR","s02_sr12",16
"s02",44,0.01,1,0.4,"1","SR","s02_sr13",18
"s02",20,0.01,1,0.01,"1","SR","s02_sr14",19
"s02",5,0.64,73,0.92,"1","SR","s02_sr15",19
"s02",59,0.83,84,0.94,"1","SR","s02_sr16",15
"s02",34,0.38,63,0.78,"1","SR","s02_sr17",3
"s02",45,0.26,56,0.67,"1","SR","s02_sr18",3
"s02",78,0.29,37,0.44,"1","SR","s02_sr19",3
"s02",56,0.27,56,0.68,"1","SR","s02_sr20",3
"s04",11,0.66,65,0.62,"0.5","SR","s04_sr01",2
"s04",40,0.71,70,0.36,"0.5","SR","s04_sr02",3
"s04",44,0.51,35,0.27,"0.5","SR","s04_sr03",3
"s04",36,0.89,77,0.75,"0.5","SR","s04_sr04",3
"s04",65,0.58,67,0,"0.5","SR","s04_sr05",3
"s04",60,0.76,56,0,"0.5","SR","s04_sr06",3
"s04",2,0.72,80,0.75,"0.5","SR","s04_sr07",4
"s04",1,0.5,73,0.77,"0.5","SR","s04_sr08",4
"s04",31,0,0,0,"0.5","SR","s04_sr09",4
"s04",68,0.71,62,0.34,"0.5","SR","s04_sr10",4
"s04",53,0.83,82,0.84,"0.5","SR","s04_sr11",5
"s04",41,0.94,89,0.88,"0.5","SR","s04_sr12",6
"s04",6,0.9,84,0.39,"0","SR","s04_sr13",7
"s04",79,0.82,73,0.64,"0","SR","s04_sr14",7
