jatosResID,image,trial_main,mainRT,Moved,Beauty,trial_sr,srRT,SelfRelev
1833,2va007,8,25216,0.96,0.98,41,2351,0.90
1833,2va009,28,26616,0.89,0.99,13,1995,0.99
1833,2va014,39,28206,0.24,0.18,4,2555,0.00
1833,2va025,7,30687,0.34,0.62,36,2474,0.59
1833,2va031,2,32057,0.34,0.53,43,2517,0.38
1833,2va033,31,83497,0.02,0.12,6,2783,0.03
1833,2va035,13,25160,0.98,0.98,35,2616,0.79
1833,2va057,38,36018,0.68,0.89,10,3585,0.62
1833,2va067,1,49818,0.29,0.66,9,2517,0.08
1833,2va071,12,30869,0.66,0.53,19,2968,0.49
1833,2va075,9,30055,0.17,0.50,2,2780,0.36
1833,2va078,23,25201,0.12,0.33,16,2706,0.06
1833,2va081,20,19248,0.93,0.98,38,2116,0.98
1833,2va106,19,84209,0.47,0.52,24,2398,0.07
1833,2va118,10,27299,0.91,0.34,37,2033,0.92
1833,2va131,33,20431,0.01,0.01,28,2248,0.14
1833,2va137,22,21690,0.60,0.86,14,2246,0.78
1833,art_001,27,27350,0.60,0.81,42,2330,0.57
1833,art_004,3,24054,0.02,0.01,30,2680,0.01
1833,art_010,29,61177,0.99,0.85,39,2900,0.98
1833,art_021,4,26404,0.87,0.72,32,2533,0.98
1833,art_024,24,22550,0.54,0.99,34,2100,0.23
1833,art_025,25,26381,0.94,0.81,44,1997,0.81
1833,art_032,17,22903,0.58,0.98,5,3245,0.52
1833,art_038,37,20909,0.84,0.97,15,2801,0.98
1833,art_039,14,41024,0.26,0.80,20,2024,0.34
1833,art_041,35,24355,0.96,0.86,3,2100,0.98
1833,art_043,34,25465,0.65,0.09,11,3885,0.47
1833,art_049,5,26258,0.66,0.97,22,2782,0.27
1833,art_061,11,21055,0.47,0.72,18,3782,0.14
1833,art_064,41,31172,0.22,0.47,17,2622,0.20
1833,art_070,42,21439,0.98,0.99,12,2505,0.95
1833,art_071,44,23041,0.50,0.97,33,2523,0.39
1833,art_073,21,18020,0.98,0.99,1,6418,0.81
1833,art_078,32,20586,0.97,0.98,31,2216,0.91
1833,art_083,40,19289,0.96,1.00,27,2090,0.87
1833,art_085,30,18445,0.90,1.00,8,2352,0.99
1833,art_100,26,32628,0.00,0.39,25,2483,0.01
1833,art_103,6,21116,0.01,0.01,26,2066,0.00
1833,art_105,18,24395,0.02,0.01,40,2069,0.01
1833,art_107,15,43968,0.01,0.12,7,2967,0.16
1833,art_109,36,20511,0.63,0.01,21,2329,0.71
1838,2va007,33,17934,0.33,0.88,36,2146,0.23
1838,2va009,41,17178,0.08,0.36,28,5171,0.29
1838,2va014,38,17031,0.18,0.74,26,2491,0.49
1838,2va025,40,13355,0.10,0.10,10,5560,0.47
1838,2va031,27,20446,0.08,0.20,30,2327,0.28
1838,2va033,34,18366,0.03,0.07,44,1888,0.54
1838,2va035,14,22845,0.04,0.66,6,3590,0.47
1838,2va057,25,23048,0.04,0.88,43,1587,0.28
1838,2va067,1,25397,0.09,0.24,11,5464,0.54
1838,2va071,44,18279,0.15,0.06,5,5489,0.59
1838,2va075,18,17334,0.09,0.15,3,1890,0.05
1838,2va078,39,20031,0.07,0.26,37,1792,0.00
1838,2va081,36,18424,0.24,0.78,42,2849,0.01
1838,2va106,28,20969,0.09,0.55,14,5132,0.69
1838,2va118,37,14446,0.12,0.12,17,1696,0.08
1838,2va131,32,18650,0.13,0.26,21,4991,0.31
1838,2va137,12,16560,0.04,0.02,23,2304,0.03
1838,art_001,5,28720,0.04,0.05,2,3118,0.04
1838,art_004,15,29038,0.02,0.07,34,1988,0.02
1838,art_010,6,25525,0.04,0.22,33,2283,0.01
1838,art_021,43,17592,0.12,0.08,18,3249,0.03
1838,art_024,16,17102,0.03,0.67,12,3220,0.10
1838,art_025,10,19887,0.07,0.16,8,1851,0.13
1838,art_032,13,16401,0.03,0.63,15,2428,0.17
1838,art_038,9,35281,0.31,0.43,19,3814,0.20
1838,art_039,7,17283,0.09,0.22,9,2293,0.46
1838,art_041,4,24617,0.30,0.03,16,2184,0.02
1838,art_043,8,29384,0.14,0.11,1,6575,0.05
1838,art_049,42,19002,0.09,0.54,13,2851,0.43
