"Subj";"Trial";"b1";"b2";"b3";"b4";"Cat";"Imgname"
"s01";"1";67;58;74;2;"NR";"s02_sr19"
"s01";"2";81;78;100;1;"RA";"ra03"
"s01";"3";59;1;98;2;"SR";"s01_sr19"
"s01";"4";29;4;62;2;"SR";"s01_sr12"
"s01";"5";46;54;12;3;"GA";"ga12"
"s01";"6";29;1;49;2;"NR";"s02_sr12"
"s01";"7";10;2;59;2;"SR";"s01_sr11"
"s01";"8";54;70;21;3;"NR";"s02_sr15"
"s01";"9";80;94;85;2;"GA";"ga06"
"s01";"10";4;1;56;2;"NR";"s02_sr01"
"s01";"11";61;14;78;2;"NR";"s02_sr05"
"s01";"12";37;51;9;2;"RA";"ra07"
"s01";"13";3;4;89;2;"GA";"ga20"
"s01";"14";57;58;98;2;"RA";"ra01"
"s01";"15";86;95;99;1;"RA";"ra16"
"s01";"16";68;12;1;3;"GA";"ga08"
"s01";"17";43;24;6;3;"RA";"ra20"
"s01";"18";11;21;21;3;"NR";"s02_sr13"
"s01";"19";82;53;1;3;"GA";"ga09"
"s01";"20";2;1;98;1;"NR";"s02_sr07"
"s01";"21";30;56;13;3;"GA";"ga07"
"s01";"22";12;3;15;2;"SR";"s01_sr16"
"s01";"23";1;0;46;2;"SR";"s01_sr06"
"s01";"24";65;83;55;2;"RA";"ra15"
"s01";"25";32;20;99;2;"SR";"s01_sr20"
"s01";"26";61;59;3;3;"GA";"ga10"
"s01";"27";3;3;3;3;"GA";"ga17"
"s01";"28";2;4;1;2;"NR";"s02_sr03"
"s01";"29";76;96;100;1;"SR";"s01_sr01"
"s01";"30";90;81;70;2;"RA";"ra13"
"s01";"31";64;62;55;2;"GA";"ga03"
"s01";"32";2;3;61;2;"GA";"ga19"
"s01";"33";1;1;36;2;"SR";"s01_sr09"
"s01";"34";5;9;5;3;"NR";"s02_sr20"
"s01";"35";5;3;7;3;"NR";"s02_sr11"
"s01";"36";53;44;42;2;"SR";"s01_sr18"
"s01";"37";2;2;24;2;"SR";"s01_sr13"
"s01";"38";38;64;39;2;"GA";"ga05"
"s01";"39";83;75;53;2;"RA";"ra09"
"s01";"40";5;8;3;3;"NR";"s02_sr04"
"s01";"41";4;3;2;3;"SR";"s01_sr04"
"s01";"42";65;92;33;2;"RA";"ra14"
"s01";"43";4;15;7;3;"SR";"s01_sr10"
"s01";"44";13;7;4;3;"NR";"s02_sr17"
"s01";"45";14;15;11;3;"NR";"s02_sr06"
"s01";"46";53;56;40;2;"GA";"ga11"
"s01";"47";2;1;98;2;"SR";"s01_sr17"
"s01";"48";1;0;5;3;"GA";"ga16"
"s01";"49";78;82;80;2;"RA";"ra08"
"s01";"50";96;97;98;2;"RA";"ra11"
"s01";"51";2;5;54;2;"GA";"ga15"
"s01";"52";30;45;2;3;"GA";"ga04"
"s01";"53";3;3;1;3;"SR";"s01_sr03"
"s01";"54";55;37;5;3;"GA";"ga02"
"s01";"55";2;2;57;2;"SR";"s01_sr08"
"s01";"56";2;4;80;2;"SR";"s01_sr07"
"s01";"57";88;94;73;2;"RA";"ra19"
"s01";"58";91;98;11;2;"RA";"ra18"
"s01";"59";59;35;1;2;"NR";"s02_sr08"
"s01";"60";6;2;86;2;"NR";"s02_sr09"
"s01";"61";7;6;27;2;"SR";"s01_sr14"
"s01";"62";80;67;4;3;"RA";"ra04"
"s01";"63";3;14;81;3;"NR";"s02_sr10"
"s01";"64";62;59;4;3;"RA";"ra10"
"s01";"65";13;5;6;3;"NR";"s02_sr02"
"s01";"66";61;61;12;3;"RA";"ra05"
"s01";"67";77;57;6;3;"RA";"ra06"
"s01";"68";5;7;3;3;"SR";"s01_sr02"
"s01";"69";0;2;99;2;"SR";"s01_sr05"
"s01";"70";2;8;5;2;"NR";"s02_sr16"
"s01";"71";59;48;3;3;"RA";"ra17"
"s01";"72";22;20;3;3;"GA";"ga01"
"s01";"73";50;36;6;2;"GA";"ga18"
"s01";"74";98;84;56;1;"RA";"ra12"
"s01";"75";33;33;2;2;"RA";"ra02"
"s01";"76";2;3;16;2;"SR";"s01_sr15"
"s01";"77";2;10;2;2;"NR";"s02_sr14"
"s01";"78";11;2;77;2;"GA";"ga13"
"s01";"79";40;35;48;3;"GA";"ga14"
"s01";"80";1;3;2;3;"NR";"s02_sr18"
"s02";"1";41;39;12;1;"NR";"s01_sr18"
"s02";"2";18;41;34;1;"GA";"ga14"
"s02";"3";29;18;46;1;"GA";"ga13"
"s02";"4";52;26;6;1;"NR";"s01_sr14"
"s02";"5";64;73;92;1;"SR";"s02_sr15"
"s02";"6";1;1;1;1;"RA";"ra02"
"s02";"7";34;55;47;1;"RA";"ra12"
"s02";"8";2;5;15;1;"GA";"ga18"
"s02";"9";30;56;69;1;"GA";"ga01"
"s02";"10";39;4;25;1;"RA";"ra17"
"s02";"11";62;79;99;1;"NR";"s01_sr16"
"s02";"12";20;4;52;1;"SR";"s02_sr05"
"s02";"13";72;79;93;1;"SR";"s02_sr02"
"s02";"14";10;1;8;1;"RA";"ra06"
"s02";"15";1;1;0;2;"RA";"ra05"
"s02";"16";63;61;89;1;"NR";"s01_sr02"
"s02";"17";1;0;4;1;"RA";"ra10"
"s02";"18";3;29;9;1;"NR";"s01_sr10"
"s02";"19";40;59;42;1;"RA";"ra04"
"s02";"20";1;1;1;1;"SR";"s02_sr14"
"s02";"21";46;48;80;1;"NR";"s01_sr09"
"s02";"22";37;51;89;1;"NR";"s01_sr08"
"s02";"23";52;16;1;1;"RA";"ra18"
"s02";"24";0;1;1;1;"RA";"ra19"
"s02";"25";1;49;1;1;"SR";"s02_sr07"
"s02";"26";41;64;80;1;"SR";"s02_sr08"
"s02";"27";49;47;52;1;"GA";"ga02"
"s02";"28";48;71;52;1;"SR";"s02_sr03"
"s02";"29";27;43;24;1;"GA";"ga04"
"s02";"30";15;16;46;1;"GA";"ga15"
"s02";"31";13;2;9;1;"RA";"ra11"
"s02";"32";47;31;73;1;"RA";"ra08"
"s02";"33";13;9;67;1;"GA";"ga16"
"s02";"34";38;63;78;1;"SR";"s02_sr17"
"s02";"35";33;49;92;1;"GA";"ga11"
"s02";"36";36;58;68;1;"NR";"s01_sr06"
"s02";"37";50;67;78;1;"NR";"s01_sr17"
"s02";"38";55;70;97;1;"SR";"s02_sr10"
"s02";"39";32;23;1;1;"RA";"ra14"
"s02";"40";67;75;99;1;"SR";"s02_sr04"
"s02";"41";63;66;88;1;"NR";"s01_sr04"
"s02";"42";27;6;19;1;"RA";"ra09"
"s02";"43";10;40;41;1;"GA";"ga05"
"s02";"44";1;1;40;1;"SR";"s02_sr13"
"s02";"45";26;56;67;1;"SR";"s02_sr18"
"s02";"46";1;2;76;1;"NR";"s01_sr11"
"s02";"47";1;1;27;1;"NR";"s01_sr20"
"s02";"48";45;59;91;1;"SR";"s02_sr09"
"s02";"49";9;15;7;1;"GA";"ga19"
"s02";"50";32;33;66;1;"GA";"ga03"
"s02";"51";3;32;2;1;"RA";"ra13"
"s02";"52";69;67;94;1;"SR";"s02_sr01"
"s02";"53";36;62;4;1;"NR";"s01_sr03"
"s02";"54";52;65;80;1;"GA";"ga17"
"s02";"55";82;82;87;1;"GA";"ga10"
"s02";"56";27;56;68;1;"SR";"s02_sr20"
"s02";"57";52;59;97;1;"RA";"ra15"
"s02";"58";75;87;97;1;"SR";"s02_sr06"
"s02";"59";83;84;94;1;"SR";"s02_sr16"
"s02";"60";35;38;1;1;"GA";"ga07"
"s02";"61";28;33;36;1;"NR";"s01_sr07"
"s02";"62";73;64;69;1;"GA";"ga09"
"s02";"63";11;4;1;1;"NR";"s01_sr13"
"s02";"64";1;0;1;1;"RA";"ra20"
"s02";"65";21;45;60;1;"GA";"ga08"
"s02";"66";67;62;76;1;"RA";"ra16"
"s02";"67";25;0;0;1;"RA";"ra01"
"s02";"68";30;23;68;1;"GA";"ga20"
"s02";"69";60;70;87;1;"RA";"ra07"
"s02";"70";39;47;97;1;"NR";"s01_sr05"
"s02";"71";9;26;10;1;"NR";"s01_sr01"
"s02";"72";59;66;85;1;"GA";"ga06"
"s02";"73";46;47;33;1;"NR";"s01_sr15"
"s02";"74";23;15;90;1;"SR";"s02_sr11"
"s02";"75";25;4;0;1;"NR";"s01_sr12"
"s02";"76";38;40;83;1;"GA";"ga12"
"s02";"77";6;9;0;1;"SR";"s02_sr12"
"s02";"78";29;37;44;1;"SR";"s02_sr19"
"s02";"79";0;1;42;1;"RA";"ra03"
"s02";"80";17;29;72;1;"NR";"s01_sr19"
"s04";"1";50;73;77;2;"SR";"s04_sr08"
"s04";"2";72;80;75;2;"SR";"s04_sr07"
"s04";"3";35;0;0;2;"RA";"ra06"
"s04";"4";80;82;100;1;"NR";"s03_sr11"
"s04";"5";89;91;31;3;"GA";"ga06"
"s04";"6";90;84;39;3;"SR";"s04_sr13"
"s04";"7";70;62;27;1;"NR";"s03_sr19"
"s04";"8";30;39;34;2;"GA";"ga02"
"s04";"9";50;73;29;3;"RA";"ra07"
"s04";"10";69;67;29;3;"RA";"ra15"
"s04";"11";66;65;62;2;"SR";"s04_sr01"
"s04";"12";0;0;0;2;"RA";"ra03"
"s04";"13";78;60;0;3;"GA";"ga05"
"s04";"14";70;74;0;3;"GA";"ga14"
"s04";"15";83;73;31;2;"NR";"s03_sr20"
"s04";"16";0;0;71;2;"RA";"ra01"
"s04";"17";18;26;31;3;"NR";"s03_sr09"
"s04";"18";17;0;0;3;"RA";"ra09"
"s04";"19";93;85;81;2;"SR";"s04_sr18"
"s04";"20";0;0;0;2;"NR";"s03_sr12"
"s04";"21";60;71;0;3;"GA";"ga13"
"s04";"22";81;76;100;2;"SR";"s04_sr17"
"s04";"23";83;81;48;3;"SR";"s04_sr19"
"s04";"24";48;29;0;3;"GA";"ga11"
"s04";"25";0;0;0;3;"GA";"ga20"
"s04";"26";30;36;0;2;"NR";"s03_sr03"
"s04";"27";34;68;68;3;"RA";"ra10"
"s04";"28";0;0;0;1;"RA";"ra08"
"s04";"29";65;68;0;3;"GA";"ga07"
"s04";"30";71;71;0;3;"GA";"ga03"
"s04";"31";0;0;0;2;"SR";"s04_sr09"
"s04";"32";70;66;77;3;"GA";"ga19"
"s04";"33";90;77;79;3;"RA";"ra04"
"s04";"34";87;67;79;3;"GA";"ga10"
"s04";"35";73;65;52;2;"SR";"s04_sr20"
"s04";"36";89;77;75;2;"SR";"s04_sr04"
"s04";"37";34;0;0;3;"RA";"ra13"
"s04";"38";71;70;0;3;"NR";"s03_sr05"
"s04";"39";66;52;29;2;"NR";"s03_sr08"
"s04";"40";71;70;36;2;"SR";"s04_sr02"
"s04";"41";94;89;88;2;"SR";"s04_sr12"
"s04";"42";81;74;49;2;"RA";"ra20"
"s04";"43";81;70;28;3;"RA";"ra02"
"s04";"44";51;35;27;2;"SR";"s04_sr03"
"s04";"45";0;15;0;3;"RA";"ra05"
"s04";"46";31;28;0;3;"RA";"ra12"
"s04";"47";73;72;0;2;"GA";"ga18"
"s04";"48";77;83;0;3;"NR";"s03_sr01"
"s04";"49";75;72;61;3;"NR";"s03_sr18"
"s04";"50";51;41;0;3;"GA";"ga01"
"s04";"51";63;70;46;3;"GA";"ga17"
"s04";"52";0;0;0;3;"RA";"ra14"
"s04";"53";83;82;84;2;"SR";"s04_sr11"
"s04";"54";0;0;0;3;"NR";"s03_sr17"
"s04";"55";82;78;75;2;"NR";"s03_sr13"
"s04";"56";51;0;0;3;"RA";"ra19"
"s04";"57";0;0;0;3;"NR";"s03_sr15"
"s04";"58";70;69;63;2;"NR";"s03_sr14"
"s04";"59";85;78;74;3;"SR";"s04_sr16"
"s04";"60";76;56;0;2;"SR";"s04_sr06"
"s04";"61";71;77;60;2;"NR";"s03_sr07"
