Subj	Block	Question	TestRe	Trial	Image	Rating	Time
1	1	1	1	1	52	0.814814815	1.22599887
1	1	1	1	2	85	0.730555556	2.613979324
1	1	1	1	3	65	0.927777778	2.014678839
1	1	1	1	4	134	0.231481481	1.602258481
1	1	1	1	5	74	0.452777778	1.660976476
1	1	1	1	6	28	0.557407407	3.26300769
1	1	1	1	7	8	0.826851852	1.613829474
1	1	1	1	8	6	0.353703704	1.931868441
1	1	1	1	9	98	0.656481481	1.732190662
1	1	1	1	10	56	0.808333333	3.698904923
1	1	1	1	11	77	0.715740741	1.778705713
1	1	1	1	12	120	0.17962963	2.62690923
1	1	1	1	13	109	0.940740741	2.332435407
1	1	1	1	14	66	0.961111111	1.991735969
1	1	1	1	15	116	0.630555556	1.319628372
1	1	1	1	16	96	0.661111111	2.815329498
1	1	1	1	17	20	0.442592593	2.261674583
1	1	1	1	18	21	0.706481481	1.036784192
1	1	1	1	19	144	0.163888889	1.142784962
1	1	1	1	20	103	0.600925926	1.884798563
1	1	1	1	21	13	0.587037037	1.449101326
1	1	1	1	22	2	0.971296296	2.04986688
1	1	1	1	23	58	0.816666667	1.849631343
1	1	1	1	24	45	0.609259259	1.024929334
1	1	1	1	25	19	0.598148148	2.75640623
1	1	1	1	26	132	0.811111111	2.638809834
1	1	1	1	27	127	0.494444444	4.523362362
1	1	1	1	28	10	0.591666667	2.155665309
1	1	1	1	29	138	0.647222222	3.969998349
1	1	1	1	30	137	0.916666667	1.802330093
1	1	1	1	31	32	0.369444444	1.755419742
1	1	1	1	32	15	0.631481481	1.637646518
1	1	1	1	33	117	0.872222222	4.299633821
1	1	1	1	34	73	0.649074074	2.579810908
1	1	1	1	35	26	0.082407407	2.391396504
1	1	1	1	36	75	0.690740741	1.719905316
1	1	1	1	37	95	0.567592593	1.17812256
1	1	1	1	38	99	0.918518519	1.814301663
1	1	1	1	39	12	0.825	1.731590676
1	1	1	1	40	148	0.889814815	1.519622566
1	1	1	1	41	62	0.807407407	1.684540739
1	1	1	1	42	112	0.649074074	2.014517259
1	1	1	1	43	64	0.709259259	1.637979061
1	1	1	1	44	24	0.852777778	1.378857205
1	1	1	1	45	122	0.847222222	1.378834332
1	1	1	1	46	68	0.839814815	2.285251456
1	1	1	1	47	3	0.35462963	1.979009577
1	1	1	1	48	133	0.849074074	2.108779005
1	1	1	1	49	121	0.088888889	2.109189259
1	1	1	1	50	27	0.055555556	2.261871059
1	1	1	1	51	72	0.662962963	1.590364036
1	1	1	1	52	29	0.369444444	1.696329029
1	1	1	1	53	100	0.576851852	1.390247851
1	1	1	1	54	69	0.828703704	1.448936227
1	1	1	1	55	70	0.593518519	1.437197203
1	1	1	1	56	53	0.835185185	1.601993971
1	1	1	1	57	118	0.139814815	1.11931747
1	1	1	1	58	42	0.749074074	1.319351839
1	1	1	1	59	107	0.646296296	2.532824606
1	1	1	1	60	30	0.938888889	1.908843461
1	1	1	1	61	76	0.765740741	1.790656756
1	1	1	1	62	130	0.714814815	1.708307051
1	1	1	1	63	35	0.833333333	1.237246117
1	1	1	1	64	119	0.557407407	0.777685796
1	1	1	1	65	47	0.712037037	1.331479711
1	1	1	1	66	59	0.667592593	1.472680252
1	1	1	1	67	93	0.57037037	2.061464852
1	1	1	1	68	38	0.424074074	1.425414778
1	1	1	1	69	97	0.781481481	1.237101838
1	1	1	1	70	106	0.618518519	2.155740087
1	1	1	1	71	36	0.64537037	1.672808167
1	1	1	1	72	18	0.639814815	2.320740663
1	1	1	1	73	88	0.456481481	3.875561534
1	1	1	1	74	94	0.349074074	3.039025782
1	1	1	1	75	16	0.409259259	1.56696839
1	1	1	1	76	89	0.588888889	1.366577724
1	1	1	1	77	125	0.697222222	1.460712494
1	1	1	1	78	5	0.722222222	1.625647382
1	1	1	1	79	115	0.54537037	4.994486345
1	1	1	1	80	86	0.338888889	2.144718935
1	1	1	1	81	141	0.182407407	2.414889508
1	1	1	1	82	67	0.403703704	1.343209937
1	1	1	1	83	126	0.753703704	1.331431325
1	1	1	1	84	43	0.562037037	2.650828031
1	1	1	1	85	101	0.806481481	1.484433938
1	1	1	1	86	84	0.862037037	1.46069138
1	1	1	1	87	83	0.109259259	1.837848918
1	1	1	1	88	34	0.348148148	1.684510535
1	1	1	1	89	90	0.912037037	2.897904711
1	1	1	1	90	110	0.396296296	1.543403833
1	1	1	1	91	48	0.681481481	1.779614783
1	1	1	1	92	23	0.327777778	3.003949469
1	1	1	1	93	78	0.411111111	1.720083611
1	1	1	1	94	39	0.756481481	2.261843201
1	1	1	1	95	17	0.588888889	1.531609092
