Block;Subj;Trial;Response
b1;s01;1;67
b1;s01;2;81
b1;s01;3;59
b1;s01;4;29
b1;s01;5;46
b1;s01;6;29
b1;s01;7;10
b1;s01;8;54
b1;s01;9;80
b1;s01;10;4
b1;s01;11;61
b1;s01;12;37
b1;s01;13;3
b1;s01;14;57
b1;s01;15;86
b1;s01;16;68
b1;s01;17;43
b1;s01;18;11
b1;s01;19;82
b1;s01;20;2
b1;s01;21;30
b1;s01;22;12
b1;s01;23;1
b1;s01;24;65
b1;s01;25;32
b1;s01;26;61
b1;s01;27;3
b1;s01;28;2
b1;s01;29;76
b1;s01;30;90
b1;s01;31;64
b1;s01;32;2
b1;s01;33;1
b1;s01;34;5
b1;s01;35;5
b1;s01;36;53
b1;s01;37;2
b1;s01;38;38
b1;s01;39;83
b1;s01;40;5
b1;s01;41;4
b1;s01;42;65
b1;s01;43;4
b1;s01;44;13
b1;s01;45;14
b1;s01;46;53
b1;s01;47;2
b1;s01;48;1
b1;s01;49;78
b1;s01;50;96
b1;s01;51;2
b1;s01;52;30
b1;s01;53;3
b1;s01;54;55
b1;s01;55;2
b1;s01;56;2
b1;s01;57;88
b1;s01;58;91
b1;s01;59;59
b1;s01;60;6
b1;s01;61;7
b1;s01;62;80
b1;s01;63;3
b1;s01;64;62
b1;s01;65;13
b1;s01;66;61
b1;s01;67;77
b1;s01;68;5
b1;s01;69;0
b1;s01;70;2
b1;s01;71;59
b1;s01;72;22
b1;s01;73;50
b1;s01;74;98
b1;s01;75;33
b1;s01;76;2
b1;s01;77;2
b1;s01;78;11
b1;s01;79;40
b1;s01;80;1
b2;s01;1;58
b2;s01;2;78
b2;s01;3;1
b2;s01;4;4
b2;s01;5;54
b2;s01;6;1
b2;s01;7;2
b2;s01;8;70
b2;s01;9;94
b2;s01;10;1
b2;s01;11;14
b2;s01;12;51
b2;s01;13;4
b2;s01;14;58
b2;s01;15;95
b2;s01;16;12
b2;s01;17;24
b2;s01;18;21
b2;s01;19;53
b2;s01;20;1
b2;s01;21;56
b2;s01;22;3
b2;s01;23;0
b2;s01;24;83
b2;s01;25;20
b2;s01;26;59
b2;s01;27;3
b2;s01;28;4
b2;s01;29;96
b2;s01;30;81
b2;s01;31;62
b2;s01;32;3
b2;s01;33;1
b2;s01;34;9
b2;s01;35;3
b2;s01;36;44
b2;s01;37;2
b2;s01;38;64
b2;s01;39;75
b2;s01;40;8
b2;s01;41;3
b2;s01;42;92
b2;s01;43;15
b2;s01;44;7
b2;s01;45;15
b2;s01;46;56
b2;s01;47;1
b2;s01;48;0
b2;s01;49;82
b2;s01;50;97
b2;s01;51;5
b2;s01;52;45
b2;s01;53;3
b2;s01;54;37
b2;s01;55;2
b2;s01;56;4
b2;s01;57;94
b2;s01;58;98
b2;s01;59;35
b2;s01;60;2
b2;s01;61;6
b2;s01;62;67
b2;s01;63;14
b2;s01;64;59
b2;s01;65;5
b2;s01;66;61
b2;s01;67;57
b2;s01;68;7
b2;s01;69;2
b2;s01;70;8
b2;s01;71;48
b2;s01;72;20
b2;s01;73;36
b2;s01;74;84
b2;s01;75;33
b2;s01;76;3
b2;s01;77;10
b2;s01;78;2
b2;s01;79;35
b2;s01;80;3
b3;s01;1;74
b3;s01;2;100
b3;s01;3;98
b3;s01;4;62
b3;s01;5;12
b3;s01;6;49
b3;s01;7;59
b3;s01;8;21
b3;s01;9;85
b3;s01;10;56
b3;s01;11;78
b3;s01;12;9
b3;s01;13;89
b3;s01;14;98
b3;s01;15;99
b3;s01;16;1
b3;s01;17;6
b3;s01;18;21
b3;s01;19;1
b3;s01;20;98
b3;s01;21;13
b3;s01;22;15
b3;s01;23;46
b3;s01;24;55
b3;s01;25;99
b3;s01;26;3
b3;s01;27;3
b3;s01;28;1
b3;s01;29;100
b3;s01;30;70
b3;s01;31;55
b3;s01;32;61
b3;s01;33;36
b3;s01;34;5
b3;s01;35;7
b3;s01;36;42
b3;s01;37;24
b3;s01;38;39
b3;s01;39;53
b3;s01;40;3
b3;s01;41;2
b3;s01;42;33
b3;s01;43;7
b3;s01;44;4
b3;s01;45;11
b3;s01;46;40
b3;s01;47;98
b3;s01;48;5
b3;s01;49;80
b3;s01;50;98
b3;s01;51;54
b3;s01;52;2
b3;s01;53;1
b3;s01;54;5
b3;s01;55;57
b3;s01;56;80
b3;s01;57;73
b3;s01;58;11
b3;s01;59;1
b3;s01;60;86
b3;s01;61;27
b3;s01;62;4
b3;s01;63;81
b3;s01;64;4
b3;s01;65;6
b3;s01;66;12
b3;s01;67;6
b3;s01;68;3
b3;s01;69;99
b3;s01;70;5
b3;s01;71;3
b3;s01;72;3
b3;s01;73;6
b3;s01;74;56
b3;s01;75;2
b3;s01;76;16
b3;s01;77;2
b3;s01;78;77
b3;s01;79;48
b3;s01;80;2
b4;s01;1;2
b4;s01;2;1
b4;s01;3;2
b4;s01;4;2
b4;s01;5;3
b4;s01;6;2
b4;s01;7;2
b4;s01;8;3
b4;s01;9;2
b4;s01;10;2
b4;s01;11;2
b4;s01;12;2
b4;s01;13;2
b4;s01;14;2
b4;s01;15;1
b4;s01;16;3
b4;s01;17;3
b4;s01;18;3
b4;s01;19;3
b4;s01;20;1
b4;s01;21;3
b4;s01;22;2
b4;s01;23;2
b4;s01;24;2
b4;s01;25;2
b4;s01;26;3
b4;s01;27;3
b4;s01;28;2
b4;s01;29;1
b4;s01;30;2
b4;s01;31;2
b4;s01;32;2
b4;s01;33;2
b4;s01;34;3
b4;s01;35;3
b4;s01;36;2
b4;s01;37;2
b4;s01;38;2
b4;s01;39;2
b4;s01;40;3
b4;s01;41;3
b4;s01;42;2
b4;s01;43;3
b4;s01;44;3
b4;s01;45;3
b4;s01;46;2
b4;s01;47;2
b4;s01;48;3
b4;s01;49;2
b4;s01;50;2
b4;s01;51;2
b4;s01;52;3
b4;s01;53;3
b4;s01;54;3
b4;s01;55;2
