task,item,source,trial_state,score_7B-1,score_7B-2,score_7B-3,score_7B-4,score_7B-5,score_7B-6,score_7B-7,score_7B-8,score_7B-9,score_7B-10,score_7B-11,score_7B-12,score_7B-13,score_7B-14,score_7B-15,score_13B-1,score_13B-2,score_13B-3,score_13B-4,score_13B-5,score_13B-6,score_13B-7,score_13B-8,score_13B-9,score_13B-10,score_13B-11,score_13B-12,score_13B-13,score_13B-14,score_13B-15,score_70B-1,score_70B-2,score_70B-3,score_70B-4,score_70B-5,score_70B-6,score_70B-7,score_70B-8,score_70B-9,score_70B-10,score_70B-11,score_70B-12,score_70B-13,score_70B-14,score_70B-15
Hinting,1,old,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Hinting,2,old,-,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
Hinting,3,old,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hinting,4,old,-,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1
Hinting,5,old,-,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,6,old,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
Hinting,7,old,-,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Hinting,8,old,-,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Hinting,9,old,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
Hinting,10,old,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,11,new,-,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,12,new,-,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,13,new,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1
Hinting,14,new,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
Hinting,15,new,-,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Hinting,16,new,-,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
False Belief A,1,old,T,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,2,old,T,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,3,old,F,0,0,0,0,0,0,0,0,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,4,old,F,1,1,1,1,1,1,1,1,,,,,,,,0,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,5,new,T,1,1,1,1,1,1,1,1,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,6,new,F,0,0,0,0,0,0,0,1,,,,,,,,1,0,0,1,1,0,0,0,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,7,new,FC,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,
False Belief A,8,new,T,1,1,1,1,1,1,1,0,,,,,,,,1,1,1,1,1,0,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,9,new,FC,0,0,0,0,0,0,0,0,,,,,,,,0,0,1,1,0,0,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
False Belief B,1,old,F,,,,,,,,,1,1,1,1,1,1,0,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1
False Belief B,2,old,F,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,0,0,0,1,0,0,,,,,,,,,1,1,1,1,1,1,1
False Belief B,3,old,T,,,,,,,,,0,1,0,0,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1
False Belief B,4,old,T,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1
False Belief B,5,new,F,,,,,,,,,0,0,0,1,0,1,1,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,1,1,1,1,1,1,1
False Belief B,6,new,T,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1
False Belief B,7,new,FC,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
False Belief B,8,new,F,,,,,,,,,1,1,1,0,1,0,1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1
False Belief B,9,new,TC,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,0,0,,,,,,,,,0,0,0,0,0,0,0
Faux Pas,1,old,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,2,old,-,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,3,old,-,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,4,old,-,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,5,old,-,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,6,old,-,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
