task,item,source,trial_state,model,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15
Faux Pas,1,old,-,GPT-3.5,A,A-,A,A,A,A,A+,A*,A-,A,A,C,A,A,A
Faux Pas,2,old,-,GPT-3.5,A,A,A,A,A,B,B,E,A,A,A,A-,A-,A,A-
Faux Pas,3,old,-,GPT-3.5,A,A-,A,A+,A+,A-,A*,A*,A,A,A,A+,A-,A,A-
Faux Pas,4,old,-,GPT-3.5,A,A-,A,A+,A+,A,A*,A*,A+,A,A*,A-,A-,A,A-
Faux Pas,5,old,-,GPT-3.5,A,F,A+,A+,A+,A,A,A*,A+,A+,A+,A-,A+,A,A+
Faux Pas,6,old,-,GPT-3.5,A,A+,A+,A+,A+,A+,A+,A*,A+,A,A*,A+,A+,A,A+
Faux Pas,7,old,-,GPT-3.5,A+,A+,A+,A+,A+,A+,A+,B,A+,A+,A*,A,A+,A,A+
Faux Pas,8,old,-,GPT-3.5,E,D,D,D,D,D,A*,D,E,D,D,E,A,E,D
Faux Pas,9,old,-,GPT-3.5,A,A-,A,A,A,A-,A,F,A-,A,A*,A,A-,A,A-
Faux Pas,10,old,-,GPT-3.5,A,A-,A+,A,A,A,A,A*,A,A,A,A+,A+,A,A-
Faux Pas,11,new,-,GPT-3.5,A,A-,A,A,A,A-,A,A*,A-,A,A*,A-,A-,A,A-
Faux Pas,12,new,-,GPT-3.5,A-,A-,A,A-,A,A-,A,A*,A-,A,A*,A-,A-,A,A-
Faux Pas,13,new,-,GPT-3.5,A,A-,C,A,A,A,A,F,D,A,A,A-,A-,A,A-
Faux Pas,14,new,-,GPT-3.5,A-,A-,A,A-,A-,A+,A+,F,A-,A,A*,A,A-,A,A-
Faux Pas,15,new,-,GPT-3.5,A-,A-,A,A-,A,A,A,F,D,A,A-,A-,A-,D,A-
Faux Pas,1,old,-,GPT-4,A,A,A+,A,A,A,A,A,A,A,A,A,A,A,A
Faux Pas,2,old,-,GPT-4,A+,A,A+,A,A,A,A,A,A,A+,A,A,A,A,A
Faux Pas,3,old,-,GPT-4,A*,A-,A-,A,A,A-,A,A-,A-,A*,A,A-,A,A-,A-
Faux Pas,4,old,-,GPT-4,A*,A,A-,A,A,A,A,A,A,A,A,A,A,A-,A
Faux Pas,5,old,-,GPT-4,A*,A-,A-,A,A,A,A,A-,A+,A-,A,A,A,A,A
Faux Pas,6,old,-,GPT-4,A+,A+,A+,A,A,A+,A,A,A+,A+,A,A+,A+,A+,A+
Faux Pas,7,old,-,GPT-4,A+,A+,A+,A,A,A+,A,A,A,A+,A+,A+,A+,A+,A+
Faux Pas,8,old,-,GPT-4,A*,A-,A,A,A,A,A,A,A,A,A,A,A,A-,A
Faux Pas,9,old,-,GPT-4,A*,A,A-,A,A,A,A,A,A,A-,A,A-,A-,A-,A-
Faux Pas,10,old,-,GPT-4,A+,A+,A+,A,A,A+,A,A+,A+,A+,A+,A+,A+,A+,A+
Faux Pas,11,new,-,GPT-4,A*,A,A-,A,A,A,A,A-,A-,A-,A,A-,A-,A-,A
Faux Pas,12,new,-,GPT-4,A*,A-,A-,A,A,A-,A,A-,A-,A-,A,A-,A-,A-,A
Faux Pas,13,new,-,GPT-4,A*,A-,A-,A,A,A-,A,A-,A-,A-,A,A-,A-,A-,A-
Faux Pas,14,new,-,GPT-4,A*,A-,A-,A,A,A-,A,A-,A-,A-,A,A-,A-,A-,A-
Faux Pas,15,new,-,GPT-4,A*,A-,A-,A,A,A-,A,A-,A-,A-,A,A-,A-,A-,A-
