task,item,source,trial_state,model,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15
Hinting,1,old,-,GPT-3.5,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1
Hinting,2,old,-,GPT-3.5,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Hinting,3,old,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,4,old,-,GPT-3.5,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
Hinting,5,old,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,6,old,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,7,old,-,GPT-3.5,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0
Hinting,8,old,-,GPT-3.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
Hinting,9,old,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,10,old,-,GPT-3.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
Hinting,11,new,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,12,new,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Hinting,13,new,-,GPT-3.5,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0
Hinting,14,new,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,15,new,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,16,new,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,1,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,2,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,3,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,4,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,5,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,6,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,7,old,-,GPT-4,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1
Hinting,8,old,-,GPT-4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
Hinting,9,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,10,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,11,new,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,12,new,-,GPT-4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Hinting,13,new,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,14,new,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,15,new,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,16,new,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
False Belief A,1,old,T,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
False Belief A,2,old,T,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
False Belief A,3,old,F,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
False Belief A,4,old,F,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
False Belief A,5,new,T,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
False Belief A,6,new,F,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
False Belief A,7,new,FC,GPT-3.5,0,,0,,0,,0,,0,,0,,0,,0
False Belief A,8,new,T,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
False Belief A,9,new,FC,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
False Belief B,1,old,F,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
False Belief B,2,old,F,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
False Belief B,3,old,T,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
False Belief B,4,old,T,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
False Belief B,5,new,F,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
False Belief B,6,new,T,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
False Belief B,7,new,FC,GPT-3.5,,0,,0,,0,,0,,0,,0,,0,
False Belief B,8,new,F,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
False Belief B,9,new,TC,GPT-3.5,,0,,0,,0,,0,,0,,0,,0,
False Belief A,1,old,T,GPT-4,,1,1,,1,,1,,1,,1,,1,,1
False Belief A,2,old,T,GPT-4,,1,1,,1,,1,,1,,1,,1,,1
False Belief A,3,old,F,GPT-4,,1,1,,1,,1,,1,,1,,1,,1
False Belief A,4,old,F,GPT-4,,1,1,,1,,1,,1,,1,,1,,1
False Belief A,5,new,T,GPT-4,,1,1,,1,,1,,1,,1,,1,,1
False Belief A,6,new,F,GPT-4,,1,1,,1,,1,,1,,1,,1,,1
False Belief A,7,new,FC,GPT-4,,0,0,,0,,0,,0,,0,,0,,0
False Belief A,8,new,T,GPT-4,,1,1,,1,,1,,1,,1,,1,,1
False Belief A,9,new,FC,GPT-4,,1,1,,1,,1,,1,,1,,1,,1
False Belief B,1,old,F,GPT-4,1,,,1,,1,,1,,1,,1,,1,
False Belief B,2,old,F,GPT-4,1,,,1,,1,,1,,1,,1,,1,
False Belief B,3,old,T,GPT-4,1,,,1,,1,,1,,1,,1,,1,
False Belief B,4,old,T,GPT-4,1,,,1,,1,,1,,1,,1,,1,
False Belief B,5,new,F,GPT-4,1,,,1,,1,,1,,1,,1,,1,
False Belief B,6,new,T,GPT-4,1,,,1,,1,,1,,1,,1,,1,
False Belief B,7,new,FC,GPT-4,0,,,0,,0,,0,,0,,0,,0,
False Belief B,8,new,F,GPT-4,1,,,1,,1,,1,,1,,1,,1,
False Belief B,9,new,TC,GPT-4,0,,,0,,0,,0,,0,,0,,0,
