task,item,source,trial_state,model,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15
Faux Pas,1,old,-,GPT-3.5,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1
Faux Pas,2,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faux Pas,3,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faux Pas,4,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Faux Pas,5,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faux Pas,6,old,-,GPT-3.5,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Faux Pas,7,old,-,GPT-3.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Faux Pas,8,old,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,9,old,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,10,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Faux Pas,11,new,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,12,new,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,13,new,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,14,new,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,15,new,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,1,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,2,old,-,GPT-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Faux Pas,3,old,-,GPT-4,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,4,old,-,GPT-4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Faux Pas,5,old,-,GPT-4,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,6,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,7,old,-,GPT-4,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0
Faux Pas,8,old,-,GPT-4,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0
Faux Pas,9,old,-,GPT-4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Faux Pas,10,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,11,new,-,GPT-4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Faux Pas,12,new,-,GPT-4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,13,new,-,GPT-4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,14,new,-,GPT-4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,15,new,-,GPT-4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,1,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,2,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,3,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,4,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,5,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,6,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,7,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,8,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,9,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,10,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,11,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,12,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,13,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,14,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,15,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
