study,stim_id,party,over_under,or,or_mean,overperception
2,22,Republican,Overperceived,1,5.590909091,4.590909091
2,27,Republican,Underperceived,1,2.681818182,1.681818182
2,30,Democrat,Overperceived,1,4.772727273,3.772727273
2,34,Democrat,Overperceived,1,5,4
2,36,Republican,Underperceived,1,5.84,-1.16
2,42,Democrat,Overperceived,2,5.36,3.36
2,45,Democrat,Overperceived,2,5.8,3.8
2,51,Democrat,Overperceived,1,4.72,3.72
2,53,Republican,Underperceived,3,4.12,1.12
2,60,Republican,Overperceived,1,5.12,4.12
2,69,Republican,Overperceived,1,5.44,4.44
2,72,Republican,Overperceived,1,4.36,3.36
2,85,Republican,Overperceived,1,5.576923077,4.576923077
2,90,Republican,Overperceived,1,5.576923077,4.576923077
2,101,Republican,Underperceived,2,3.92,1.92
2,103,Republican,Underperceived,1,6.08,2.08
2,113,Democrat,Underperceived,1,2.28,1.28
2,114,Republican,Overperceived,1,4.28,3.28
2,115,Republican,Underperceived,1,5.88,-1.12
2,120,Republican,Underperceived,1,4.318181818,-2.681818182
2,122,Democrat,Underperceived,2,1.954545455,0.954545455
2,131,Democrat,Underperceived,1,3.2,2.2
2,135,Democrat,Overperceived,1,5.44,4.44
2,136,Republican,Underperceived,1,3.56,2.56
2,143,Republican,Overperceived,3,5.48,2.48
2,163,Democrat,Underperceived,1,1.36,0.36
2,168,Republican,Underperceived,1,2.8,1.8
2,172,Democrat,Underperceived,2,2.96,0.96
2,186,Republican,Underperceived,1,2.269230769,1.269230769
2,189,Democrat,Overperceived,1,5.961538462,4.961538462
2,191,Democrat,Underperceived,1,2.294117647,1.294117647
1,35,Republican,Overperceived,1,4.9,3.9
1,41,Democrat,Overperceived,1,6.2,5.2
1,42,Democrat,Overperceived,1,5.8,4.8
1,61,Democrat,Overperceived,1,5.625,4.625
1,78,Democrat,Underperceived,1,2.428571429,1.428571429
1,93,Republican,Overperceived,1,4.956521739,3.956521739
1,95,Democrat,Underperceived,2,3.47826087,1.47826087
1,100,Democrat,Underperceived,2,3.217391304,1.217391304
1,132,Democrat,Underperceived,1,3.545454545,2.545454545
