age,ideo_extr,p_identity,sm_use_politics_slider,overperception
26,3,2,0,1.413793103
50,3,7,29,2.684210526
58,2,5,5,-0.142857143
38,3,6,5,1.736842105
32,3,6,5,0.766666667
26,3,5,20,0.233333333
36,3,5,6,-0.266666667
20,3,6,1,0.766666667
25,3,6,9,0.827586207
26,1,5,0,0.37037037
21,2,5,5,-0.518518519
27,2,7,NA,0.925925926
31,3,4,10,0.814814815
35,2,6,NA,1.684210526
22,2,6,3,2.631578947
18,2,5,NA,1.103448276
29,3,6,1,0.172413793
18,2,6,72,1.947368421
24,2,6,0,0.103448276
29,1,4,6,0.379310345
37,3,5,0,1.321428571
25,3,5,0,-0.392857143
21,3,5,24,2.368421053
32,3,2,NA,-0.407407407
32,1,5,NA,-0.285714286
54,2,7,0,-0.068965517
41,1,6,61,0.466666667
39,2,5,8,1.263157895
21,3,5,NA,0.25
35,1,5,10,0.310344828
18,1,4,10,1.157894737
26,1,5,0,0.111111111
25,1,5,NA,1.2
30,2,6,0,0.75
25,2,2,NA,0.148148148
29,1,6,NA,-0.481481481
30,1,4,0,0.310344828
21,1,5,11,0.789473684
21,2,5,0,2.033333333
36,2,7,13,2.105263158
29,1,7,3,0.133333333
19,2,7,11,-0.068965517
33,3,6,0,-0.592592593
27,2,7,NA,0.925925926
45,1,3,NA,1.066666667
53,1,7,5,1.571428571
23,2,7,60,0.533333333
37,1,5,0,-0.379310345
30,1,5,0,2.315789474
19,2,6,NA,-0.315789474
32,1,4,0,-0.107142857
34,2,6,NA,1.105263158
21,1,5,16,1.642857143
22,1,4,NA,0.034482759
36,1,5,5,0.333333333
29,3,7,5,-0.684210526
42,3,7,60,3.071428571
60,2,6,0,-1.444444444
41,1,5,0,-0.592592593
19,0,4,NA,0.275862069
44,0,6,1,-0.066666667
69,2,6,1,0.444444444
58,1,4,1,0.3
33,1,4,0,0.7
47,1,5,0,0.035714286
45,3,7,7,2
37,2,6,12,0.266666667
39,1,7,93,1.25
25,3,7,3,0.862068966
30,0,5,25,0.366666667
72,3,6,NA,-0.296296296
59,1,3,2,0.631578947
39,1,6,24,1.103448276
40,2,7,6,0.033333333
62,2,6,27,0.933333333
40,1,4,71,0.62962963
35,3,6,71,0.444444444
41,1,5,5,0.551724138
45,3,7,83,2.736842105
33,0,7,4,-0.321428571
40,3,7,96,1.896551724
20,1,4,NA,0.842105263
22,2,5,NA,-0.233333333
18,1,3,4,1.535714286
24,1,7,5,0.75
30,2,7,84,1.947368421
35,1,5,100,2.631578947
30,3,7,54,0.366666667
55,0,4,NA,0.571428571
24,3,6,5,2.071428571
30,1,5,NA,1.206896552
26,1,4,24,-0.333333333
55,1,7,31,0.620689655
18,1,7,NA,-0.074074074
47,0,4,11,0.733333333
37,1,4,0,0.642857143
28,1,6,0,2.421052632
30,3,7,8,1.566666667
26,1,5,0,0.066666667
37,3,7,17,-0.894736842
29,1,5,19,1.074074074
39,3,7,30,-2.321428571
68,3,7,1,1.894736842
21,2,7,15,0
52,1,6,NA,0.037037037
18,0,6,37,2.105263158
33,2,7,NA,-2.107142857
20,1,5,0,0.333333333
36,0,4,1,0.517241379
42,1,7,51,1.103448276
