group_id,tweet_id,sr_outrage,sr_happy,author_ideology,block_id,classifier
1,1,6,1,-1.23096,1,1
2,2,4,4,-2.40053,1,1
3,3,7,5,0.537434,1,1
4,4,3,1,-1.34173,1,1
5,5,2,1,1.88815,1,1
6,6,1,7,2.033792,1,1
7,7,6,1,1.62781,1,1
8,8,7,1,0.008102,1,1
9,9,7,1,1.5928,1,1
10,10,2,5,1.377461,1,1
11,11,7,1,-1.04152,1,1
12,12,1,4,-1.59199,1,1
13,13,7,1,-0.93578,1,1
14,14,3,5,NA,1,1
15,15,7,4,0.004502,1,1
16,16,3,3,-2.07981,2,1
17,17,5,5,1.781928,2,1
18,18,6,1,1.783766,2,1
19,19,6,2,0.355897,2,1
20,20,5,1,NA,2,1
21,21,7,1,2.117945,2,1
22,22,3,1,1.638438,2,1
23,23,7,1,-0.73819,2,1
24,24,3,6,1.511858,2,1
25,25,7,1,-0.90233,2,1
26,26,7,1,1.812915,2,1
27,27,7,1,1.461979,2,1
28,28,4,7,2.019742,2,1
29,29,2,6,-1.75427,2,1
30,30,3,5,0.298322,2,1
31,31,1,6,1.838811,3,1
32,32,7,1,1.809814,3,1
33,33,5,3,-0.18237,3,1
34,34,6,1,1.837868,3,1
35,35,1,4,2.292459,3,1
36,36,1,1,2.088558,3,1
37,37,4,7,NA,3,1
38,38,6,7,-0.5133,3,1
40,40,6,3,-2.28902,3,1
41,41,1,5,-0.19496,3,1
42,42,1,3,NA,3,1
43,43,5,1,0.430736,3,1
44,44,6,1,-1.39383,3,1
45,45,1,1,-1.20432,3,1
46,46,4,4,0.65746,4,1
47,47,5,1,-2.3803,4,1
48,48,5,5,-1.73887,4,1
49,49,1,1,-0.42892,4,1
50,50,7,1,0.411687,4,1
51,51,7,1,1.15695,4,1
52,52,6,1,-1.39207,4,1
53,53,5,2,-1.7996,4,1
54,54,6,1,0.569625,4,1
55,55,1,5,-2.28592,4,1
56,56,1,1,NA,4,1
57,57,3,3,-0.30719,4,1
58,58,1,6,NA,4,1
59,59,7,1,-1.12938,4,1
60,60,3,5,1.805287,4,1
61,61,1,1,-1.40178,5,1
62,62,1,5,-2.08096,5,1
63,63,1,5,1.857249,5,1
65,65,6,1,0.856243,5,1
66,66,1,1,-1.04592,5,1
67,67,2,1,0.286055,5,1
68,68,7,1,-0.32657,5,1
69,69,4,1,NA,5,1
70,70,1,1,0.851434,5,1
1,73,1,5,1.545078,1,0
2,74,5,1,1.04041,1,0
3,75,1,5,-1.39431,1,0
4,76,7,1,1.209184,1,0
5,77,7,7,-2.3305,1,0
6,78,1,5,NA,1,0
7,79,6,6,1.32362,1,0
8,80,3,4,1.563982,1,0
9,81,2,4,-1.03883,1,0
13,85,4,4,-1.46249,1,0
14,86,7,7,2.367607,1,0
15,87,6,6,1.363299,1,0
16,88,6,1,1.726679,2,0
17,89,1,6,-0.72805,2,0
18,90,2,2,0.243223,2,0
19,91,7,1,-1.651,2,0
20,92,3,6,1.899138,2,0
21,93,1,4,2.01551,2,0
22,94,7,1,-2.07809,2,0
23,95,2,3,-1.227,2,0
24,96,1,6,1.14327,2,0
25,97,1,1,0.495003,2,0
26,98,1,1,-1.23214,2,0
27,99,5,4,1.497184,2,0
28,100,2,1,1.554335,2,0
29,101,5,1,-2.27649,2,0
30,102,6,4,NA,2,0
31,103,1,4,NA,3,0
32,104,7,1,-1.66557,3,0
33,105,7,4,-0.53984,3,0
34,106,7,1,0.680927,3,0
35,107,6,4,-0.82921,3,0
36,108,1,1,-0.59441,3,0
37,109,6,4,-0.6847,3,0
38,110,7,1,1.810891,3,0
39,111,6,3,-0.14459,3,0
41,113,4,4,1.257749,3,0
42,114,1,1,1.310853,3,0
43,115,1,1,1.57583,3,0
44,116,1,6,2.020099,3,0
45,117,4,3,-2.10715,3,0
46,118,2,6,0.785631,4,0
47,119,3,5,-1.24813,4,0
48,120,1,5,2.315045,4,0
49,121,5,4,2.122858,4,0
50,122,2,6,NA,4,0
51,123,6,5,-0.97099,4,0
52,124,4,1,-1.77401,4,0
53,125,7,6,0.499023,4,0
54,126,1,1,-1.17817,4,0
55,127,6,1,-2.36714,4,0
56,128,4,3,-1.48862,4,0
58,130,6,1,-1.67454,4,0
59,131,6,5,-1.6907,4,0
60,132,1,2,-1.20482,4,0
61,133,4,5,1.379373,5,0
62,134,4,1,-1.5051,5,0
63,135,4,5,1.9637,5,0
64,136,1,7,1.875288,5,0
65,137,1,6,-0.59474,5,0
66,138,1,5,-1.69865,5,0
67,139,6,2,-2.06192,5,0
68,140,5,4,0.697669,5,0
69,141,1,5,-2.01161,5,0
70,142,4,7,-1.57672,5,0
