group_id,tweet_id,sr_outrage,sr_happy
1,1,1,7
2,2,7,1
3,3,7,1
4,4,6,1
5,5,7,1
6,6,6,1
7,7,3,5
8,8,7,1
9,9,5,1
10,10,7,1
11,11,4,1
12,12,7,1
13,13,7,7
14,14,4,3
15,15,6,1
16,16,5,2
17,17,3,6
18,18,6,1
19,19,3,1
20,20,4,1
21,21,2,1
22,22,1,4
23,23,2,1
24,24,4,5
25,25,7,1
26,26,7,1
27,27,1,7
28,28,1,5
29,29,4,6
30,30,1,7
31,31,7,1
32,32,3,3
33,33,7,7
34,34,1,1
35,35,4,4
36,36,7,1
37,37,3,2
38,38,5,2
41,41,1,6
42,42,2,6
43,43,2,4
44,44,7,1
45,45,2,4
46,46,1,5
47,47,5,2
48,48,7,1
49,49,2,1
50,50,4,1
51,51,1,1
52,52,7,1
53,53,3,4
54,54,1,1
55,55,5,3
56,56,3,1
57,57,7,3
58,58,5,2
59,59,7,1
60,60,1,1
61,61,6,2
62,62,4,3
63,63,6,1
65,65,7,1
66,66,7,1
67,67,6,3
68,68,6,1
69,69,1,4
70,70,5,3
71,71,3,1
72,72,1,1
73,73,7,1
74,74,1,5
75,75,3,4
76,76,2,2
77,77,5,4
78,78,7,1
79,79,7,1
80,80,1,1
81,81,6,2
82,82,7,1
83,83,7,3
84,84,7,3
85,85,1,6
86,86,1,4
87,87,7,1
88,88,1,1
89,89,5,1
90,90,1,1
91,91,1,4
92,92,7,2
93,93,7,1
94,94,7,1
95,95,6,1
96,96,5,3
97,97,5,1
98,98,7,4
99,99,4,1
100,100,7,1
1,101,2,4
2,102,1,5
3,103,4,4
4,104,7,1
5,105,6,1
6,106,2,6
7,107,1,1
8,108,4,2
9,109,4,1
10,110,4,1
11,111,5,1
12,112,1,4
13,113,1,1
14,114,1,1
15,115,7,1
16,116,6,1
17,117,7,4
18,118,7,7
19,119,7,1
20,120,7,1
21,121,6,1
22,122,1,5
23,123,1,1
24,124,6,7
25,125,1,5
26,126,6,2
27,127,5,2
28,128,3,1
29,129,5,1
30,130,3,1
31,131,1,1
32,132,4,3
33,133,7,1
34,134,4,2
35,135,1,4
36,136,1,5
37,137,7,1
38,138,1,1
39,139,3,5
40,140,1,6
41,141,7,1
42,142,7,1
43,143,3,1
44,144,7,3
45,145,7,3
46,146,2,2
47,147,5,2
48,148,6,1
49,149,6,5
50,150,1,7
51,151,2,3
52,152,2,2
53,153,2,5
54,154,1,4
55,155,1,5
56,156,2,6
57,157,7,7
58,158,6,1
59,159,4,4
60,160,1,1
61,161,1,1
62,162,6,5
63,163,1,7
64,164,7,6
65,165,1,1
66,166,6,1
67,167,6,2
68,168,1,4
69,169,6,5
70,170,1,6
71,171,6,1
72,172,2,5
73,173,6,4
74,174,3,3
75,175,1,7
76,176,7,1
77,177,3,1
78,178,5,6
79,179,1,3
80,180,1,4
81,181,4,4
82,182,4,6
83,183,3,5
84,184,1,2
85,185,1,4
86,186,1,5
87,187,1,4
88,188,1,5
89,189,1,1
90,190,4,4
91,191,1,1
92,192,5,1
93,193,1,3
94,194,2,6
95,195,1,7
96,196,1,4
97,197,6,2
98,198,7,4
99,199,7,1
100,200,7,7
