condition,network_outrage,political_party,political_ideology,rep_identity,dem_identity,barr_check,barrett_check,seen_quiz,unseen_quiz,barr_familiar,barr_post,barrett_familiar,barrett_post,follow_politics,vote_2016,vote_2018,vote_2020,sm_freq,sm_daily_freq,sm_political_freq,sm_daily_political_freq,sm_share_reason,sm_platforms,online_news_outlets,twitter_handle,mood,gender,ethnicity,age,education
Low Overperception,4,Republican,6,2,-3,1,1,1,1,-3,No,-1,No,0,Yes,Yes,Republican Donald Trump,Daily or more,10,Never,0,['I want people to see the content'],"['Twitter', 'Facebook']","['Fox News', 'Yahoo! News']",NA,2,female,['White'],53,4 year degree
Low Overperception,3,Republican,7,2,-3,1,0,0,1,-3,No,-3,No,0,Yes,Yes,Republican Donald Trump,Never,0,Never,0,['Other'],['YouTube'],['Fox News'],NA,1,male,['White'],33,4 year degree
High Overperception,7,Democrat,3,-2,2,1,1,0,1,-3,No,-3,No,-3,No,No,I did not vote,Daily or more,19,Between once per week and once per month,10,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['Fox News', 'CNN', 'NY Times', 'Washington Post']",NA,3,female,['Asian'],24,4 year degree
Low Overperception,4,Democrat,1,-3,2,1,1,0,1,0,No,2,No,1,No,No,Democrat Joe Biden,Daily or more,3,2-3 times a week,0,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Facebook', 'YouTube', 'Twitch', 'Other']","['CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,Perfer not to disclose,['Asian'],19,Some college
High Overperception,6,Republican,5,-1,1,1,1,0,1,0,No,2,No,1,No,No,I did not vote,Daily or more,19,Daily or more,9,['Other'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Drudge Report', 'Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,Male,['White'],47,4 year degree
High Overperception,7,Democrat,4,-2,1,1,1,0,1,-2,No,-2,No,-2,No,No,I did not vote,4-6 times a week,0,Never,0,[],"['Instagram', 'YouTube']","['Yahoo! News', 'CNN']",NA,2,female,['White'],37,Postgraduate/Professional degree/other
Low Overperception,1,Republican,7,3,-3,1,1,0,1,3,Yes,3,Yes,3,Yes,Yes,Republican Donald Trump,Daily or more,91,Daily or more,100,"['I want people to see the content', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'YouTube', 'Gab', 'Other']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Other']",NA,1,Female,['White'],60,4 year degree
Low Overperception,3,Democrat,1,-3,3,1,1,0,1,0,No,0,No,2,Yes,Yes,Democrat Joe Biden,Daily or more,9,Daily or more,6,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['NY Times', 'Washington Post']",NA,5,Female,['White'],28,2 year degree
Low Overperception,4,Republican,4,1,-1,0,1,0,1,-1,No,-1,No,-2,No,No,I did not vote,Daily or more,19,Between once per week and once per month,2,['I want people to see the content'],['Facebook'],['Fox News'],NA,2,female,['White'],41,4 year degree
High Overperception,5,Democrat,1,-3,3,1,1,0,1,1,No,2,No,3,Yes,Yes,Democrat Joe Biden,Daily or more,16,4-6 times a week,1,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,2,Female,['White'],39,4 year degree
High Overperception,5,Republican,5,3,-3,1,1,0,1,NA,NA,2,No,NA,Yes,No,Republican Donald Trump,Daily or more,4,Daily or more,2,['The content represents my beliefs or attitudes'],"['Facebook', 'Instagram', 'YouTube', 'Parlor']",['Fox News'],NA,NA,Female,"['White', 'Other']",59,Some college
Low Overperception,5,Republican,5,1,-1,1,1,0,1,2,No,2,No,1,Yes,Yes,Democrat Joe Biden,Daily or more,14,Once per week,0,['The content represents my beliefs or attitudes'],"['Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'Washington Post', 'Huffington Post']",NA,2,female,['White'],53,4 year degree
High Overperception,6,Democrat,2,-3,2,1,1,0,1,NA,NA,3,No,2,Yes,Yes,Democrat Joe Biden,Daily or more,9,2-3 times a week,0,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['Five Thirty Eight', 'Yahoo! News', 'CNN', 'NY Times']",NA,2,male,"['Hispanic, Latinx, or Spanish origin']",28,4 year degree
High Overperception,5,Republican,6,2,-2,1,1,0,1,2,No,3,No,1,Yes,Yes,Republican Donald Trump,Daily or more,19,Between once per week and once per month,15,"['I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Facebook', 'YouTube']","['Fox News', 'CNN', 'Washington Post']",NA,2,Male,['White'],26,Postgraduate/Professional degree/other
High Overperception,6,Democrat,2,-3,2,1,1,0,1,0,No,-1,No,1,Yes,Yes,Democrat Joe Biden,2-3 times a week,24,Once per week,1,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'Other']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'Huffington Post', 'Other']",NA,2,genderqueer,['White'],33,Postgraduate/Professional degree/other
High Overperception,6,Republican,4,1,-2,0,0,0,0,-2,No,-2,No,-2,Yes,Yes,Republican Donald Trump,Daily or more,2,Between once per month and once per year,1,['I want people to see the content'],"['Twitter', 'Facebook', 'YouTube']",['NY Times'],NA,3,Male,['White'],31,High school
High Overperception,6,Republican,5,1,1,1,1,0,1,-3,No,-3,No,-1,No,No,I did not vote,Daily or more,29,Between once per week and once per month,0,"['The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Yahoo! News', 'CNN']",NA,3,m,['Asian'],30,Postgraduate/Professional degree/other
Low Overperception,2,Republican,5,1,-2,1,1,0,1,0,No,0,No,0,Yes,Yes,Republican Donald Trump,Daily or more,7,2-3 times a week,1,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN']",NA,4,female,['White'],55,Some college
High Overperception,5,Republican,7,3,-3,0,1,0,1,-3,No,-3,No,0,No,No,I did not vote,Daily or more,80,Never,12,['I want people to see the content'],"['Facebook', 'Instagram', 'YouTube']","['Fox News', 'CNN', 'MSN News']",NA,1,female,['White'],26,High school
Low Overperception,4,Republican,6,3,-1,1,1,0,0,1,No,1,No,0,Yes,Yes,Republican Donald Trump,Daily or more,15,Once per week,8,"[""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook']","['Fox News', 'CNN']",NA,3,male,['White'],31,Postgraduate/Professional degree/other
Low Overperception,4,Republican,7,3,-3,0,1,0,1,-3,No,-2,No,0,No,No,I did not vote,Daily or more,0,2-3 times a week,0,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Facebook', 'YouTube']",['Fox News'],NA,2,female,['White'],30,High school
Low Overperception,5,Democrat,3,-2,1,1,1,0,1,0,No,0,No,-1,No,No,Democrat Joe Biden,2-3 times a week,5,Between once per month and once per year,1,['I want to make people laugh'],"['Facebook', 'YouTube']","['CNN', 'Other']",NA,3,Male,['White'],44,High school
Low Overperception,4,Republican,7,3,-3,1,1,0,1,3,No,3,No,3,Yes,Yes,Republican Donald Trump,2-3 times a week,2,Daily or more,1,['I want to make people laugh'],"['YouTube', 'Twitch']","['Fox News', 'Other']",NA,2,female,['White'],45,4 year degree
