jatosResId;workerID;Consent;Age;Gender;Hand;Vis;Neuro;Neuro_comm;Med;Educ;Training;catchTrial;area_AA;area_IAE;area_CB;area_ARtot;panas_PA;panas_NA;bfi_soc;bfi_ass;bfi_enl;bfi_com;bfi_rse;bfi_tru;bfi_org;bfi_pro;bfi_rsp;bfi_anx;bfi_dep;bfi_emv;bfi_int;bfi_aes;bfi_cre;bfi_Ext;bfi_Agr;bfi_Con;bfi_Neg;bfi_Opn
1833;1508;1;39;2;1;2;2;;2;;"Sadly none. Some art and music in high-school only.";1;2.625;1.5;0.666666666666667;1.59722222222222;2.16666666666667;1.6;2.25;3.5;3.75;3.5;2.5;2.75;1.25;4.25;3;4.25;2.5;4;4.75;4.5;4.5;3.16666666666667;2.91666666666667;2.83333333333333;3.58333333333333;4.58333333333333
1837;1511;1;48;1;1;2;2;;2;;"I have studied and developed my entire career as a civil engineer, working continuously with plans and architecture. In parallel I compose music and I like to draw";1;3.25;2;2;2.41666666666667;4;1.2;2.5;3;4.25;3.5;4.5;3;4.75;4.5;3.5;2;1.5;1.75;3.25;3.25;4;3.25;3.66666666666667;4.25;1.75;3.5
1838;1512;1;21;1;1;1;2;;2;;"none";1;1.375;0.5;0.333333333333333;0.736111111111111;2;1;2;4.5;3;2.25;3.25;3;3.75;3.25;3.25;1.5;2;1;4;2;3;3.16666666666667;2.83333333333333;3.41666666666667;1.5;3
1902;1576;1;25;1;1;1;2;;2;"Bachelor's degree";"I have had lessons in piano (beginner) not too long ago but had to stop due to the coronavirus pandemic.";1;1.625;0.25;0.333333333333333;0.736111111111111;1.83333333333333;1.2;1;1.5;1.5;2.75;3.5;1;4.75;2;2;4;4.25;4;4.25;2;3;1.33333333333333;2.41666666666667;2.91666666666667;4.08333333333333;3.08333333333333
1904;1578;1;21;1;1;1;2;;2;"high school";"no training at all";1;1.125;1;0.666666666666667;0.930555555555555;2.33333333333333;1.2;3.25;3.25;4;3.5;3;2.25;2.25;3.5;3;2.5;2.75;3;2.25;2.5;2.25;3.5;2.91666666666667;2.91666666666667;2.75;2.33333333333333
1906;1580;1;19;1;1;2;2;;2;"Middle school";;1;0.875;0;0;0.291666666666667;2.5;1;2.25;2.75;3;3;3;3;2;2.75;2.5;2.5;1.5;2.5;4;2.5;3;2.66666666666667;3;2.41666666666667;2.16666666666667;3.16666666666667
1909;1583;1;30;2;1;1;2;;2;"BA ";"none. but i am a content writer for a living";1;2;1;0.333333333333333;1.11111111111111;1.83333333333333;1;4;3.25;4;4.25;3.75;3.5;2.25;3;3.25;4.75;4.25;4.5;4.25;3.5;3.5;3.75;3.83333333333333;2.83333333333333;4.5;3.75
1908;1582;1;20;1;2;1;2;;2;"high school";"I had music and art lessons for like 4 years in my school. We usually siing or draw pictures nothing special";0;2.5;3;1;2.16666666666667;3.16666666666667;1.2;3;3.75;3.5;3.5;3.5;2.75;4;2.75;2.75;4;2;2.25;4;3.5;4.5;3.41666666666667;3.25;3.16666666666667;2.75;4
1930;1603;1;45;2;1;1;2;;2;"Some college";"Descriptive geometry. Hip Hop dance. 2 theatre performances.";1;3.125;1.75;1.33333333333333;2.06944444444444;3.5;1.2;3.25;4;3.5;3.5;4;3.5;3.5;3.5;2.75;3;2.25;3.5;3.75;3.75;4.25;3.58333333333333;3.66666666666667;3.25;2.91666666666667;3.91666666666667
1931;1604;1;64;1;1;1;2;;2;"high school";"no training";1;2.625;2;0.333333333333333;1.65277777777778;3.66666666666667;1.2;3.75;3.5;4;4;3.5;4;4.25;4.75;4.25;3.25;2.25;2.25;3.5;3.5;4.25;3.75;3.83333333333333;4.41666666666667;2.58333333333333;3.75
1953;1626;1;35;2;1;1;2;;2;"Masters";;1;3.875;2.25;3;3.04166666666667;3.33333333333333;1;4.5;4.25;4;3.25;5;3;4.25;3;4;2;1.25;1.75;5;5;5;4.25;3.75;3.75;1.66666666666667;5
1955;1628;1;22;1;1;2;2;;2;"high school";"undergraduate courses in writing";1;2.625;1.5;1;1.70833333333333;2.5;1;2.25;5;2.75;4.25;4.5;4.5;1.25;3.5;3.75;1.25;1.25;1;5;5;4.5;3.33333333333333;4.41666666666667;2.83333333333333;1.16666666666667;4.83333333333333
1956;1629;1;24;2;1;2;2;;2;"A-Level";"I've learned piano for 4 years and a bit of graphic design lectures.";1;2.125;1;1;1.375;2;1;1.5;2.25;1.75;2.5;3.5;2.75;2.5;3;2;3.25;3.75;1.75;3.5;3;3.25;1.83333333333333;2.91666666666667;2.5;2.91666666666667;3.25
1957;1630;1;32;1;1;2;2;;2;"Master's Degree";"None";1;1.75;0.5;0.666666666666667;0.972222222222222;3.33333333333333;1;3;5;3.25;3.75;3.5;3;3.5;3.5;4;2.25;2;1.75;4.75;3.75;4.25;3.75;3.41666666666667;3.66666666666667;2;4.25
1959;1632;1;23;1;1;2;2;;2;"College";"Only in CAM design of manufacture parts.";1;2;0.5;1;1.16666666666667;4;1.4;2;1.75;2.25;3;4.25;2.5;3.25;3.25;3.75;2.25;3.25;2.75;3.75;3;4.5;2;3.25;3.41666666666667;2.75;3.75
1960;1633;1;21;1;1;2;2;;2;"Bachelor";"I had training on how to play a guitar and in school I had subjects about visual arts and creative writing.";1;2.625;1.5;1;1.70833333333333;3.83333333333333;1.2;2.75;2.75;4.5;3;4;4;4;4.75;3;1.25;1.5;1.25;4.75;3.75;3.5;3.33333333333333;3.66666666666667;3.91666666666667;1.33333333333333;4
1963;1636;1;33;1;1;1;2;;2;"MSc.";"None";1;2.875;1.5;0.333333333333333;1.56944444444444;2.5;1;1.25;1.5;2.75;4.75;4.75;4;5;2.5;3.75;2.5;3.25;1.25;4.5;4;3.5;1.83333333333333;4.5;3.75;2.33333333333333;4
1999;1660;1;21;1;1;1;2;;2;"Abitur (High School)";"I do not have any training.";1;1.875;0.5;0;0.791666666666667;3;1;4.5;3.75;4.5;4.75;4.75;4;5;5;4.75;2.25;1.75;1.25;4;3.25;4;4.25;4.5;4.91666666666667;1.75;3.75
2005;1665;1;25;1;1;1;2;;2;"College";;1;1.75;0.75;0.333333333333333;0.944444444444445;3.66666666666667;1.4;1.5;1.5;3;2.75;3;3.5;1.5;2.5;2.5;4.25;3;4.25;2.25;3.75;1.25;2;3.08333333333333;2.16666666666667;3.83333333333333;2.41666666666667
2006;1666;1;24;1;2;1;2;;2;"University";"I had 2 art courses when I was in high school";1;3.375;2;1.33333333333333;2.23611111111111;4;1.2;4.75;3.5;3.75;5;5;4.25;4.5;4.75;3.5;1.75;2;1.5;5;4;5;4;4.75;4.25;1.75;4.66666666666667
2007;1667;1;25;1;1;2;2;;2;"High School";"No training at all";1;2.375;1.25;0.666666666666667;1.43055555555556;3.33333333333333;1.2;1.5;3.5;1.5;2.75;3.5;3;4.5;3;4.25;2.5;4;1.25;4.75;4.5;4.5;2.16666666666667;3.08333333333333;3.91666666666667;2.58333333333333;4.58333333333333
2010;1669;1;27;1;1;1;2;;2;"bachelor degree";"mainly school subjects like music and architecture and dance films";1;2.75;1.25;0.666666666666667;1.55555555555556;4.5;1;2.5;3.75;3.25;2.5;4.25;3;4;3;4;2;1.75;1.5;3.25;3.5;4;3.16666666666667;3.25;3.66666666666667;1.75;3.58333333333333
2011;1670;1;43;1;1;1;2;;2;"bachelors degree";;1;3.5;3.25;3.33333333333333;3.36111111111111;3.83333333333333;1.6;3.5;3.75;3.75;3.25;3.5;3;2.75;3.5;2.75;2.25;2.5;3.25;3.5;3.75;3.75;3.66666666666667;3.25;3;2.66666666666667;3.66666666666667
2012;1671;1;34;2;1;1;2;;2;"Bachelor's degree";"No training at all";1;1.375;0;0;0.458333333333333;3.33333333333333;1.4;1.5;3;3.5;1.75;4.75;1.25;4.5;2.25;4;4.5;3.25;3;3.25;2.75;3.75;2.66666666666667;2.58333333333333;3.58333333333333;3.58333333333333;3.25
2038;1681;1;21;1;1;2;2;;2;"Bachelor";"I have a minor in architecture and consider myself as an artistic person, trying every type of art possible in my reach";1;2.375;0.25;3;1.875;3.5;1;3.75;3.5;3.75;3.25;4.25;3.75;3.25;2.5;3.25;3;3.5;2.75;4.5;3.5;5;3.66666666666667;3.75;3;3.08333333333333;4.33333333333333
2037;1680;1;18;1;1;1;2;;2;"High school diploma";"In terms of arts, I dont have much training or schooling. I had a subject called ""Visual education"" throughout middle and high school. I also had 2 years of music practice in middle school. Im currently trying to learn how to play the keyboard at home";1;2.625;1.5;0.666666666666667;1.59722222222222;1.5;2.8;2.5;3;2.75;3.5;4;3.75;3.75;2.5;3.25;3.75;4;3.75;5;3.75;4.5;2.75;3.75;3.16666666666667;3.83333333333333;4.41666666666667
2039;1682;1;23;1;2;1;2;;2;;"I teach bodypump, zumba, etc";1;1.125;0.75;0;0.625;1.83333333333333;1.8;3.75;3.5;3.75;3.75;4.25;2;3.5;2.25;3.5;3.75;3.75;3.5;3.25;2.25;2.25;3.66666666666667;3.33333333333333;3.08333333333333;3.66666666666667;2.58333333333333
2041;1684;1;19;1;1;1;2;;2;;;1;1.5;0.75;0.333333333333333;0.861111111111111;3.83333333333333;1.6;1.5;3;3.5;3.25;3.25;2.5;3;2.5;3.5;3;3;3.25;3.25;3.25;3.5;2.66666666666667;3;3;3.08333333333333;3.33333333333333
2044;1687;1;21;1;1;2;2;;2;"bachelors degree";"none";1;2.375;0.75;0;1.04166666666667;3.66666666666667;3.4;3;3;3.5;3.75;3.5;3.25;3.25;3.25;2.75;3.25;3.25;2.75;3.75;2.75;2.75;3.16666666666667;3.5;3.08333333333333;3.08333333333333;3.08333333333333
2045;1688;1;45;2;1;2;2;;2;"postgraduate";"I am a drama teacher and my degree was in English with drama. I am married to an artist and have always appreciated visual and creative arts as well as literature.";1;3.375;2;3.33333333333333;2.90277777777778;3.5;1;4.5;4.75;4;4;4.75;3.5;3;4.25;4;2;1.75;1;4.75;5;4.75;4.41666666666667;4.08333333333333;3.75;1.58333333333333;4.83333333333333
2055;1695;1;37;1;1;1;2;;2;"Degree";"I have a degree in architecture";1;3.25;3.25;3;3.16666666666667;3.16666666666667;1.8;3.5;3.75;4.75;4;5;4.5;4.25;4.5;3.5;2;1.75;1.75;4.75;4;4.5;4;4.5;4.08333333333333;1.83333333333333;4.41666666666667
2057;1697;1;21;1;2;2;2;;2;"Highschool";"Only classes such as art or music at school.";1;1.875;0.25;0.666666666666667;0.930555555555555;3.5;1;2;4;3.25;1.75;2.5;2.5;5;3;3.5;3.25;1.5;1.25;4.25;3.5;3.75;3.08333333333333;2.25;3.83333333333333;2;3.83333333333333
2056;1696;1;21;1;1;2;2;;2;"holder of university degree";"I attended classes in design, computer modeling, and also dance courses, e.g. Latin American dances,";1;2.75;2.25;1.66666666666667;2.22222222222222;3.5;2.2;3.5;3;2.75;3.5;4;3;2.5;3.25;3.25;3.25;2.5;2.75;3;3;3.75;3.08333333333333;3.5;3;2.83333333333333;3.25
2058;1698;1;18;1;1;1;2;;2;"High school";"I training football and i had music lessons";1;2.25;0.75;0.333333333333333;1.11111111111111;3.33333333333333;2.8;3.25;3;3.25;4.75;4.25;2.5;2.75;2.25;2.75;3.75;2;3;3.25;4;3;3.16666666666667;3.83333333333333;2.58333333333333;2.91666666666667;3.41666666666667
2061;1701;1;30;2;1;2;2;;2;"Bachelors degree";"none";1;1.75;0.75;0.333333333333333;0.944444444444445;2.33333333333333;3.4;3.5;3.25;3;2.5;3;1.75;4;3.25;3.75;4;4;3.25;4;3;3.75;3.25;2.41666666666667;3.66666666666667;3.75;3.58333333333333
2062;1702;1;49;1;1;2;2;;2;"Bachelor degree";"None since school";1;2.5;1;0.666666666666667;1.38888888888889;3;1.2;2;2.75;3.75;3.5;3.75;2.75;3.5;2.25;3;4.25;3;3.5;4.75;4.25;4.5;2.83333333333333;3.33333333333333;2.91666666666667;3.58333333333333;4.5
2063;1703;1;19;1;1;2;2;;2;"high school";"I used to dance in primary school during first 3 years of my education. ";1;1;0.25;0;0.416666666666667;2.83333333333333;1;3;4;2.5;4.25;2.75;2.25;1;1.25;2.75;3.75;2.5;2.25;3;2.75;3.5;3.16666666666667;3.08333333333333;1.66666666666667;2.83333333333333;3.08333333333333
2065;1705;1;21;1;1;2;2;;2;"Highschool";"none";1;1.625;0.5;0.333333333333333;0.819444444444445;2.5;1;1.75;1.5;1;4.5;4.75;3.5;1;1.25;2;2.25;2.75;1.25;1.5;2.75;1.75;1.41666666666667;4.25;1.41666666666667;2.08333333333333;2
