country,subj_id,gender,age,experimenter,location,character_cat,character_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,1,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,3,universal,feel love,like when you really like somebody and care about them a lot,kind of,kind of,0.5,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,4,universal,get hungry,like when you feel like you need to eat something,yes,yes,1,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,5,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,6,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,7,universal,feel happy,like when you feel good,yes,yes,1,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,8,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,kind of,kind of,0.5,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,9,universal,get angry,like when you feel mad,kind of,kind of,0.5,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,10,universal,"feel sick, like when you feel like you might vomit",[NONE],kind of,kind of,0.5,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,11,universal,feel pain,like when something hurts you,yes,yes,1,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,12,universal,sense temperatures,like when you can tell if something is warm or cool,kind of,kind of,0.5,NA
US,us_children_001_beetles,female,7,NAP,tech,universal,beetles,beetles,1,13,universal,feel sad,like when you feel bad or unhappy,yes,yes,1,NA
