country,subj_id,gender,age,experimenter,location,target_cat,target_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,1,universal,remember things,like when you remember something that happened before,Ating,kind of,0.5
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,2,universal,hear things,like when you hear a noise,Yes,yes,1
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,3,universal,think about things,like when you have a thought or an idea about something,Ating,kind of,0.5
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,4,universal,choose what to do,like when you decide between different things,Ating,kind of,0.5
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,5,universal,feel guilty,like when you feel bad because you did something mean,No,no,0
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,6,universal,feel scared,like when you feel afraid,Yes,yes,1
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,7,universal,feel shy,like when you feel quiet or embarrassed,No,no,0
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,8,universal,pray,like when you pray,No,no,0
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,9,universal,feel proud,like when you feel really good about something you did,No,no,0
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,10,universal,feel tired,like when you feel sleepy,No,no,0
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,11,universal,feel sad,like when you feel bad or unhappy,Ating,kind of,0.5
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,12,universal,sense temperatures,like when you can tell if something is warm or cool,Yes,yes,1
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,13,universal,feel pain,like when something hurts you,Ating,kind of,0.5
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,14,universal,"feel sick, like when you feel like you might vomit",[NONE],No,no,0
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,15,universal,get angry,like when you feel mad,Ating,kind of,0.5
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,16,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,No,no,0
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,17,universal,feel happy,like when you feel good,Ating,kind of,0.5
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,18,universal,sense when things are far away,like when you see that something is far away from you,No,no,0
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,19,universal,smell things,"like when you can tell if something smells sweet, or rotten",Yes,yes,1
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,20,universal,get hungry,like when you feel like you need to eat something,Yes,yes,1
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,21,universal,feel love,like when you really like somebody and care about them a lot,Yes,yes,1
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,22,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,Ating,kind of,0.5
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,23,universal,figure out how to do things,like when you learn a new fact or understand something new,Yes,yes,1
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,24,universal add-on,bleed if they touch something sharp,[NONE],Yes,yes,1
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,25,universal add-on,have minds,[NONE],Yes,yes,1
Vanuatu,vt_adults_001_mice,female,28,LT,Port Vila,universal,mice,mice,4,26,universal add-on,have souls,[NONE],Ating,kind of,0.5
Vanuatu,vt_adults_002_missing data,female,56,LT,Malekula,site specific,missing data,NA,3,1,universal,feel tired,like when you feel sleepy,yes,yes,1
Vanuatu,vt_adults_002_missing data,female,56,LT,Malekula,site specific,missing data,NA,3,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,yes,yes,1
Vanuatu,vt_adults_002_missing data,female,56,LT,Malekula,site specific,missing data,NA,3,3,universal,get angry,like when you feel mad,yes,yes,1
Vanuatu,vt_adults_002_missing data,female,56,LT,Malekula,site specific,missing data,NA,3,4,universal,feel proud,like when you feel really good about something you did,yes,yes,1
Vanuatu,vt_adults_002_missing data,female,56,LT,Malekula,site specific,missing data,NA,3,5,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1
Vanuatu,vt_adults_002_missing data,female,56,LT,Malekula,site specific,missing data,NA,3,6,universal,feel sad,like when you feel bad or unhappy,yes,yes,1
Vanuatu,vt_adults_002_missing data,female,56,LT,Malekula,site specific,missing data,NA,3,7,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1
Vanuatu,vt_adults_002_missing data,female,56,LT,Malekula,site specific,missing data,NA,3,8,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1
Vanuatu,vt_adults_002_missing data,female,56,LT,Malekula,site specific,missing data,NA,3,9,universal,feel scared,like when you feel afraid,yes,yes,1
