task,model,session,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15
Faux Pas,Human,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0
Faux Pas,Human,2,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
Faux Pas,Human,3,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0
Faux Pas,Human,4,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0
Faux Pas,Human,5,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
Faux Pas,Human,6,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Faux Pas,Human,7,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
Faux Pas,Human,8,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0
Faux Pas,Human,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,11,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Faux Pas,Human,12,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Faux Pas,Human,13,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
Faux Pas,Human,14,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
Faux Pas,Human,15,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,16,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1
Faux Pas,Human,17,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
Faux Pas,Human,18,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,19,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1
Faux Pas,Human,20,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0
Faux Pas,Human,21,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
Faux Pas,Human,22,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0
Faux Pas,Human,23,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Faux Pas,Human,24,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
Faux Pas,Human,25,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,27,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
Faux Pas,Human,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,29,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Faux Pas,Human,30,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Faux Pas,Human,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Faux Pas,Human,32,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,33,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1
Faux Pas,Human,34,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0
Faux Pas,Human,35,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,37,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1
Faux Pas,Human,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,39,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0
Faux Pas,Human,40,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
Faux Pas,Human,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,42,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1
Faux Pas,Human,43,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,Human,44,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1
Faux Pas,Human,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
