RecordedDate,ResponseId,Charity,IS,DV_likely,PMMC,PMMC_1,PMMC_2,PMMC_3,ISMC,gender,age
2023-05-12 6:35,R_0V6Ro7ccfHPllCh,-1,-1,1,3.333333333,2,1,7,6,1,38
2023-05-12 6:35,R_3MzMPyKqZZu02O3,-1,-1,7,6,7,4,7,1,1,44
2023-05-12 6:35,R_2YbvKmWhLkykNpx,1,1,4,4.333333333,5,3,5,3,1,28
2023-05-12 6:35,R_238LX1XR4VTNiMI,1,1,3,5,5,5,5,4,1,45
2023-05-12 6:35,R_3ik8XBpaZtK1kTO,-1,1,1,1,1,1,1,7,-1,32
2023-05-12 6:35,R_3kH9Dc561V11FJT,1,-1,7,7,7,7,7,6,1,29
2023-05-12 6:35,R_3k0qyCMyVMvqrOq,1,1,1,2.333333333,2,1,4,6,1,37
2023-05-12 6:35,R_27EAEUIgW0UL6BO,1,-1,3,4.666666667,5,3,6,5,1,44
2023-05-12 6:35,R_10ZwKr9vYqRV6wM,-1,-1,6,5,5,5,5,5,1,26
2023-05-12 6:35,R_3NEshNhuWr0mWac,1,1,5,6,5,6,7,7,1,40
2023-05-12 6:35,R_1eQys39PET41clK,-1,1,1,3,2,1,6,7,1,48
2023-05-12 6:35,R_3nV2wGoadbGHCPW,-1,-1,1,1.333333333,1,1,2,7,-1,40
2023-05-12 6:36,R_3Gq3C5C9r0Ik53T,1,-1,3,4,5,3,4,6,1,30
2023-05-12 6:36,R_3hF8nfGuOUCVmQz,-1,-1,4,3,4,1,4,2,1,35
2023-05-12 6:36,R_bdwcQxCuu32msHn,-1,1,1,1,1,1,1,7,-1,33
2023-05-12 6:37,R_2cbK4l8HUOjAqCm,-1,1,5,5,6,3,6,1,1,54
2023-05-12 6:37,R_2ayvaNaOGoYrQHd,1,1,7,6.333333333,7,5,7,7,1,23
2023-05-12 6:37,R_vc7YtURgAlxuYkV,-1,1,7,2.333333333,1,1,5,7,-1,56
