RecordedDate,ResponseId,Clicks,IS,Charity,ISMC,IncImp,inc1,inc2,PMMC,pm1,pm2,CharityImp,CharityImp1,CharityImp2,CharityImp3,Focus_other,gender,age,duplicate
2021-04-14 13:54,R_31ZUlIQlaCTT5h1,881,-1,1,1,2,2,2,6.5,7,6,7,7,7,7,6,1,31,0
2021-04-14 13:54,R_1IBkDAhNE9QeUzk,919,1,-1,7,5.5,6,5,3,3,3,2.33,2,3,2,2,1,34,0
2021-04-14 13:54,R_2dmzOACbkDWLL0a,415,1,1,1,7,7,7,7,7,7,7,7,7,7,7,1,30,0
2021-04-14 13:54,R_2WItY6VCnE6oo5b,681,-1,1,5,6,6,6,6,6,6,7,7,7,7,6,-1,25,0
2021-04-14 13:55,R_1mRbnonneuaKH46,530,1,-1,5,4.5,5,4,5,5,5,4.33,4,4,5,1,-1,43,0
2021-04-14 13:55,R_1JEY3ispg3hwcfo,601,-1,1,3,5,5,5,5,5,5,7,7,7,7,5,-1,26,0
2021-04-14 13:55,R_3lGIQnxwWOKZj95,795,1,-1,7,7,7,7,4.5,4,5,3.67,3,4,4,5,1,25,0
2021-04-14 13:55,R_2t3j7Xzd9IKkyCg,569,1,1,4,6,6,6,5,5,5,6,6,6,6,3,1,29,0
2021-04-14 13:55,R_3lS9vcIgV7s4f3R,1004,1,-1,7,7,7,7,1,1,1,1,1,1,1,1,-1,18,0
2021-04-14 13:55,R_2OGYHclZK7BCqt1,754,-1,-1,7,5,3,7,1,1,1,1,1,1,1,1,1,32,0
2021-04-14 13:55,R_DTORvRLP4h75cHL,736,1,1,7,7,7,7,7,7,7,6,6,6,6,7,1,24,0
2021-04-14 13:55,R_2zceblwAz0V8IF9,833,1,1,7,7,7,7,5,5,5,5,5,5,5,5,1,36,0
2021-04-14 13:55,R_2qkfWbGcfNwpZNl,844,-1,1,3,4,3,5,5.5,6,5,6,6,7,5,6,1,31,0
2021-04-14 13:55,R_26hc05qrpCVxcfj,875,-1,1,7,4,3,5,2,2,2,5,5,5,5,1,1,31,0
2021-04-14 13:55,R_3nSn33px3XoqtOj,878,1,-1,6,7,7,7,4,4,4,3.33,4,3,3,3,1,30,0
2021-04-14 13:55,R_26nxneHAFKqFpJp,809,1,1,7,7,7,7,6,6,6,7,7,7,7,6,1,46,0
2021-04-14 13:55,R_2CPXhiJcA0ix442,642,-1,-1,5,6,6,6,6,6,6,4,4,4,4,5,-1,37,0
2021-04-14 13:55,R_1ghduBCQBeAGo5J,874,1,-1,7,7,7,7,4,4,4,3,3,3,3,5,1,35,0
2021-04-14 13:55,R_scbDNz3CRKpTb3P,554,-1,-1,7,4,4,4,1,1,1,4,4,4,4,7,1,47,0
2021-04-14 13:55,R_u9cUtbYVRfjmzLz,185,-1,1,3,4,3,5,4.5,5,4,4,5,3,4,4,1,32,0
2021-04-14 13:55,R_2f3BWODkbqEBG91,71,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,0
2021-04-14 13:55,R_28CCULSLBRTWZoy,756,1,-1,5,4,4,4,3,3,3,2,2,2,2,2,1,24,0
2021-04-14 13:55,R_306Sk2rxF7b5Pom,711,1,1,5,6,6,6,3,3,3,7,7,7,7,4,1,35,0
2021-04-14 13:55,R_2w5ZCiaJaooXscq,586,1,-1,1,5,6,4,6,6,6,1,1,1,1,7,-1,32,0
2021-04-14 13:55,R_2ceDUeneApU2ZwT,788,1,1,7,7,7,7,1,1,1,2,2,2,2,1,-1,31,0
2021-04-14 13:56,R_2PuuqoqupLwsKxC,866,-1,-1,3,3,3,3,5,5,5,1,1,1,1,7,1,26,0
2021-04-14 13:56,R_1n6gAs56mhwcICC,707,-1,-1,7,7,7,7,5,5,5,1,1,1,1,7,1,25,0
2021-04-14 13:56,R_1116XrnfzmU8TnC,702,1,-1,1,4.5,5,4,4,4,4,3,3,3,3,5,1,36,0
2021-04-14 13:56,R_2rknZXSyZzk2K1Z,325,-1,-1,6,3.5,3,4,2,2,2,7,7,7,7,2,-1,22,0
2021-04-14 13:56,R_pAa6mlWIyTW3uEx,637,1,1,1,6.5,6,7,6,6,6,6.67,7,7,6,7,-1,46,0
2021-04-14 13:56,R_qOSXCNurwENMQ2l,305,-1,-1,4,2.5,3,2,2.5,3,2,2,2,2,2,2,1,69,0
2021-04-14 13:56,R_2c8gxKRG7cN2Uxl,900,-1,-1,4,7,7,7,7,7,7,4.67,5,4,5,7,1,38,0
2021-04-14 13:56,R_vj1HM61iCXNwMLv,710,1,1,1,3,5,1,7,7,7,6,6,6,6,5,-1,42,0
2021-04-14 13:56,R_33m3bQSGmdnPKmc,903,1,1,6,6,6,6,5.5,5,6,5.33,5,6,5,6,-1,57,0
2021-04-14 13:56,R_1f3luNDhFQQfUFz,4,1,-1,1,1,1,1,1,1,1,2,2,2,2,1,-1,53,0
2021-04-14 13:56,R_3m8mO3PMlhPoGpT,746,-1,1,1,1,1,1,7,7,7,7,7,7,7,6,1,28,0
