Wave,date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,stringency_index,reproduction_rate
1,2020/10/19,71.87816,0.2662154,48.15,1.1969
1,2020/10/20,73.40285,0.36302102,48.15,1.2223
1,2020/10/21,79.18698,0.33881962,40.74,1.2453
1,2020/10/22,82.52678,0.36302102,40.74,1.2643
1,2020/10/23,90.51324,0.4114238,40.74,1.2789
1,2020/10/24,101.18606,0.484028,40.74,1.2874
1,2020/10/25,108.18026,0.50822943,40.74,1.2927
2,2020/11/2,168.03033,0.50822943,43.52,1.2129
2,2020/11/3,165.27136,0.3872224,43.52,1.2011
2,2020/11/4,179.98582,0.45982662,43.52,1.1832
2,2020/11/5,178.02551,0.33881962,43.52,1.169
2,2020/11/6,186.81061,0.4114238,43.52,1.1526
2,2020/11/7,192.52214,0.45982662,43.52,1.134
2,2020/11/8,190.68283,0.45982662,43.52,1.1194
3,2020/11/16,169.77283,0.4114238,50,1.1086
3,2020/11/17,180.03423,0.4114238,50,1.1084
3,2020/11/18,183.76123,0.43562523,50,1.1089
3,2020/11/19,190.1262,0.4114238,43.52,1.1073
3,2020/11/20,197.0478,0.43562523,43.52,1.1051
3,2020/11/21,202.37212,0.5324308,43.52,1.1057
3,2020/11/22,207.09138,0.5808336,43.52,1.1077
4,2020/11/30,214.59383,1.089063,45.37,1.1723
4,2020/12/1,213.62576,1.1616672,45.37,1.1881
4,2020/12/2,216.07011,1.1858686,45.37,1.2046
4,2020/12/3,225.82327,1.21007,45.37,1.2202
4,2020/12/4,235.84265,1.1374658,45.37,1.2368
4,2020/12/5,242.61905,1.2342714,45.37,1.2555
4,2020/12/6,254.21152,1.3310771,45.37,1.2699
5,2020/12/14,463.57785,1.3552785,51.85,1.2562
5,2020/12/15,494.82184,1.3552785,51.85,1.2359
5,2020/12/16,515.1994,1.4520841,51.85,1.2147
5,2020/12/17,542.6438,1.7182995,51.85,1.1907
5,2020/12/18,564.47345,1.7909037,51.85,1.1626
5,2020/12/19,599.1541,1.936112,51.85,1.13
5,2020/12/20,592.6923,2.0329177,51.85,1.0981
6,2020/12/28,457.7211,3.3639948,51.85,0.9128
6,2020/12/29,440.32028,3.6544116,51.85,0.8987
6,2020/12/30,442.208,3.7754185,51.85,0.8828
6,2020/12/31,429.76846,3.7270157,51.85,0.8663
6,2021/1/1,414.7636,4.3078494,51.85,0.8503
6,2021/1/2,401.67065,4.404655,51.85,0.8365
6,2021/1/3,396.27374,4.5014606,51.85,0.8264
7,2021/1/11,309.17288,4.7434745,70.37,0.7399
7,2021/1/12,288.91632,5.033891,70.37,0.7294
7,2021/1/13,266.74783,4.912884,70.37,0.7213
7,2021/1/14,245.98303,5.082294,70.37,0.7151
7,2021/1/15,237.75456,5.227503,70.37,0.721
7,2021/1/16,213.52896,4.912884,70.37,0.7157
7,2021/1/17,192.61896,4.961287,70.37,0.7109
8,2021/1/25,135.11642,5.033891,70.37,0.708
8,2021/1/26,130.71176,4.961287,70.37,0.7067
8,2021/1/27,128.96927,4.6708703,70.37,0.7055
8,2021/1/28,121.85406,4.3078494,70.37,0.7059
8,2021/1/29,113.69818,3.9206269,70.37,0.7075
8,2021/1/30,111.95568,3.4608004,70.37,0.713
8,2021/1/31,101.11346,3.315592,70.37,0.7211
9,2021/2/8,76.21021,2.2023275,66.67,0.8226
9,2021/2/9,74.80653,1.7182995,66.67,0.8332
9,2021/2/10,74.05629,2.0329177,66.67,0.8466
9,2021/2/11,75.14535,2.0571191,66.67,0.86
9,2021/2/12,73.330246,2.0571191,66.67,0.8729
9,2021/2/13,73.088234,1.9119107,66.67,0.8871
9,2021/2/14,69.724236,1.6698967,66.67,0.9051
10,2021/2/22,77.8075,1.1132644,62.96,1.0446
10,2021/2/23,78.12212,1.0164589,62.96,1.0532
10,2021/2/24,81.631325,0.84704906,62.96,1.0572
10,2021/2/25,84.26928,0.70184064,62.96,1.0666
10,2021/2/26,87.53647,0.7744448,62.96,1.0731
10,2021/2/27,87.004036,0.6292364,62.96,1.0793
10,2021/2/28,88.359314,0.605035,62.96,1.0833
11,2021/3/8,88.1899,0.43562523,62.96,1.1746
11,2021/3/9,86.4474,0.3872224,62.96,1.1989
11,2021/3/10,86.3264,0.33881962,62.96,1.2218
11,2021/3/11,121.007,0.2904168,62.96,1.1984
11,2021/3/12,129.28389,0.242014,62.96,1.1725
11,2021/3/13,130.03413,0.242014,62.96,1.1525
11,2021/3/14,135.33423,0.3146182,62.96,1.1355
12,2021/3/22,122.12027,0.21781261,62.96,1.1045
12,2021/3/23,125.99249,0.21781261,62.96,1.091
12,2021/3/24,125.58107,0.1936112,62.96,1.0918
12,2021/3/25,127.42038,0.21781261,62.96,1.0926
12,2021/3/26,119.288704,0.2904168,62.96,1.0929
12,2021/3/27,117.98183,0.33881962,62.96,1.091
12,2021/3/28,113.77078,0.33881962,62.96,1.0942
13,2021/4/6,123.54815,0.36302102,64.81,0.9989
13,2021/4/7,106.84918,0.36302102,64.81,0.9993
13,2021/4/8,104.74366,0.3872224,64.81,1.0053
13,2021/4/9,106.07474,0.3146182,64.81,1.0116
13,2021/4/10,105.832726,0.2904168,64.81,1.016
13,2021/4/11,106.07474,0.2662154,64.81,1.0164
13,2021/4/12,108.27707,0.2904168,64.81,1.0174
14,2021/4/20,122.6527,0.3872224,64.81,1.0504
14,2021/4/21,125.75048,0.4114238,65.05,1.0466
14,2021/4/22,129.13867,0.43562523,65.05,1.0422
14,2021/4/23,131.4378,0.43562523,64.94,1.0404
