StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,dogcat,Q227_First Click,Q227_Last Click,Q227_Page Submit,Q227_Click Count,AccuracyDT1,ShareDT1,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,AccuracyDT2,ShareDT2,Q229_First Click,Q229_Last Click,Q229_Page Submit,Q229_Click Count,AccuracyDT3,ShareDT2,Q231_First Click,Q231_Last Click,Q231_Page Submit,Q231_Click Count,AccuracyDT4,ShareDT4,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,AccuracyRT1,ShareRT1,Q233_First Click,Q233_Last Click,Q233_Page Submit,Q233_Click Count,AccuracyRT2,ShareRT2,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,AccuracyRT3,ShareRT3,Q235_First Click,Q235_Last Click,Q235_Page Submit,Q235_Click Count,AccuracyRT4,ShareRT4,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,AccuracyDF1,ShareDF1,Q237_First Click,Q237_Last Click,Q237_Page Submit,Q237_Click Count,AccuracyDF2,ShareDF2,Q238_First Click,Q238_Last Click,Q238_Page Submit,Q238_Click Count,AccuracyDF3,ShareDF3,Q239_First Click,Q239_Last Click,Q239_Page Submit,Q239_Click Count,AccuracyDF4,ShareDF4,Q240_First Click,Q240_Last Click,Q240_Page Submit,Q240_Click Count,AccuracyRF1,ShareRF1,Q242_First Click,Q242_Last Click,Q242_Page Submit,Q242_Click Count,AccuracyRF2,ShareRF2,Q244_First Click,Q244_Last Click,Q244_Page Submit,Q244_Click Count,AccuracyRF3,ShareRF3,Q245_First Click,Q245_Last Click,Q245_Page Submit,Q245_Click Count,AccuracyRF4,ShareRF4,CRTTime_First Click,CRTTime_Last Click,CRTTime_Page Submit,CRTTime_Click Count,CR1,CR2,CR3,FeelingThermometerT_First Click,FeelingThermometerT_Last Click,FeelingThermometerT_Page Submit,FeelingThermometerT_Click Count,FeelingDem_1,FeelingRepub_1,PKTime_First Click,PKTime_Last Click,PKTime_Page Submit,PKTime_Click Count,PK1(3),PK2(2),PK3(1),PK4(2),PK5(1),Q114,Age,Gender,Gender_6_TEXT,Education,Income,Ethnicity,Ethnicity_6_TEXT,Part,Part_4_TEXT,DemRep_C,POTUS2016,Facebook,Twitter,SM_Freq,SocialMedia_Chk,KnowlingShareFalse,Random,Google,Comments,random,confirmCode
12/1/20 10:45,12/1/20 10:53,0,100,477,1,12/1/20 10:53,cat,13.188,17.108,18.164,3,2,2,6.921,8.065,8.915,2,5,4,8.367,10.398,11.236,2,4,3,12.313,15.386,16.278,2,2,3,12.528,14.537,15.435,2,4,5,6.221,9.941,10.731,2,6,5,5.399,6.951,8.48,2,5,4,12.275,13.915,15.789,2,4,4,10.17,11.922,12.812,2,4,3,10.384,11.576,12.523,2,2,1,11.744,14.681,15.915,2,3,2,6.009,8.049,9.522,2,1,1,6.921,7.881,9.323,2,5,4,5.259,7.067,7.732,2,5,5,9.231,11.784,12.544,2,5,4,5.282,7.985,8.633,2,5,5,4.362,13.106,29.529,3,8,10,39,5.04,7.397,8.29,2,5,98,4.706,23.017,24.121,5,3,3,1,2,1,"3,5",49,2,,6,9,1,,2,,5,2,1,2,5,1,No. I do not believe in promoting false news. I always check sources before I share information on social media. ,2,2,,0,38
12/1/20 11:21,12/1/20 11:27,0,100,323,1,12/1/20 11:27,cat,4.263,5.015,5.945,2,1,1,1.335,3.791,7.419,2,1,1,8.2,14.472,15.962,3,5,1,9.252,10.1,10.918,2,4,1,5.372,6.036,7.158,2,1,1,8.448,9.72,10.896,2,4,1,4.839,5.831,8.282,2,1,1,9.442,10.154,11.205,2,1,1,5.38,6.188,8.384,2,1,1,11.77,12.57,13.429,2,1,1,4.816,5.536,8.387,2,1,1,6.19,6.942,7.924,2,1,1,5.512,6.184,7.26,2,1,1,4.714,6.242,6.716,3,1,1,5.73,6.562,7.756,2,1,1,3.82,4.764,5.775,2,1,1,6.361,25.281,31.028,4,8,10,39,4.268,7.075,7.932,2,50,50,3.707,30.323,31.471,6,3,2,1,2,1,"3,5",40,1,,6,12,1,,2,,6,2,2,2,1,2,no,2,2,,1,22
12/1/20 11:22,12/1/20 11:30,0,100,523,1,12/1/20 11:30,Cat,3.483,4.571,5.749,2,1,1,8.412,9.236,10.606,2,1,1,4.248,5.624,6.745,2,1,1,5.199,6.191,7.632,2,1,1,8.153,10.649,11.501,2,4,2,4.667,6.948,8.364,2,6,1,4.289,5.497,6.217,2,6,6,8.21,9.242,10.412,2,4,4,3.954,5.434,6.42,2,1,1,6.52,7.471,9.097,2,1,1,3.877,5.317,6.333,2,1,1,3.305,4.353,6.034,2,1,1,10.123,11.931,12.893,2,1,1,3.962,5.475,6.387,2,6,6,4.075,7.203,8.005,2,6,6,9.525,13.517,14.335,2,6,6,5.869,100.277,102.99,5,4,10,20,6.775,10.911,12.07,2,10,57,4.43,27.501,28.47,5,3,2,1,2,1,"3,5",63,2,,5,6,"1,3",,3,,4,2,1,2,5,1,Never,2,2,,0,6
12/1/20 11:31,12/1/20 11:38,0,100,415,1,12/1/20 11:38,cat,5.864,7.152,8.07,2,1,1,9.718,11.398,12.445,2,2,1,4.177,7.313,8.328,3,3,4,6.845,8.34,9.146,2,5,4,6.002,7.334,8.597,2,4,5,3.936,5.744,6.729,3,2,1,6.074,7.906,9.186,2,5,3,9.356,12.86,13.682,3,4,3,5.078,7.374,8.22,3,1,3,11.53,17.017,18.13,2,2,1,9.106,11.153,12.127,3,1,2,7.496,12.88,13.752,2,2,3,7.021,8.189,8.997,2,3,5,5.746,7.746,8.705,2,4,4,5.874,8.69,9.441,2,4,3,4.795,5.779,6.689,2,5,6,6.314,25.697,28.705,4,8,50,20,4.312,6.191,7.052,2,20,80,6.036,28.635,29.826,6,3,3,1,2,2,"3,5",41,2,,3,6,1,,2,,4,5,1,1,4,2,no i dont believe i did. ,2,2,,1,54
12/1/20 11:29,12/1/20 11:38,0,100,506,1,12/1/20 11:38,cat,3.711,4.838,6.482,2,1,1,6.952,11.669,12.294,4,4,1,3.927,7.581,8.888,2,4,1,4.695,6.114,7.855,2,1,1,10.877,13.797,15.251,2,2,1,4.761,6.569,7.779,2,5,1,4.163,7.602,9.02,2,6,1,5.758,10.124,11.597,5,2,1,4.188,5.112,7.081,2,1,1,7.52,8.758,10.784,2,1,1,3.382,4.741,6.919,2,1,1,4.951,8.883,11.138,4,1,1,3.924,4.769,6.425,2,1,1,6.111,9.8,11.236,3,3,1,3.094,4.401,6.229,2,4,1,4.724,6.064,7.501,2,2,1,2.207,83.031,91.8,6,4,10,39,6.098,12.301,13.6,4,0,60,8.55,50.841,52.133,5,3,2,1,2,1,"3,5",39,2,,3,2,4,,3,,4,2,1,1,4,2,I did not.,2,2,,1,36
12/1/20 11:32,12/1/20 11:41,0,100,569,1,12/1/20 11:41,cat,4.636,5.613,6.304,2,1,1,8.854,10.04,10.894,2,1,1,3.872,4.336,5.2,2,1,1,117.229,117.885,121.103,2,1,1,2.775,3.381,4.48,2,1,1,8.928,9.502,10.177,2,4,4,4.126,4.66,5.682,2,6,6,6.233,8.094,9.148,3,4,4,3.638,4.168,4.851,2,1,1,4.874,5.371,6.185,2,1,1,3.4,3.933,5.206,2,1,1,2.819,3.368,4.079,2,1,1,102.165,104.713,105.041,3,1,1,5.56,7.317,8.768,3,5,6,3.85,4.264,4.913,2,6,6,5.928,6.37,7.559,2,1,1,10.078,16.57,23.806,3,8,50,20,1.771,3.961,4.36,3,0,90,5.132,30.562,32.049,5,2,2,2,2,2,"3,5",49,2,,6,7,1,,2,,5,2,1,1,1,2,Most of it sounded like bs,2,2,,1,19
12/1/20 11:38,12/1/20 11:46,0,100,489,1,12/1/20 11:46,cat,1.029,3.18,3.629,3,1,1,14.831,15.601,17.08,2,1,1,1.236,2.399,3.324,2,1,1,1.919,9.834,10.643,4,1,1,1.311,2.28,3.145,2,1,1,9.726,10.518,12.36,2,1,1,8.879,11.28,12.377,3,6,6,1.737,3.459,4.703,2,1,1,1.629,2.429,5.65,2,1,1,4.483,5.149,6.995,2,1,1,1.344,2.561,4.922,2,1,1,2.548,4.74,6.367,2,1,1,4.816,17.043,17.421,4,1,1,1.639,5.903,7.094,4,6,1,2.007,4.775,5.199,3,1,1,6.18,9.261,10.631,2,6,1,1.394,11.451,18.688,4,8,5,3,2.262,4.412,5.313,2,0,81,3.841,14.29,15.648,5,3,2,1,2,1,"3,5",38,1,,5,5,1,,2,,6,2,2,2,1,3,Anything to give democrats pain,2,2,,1,27
12/1/20 11:31,12/1/20 11:47,0,100,956,1,12/1/20 11:47,cat,15.074,15.89,17.752,2,2,2,18.434,18.93,20.113,2,3,3,17.578,18.226,19.136,2,3,3,11.814,12.31,13.474,2,3,3,54.35,60.908,62.162,2,1,3,23.93,26.85,27.304,3,2,2,2.538,7.002,7.855,4,3,3,2.504,4.56,18.962,2,3,3,6.036,7.66,8.612,2,1,1,21.321,22.025,23.159,2,2,2,14.072,14.936,16.247,2,2,2,8.426,11.81,12.655,4,2,2,19.174,19.742,20.701,2,2,2,5.349,6.013,11.147,2,3,3,11.883,12.451,13.762,2,3,3,18.275,18.827,31.194,2,3,3,2.34,36.084,48.451,5,8,50,20,23.959,28.824,29.941,3,50,50,14.237,209.71,211.076,11,3,2,1,2,1,3,34,1,,5,5,6,multiracial,2,,4,2,2,2,1,3,"L0L, imagine wanting to share fake news, aka imagine being CNN.",1,1,"Many of the articles I had no idea whether they were fake or not, and I didn't feel like doing 300 years of research on each article, so I pretty much responded with inaccurate because that's how they sounded based on the wording of the articles, and I like not taking articles at face value because questioning everything seems like a better approach. 

Also, there was no neutral option for the articles.",0,84
12/1/20 11:32,12/1/20 11:50,0,100,1060,1,12/1/20 11:50,Cat,6.169,7.262,8.643,2,1,1,12.682,15.864,16.936,3,1,1,2.755,3.826,4.836,2,6,1,5.149,7.482,8.404,3,6,1,2.119,5.324,6.167,4,6,1,3.752,4.517,5.746,2,6,1,3.303,5.956,6.572,3,6,6,6.462,7.838,8.742,2,6,1,7.543,8.397,9.208,2,6,1,6.1,7.123,7.984,2,1,1,46.836,48.289,48.76,3,1,1,3.066,5.129,5.943,2,1,1,378.065,380.97,381.877,4,1,1,8.128,9.412,10.27,2,4,1,2.496,4.001,4.401,3,1,1,4.807,8.492,9.139,3,6,6,29.84,175.849,177.93,3,24,1,20,2.097,3.553,4.284,2,0,100,7.534,64.472,65.198,6,3,2,2,2,1,"3,5",23,2,,3,12,1,,2,,6,2,1,1,5,2,Some of them were clearly make. They fed into stereotypes and did not hold any merit. I do not share on social media because it brings out the crazy in my friends and I find out who they really are. I would rather keep politics to myself and prevent a war. ,2,2,,0,17
12/1/20 11:45,12/1/20 11:52,0,100,400,1,12/1/20 11:52,cat,5.001,5.826,6.484,2,5,5,8.55,9.292,9.905,2,4,4,8.273,12.605,13.56,4,1,1,9.3,9.803,10.351,2,4,4,15.599,16.35,17.461,2,5,6,3.418,4.479,5.093,3,6,6,6.295,7.627,8.168,2,6,6,8.065,12.472,13.316,2,3,3,7.177,8.733,9.595,2,3,4,6.961,8.367,10.029,2,1,1,6.567,8.342,11.469,3,1,1,6.353,8.235,9.145,2,1,1,7.1,10.535,14.521,5,3,3,3.276,3.68,4.437,2,5,5,3.865,6.285,6.705,4,3,4,5.306,6.124,7.461,2,5,5,5.629,50.075,55.533,6,4,10,39,4.001,7.373,8.168,4,0,65,6.246,37.883,39.239,11,3,2,1,2,1,"3,5",34,1,,3,7,1,,2,,6,2,1,2,5,1,no,2,2,,1,8
