StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,dogcat,PoliticalParty,Q227_First Click,Q227_Last Click,Q227_Page Submit,Q227_Click Count,LikedDT1,AccuracyDT1,ShareDT1,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,LikedDT2,AccuracyDT2,ShareDT2,Q229_First Click,Q229_Last Click,Q229_Page Submit,Q229_Click Count,LikedDT3,AccuracyDT3,ShareDT2,Q231_First Click,Q231_Last Click,Q231_Page Submit,Q231_Click Count,LikedDT4,AccuracyDT4,ShareDT4,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,LikedRT1,AccuracyRT1,ShareRT1,Q233_First Click,Q233_Last Click,Q233_Page Submit,Q233_Click Count,LikedRT2,AccuracyRT2,ShareRT2,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,LikedRT3,AccuracyRT3,ShareRT3,Q235_First Click,Q235_Last Click,Q235_Page Submit,Q235_Click Count,LikedRT4,AccuracyRT4,ShareRT4,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,LikedDF1,AccuracyDF1,ShareDF1,Q237_First Click,Q237_Last Click,Q237_Page Submit,Q237_Click Count,LikedDF2,AccuracyDF2,ShareDF2,Q238_First Click,Q238_Last Click,Q238_Page Submit,Q238_Click Count,LikedDF3,AccuracyDF3,ShareDF3,Q239_First Click,Q239_Last Click,Q239_Page Submit,Q239_Click Count,LikedDF4,AccuracyDF4,ShareDF4,Q240_First Click,Q240_Last Click,Q240_Page Submit,Q240_Click Count,LikedRF1,AccuracyRF1,ShareRF1,Q242_First Click,Q242_Last Click,Q242_Page Submit,Q242_Click Count,LikedRF2,AccuracyRF2,ShareRF2,Q244_First Click,Q244_Last Click,Q244_Page Submit,Q244_Click Count,LikedRF3,AccuracyRF3,ShareRF3,Q245_First Click,Q245_Last Click,Q245_Page Submit,Q245_Click Count,LikedRF4,AccuracyRF4,ShareRF4,CRTTime_First Click,CRTTime_Last Click,CRTTime_Page Submit,CRTTime_Click Count,CR1,CR2,CR3,FeelingThermometerT_First Click,FeelingThermometerT_Last Click,FeelingThermometerT_Page Submit,FeelingThermometerT_Click Count,FeelingDem_1,FeelingRepub_1,PKTime_First Click,PKTime_Last Click,PKTime_Page Submit,PKTime_Click Count,PK1(3),PK2(2),PK3(1),PK4(2),PK5(1),Q114,Age,Gender,Gender_6_TEXT,Education,Income,Ethnicity,Ethnicity_6_TEXT,Part,Part_4_TEXT,DemRep_C,POTUS2016,Facebook,Twitter,SM_Freq,SocialMedia_Chk,AnswerNotReflect,AnswerNotReflectElab,Answerliking,AnswerLikingElab,InfluencedByIncentiv,InfluencedByElab,InfluencedbyTask,InfluencedbyTaskElab,KnowlinglyShareFalse,KnowlinglyExplain,Random,Google,Comments,random,confirmCode,Party
1/22/21 11:03,1/22/21 11:16,0,100,814,1,1/22/21 11:16,cat,2,7.197,12.563,14.211,4,,5,5,6.984,18.047,19.279,5,,4,4,7.913,10.994,12.88,3,,3,2,7.222,12.04,13.372,4,,5,5,7.019,13.754,15.569,4,,2,3,4.818,8.259,9.954,3,,1,1,6.492,11.546,12.703,3,,6,6,8.719,17.467,18.84,3,,2,2,7.741,11.372,12.826,3,,5,4,20.895,27.054,28.842,3,,4,3,5.82,9.389,11.103,3,,2,1,5.424,9.635,11.819,3,,5,5,6.975,10.921,12.548,3,,2,2,8.374,14.334,16.281,3,,1,1,4.241,7.183,9.051,3,,2,2,7.46,12.055,13.71,3,,4,3,17.859,45.446,49.428,3,8,50,20,7.804,14.058,17.056,2,85,9,6.28,119.279,120.654,8,1,2,1,2,1,"3,5",37,2,,5,5,1,,3,,3,1,1,1,5,1,,,2,,,,,,2,If I do share an article that I thought was accurate and someone comments otherwise I will research it and if it's false I will take it down.,2,2,,1,94,Democrat
1/22/21 11:05,1/22/21 11:28,0,100,1372,1,1/22/21 11:28,cat,1,6.822,10.489,11.327,3,4,3,3,7.313,14.58,15.545,4,6,4,3,6.934,11.063,12.813,3,3,3,2,46.995,51.968,52.82,3,3,3,2,5.381,9.578,10.213,4,6,6,6,7.66,16.3,17.295,3,6,1,3,9.247,15.109,15.905,3,6,4,2,65.688,74.216,75.092,3,6,3,2,13.57,18.824,19.617,3,3,2,2,44.008,96.837,97.81,4,3,1,1,7.775,10.565,12.326,3,1,1,1,8.685,11.565,12.475,3,1,1,1,11.533,27.858,28.785,3,1,1,1,7.26,18.813,19.924,3,6,4,1,13.235,361.241,362.181,3,1,1,2,8.219,15.171,16.054,3,6,4,4,6.277,16.141,27.926,3,8,50,39,3.72,12.259,13.029,3,70,75,38.832,132.669,133.796,5,3,2,1,2,1,"3,5",32,2,,3,12,1,,2,,4,1,1,1,4,1,,,2,"The one where it said Obama's daughter was arrested, I believed that one was not true. ",,,2,The political party that I identify with did not influence my answers. ,2,I don't want to spread false information. ,2,2,,2,40,Republican
1/22/21 11:56,1/22/21 11:59,0,100,157,1,1/22/21 11:59,PUPPY IS TO DOG AS KITTEN IS TO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,63,Republican
1/22/21 12:00,1/22/21 12:04,0,100,281,1,1/22/21 12:04,Cat,1,2.277,3.811,4.198,4,,1,1,4.525,6.346,7.528,6,,1,1,4.392,5.94,6.493,4,,4,2,2.793,5.204,5.718,7,,5,2,3.224,4.872,5.766,5,,5,4,3.217,5.414,6.182,5,,4,4,3.135,7.833,8.383,5,,5,5,3.911,8.244,8.878,6,,1,1,2.731,4.897,6.246,5,,1,1,2.227,4.379,9.309,5,,1,1,2.107,3.909,4.876,5,,1,1,2.079,3.595,4.213,5,,1,1,1.939,6.291,6.898,5,,1,2,2.571,5.635,6.168,9,,4,2,1.929,3.59,4.223,5,,1,1,3.493,6.411,6.978,7,,1,2,1.77,41.269,43.938,5,4,50,39,1.233,3.993,5.378,6,32,68,1.865,10.779,11.435,13,3,2,1,2,1,"3,5",18,2,,3,12,1,,2,,6,2,2,2,1,2,,,2,,,,,,2,It doesn’t make any sense to share something fake because then people would just call it out ,2,2,,1,70,Republican
1/22/21 11:54,1/22/21 12:08,0,100,818,1,1/22/21 12:08,Cat,1,5.613,9.659,10.434,6,,5,1,11.102,16.066,19.556,5,,5,1,9.06,12.425,13.001,4,,5,1,7.751,11.63,12.24,5,,5,1,9.662,15.391,15.416,5,,2,1,8.339,13.639,14.381,5,,4,1,5.009,8.147,8.785,4,,6,1,11.803,23.971,25.018,5,,1,1,7.056,10.507,14.514,5,,1,1,7.989,10.622,12.346,5,,1,1,7.724,16.075,16.914,8,,1,1,4.73,7.848,8.297,5,,1,1,8.881,12.297,13.691,5,,1,1,10.322,58.842,60.182,11,,5,1,5.284,12.848,13.373,6,,2,1,4.487,14.773,15.287,6,,4,1,2.117,63.628,66.456,5,8,10,39,3.296,7.513,10.839,6,21,66,4.287,23.639,24.337,10,3,2,1,2,1,"3,5",40,1,,5,6,1,,2,,5,5,1,2,5,1,2,"I started looking at the news source. If it was some random website, I presumed it was fake news.",,,1,"I started answering a bit more like a fact checker, rather than what is likely.",,,2,Lying is morally reprehensible and embarrassing when people call you out.,2,1,,0,19,Republican
1/22/21 12:00,1/22/21 12:12,0,100,706,1,1/22/21 12:12,cat,1,7.552,11.747,11.966,7,3,3,3,12.227,13.177,13.801,3,2,2,1,6.732,19.389,19.894,12,2,5,3,7.68,9.314,10.033,3,2,1,2,7.714,9.77,10.154,5,6,5,6,4.085,6.479,6.985,4,5,5,4,83.592,107.903,109.694,3,,5,4,13.621,15.783,16.432,4,2,1,2,5.421,7.725,9.021,3,4,4,5,13.165,14.141,14.951,3,1,1,1,10.72,16.752,18.387,5,1,1,1,4.47,5.376,6.065,3,1,1,1,4.896,5.547,6.466,3,1,1,1,4.499,8.699,9.522,3,6,6,4,5.788,8.679,9.531,4,5,3,2,5.286,8.414,9.006,3,6,5,4,2.74,36.68,37.28,10,8,50,20,6.91,10.028,10.61,2,70,60,8.367,72.885,73.573,15,3,2,1,2,1,"3,5",25,1,,3,11,1,,2,,4,1,1,1,5,1,2,I answered all questions truthfully. ,2,All answers were answered truthfully. ,2,It didn't. ,2,No biased answers. ,2,It's dishonest. ,2,2,,3,28,Republican
1/22/21 12:05,1/22/21 12:14,0,100,548,1,1/22/21 12:14,cat,1,7.038,8.476,9.491,2,,4,1,6.501,8.201,9.408,2,,5,1,8.55,10.025,12.338,2,,5,1,5.944,8.5,9.988,2,,6,1,6.301,7.527,8.637,2,,3,1,6.339,7.487,8.855,2,,1,1,6.785,8.887,10.317,2,,5,1,6.363,7.769,8.924,2,,5,1,4.136,5.658,7.094,2,,4,1,12.384,14.228,15.303,2,,3,1,11.917,13.651,14.924,2,,4,1,4.999,5.741,7.974,2,,1,1,11.492,12.938,14.389,2,,2,1,5.313,6.329,12.212,2,,1,1,7.639,8.827,10.47,2,,3,1,7.919,10.239,11.988,2,,3,1,67,92.863,96.165,3,4,10,39,4.68,14.599,15.845,5,14,45,6.402,27.557,28.911,5,3,2,1,2,1,"3,5",57,1,,5,8,1,,3,,4,2,1,2,3,2,2,,,,2,,,,2,,2,2,,0,93,Republican
1/22/21 12:00,1/22/21 12:23,0,100,1349,1,1/22/21 12:23,cat,1,8.117,10.323,11.964,2,,1,1,14.69,18.764,20.621,2,,5,1,10.599,13.595,15.003,2,,1,1,7.312,9.62,10.807,2,,1,1,9.123,12.595,14.016,2,,1,1,15.762,19.205,21.019,2,,5,1,17.261,26.81,29.228,2,,5,1,14.032,16.152,18.196,2,,1,1,5.774,8.363,9.958,2,,1,1,8.589,11.852,13.947,2,,1,1,6.451,11.046,12.428,2,,1,1,3.931,5.886,8.116,2,,1,1,6.688,9.025,11.162,2,,1,1,7.533,12.443,13.931,2,,5,1,9.342,11.86,13.995,2,,1,1,12.49,14.992,17.107,2,,1,1,133.903,168.381,173.924,3,4,10 seconds,39,15.758,23.208,30.383,3,30,60,5.127,28.525,30.735,5,3,2,1,2,1,"3,5",59,1,,3,2,1,,2,,4,2,1,2,5,2,,,2,"Some of the articles were obviously inaccurate; some of them might have been accurate, but I couldn't be certain; some of them I felt like I remembered seeing in the press somewhere; some of them I felt must have been made up for purposes of this survey. I always gave my best answer to the questions",,,,,2,"I don't even share stories I feel are trueanymore, because with the nature of the news these days even false stories can seem true. I have shared articles in the past that later proved to be untrue, but my action was in good faith.",2,2,Thanks.,1,30,Republican
1/22/21 12:14,1/22/21 12:25,0,100,658,1,1/22/21 12:25,cat,1,7.232,10.709,12.101,4,,5,1,11.215,12.073,12.861,2,,3,1,20.002,29.118,29.902,3,,2,1,4.555,5.542,6.488,2,,6,1,8.819,9.719,10.673,2,,6,1,5.298,7.171,8.005,2,,5,1,25.946,30.612,31.637,3,,6,1,12.871,16.201,18.576,3,,4,1,8.136,9.357,10.436,2,,1,1,7.32,8.552,9.965,2,,6,1,4.477,5.882,6.775,2,,1,1,4.7,5.227,7.543,2,,1,1,5.598,12.175,13.091,3,,1,1,9.074,13.315,14.451,2,,4,1,3.479,4.403,5.182,2,,6,1,4.393,5.616,6.505,2,,5,1,3.384,198.399,200.987,9,4,10,39,2.306,5.566,6.397,2,0,80,3.957,24.046,27.981,5,3,2,1,2,1,"3,5",35,2,,6,8,"1,6",Hispanic,2,,4,2,1,1,5,2,2,"I am more inclined to not believe many articles negative towards Trump, since most media and news outlets skew the truth about him to make him appear terrible.",,,2,"It did not influence me at all.  If I am accurate, then great.  If not, it isn't a big deal.",,,2,"I rarely post anything on social media, much less share.",2,2,,0,98,Republican
1/22/21 12:01,1/22/21 12:25,0,100,1485,1,1/22/21 12:25,cat,2,7.154,44.522,45.791,6,1,6,6,6.362,37.334,39.266,9,1,1,3,6.579,14.791,15.741,7,6,6,6,7.29,31.031,32.921,6,1,5,6,9.214,23.122,24.857,8,6,5,6,5.363,11.375,13.225,6,1,1,1,8.171,70.013,71.395,6,1,6,1,8.949,16.67,17.79,6,1,1,1,8.618,18.324,19.427,5,6,1,6,11.703,23.279,24.128,7,6,4,6,22.862,50.292,51.818,6,1,1,3,8.601,62.791,64.448,9,1,1,1,9.93,19.667,21.119,7,1,1,1,6.252,11.335,13.235,5,1,1,1,5.649,12.557,14.14,6,1,1,1,11.168,51.159,52.732,8,6,1,5,1.58,77.539,79.067,8,8,50,20,9.75,20.737,25.385,5,100,19,12.284,72.889,74.249,11,3,3,1,1,1,"3,5",24,1,,4,2,2,,1,,2,1,2,1,5,1,2,The accuracy of my answers reflected true believes base on the information from news sources and my awareness of politics.,2,The accuracy of my answers are based on my knowledge and awareness of political issues and news sources,2,,2,,2,"it is bad to share fake news, as it can cause civil unrest in the country.",2,2,,3,12,Democrat
