StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q160,Q161,Q65_Browser,Q65_Version,Q65_Operating System,Q65_Resolution,ID,dogcat,PoliticalParty,AccuracyDT1,ShareDT1,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,AccuracyDT2,ShareDT2,Q229_First Click,Q229_Last Click,Q229_Page Submit,Q229_Click Count,AccuracyDT3,ShareDT3,Q231_First Click,Q231_Last Click,Q231_Page Submit,Q231_Click Count,AccuracyDT4,ShareDT4,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,AccuracyRT1,ShareRT1,Q233_First Click,Q233_Last Click,Q233_Page Submit,Q233_Click Count,AccuracyRT2,ShareRT2,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,AccuracyRT3,ShareRT3,Q235_First Click,Q235_Last Click,Q235_Page Submit,Q235_Click Count,AccuracyRT4,ShareRT4,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,AccuracyDF1,ShareDF1,Q237_First Click,Q237_Last Click,Q237_Page Submit,Q237_Click Count,AccuracyDF2,ShareDF2,Q238_First Click,Q238_Last Click,Q238_Page Submit,Q238_Click Count,AccuracyDF3,ShareDF3,Q239_First Click,Q239_Last Click,Q239_Page Submit,Q239_Click Count,AccuracyDF4,ShareDF4,Q240_First Click,Q240_Last Click,Q240_Page Submit,Q240_Click Count,AccuracyRF1,ShareRF1,Q242_First Click,Q242_Last Click,Q242_Page Submit,Q242_Click Count,AccuracyRF2,ShareRF2,Q244_First Click,Q244_Last Click,Q244_Page Submit,Q244_Click Count,AccuracyRF3,ShareRF3,Q245_First Click,Q245_Last Click,Q245_Page Submit,Q245_Click Count,AccuracyRF4,ShareRF4,Q448_First Click,Q448_Last Click,Q448_Page Submit,Q448_Click Count,AccuracyDT5,ShareDT5,Q454_First Click,Q454_Last Click,Q454_Page Submit,Q454_Click Count,AccuracyRT5,ShareRT5,Q460_First Click,Q460_Last Click,Q460_Page Submit,Q460_Click Count,AccuracyDF5,ShareDF5,Q472_First Click,Q472_Last Click,Q472_Page Submit,Q472_Click Count,AccuracyDT6,ShareDT6,Q478_First Click,Q478_Last Click,Q478_Page Submit,Q478_Click Count,AccuracyRT6,ShareRT6,Q484_First Click,Q484_Last Click,Q484_Page Submit,Q484_Click Count,AccuracyDF6,ShareDF6,Q490_First Click,Q490_Last Click,Q490_Page Submit,Q490_Click Count,AccuracyRF6,ShareRF6,Q466_First Click,Q466_Last Click,Q466_Page Submit,Q466_Click Count,AccuracyRF5,ShareRF5,CRTTime_First Click,CRTTime_Last Click,CRTTime_Page Submit,CRTTime_Click Count,CR1,CR2,CR3,FeelingThermometerT_First Click,FeelingThermometerT_Last Click,FeelingThermometerT_Page Submit,FeelingThermometerT_Click Count,FeelingDem_1,FeelingRepub_1,PKTime_First Click,PKTime_Last Click,PKTime_Page Submit,PKTime_Click Count,PK1(3),PK2(2),PK3(1),PK4(2),PK5(1),O1,O2,O3,O4,O5,O6,Q114,Age,Gender,Gender_6_TEXT,Education,Income,Ethnicity,Ethnicity_6_TEXT,Part,Part_4_TEXT,DemRep_C,social_conserv,econ_conserv,DemIdentityStrength,RepIdentityStrength,POTUS2016,Facebook,Twitter,SM_Freq,SocialMedia_Chk,Media_1,Media_2,Media_3,Media_4,AnswerNotReflect,InfluencedByIncentiv,Strategies_1,Strategies_2,Strategies_3,Strategies,Confident,ConfidentPercentile_1,VaccineConfidence_1,KnowlinglyShareFalse,Random,Google,Comments,condition,confirmCode,Party
6/8/21 11:51,6/8/21 11:54,0,100,169,1,6/8/21 11:54,R_2QApcUwGthdfJlT,,,,,40.73649597,-74.00550079,anonymous,EN,"1,2,3",1,Chrome,90.0.4430.212,Macintosh,1792x1120,cat,cat,1,5,4,1.29,1.739,2.449,2,5,4,1.327,2.609,3.152,4,5,4,1.299,1.722,2.357,2,5,4,1.365,1.808,2.492,2,5,4,1.234,1.615,2.329,2,5,4,1.278,1.757,2.468,2,5,4,1.369,1.778,2.503,2,5,4,1.301,1.777,2.432,2,5,4,1.083,1.516,2.229,2,5,4,1.199,2.073,2.44,3,5,4,1.211,2.153,2.481,3,5,4,1.247,1.69,2.262,2,5,4,1.17,1.589,2.269,2,5,4,1.163,1.58,2.299,2,5,4,1.145,1.594,2.376,2,5,4,1.255,3.057,3.509,4,5,4,1.232,2.059,2.791,3,5,4,1.14,1.896,2.507,3,5,4,1.22,1.629,2.611,2,5,4,1.116,1.596,2.324,2,5,4,0.977,1.428,2.599,2,5,4,1.087,2.047,2.389,3,5,4,1.556,2.037,3.027,2,5,4,1.282,4.038,4.354,5,12,12,12,1.256,3.314,3.994,4,64,56,0.716,3.769,4.728,5,2,1,1,2,2,31,30,31,30,31,30,"3,6",12,2,,1,8,5,,3,,4,3,3,4,4,1,2,2,4,1,4,4,4,5,1,,4,3,4,sd,2,55,,1,2,2,12,2,47,Republican
6/9/21 12:42,6/9/21 12:46,0,100,233,1,6/9/21 12:46,R_d0d29KRNAMAN0WJ,,,,,40.73649597,-74.00550079,anonymous,EN,"1,2,3",1,Chrome,90.0.4430.212,Macintosh,1792x1120,9,cat,2,5,4,0.769,1.209,1.895,2,5,4,1.1,2.101,2.484,3,5,4,0.839,1.751,2.871,3,5,4,0.509,0.972,1.684,2,5,4,0.516,0.968,1.996,2,5,4,0.658,1.084,2.17,2,5,4,0.591,1.545,2.963,3,5,4,0.785,2.051,2.841,3,4,3,1.108,1.526,2.285,2,5,4,0.991,1.736,2.864,3,5,4,1.12,1.581,2.328,2,5,4,1.237,1.667,2.349,2,5,4,1.094,1.545,2.301,2,5,4,1.24,1.792,2.567,2,5,4,1.167,2.016,2.8,3,5,4,1.386,3.933,4.467,3,5,4,1.175,1.607,2.371,2,5,4,1.025,1.825,2.74,3,5,4,1.156,1.641,2.679,2,5,4,0.636,1.182,3.456,2,5,4,0.916,1.324,2.075,2,5,4,1.045,1.532,2.571,2,5,4,1.147,1.576,2.415,2,5,4,1.083,7.176,8.472,7,9,0,9,1.257,2.581,3.328,3,71,36,0.842,4.736,5.501,5,3,2,3,1,2,31,30,31,30,31,30,"3,6",12,3,,3,3,5,,2,,4,3,4,4,5,2,2,2,4,1,4,3,3,3,,,5,4,5,0,3,51,57,2,2,2,,3,87,Democrat
6/10/21 8:33,6/10/21 8:41,0,100,461,1,6/10/21 8:41,R_3HMFBbWaSbUovTu,,,,,35.68539429,-88.82810211,anonymous,EN,"1,2,3",1,Firefox,89,Windows NT 10.0,1920x1080,5f82567f1e720a3842580d23,cat,1,1,1,6.957,7.552,8.577,2,1,1,4.173,5.063,6.829,2,1,1,4.756,5.346,6.565,2,1,1,5.004,6.1,7.121,2,4,1,3.831,4.389,5.649,2,1,1,6.989,8.506,9.322,2,6,5,5.028,5.772,6.827,2,6,1,4.283,4.795,5.95,2,1,1,4.356,4.87,6.259,2,1,1,2.871,3.538,5.677,2,1,1,3.368,3.955,5.65,2,1,1,4.56,5.299,6.274,2,1,1,4.279,4.817,5.626,2,1,1,4.49,8.065,8.818,4,4,4,8.561,9.353,10.582,2,4,1,6.105,6.791,9.411,2,1,1,3.576,4.376,5.389,2,6,1,3.58,4.41,6.074,2,1,1,4.637,8.772,9.668,3,4,1,2.743,7.18,7.768,4,5,5,3.515,4.251,5.984,2,1,1,6.472,7.465,8.265,2,1,1,5.589,7.486,8.683,2,1,1,5.035,13.947,21.486,3,8,50,80,3.895,5.601,6.191,2,8,100,5.178,27.73,28.527,6,3,2,1,2,2,30,28,29,28,32,32,"3,5",60,1,,5,6,1,,2,,6,4,5,1,7,2,1,2,5,2,1,3,4,1,,,5,6,6,,2,47,100,2,2,2,,1,44,Republican
6/10/21 8:33,6/10/21 8:50,0,100,1007,1,6/10/21 8:50,R_TtEQBUyCVvIhwGJ,,,,,39.83349609,-84.89830017,anonymous,EN,"1,2,3",1,Firefox,89,Windows NT 10.0,1760x990,55b9a9b0fdf99b6906d2aba4,cat,1,1,1,25.703,27.284,28.603,3,2,1,11.583,12.552,14.253,2,5,5,11.225,16.708,18.001,4,2,1,6.712,7.489,8.929,2,6,6,6.933,7.715,8.705,2,6,6,4.501,5.69,7.138,2,6,6,20.549,22.438,23.797,2,1,1,8.84,10.816,12.315,2,1,1,10.923,12.085,13.589,2,1,1,6.152,6.878,8.071,2,1,1,8.38,10.023,11.509,3,1,1,6.514,7.418,9.035,2,1,1,8.541,9.462,10.478,2,6,6,12.556,13.826,15.128,3,1,1,20.331,20.986,22.88,2,6,6,5.703,6.445,7.353,2,6,6,6.793,28.311,28.311,7,5,5,7.66,8.601,10.265,2,1,1,11.909,14.514,15.864,2,5,5,5.077,5.927,7.487,2,6,6,13.07,15.532,17.071,2,1,1,21.845,22.825,27.058,2,1,1,25.715,27.9,29.481,3,1,1,3.107,27.392,35.127,3,4,10,39,4.719,13.784,15.103,2,10,60,8.076,31.574,33.17,7,3,2,1,2,1,31,28,28,28,32,31,"3,5",65,1,,3,2,1,,2,,5,4,4,1,5,2,1,1,5,1,4,4,3,3,,,6,6,6,None,1,90,100,2,2,2,Your estimated completion time is blatantly optimistic. This HIT is underpaid.,1,8,Republican
6/10/21 8:38,6/10/21 9:02,0,100,1470,1,6/10/21 9:02,R_3RkpLhBG3o6yv4u,,,,,43.00059509,-88.22000122,anonymous,EN,"1,2,3",1,Chrome,91.0.4472.77,Macintosh,1366x768,6051536b3e81428095504b35,cat,1,1,1,8.905,10.76,12.53,2,5,1,8.015,9.186,13.109,2,1,1,10.099,12.17,20.778,2,4,1,10.296,14.05,16.984,2,5,2,8.139,24.657,26.613,5,4,3,7.977,11.455,12.857,2,6,3,8.583,10.626,12.74,2,2,1,11.535,14.199,17.212,2,2,1,19.688,20.857,23.325,2,1,1,10.103,14.202,18.71,2,1,1,9.537,11.132,14.785,2,2,1,8.41,9.999,25.416,2,1,1,6.015,9.012,11.118,2,3,1,8.916,10.679,12.995,2,2,1,7.457,15.277,17.9,3,3,1,12.736,15.287,17.098,2,3,1,6.209,11.421,18.124,2,6,3,7.7,14.231,22.962,2,5,1,30.734,36.864,41.659,2,4,1,42.808,45.141,47.881,2,5,2,4.58,5.27,7.351,2,1,1,15.389,30.534,32.136,2,3,2,7.566,10.23,12.994,2,2,1,12.386,177.455,180.721,4,4,10,39,4.528,23.482,25.815,5,73,91,5.343,39.017,41.707,5,3,2,1,2,1,32,28,29,28,32,31,"3,5",62,1,,6,11,1,,2,,6,4,5,1,6,2,2,2,2,2,2,3,2,1,2,,4,2,5,For some of the headlines I recalled them to a degree and used that information to help make a predication.,2,75,100,2,2,2,Thank you for including me in this interesting political/media study.,0,50,Republican
6/10/21 8:52,6/10/21 9:06,0,100,847,1,6/10/21 9:06,R_3LaUwDI8HHNdjGa,,,,,26.78199768,-80.06529999,anonymous,EN,"1,2,3",1,Chrome,91.0.4472.77,Windows NT 10.0,1366x768,5ec764942256df19e155432c,cat,1,1,1,12.208,14.471,16.057,2,1,1,7.641,13.637,14.865,2,6,1,6.495,7.717,8.897,2,1,1,26.381,29.166,30.137,2,1,1,6.024,7.034,8.081,2,6,6,7.576,9.416,10.716,2,6,6,21.968,23.128,24.017,2,6,6,6.618,25.515,26.697,3,2,1,7.735,8.995,10.45,2,1,1,46.972,47.809,48.935,2,1,1,6.183,8.593,9.782,2,1,1,48.612,49.754,51.414,2,6,6,6.097,7.004,7.73,2,6,6,5.399,6.306,7.542,2,6,6,10.193,11.539,12.586,2,1,1,7.246,8.318,9.82,2,1,1,18.444,23.07,23.884,2,6,6,6.723,7.685,9.047,2,1,1,8.695,9.915,10.797,2,1,1,9.053,9.993,10.953,2,6,6,4.011,4.965,6.483,2,1,1,15.528,16.351,17.529,2,6,6,4.751,6.887,7.584,2,6,6,13.152,23.818,26.62,3,4,10,39,3.254,6.275,7.961,2,0,40,5.033,37.549,39.225,6,3,2,1,3,1,28,28,28,29,31,28,"3,5",65,1,,5,2,1,,4,none,4,5,5,1,5,2,2,2,1,3,1,2,2,1,,,5,6,6,"Liberals control the media, so I doubt much of anything they put out.",1,94,0,2,2,2,none,1,8,Republican
6/10/21 8:40,6/10/21 9:11,0,100,1859,1,6/10/21 9:11,R_3J2Xhobue1EtHjX,,,,,43.84829712,-84.01309967,anonymous,EN,"1,2,3",1,Safari iPhone,14.0.3,iPhone,414x896,606609111ba10f35596db018,Cat,1,1,1,11.096,16.498,17.182,5,1,1,4.298,9.689,10.329,8,6,1,5.438,7.13,7.71,3,1,1,6.341,18.072,19.24,6,2,2,7.388,15.862,16.944,7,2,2,2.796,6.795,9.185,6,6,6,3.803,18.576,20.369,7,4,4,7.616,10.058,11.374,3,1,1,10.811,14.555,15.501,4,1,1,8.371,12.404,13.454,5,1,1,3.666,6.665,8.899,3,1,1,5.095,13.005,13.555,8,4,5,10.201,14.518,18.492,6,4,4,11.363,14.993,16.078,5,5,4,4.38,6.879,7.284,7,6,6,4.72,8.428,11.133,4,1,1,4.837,8.144,8.875,5,6,6,4.995,11.509,12.176,4,1,1,5.391,8.701,9.755,5,2,2,11.755,13.461,13.97,4,4,4,3.12,5.196,6.467,3,1,1,7.082,9.589,10.115,5,5,5,44.867,47.966,48.777,4,2,5,4.49,146.492,146.541,5,8,50 seconds,20 days ,2.546,5.804,6.295,3,12,100,5.233,33.324,34.532,11,3,2,1,2,1,32,28,28,28,32,32,"3,5",60,2,,5,12,1,,2,,6,5,5,1,7,2,1,1,5,1,1,2,4,3,2,,5,6,6,Considered the source of the article,1,90,100,2,2,2,,0,51,Republican
6/10/21 8:43,6/10/21 9:14,0,100,1858,1,6/10/21 9:14,R_1N9reb9M6f3l0Jo,,,,,42.81230164,-86.14209747,anonymous,EN,2,1,Chrome,91.0.4472.77,Windows NT 10.0,1600x900,A39IEKRAOTJTD7,cat,1,4,3,39.728,42.88,44.802,2,3,2,22.622,24.492,27.902,2,5,2,28.215,33.526,35.56,2,5,3,24.192,25.533,27.181,2,5,5,24.461,26.48,28.175,2,5,5,16.901,29.949,31.855,2,4,2,18.585,24.632,26.852,2,5,1,34.716,39.936,41.791,2,4,2,17.48,22.056,23.701,2,3,1,33.553,40.75,42.339,2,2,2,17.977,46.532,48,2,6,2,30.87,34.844,35.922,2,5,4,29.157,48.987,51.512,2,5,5,42.886,66.675,103.444,3,5,4,17.464,22.213,23.265,3,6,5,21.4,22.446,24.504,2,5,5,29.222,32.164,34.868,2,5,5,19.099,40.712,58.15,3,4,2,8.541,25.711,27.929,3,4,4,11.74,27.63,28.664,2,5,2,23.909,35.457,36.893,2,5,4,31.844,36.818,38.573,2,4,4,20.135,49.077,61.817,3,3,1,56.112,153.2,160.255,4,8,50,20,6.775,11.401,13.514,2,19,83,14.435,75.208,77.286,5,2,2,1,2,2,30,28,28,29,32,28,"3,5",62,2,,3,4,1,,2,,6,4,4,4,7,2,1,2,2,1,4,2,5,2,2,,2,2,2,n/a,3,90,100,2,1,2,,2,17,Republican
6/10/21 9:13,6/10/21 9:28,0,100,876,1,6/10/21 9:28,R_cwfS1pC4ZmvM5Lb,,,,,36.7322998,-76.03630066,anonymous,EN,"1,2,3",1,Chrome,91.0.4472.101,Windows NT 10.0,1366x768,55b6e53bfdf99b438f10e3bb,cat,2,1,1,8.403,9.555,10.913,2,2,3,8.426,10.249,11.989,2,2,2,9.584,10.88,13.199,2,1,1,10.638,12.398,15.006,2,2,1,7.434,8.566,11.327,2,1,1,8.779,9.902,13.036,2,1,1,12.418,13.64,15.348,2,1,1,5.968,7.225,10.12,2,1,1,9.456,10.626,13.371,2,1,1,13.598,14.702,17.325,2,1,1,7.301,8.473,10.703,2,1,1,8.273,10.001,11.805,2,1,1,8.531,12.825,14.825,2,1,1,4.81,6.022,7.61,2,1,1,6.678,7.974,10.378,2,1,1,13.622,14.78,17.836,2,1,1,7.217,8.573,10.301,2,2,1,5.117,6.221,9.291,2,1,1,11.125,13.801,15.606,2,4,2,7.881,10.258,11.814,2,2,2,5.843,7.012,8.658,2,1,1,32.701,43.306,55.201,2,1,1,10.816,12.005,14.388,2,1,1,13.236,46.447,53.271,4,8,50,20,6.12,8.602,10.426,2,67,1,6.766,52.963,54.599,8,3,2,1,1,1,29,28,29,28,32,31,"3,5",48,1,,3,5,"4,5",,3,,3,4,4,5,1,1,1,1,5,2,3,2,2,1,,,5,3,4,basic moral instincts,2,82,99,2,2,2,no comments. thank you for letting me participate,3,81,Democrat
6/10/21 8:51,6/10/21 9:34,0,100,2560,1,6/10/21 9:34,R_1OABOsMsE7Bsm7h,,,,,32.542099,-96.28410339,anonymous,EN,"1,2,3",1,Firefox,88,Windows NT 6.3,1366x768,60411a17663a51034423bc76,cat,1,6,1,6.04,39.647,40.442,5,6,1,7.043,36.695,37.813,4,6,1,17.396,42.948,43.873,6,1,1,1.306,19.24,19.976,5,6,6,13.168,57.659,58.504,5,5,2,10.485,14.89,15.668,4,6,4,11.173,28.018,29.142,5,2,1,6.35,7.935,8.981,3,1,1,3.642,17.128,17.89,5,1,1,3.227,40.666,41.505,5,1,1,15.177,18.381,19.01,3,1,1,3.454,34.37,35.042,6,1,1,3.259,25.951,26.611,6,6,5,5.5,44.929,45.802,4,6,6,52.693,161.064,162.151,4,5,1,12.332,22.683,23.892,4,6,1,8.533,40.661,41.899,6,2,1,7.318,36.596,37.695,4,5,1,8.699,11.135,12.051,4,1,1,4.239,28.304,29.256,4,6,5,5.295,31.424,32.298,7,1,1,9.406,10.763,11.484,3,6,6,3.587,40.581,41.712,7,1,1,8.832,32.016,47.144,6,8,50,40,2.301,7.838,8.507,5,10,82,4.636,63.34,64.268,12,1,2,2,2,1,29,29,28,28,32,30,"3,5",60,2,,2,6,1,,3,,4,4,4,1,5,2,1,1,5,2,2,3,4,4,,,3,3,4,,2,72,100,2,2,2,,3,59,Republican
