subject	gender	age	nb_hab_trials	condition	order	phase	looking_time
S101	M	18.1	6	Verb-Switch	A	habituation	16.1
S101	M	18.1	6	Verb-Switch	A	test	28.8
S102	F	18.1	4	Noun-Switch	A	habituation	9.55
S102	F	18.1	4	Noun-Switch	A	test	5.85
S103	F	18.1	6	Verb-Switch	B	habituation	12.3
S103	F	18.1	6	Verb-Switch	B	test	11.6
S104	F	17.7	9	Noun-Switch	B	habituation	17.7
S104	F	17.7	9	Noun-Switch	B	test	10.85
S105	F	18.4	10	Verb-Switch	A	habituation	5.85
S105	F	18.4	10	Verb-Switch	A	test	24.7
S106	F	18.5	7	Noun-Switch	E	habituation	12.6
S106	F	18.5	7	Noun-Switch	E	test	5.15
S107	M	17.9	10	Verb-Switch	E	habituation	10.3
S107	M	17.9	10	Verb-Switch	E	test	23.1
S108	M	18.3	4	Verb-Switch	C	habituation	8.3
S108	M	18.3	4	Verb-Switch	C	test	22.3
S109	F	18.4	8	Noun-Switch	C	habituation	10.45
S109	F	18.4	8	Noun-Switch	C	test	23.5
S110	F	18.1	8	Verb-Switch	D	habituation	8.7
S110	F	18.1	8	Verb-Switch	D	test	17.6
S111	M	17.9	9	Noun-Switch	D	habituation	10.45
S111	M	17.9	9	Noun-Switch	D	test	36.8
S112	M	18.0	6	Verb-Switch	F	habituation	16.15
S112	M	18.0	6	Verb-Switch	F	test	13.5
S113	F	18.1	5	Noun-Switch	F	habituation	8.25
S113	F	18.1	5	Noun-Switch	F	test	8.35
S114	F	17.9	8	Verb-Switch	G	habituation	11.55
S114	F	17.9	8	Verb-Switch	G	test	11.85
S115	F	18.0	10	Noun-Switch	G	habituation	15.95
S115	F	18.0	10	Noun-Switch	G	test	7.5
S116	F	17.8	7	Verb-Switch	H	habituation	26.3
S116	F	17.8	7	Verb-Switch	H	test	14.35
S117	M	17.8	8	Noun-Switch	H	habituation	12.6
S117	M	17.8	8	Noun-Switch	H	test	20.9
S118	F	17.8	7	Noun-Switch	A	habituation	12.85
S118	F	17.8	7	Noun-Switch	A	test	21.1
S119	F	18.3	8	Verb-Switch	B	habituation	4.2
S119	F	18.3	8	Verb-Switch	B	test	19.55
S120	M	17.7	4	Noun-Switch	B	habituation	11.85
S120	M	17.7	4	Noun-Switch	B	test	6.65
S121	F	18.0	7	Verb-Switch	C	habituation	22.35
S121	F	18.0	7	Verb-Switch	C	test	24.3
S122	F	18.2	4	Noun-Switch	C	habituation	7.45
S122	F	18.2	4	Noun-Switch	C	test	3.45
S123	M	18.5	5	Verb-Switch	D	habituation	18.05
S123	M	18.5	5	Verb-Switch	D	test	28.6
S124	M	18.1	7	Noun-Switch	D	habituation	23
S124	M	18.1	7	Noun-Switch	D	test	36.6
S125	F	18.3	9	Verb-Switch	E	habituation	8.1
S125	F	18.3	9	Verb-Switch	E	test	9.8
S126	F	18.3	9	Noun-Switch	E	habituation	12.2
S126	F	18.3	9	Noun-Switch	E	test	14.15
S127	M	18.1	9	Verb-Switch	F	habituation	17.95
S127	M	18.1	9	Verb-Switch	F	test	17.8
S128	F	17.8	6	Noun-Switch	F	habituation	16.25
S128	F	17.8	6	Noun-Switch	F	test	5.9
S129	F	18.0	6	Verb-Switch	G	habituation	19.6
S129	F	18.0	6	Verb-Switch	G	test	14.15
S130	F	17.9	7	Noun-Switch	G	habituation	5.65
S130	F	17.9	7	Noun-Switch	G	test	4.2
S131	M	18.6	7	Verb-Switch	H	habituation	8.15
S131	M	18.6	7	Verb-Switch	H	test	19.85
S132	F	18.0	10	Noun-Switch	H	habituation	7.45
S132	F	18.0	10	Noun-Switch	H	test	12.15
S133	M	18.4	4	Verb-Switch	A	habituation	12.95
S133	M	18.4	4	Verb-Switch	A	test	21.75
S134	M	18.0	11	Noun-Switch	A	habituation	13.45
S134	M	18.0	11	Noun-Switch	A	test	22.5
S135	M	18.2	11	Verb-Switch	B	habituation	16.05
S135	M	18.2	11	Verb-Switch	B	test	13.2
S136	M	18.1	5	Noun-Switch	B	habituation	13.85
S136	M	18.1	5	Noun-Switch	B	test	10.05
S137	F	17.7	9	Verb-Switch	C	habituation	22.45
S137	F	17.7	9	Verb-Switch	C	test	27.4
S138	M	18.4	8	Noun-Switch	C	habituation	9.05
S138	M	18.4	8	Noun-Switch	C	test	9.2
S139	F	18.2	5	Verb-Switch	D	habituation	13.45
S139	F	18.2	5	Verb-Switch	D	test	20.7
S140	F	17.8	12	Noun-Switch	D	habituation	12
S140	F	17.8	12	Noun-Switch	D	test	8.4
S141	F	18.3	5	Verb-Switch	E	habituation	16.65
S141	F	18.3	5	Verb-Switch	E	test	10
S142	M	18.3	6	Noun-Switch	E	habituation	13.95
S142	M	18.3	6	Noun-Switch	E	test	3.25
S143	M	18.5	12	Verb-Switch	F	habituation	9.6
S143	M	18.5	12	Verb-Switch	F	test	27.2
S144	F	18.5	7	Noun-Switch	F	habituation	8.25
S144	F	18.5	7	Noun-Switch	F	test	14.8
S145	M	17.7	5	Verb-Switch	G	habituation	13.4
S145	M	17.7	5	Verb-Switch	G	test	12.5
S146	M	18.2	6	Noun-Switch	G	habituation	17.45
S146	M	18.2	6	Noun-Switch	G	test	17.15
S147	M	18.2	11	Verb-Switch	H	habituation	11.15
S147	M	18.2	11	Verb-Switch	H	test	15.4
S148	F	18.2	7	Noun-Switch	H	habituation	9.1
S148	F	18.2	7	Noun-Switch	H	test	11.5
