subject	gender	age	nb_hab_trials	condition	order	phase	looking_time
S01	M	18.0	7	Verb-Switch	A	habituation	4.55
S01	M	18.0	7	Verb-Switch	A	test	49.5
S02	F	18.0	5	Noun-Switch	A	habituation	11.7
S02	F	18.0	5	Noun-Switch	A	test	12.5
S03	F	18.0	7	Verb-Switch	B	habituation	7.75
S03	F	18.0	7	Verb-Switch	B	test	5.75
S04	M	18.1	6	Noun-Switch	B	habituation	13.2
S04	M	18.1	6	Noun-Switch	B	test	19.85
S05	F	18.3	8	Verb-Switch	A	habituation	19
S05	F	18.3	8	Verb-Switch	A	test	8.3
S06	M	18.3	5	Noun-Switch	E	habituation	5.1
S06	M	18.3	5	Noun-Switch	E	test	5.6
S07	M	18.1	11	Verb-Switch	E	habituation	17.4
S07	M	18.1	11	Verb-Switch	E	test	29.5
S08	M	18.4	12	Noun-Switch	C	habituation	11.45
S08	M	18.4	12	Noun-Switch	C	test	5.65
S09	F	18.0	5	Verb-Switch	C	habituation	13.75
S09	F	18.0	5	Verb-Switch	C	test	11.15
S10	F	18.2	4	Noun-Switch	D	habituation	10
S10	F	18.2	4	Noun-Switch	D	test	10.05
S11	M	18.6	9	Verb-Switch	D	habituation	6.7
S11	M	18.6	9	Verb-Switch	D	test	5.35
S12	M	18.6	7	Noun-Switch	F	habituation	3.9
S12	M	18.6	7	Noun-Switch	F	test	4.45
S13	M	18.2	7	Verb-Switch	F	habituation	15.7
S13	M	18.2	7	Verb-Switch	F	test	7.15
S14	M	18.5	10	Noun-Switch	G	habituation	26.5
S14	M	18.5	10	Noun-Switch	G	test	6.5
S15	F	18.2	9	Verb-Switch	G	habituation	6.5
S15	F	18.2	9	Verb-Switch	G	test	13.25
S16	M	18.2	5	Noun-Switch	H	habituation	15.85
S16	M	18.2	5	Noun-Switch	H	test	10.45
S17	F	18.2	9	Verb-Switch	H	habituation	7.85
S17	F	18.2	9	Verb-Switch	H	test	19.15
S18	M	18.2	5	Noun-Switch	A	habituation	23
S18	M	18.2	5	Noun-Switch	A	test	13.35
S19	M	18.6	6	Verb-Switch	B	habituation	23.8
S19	M	18.6	6	Verb-Switch	B	test	32.95
S20	F	18.4	4	Noun-Switch	B	habituation	13.85
S20	F	18.4	4	Noun-Switch	B	test	24.7
S21	F	18.5	6	Verb-Switch	C	habituation	21.2
S21	F	18.5	6	Verb-Switch	C	test	17.7
S22	M	18.5	5	Noun-Switch	C	habituation	13.65
S22	M	18.5	5	Noun-Switch	C	test	10.3
S23	F	18.5	7	Verb-Switch	D	habituation	19.2
S23	F	18.5	7	Verb-Switch	D	test	15.1
S24	M	17.8	9	Noun-Switch	D	habituation	5.95
S24	M	17.8	9	Noun-Switch	D	test	14.05
S25	F	18.1	7	Verb-Switch	E	habituation	9.85
S25	F	18.1	7	Verb-Switch	E	test	18.75
S26	M	18.0	6	Noun-Switch	E	habituation	15.9
S26	M	18.0	6	Noun-Switch	E	test	2.7
S27	F	17.9	7	Verb-Switch	F	habituation	18.65
S27	F	17.9	7	Verb-Switch	F	test	7.05
S28	M	18.4	8	Noun-Switch	F	habituation	14.25
S28	M	18.4	8	Noun-Switch	F	test	12.70
S29	M	18.3	6	Verb-Switch	G	habituation	21.95
S29	M	18.3	6	Verb-Switch	G	test	34.7
S30	M	18.3	5	Noun-Switch	G	habituation	15.85
S30	M	18.3	5	Noun-Switch	G	test	11.25
S31	F	17.9	6	Verb-Switch	H	habituation	8.45
S31	F	17.9	6	Verb-Switch	H	test	27.55
S32	F	18.3	10	Noun-Switch	H	habituation	12.95
S32	F	18.3	10	Noun-Switch	H	test	4.95
S33	M	17.9	7	Verb-Switch	A	habituation	14.9
S33	M	17.9	7	Verb-Switch	A	test	30.8
S34	M	18.7	6	Noun-Switch	A	habituation	21.25
S34	M	18.7	6	Noun-Switch	A	test	4.55
S35	F	17.8	7	Verb-Switch	B	habituation	14.3
S35	F	17.8	7	Verb-Switch	B	test	13.55
S36	F	18.2	7	Noun-Switch	B	habituation	15.3
S36	F	18.2	7	Noun-Switch	B	test	8.35
S37	F	18.8	5	Verb-Switch	C	habituation	12.75
S37	F	18.8	5	Verb-Switch	C	test	7.15
S38	M	18.0	11	Noun-Switch	C	habituation	21.5
S38	M	18.0	11	Noun-Switch	C	test	21.4
S39	M	18.3	7	Verb-Switch	D	habituation	6.3
S39	M	18.3	7	Verb-Switch	D	test	11.65
S40	F	18.2	8	Noun-Switch	D	habituation	17.75
S40	F	18.2	8	Noun-Switch	D	test	16.05
S41	F	18.7	6	Verb-Switch	E	habituation	36.5
S41	F	18.7	6	Verb-Switch	E	test	26.3
S42	F	18.6	5	Noun-Switch	E	habituation	8.2
S42	F	18.6	5	Noun-Switch	E	test	9.8
S43	M	18.2	9	Verb-Switch	F	habituation	17.7
S43	M	18.2	9	Verb-Switch	F	test	22.25
S44	M	18.3	9	Noun-Switch	F	habituation	22.3
S44	M	18.3	9	Noun-Switch	F	test	27.45
S45	F	18.3	6	Verb-Switch	G	habituation	17.75
S45	F	18.3	6	Verb-Switch	G	test	23.4
S46	M	18.1	9	Noun-Switch	G	habituation	6.2
S46	M	18.1	9	Noun-Switch	G	test	8.35
S47	M	17.9	7	Verb-Switch	H	habituation	19.35
S47	M	17.9	7	Verb-Switch	H	test	27
S48	F	18.6	5	Noun-Switch	H	habituation	17.4
S48	F	18.6	5	Noun-Switch	H	test	12.2
