id,varname,description
var1,CASE,"Participant ID"
var2,QUESTNNR,"Questionnaire Number"
var3,MODE,"Questionnaire Mode"
var4,STARTED,"When was the questionnaire started"
var5,GR01_01,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var6,GR01_02,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var7,GR01_03,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var8,GR01_04,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var9,GR01_05,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var10,GR01_06,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var11,GR01_07,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var12,IN03,"Agreement for data collection"
var13,IV01_01,"Order Greed: (greedfirst vs greedlast)"
var14,IV03_01,"Type of Inaction Inertia condition (Small vs. Large)"
var15,SC12_01,"Gym Scenario (Large - Purchase Likelihood)"
var16,SC13_01,"Gym Scenario (Small - Purchase Likelihood)"
var17,TIME001,"TIME001 - TIME006: Duration of stay on questionnaire page"
var18,TIME002,"TIME001 - TIME006: Duration of stay on questionnaire page"
var19,TIME003,"TIME001 - TIME006: Duration of stay on questionnaire page"
var20,TIME004,"TIME001 - TIME006: Duration of stay on questionnaire page"
var21,TIME005,"TIME001 - TIME006: Duration of stay on questionnaire page"
var22,TIME006,"TIME001 - TIME006: Duration of stay on questionnaire page"
var23,TIME_SUM,"Total time in questionnaire"
var24,MAILSENT,"Whether a confirmation mail was sent (default: no)"
var25,LASTDATA,"When was the data last changed"
var26,FINISHED,"When did the participant finish the questionnaire"
var27,Q_VIEWER,"Was the questionnaire viewed vs. necessary questions answered"
var28,LASTPAGE,"Last page of questionnaire"
var29,MAXPAGE,"Last page of questionnaire that was edited"
var30,MISSING,"Percentage of missing data"
var31,MISSREL,"Percentage of missign data (weighted in relevance)"
var32,TIME_RSI,"Relative time of answering items"
var33,Age,"Age of Participant"
var34,Sex,"Sex of Participant"
