type,section,description,"file name"
Other,"Study 1","jpeg - figure 1","Study 1 - preregistration Figure 1.jpg"
Other,"Study 1","jpeg - figure 2","Study 1 - preregistration Figure 2.jpg"
Pre-Registration,"Study 1","AsPredicted #72460","Study 1 - AsPredicted 72460.pdf"
Other,"Study 1","xlsx - english codebook.csv","Study 1 - codebook for raw data.xlsx"
Pre-Registration,"Study 3","AsPredicted #154603","Study 3 - AsPredicted 154603.pdf"
Pre-Registration,"Study 2","AsPredicted #152825","Study 2 - AsPredicted 152825.pdf"
Data,"Study 2","csv - raw data","Study 2 - raw data.csv"
Data,"Study 3","csv - raw data","Study 3 - raw data.csv"
Other,"Study 2","xlsx - codebook","Study 2 - codebook.xlsx"
Other,"Study 1","xlsx - codebook","Study 1 - codebook.xlsx"
Other,"Study 3","xlsx - codebook","Study 3 - codebook.xlsx"
Codebook,"Study 3","csv - raw data","Study 3 - raw data.csv___CODEBOOK.csv"
Codebook,"Study 2","csv - raw data","Study 2 - raw data.csv___CODEBOOK.csv"
Data,"Study 1","csv - demographics","Study 1 - data.csv"
Data,"Study 2","csv - demographics","Study 2 - data.csv"
Data,"Study 3","csv - demographics","Study 3 - data.csv"
Data,"Study 1","csv - raw data","Study 1 - raw data.csv"
Codebook,"Study 1","csv - raw data","Study 1 - raw data.csv___CODEBOOK.csv"
Codebook,"Study 1","csv - demographics","Study 1 - data.csv___CODEBOOK.csv"
Codebook,"Study 3","csv - demographics","Study 3 - data.csv___CODEBOOK.csv"
Codebook,"Study 2","csv - demographics","Study 2 - data.csv___CODEBOOK.csv"
Code,"Study 1 - 3, Integrative Data Analyses",html,"Study 1-3 - code for all analyses.html"
Materials,"Study 1 - 3, Integrative Data Analyses","pdf - supplementary materials","Study 1-3 - pdf - supplementary materials.pdf"
Code,"Study 1 - 3, Integrative Data Analyses",rmd,"Study 1-3 - code for all analyses.rmd"


"This ResearchBox is available from:"
https://researchbox.org/374

"To directly download the entire Box as a single zipped file:"
http://zipballs.researchbox.org/ResearchBox_374.zip
