StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ProlificID,country,exclude,exclude_reason,prescreen1_18yrs,prescreen2_growup,prescreen3_live,commitment,consent,BeliefsOpen,Timer_OpenResponse_First.Click,Timer_OpenResponse_Last.Click,Timer_OpenResponse_Page.Submit,Timer_OpenResponse_Click.Count,beliefs_1,beliefs_2,beliefs_3,beliefs_4,beliefs_5,beliefs_6,TimeFriends,TimeFamily,TimePartner,Lonely_1,Lonely_2,Lonely_3R,Lonely_4,Lonely_5,Lonely_6R,Lonely_7,Lonely_8,RelMob_1,RelMob_2,RelMob_3,RelMob_4R,RelMob_5R,RelMob_6,RelMob_7R,RelMob_8,RelMob_9R,RelMob_10,RelMob_11R,RelMob_12R,Tight_1,Tight_2,Tight_3,Tight_4R,Tight_5,Tight_6,VC_1_1,VC_2_1,VC_3_1,VC_4_1,VI_1_1,VI_2_1,VI_3_1,VI_4_1,HC_1_1,HC_2_1,HC_3_1,HC_4_1,HI_1_1,HI_2_1,HI_3_1,HI_4_1,Age,Gender,fGender,Race,fRaceFull,fRaceBinary,Race_7_TEXT,Education,fEducation,BeliefsTotal,Lonely_3,Lonely_6,Lonely,SocialContact,SocialContactReverse,RelMob_4,RelMob_5,RelMob_7,RelMob_9,RelMob_11,RelMob_12,RelMob,Tight_4,Tight,VertInd,HorizInd,VertColl,HorizColl
2024-07-24 11:28:13,2024-07-24 11:32:32,0,87.117.67.153,100,258,1,2024-07-24 11:32:33,R_2yeY7W2PuxRtSPc,NA,NA,NA,NA,51.2279,-2.5261,anonymous,EN,54707269fdf99b014c52eebd,UK,0,,1,1,1,1,1,"It's a positive experience because I spend a lot of time with other people, so when I get alone time it means that I can finally have some time to myself to gather my thoughts and think, and stick to my own interests and things I enjoy doing. It gives me time to recharge mentally for my social/family interactions, and helps me destress. I am surrounded by people all the time so I don't feel negatively when I'm alone.",4.798,65.222,69.08,2,6,6,6,6,4,6,3,2,3,1,1,3,2,3,3,1,3,4,4,3,5,3,2,4,4,5,4,6,5,5,5,5,5,5,4,6,2,2,6,6,3,3,6,4,7,2,5,8,8,8,8,26,1,male,4,asian,NA,,4,bachelors,5.66666666666667,2,2,15,8,2,2,4,3,2,1,2,35,2,26,18,32,16,18
2024-07-24 11:28:10,2024-07-24 11:32:31,0,147.147.116.110,100,260,1,2024-07-24 11:32:31,R_8OS3K4FQPvvHdwB,NA,NA,NA,NA,51.8098,-2.711,anonymous,EN,63d7b5321ace6099e3a83386,UK,0,,1,1,1,1,1,"I think spending time alone is okay as you get your own time your self and you can switch off from the world. For example, you can play video games, study or watch a movie without other people bothering you.
Sometimes it does get lonely and can have a negative effect however aslong as u keep busy, it can be positive.",1.23,104.045,104.618,5,5,5,5,3,4,4,3,3,1,2,2,3,3,4,2,3,2,4,5,4,4,3,3,4,5,4,4,5,5,5,3,4,4,4,5,7,6,4,6,6,7,4,7,7,3,6,7,3,3,8,7,28,1,male,4,asian,NA,,4,bachelors,4.33333333333333,2,3,21,7,3,3,4,3,3,2,2,42,3,24,24,21,23,23
2024-07-24 11:30:00,2024-07-24 11:34:23,0,86.25.235.145,100,262,1,2024-07-24 11:34:24,R_88SXh7W9jkqpVc1,NA,NA,NA,NA,52.9044,-1.2326,anonymous,EN,5d2899a72a33c100167c93fd,UK,0,,1,1,1,1,1,"I enjoy spending time alone to an extent, and I have recently started doing solo activities like going to the theatre and the cinema alone, so that has definitely improved my alone time. I do have times though where I really need human interaction and get quite lonely if I do spend too much time alone so I think a balance is needed.",0.867,0.867,54.351,1,6,5,6,4,5,7,2,2,3,1,1,3,2,2,4,2,1,4,4,5,3,3,3,2,4,3,4,3,3,4,4,4,4,5,6,6,8,4,4,3,1,1,1,2,2,4,5,7,7,8,7,32,2,female,1,white,NA,,4,bachelors,5.5,2,1,12,7,3,4,4,5,4,4,4,49,3,26,6,29,22,13
2024-07-24 11:28:35,2024-07-24 11:33:00,0,194.66.37.62,100,264,1,2024-07-24 11:33:00,R_8TB4VhK50SPuTfj,NA,NA,NA,NA,52.4064,-1.5082,anonymous,EN,6658c6e08ce40f13d68d8157,UK,0,,1,1,1,1,1,"Spending time alone, allows me to go through my thoughts and take care of my self.",20.14,20.14,49.104,1,6,5,5,5,6,6,3,3,1,2,2,3,1,2,3,1,2,5,4,4,3,3,4,2,5,4,4,3,3,4,5,4,4,5,4,4,5,3,7,4,6,3,3,7,6,7,7,7,6,7,6,21,2,female,1,white,NA,,4,bachelors,5.5,2,2,14,7,3,4,4,5,3,4,4,50,3,25,16,26,19,27
2024-07-24 11:02:17,2024-07-24 11:06:44,0,92.239.100.113,100,267,1,2024-07-24 11:06:45,R_8UaZgYeA4Pe7RPg,NA,NA,NA,NA,51.4794,-0.2912,anonymous,EN,669fe5f84f205f1884d84234,UK,0,,1,1,1,1,1,Spending time alone allows me to pursue my own hobbies and interests and to recharge. Being comfortable spending time along means that I spent more valuable time with others and with people that are more valuable to me.,1.2,46.38,53.828,5,6,5,6,6,4,6,2,2,3,2,1,3,2,2,3,1,2,4,5,4,3,2,5,2,4,2,4,2,2,2,2,5,5,4,4,3,8,6,7,7,6,6,3,6,7,6,7,6,6,7,7,27,2,female,1,white,NA,,5,masters,5.5,2,2,14,7,3,4,5,5,5,5,5,55,2,19,22,26,24,26
2024-07-24 11:01:31,2024-07-24 11:06:05,0,82.41.146.251,100,273,1,2024-07-24 11:06:06,R_2gI44MH27E5hcP0,NA,NA,NA,NA,55.9144,-3.1637,anonymous,EN,66a0fced98846d9c63da1aef,UK,0,,1,1,1,1,1,indifferent - dont love it and dont hate it,0.974,22.179,24.797,3,4,4,4,2,4,3,3,3,3,2,2,4,2,2,4,3,2,5,5,4,3,3,4,4,4,4,3,4,4,5,5,5,5,5,5,7,6,7,7,8,7,7,5,6,6,8,8,5,7,7,7,22,1,male,1,white,NA,,3,some college,3.5,1,1,15,9,1,4,4,3,3,3,3,45,2,27,27,26,27,28
2024-07-24 11:27:46,2024-07-24 11:32:21,0,143.58.246.74,100,275,1,2024-07-24 11:32:21,R_28LiTUOS70ziLHb,NA,NA,NA,NA,51.5888,-0.0247,anonymous,EN,6015a903e9236e6c9be301d7,UK,0,,1,1,1,1,1,I like to be alone sometimes as it allows me to be left alone with my thoughts and i get to relax without thinking of anyone. the only downside is it can sometimes get lonely,1.479,25.621,73.358,2,6,5,6,6,4,4,1,2,3,1,1,2,1,1,4,1,1,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,5,2,3,4,6,4,4,4,4,5,4,5,4,4,5,6,6,6,6,31,1,male,1,white,NA,,4,bachelors,5.16666666666667,3,1,10,6,4,4,4,5,3,3,3,46,2,19,17,24,18,18
2024-07-24 11:00:51,2024-07-24 11:05:28,0,82.6.186.72,100,277,1,2024-07-24 11:05:29,R_8H1TLBWNMNTfcCt,NA,NA,NA,NA,51.7377,-1.2054,anonymous,EN,60a43c0502ddacdbecbfb90f,UK,0,,1,1,1,1,1,"I usually find alone time a positive experience to engage in activities I enjoy e.g. watching a film or going to the gym. However, if I am feeling anxious or lonely then being alone can increase the strength of these feelings and then it can be a more negative experience.",1.323,54.235,99.027,2,5,3,3,3,3,4,3,2,1,3,2,3,3,2,3,2,2,5,2,5,4,5,4,4,2,4,3,3,3,5,5,5,3,5,5,4,6,7,6,4,2,6,6,8,7,7,7,6,7,6,7,25,2,female,1,white,NA,,5,masters,3.5,2,2,18,6,4,3,2,3,3,4,4,40,4,29,18,26,23,29
2024-07-24 11:29:51,2024-07-24 11:34:40,0,5.69.254.97,100,288,1,2024-07-24 11:34:40,R_8dPRKXcUljTRucQ,NA,NA,NA,NA,51.2105,-1.5001,anonymous,EN,5ed005980fdb830a7bfeaf4b,UK,0,,1,1,1,1,1,"Spending time alone is a positive experience for me. I get to do what I want, when I want, without having to think of anyone else or please anyone else. I don't have to worry about another persons feelings and I get to spend that time alone. I thoroughly enjoy spending time alone. ",12.746,12.746,66.137,1,5,5,6,4,4,6,2,3,3,2,2,3,2,1,4,1,2,5,4,5,4,2,5,3,4,5,5,3,3,4,5,5,4,5,3,6,4,4,8,4,3,7,6,7,7,7,7,6,6,4,7,25,2,female,1,white,NA,,4,bachelors,5,2,1,13,8,2,3,5,4,2,4,4,50,3,25,20,23,22,28
2024-07-24 11:28:32,2024-07-24 11:33:22,0,90.206.237.179,100,290,1,2024-07-24 11:33:23,R_2sBxRVsKaisVsym,NA,NA,NA,NA,55.0021,-1.6287,anonymous,EN,6315ff5174db3e8a68898492@email.prolific.com,UK,0,,1,1,1,1,1,"I enjoy spending time alone as I am naturally an introvert, and I experience burn out as a result of my customer service job. However, I often feel lonely and isolated when I spend a long time alone. At the moment, it is negatively affecting my mental health ",4.829,4.829,85.301,1,6,3,4,4,2,3,2,3,1,3,2,1,2,4,3,3,2,4,5,5,2,2,4,2,5,4,5,2,3,5,5,3,4,3,2,3,6,6,6,8,3,1,6,6,4,4,8,7,7,7,7,24,2,female,1,white,NA,,3,some college,3.66666666666667,4,2,22,6,4,5,5,5,3,5,4,55,3,21,18,28,21,22
2024-07-24 10:59:03,2024-07-24 11:03:55,0,81.110.201.139,100,291,1,2024-07-24 11:03:55,R_22ta1OUFcjaQ7Zp,NA,NA,NA,NA,52.6181,-1.1804,anonymous,EN,62d5a3356232a7d0aa00a74f,UK,0,,1,1,1,1,1,"spending time alone is a positive experience because it allows to me to self reflect and become more comfortable in my own company,

Could also be a negative experience if it was to happen to often as you could develop bad social habbits when in larger groups in the future.",3.116,3.116,88.544,1,7,7,4,4,4,4,2,2,3,2,1,2,1,1,4,1,1,6,4,6,1,2,6,5,3,4,4,5,5,5,3,5,5,5,3,5,7,9,8,9,9,9,1,5,5,6,7,9,9,9,9,27,1,male,1,white,NA,,2,HS,5,3,1,11,7,3,6,5,2,3,2,2,49,2,23,28,36,29,23
2024-07-24 11:28:11,2024-07-24 11:33:03,0,86.181.38.135,100,291,1,2024-07-24 11:33:04,R_81n1mmmWB3RQjYX,NA,NA,NA,NA,51.6486,0.0495,anonymous,EN,608dae8d95a20368a48ca559,UK,0,,1,1,1,1,1,"Positive because i am able to do my own things when, what and how i want. this without been decided when i am allowed to or not, like my mum asking me to do something straight away when i just want to relax and ill do it later",12.059,12.059,76.252,1,5,5,5,4,4,5,2,3,3,3,1,3,3,3,3,1,3,5,5,5,2,2,4,2,4,2,5,2,2,4,5,5,3,6,5,3,6,4,6,6,4,6,3,4,6,7,7,7,7,7,7,24,2,female,1,white,NA,,4,bachelors,4.66666666666667,2,2,18,8,2,5,5,5,5,5,5,58,4,29,19,28,19,24
2024-07-24 11:29:49,2024-07-24 11:34:43,0,151.229.32.7,100,293,1,2024-07-24 11:34:43,R_2kOrPXKXbvVfzGs,NA,NA,NA,NA,55.8672,-3.628,anonymous,EN,6658b16a7c86929c183ce1e6,UK,0,,1,1,1,1,1,I feel completely unmotivated and my internal clock shifts the more time I spend alone (e.g. wake up at midday and sleep at 4am instead of a more usual schedule).,11.814,11.814,47.328,1,3,2,2,1,1,2,2,2,1,4,4,2,4,3,1,4,2,5,3,4,5,5,3,2,1,5,2,4,4,5,3,4,4,2,3,3,5,2,3,7,3,7,7,1,2,9,6,9,6,7,4,18,1,male,1,white,NA,,2,HS,1.83333333333333,3,4,28,5,5,2,2,5,2,3,3,35,3,20,24,26,13,18
2024-07-24 11:29:27,2024-07-24 11:34:23,0,176.249.83.101,100,295,1,2024-07-24 11:34:23,R_2Eaa46Dqej8MaO1,NA,NA,NA,NA,50.2648,-5.0576,anonymous,EN,5e80e70d3c00ce7d6fdb69ef,UK,0,,1,1,1,1,1,"For me it's a positive thing. I can do what I want, when I want. I get to enjoy the peace of my surroundings and don't feel pressured to do things with others. 

I'm generally introverted anyway, so being alone for long periods lets me do the things I like and without the need to be constantly on the go.",10.4,10.4,75.981,1,7,7,7,7,7,7,2,2,1,1,1,1,1,1,4,1,2,4,3,5,2,4,6,2,5,3,5,3,3,5,5,5,5,4,4,6,6,7,8,3,2,1,1,7,7,2,6,8,8,8,9,46,1,male,1,white,NA,,4,bachelors,7,4,1,12,5,5,5,3,5,4,4,4,53,2,25,7,33,27,22
2024-07-24 11:30:01,2024-07-24 11:35:00,0,77.98.9.238,100,299,1,2024-07-24 11:35:01,R_8KnudAyr3lfE493,NA,NA,NA,NA,53.4142,-2.228,anonymous,EN,5b6dafc049eaff0001e8615e,UK,0,,1,1,1,1,1,"I find it to be an overall positive experience. I overthink a lot in social situations about how I'm perceived by others, and it is very draining. Even if I'm with friends, I find myself wishing to be alone pretty soon. I think this is heavily influenced by my depression, but they definitely feed into each other. In my alone time, I don't have to answer to anyone and can zone out if I need to. However, I do feel isolated and lonely generally; I actually feel this more when I'm not alone.",5.323,44.73,119.653,8,5,3,4,5,3,4,1,1,1,3,3,2,4,4,2,4,3,5,5,5,2,2,5,2,5,4,4,2,2,5,5,5,4,4,2,4,2,2,6,6,3,4,8,4,6,4,8,8,7,8,6,22,2,female,2,black,NA,,3,some college,4,3,3,27,3,7,5,5,5,3,5,5,57,3,24,21,29,14,22
2024-07-24 11:29:16,2024-07-24 11:34:21,0,88.97.220.146,100,305,1,2024-07-24 11:34:21,R_8QhxW6eewSnNTqK,NA,NA,NA,NA,51.5833,-2.9833,anonymous,EN,62b0702670857c45c05cdc4f,UK,0,,1,1,1,1,1,"I enjoying spending time alone, it helps me unwind and relax and think about things without interruption, but after a couple. Of days then it becomes lonely and boring but I do find that day alone is massively benificial ",0.858,65.058,65.598,7,5,5,5,5,5,5,2,2,3,4,1,3,2,1,4,2,1,5,5,3,4,5,5,3,5,3,4,2,2,5,5,5,5,6,1,8,7,7,7,6,2,2,4,6,7,7,5,7,4,7,6,35,1,male,1,white,NA,,3,some college,5,2,1,14,7,3,3,2,4,4,5,5,50,2,24,14,24,29,25
2024-07-24 11:27:26,2024-07-24 11:32:33,0,82.19.212.80,100,307,1,2024-07-24 11:32:34,R_2dFPXLFObaDdneB,NA,NA,NA,NA,52.6513,-1.0876,anonymous,EN,66952d6a1e0d0f76a58ab19d,UK,0,,1,1,1,1,1,"I think a balance is good, alone time for self reflection and development and socialisation for personal growth and building relationships ",1.095,45.668,46.189,7,7,4,4,4,4,7,2,2,3,1,2,3,1,1,3,2,1,4,5,3,4,5,3,3,4,4,4,2,2,3,5,2,2,5,3,8,7,7,2,5,3,6,3,7,7,7,7,7,7,7,7,27,2,female,4,asian,NA,,2,HS,5,2,2,12,7,3,3,2,4,3,5,5,45,5,23,17,28,24,28
2024-07-24 11:31:38,2024-07-24 11:36:46,0,82.37.6.65,100,307,1,2024-07-24 11:36:47,R_2MEDhDAEf3z2DYb,NA,NA,NA,NA,51.5268,-2.5613,anonymous,EN,5e80d768bbee670009874c22,UK,0,,1,1,1,1,1,Being alone is a negative experience as you’re stuck in your own thoughts. You can not get another opinion or there is no one there to cheer you up or encourage you. It is all down to you which can be difficult.,12.039,77.518,78.002,2,1,1,1,1,1,1,2,2,2,1,2,3,2,2,3,3,3,4,4,4,2,2,4,3,4,4,4,4,3,5,5,4,4,5,5,7,9,9,7,8,8,8,3,6,8,7,9,3,7,6,7,23,1,male,1,white,NA,,4,bachelors,1,2,2,17,6,4,5,5,4,3,3,4,48,3,27,27,23,32,30
2024-07-24 11:28:54,2024-07-24 11:34:04,0,80.189.188.96,100,309,1,2024-07-24 11:34:04,R_2mt5EKbXpp7GbEb,NA,NA,NA,NA,53.0786,-1.2383,anonymous,EN,578915184a84da00014c433e,UK,0,,1,1,1,1,1,"I have absolutely awful social anxiety, I don't have good experiences with having friends, when I'm alone I'm in control. All my things are around me, the hobbys I enjoy, my pets, I don't have to acquiese to other peoples will and their wants. I can do exactly what I want when I want it.",3.634,72.83,103.901,20,6,6,7,6,5,6,1,3,3,3,3,1,2,4,4,2,2,4,5,6,2,2,5,4,3,6,6,3,3,6,5,5,6,3,4,7,8,3,7,2,3,6,2,8,8,3,7,8,8,9,9,38,2,female,1,white,NA,,2,HS,6,4,1,21,7,3,5,5,3,1,4,4,51,1,24,13,34,25,26
2024-07-24 11:29:04,2024-07-24 11:34:14,0,109.153.31.156,100,310,1,2024-07-24 11:34:15,R_8Dtp7V2TkyInn1M,NA,NA,NA,NA,51.3975,-0.3507,anonymous,EN,664e381ed2536b7b8d8dbbb0,UK,0,,1,1,1,1,1,I think spending time alone is good to relax and disengage and I personally can get overwhelmed being around others sometimes. I can also do what I want when I'm alone such as read or watch whatever I want to without people complaining.,1.56,1.56,97.647,1,6,4,5,6,5,6,2,3,1,2,1,4,2,2,3,1,2,5,5,4,3,3,4,2,5,4,5,2,2,4,5,4,5,3,4,4,5,5,6,4,4,4,3,7,7,6,6,6,6,6,9,22,2,female,1,white,NA,,2,HS,5.33333333333333,1,2,13,6,4,4,4,5,3,5,5,54,2,22,15,27,20,26
