"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","surveyor_id","MAT","Q3","Refused"
"2022-09-16 15:04:12","2022-09-16 16:00:42","Offline","176.132.224.194","100","3389","True","2022-09-16 18:47:29","R_iWwhmNGqs6J14U7",NA,NA,NA,NA,"48.7709","2.4156",NA,"EN","Laudine","Tenon","Je consens à participer à la recherche",0
"2022-09-16 15:37:56","2022-09-16 16:43:01","Offline","92.184.96.141","100","3905","True","2022-09-17 12:58:47","R_4uNJQn2w9I8tNod",NA,NA,NA,NA,"48.8323","2.4075",NA,"EN","Laure","Tenon","Je consens à participer à la recherche",0
"2022-09-19 10:32:23","2022-09-19 10:44:34","Offline","90.79.201.216","100","730","True","2022-09-19 17:43:56","R_fLAl0UXUrb2R3tu",NA,NA,NA,NA,"48.8323","2.4075",NA,"EN","Laure","Tenon","Je consens à participer à la recherche",0
"2022-09-19 10:04:32","2022-09-19 10:52:28","Offline","90.79.201.216","100","2875","True","2022-09-19 17:43:56","R_9wDkFDVUSf1knNx",NA,NA,NA,NA,"48.8323","2.4075",NA,"EN","Laure","Tenon","Je consens à participer à la recherche",0
"2022-09-19 10:52:31","2022-09-19 11:12:13","Offline","90.79.201.216","100","1181","True","2022-09-19 17:43:57","R_fiE5MFtDHbrW4oZ",NA,NA,NA,NA,"48.8323","2.4075",NA,"EN","Laure","Tenon","Je consens à participer à la recherche",0
"2022-09-19 11:17:41","2022-09-19 11:34:27","Offline","90.79.201.216","100","1005","True","2022-09-19 17:43:58","R_kuNqI2RfjaIxNBb",NA,NA,NA,NA,"48.8323","2.4075",NA,"EN","Laure","Tenon","Je consens à participer à la recherche",0
"2022-09-19 12:23:51","2022-09-19 12:35:08","Offline","90.79.201.216","100","676","True","2022-09-19 17:43:59","R_eTkY1JqvclcIrpo",NA,NA,NA,NA,"48.8323","2.4075",NA,"EN","Laure","Tenon","Je consens à participer à la recherche",0
"2022-09-19 12:35:12","2022-09-19 12:51:01","Offline","90.79.201.216","100","949","True","2022-09-19 17:44:00","R_arOWz8PvrtOj4n2",NA,NA,NA,NA,"48.8323","2.4075",NA,"EN","Laure","Tenon","Je consens à participer à la recherche",0
"2022-09-19 12:51:05","2022-09-19 13:03:05","Offline","90.79.201.216","100","720","True","2022-09-19 17:44:00","R_lNlocO6ZLhexE8R",NA,NA,NA,NA,"48.8323","2.4075",NA,"EN","Laure","Tenon","Je consens à participer à la recherche",0
"2022-09-19 14:59:02","2022-09-19 15:12:53","Offline","90.79.201.216","100","830","True","2022-09-19 17:44:01","R_1DJCjW1L57nXPmz",NA,NA,NA,NA,"48.8323","2.4075",NA,"EN","Laure","Tenon","Je consens à participer à la recherche",0
