Participant,Months,Gender,Condition,Order,Obstacle,Outcome,Looking,TaskOrder,Habituated
P02,11.26301082,m,1,2,yes,Unexpected,30.56036081,1,1
P02,11.26301082,m,1,1,yes,Expected,19.50562538,1,1
P11,11.32876352,m,3,2,no,Unexpected,14.51622872,6,0
P11,11.32876352,m,3,1,no,Expected,5.145809741,6,0
P14,10.92053786,m,1,2,yes,Unexpected,22.14550615,2,1
P14,10.92053786,m,1,1,yes,Expected,5.335892845,2,1
P15,10.95341421,f,3,2,no,Unexpected,9.489309689,5,0
P15,10.95341421,f,3,1,no,Expected,7.433235383,5,0
P17,11.0657527,f,3,2,no,Unexpected,28.68948584,5,0
P17,11.0657527,f,3,1,no,Expected,20.2114012,5,0
P18,11.09862906,f,1,2,yes,Unexpected,3.428516942,4,0
P18,11.09862906,f,1,1,yes,Expected,3.49793366,4,0
P19,11.03287635,f,3,2,no,Unexpected,6.338447409,1,0
P19,11.03287635,f,3,1,no,Expected,5.949124932,1,0
P21,11.16438176,f,3,2,no,Unexpected,5.473936225,3,0
P21,11.16438176,f,3,1,no,Expected,4.884227447,3,0
P22,11.13150541,f,1,2,yes,Unexpected,8.756159212,5,1
P22,11.13150541,f,1,1,yes,Expected,8.342710785,5,1
P23,10.85478515,f,3,2,no,Unexpected,29.1653163,1,0
P23,10.85478515,f,3,1,no,Expected,7.144360956,1,0
P26,11.29588717,m,1,2,yes,Unexpected,6.047184726,3,0
P26,11.29588717,m,1,1,yes,Expected,10.50245958,3,0
P31,11.39451622,f,3,2,no,Unexpected,6.814964305,4,0
P31,11.39451622,f,3,1,no,Expected,11.030063,4,0
P10b,11.16438176,m,1,2,yes,Unexpected,11.05013176,3,0
P10b,11.16438176,m,1,1,yes,Expected,16.84219774,3,0
P07c,10.8219088,m,3,2,no,Unexpected,15.77312705,4,0
P07c,10.8219088,m,3,1,no,Expected,6.761134534,4,0
P03e,11.32876352,m,3,2,no,Unexpected,16.88643679,6,1
P03e,11.32876352,m,3,1,no,Expected,13.81512879,6,1
P30c,10.59177434,m,1,2,yes,Unexpected,10.01289287,2,0
P30c,10.59177434,m,1,1,yes,Expected,3.649970959,2,0
P27d,11.09862906,m,3,2,no,Unexpected,6.724107833,4,0
P27d,11.09862906,m,3,1,no,Expected,3.801063375,4,0
P06c,11.16438176,f,1,2,yes,Unexpected,6.667969898,6,0
P06c,11.16438176,f,1,1,yes,Expected,3.271804197,6,0
P01,11.49314528,f,4,1,no,Unexpected,9.086885091,6,0
P01,11.49314528,f,4,2,no,Expected,12.64622677,6,0
P04,11.09862906,f,2,1,yes,Unexpected,18.85464266,5,1
P04,11.09862906,f,2,2,yes,Expected,7.551044712,5,1
P05,10.7561561,f,4,1,no,Unexpected,3.978141438,2,1
P05,10.7561561,f,4,2,no,Expected,7.027462145,2,1
P09,10.88766151,m,4,1,no,Unexpected,5.397491118,2,0
P09,10.88766151,m,4,2,no,Expected,4.219382635,2,0
P12,11.39451622,f,2,1,yes,Unexpected,15.15926506,6,1
P12,11.39451622,f,2,2,yes,Expected,17.10262296,6,1
P24,11.09862906,f,2,1,yes,Unexpected,10.92256995,1,1
P24,11.09862906,f,2,2,yes,Expected,21.60223392,1,1
P25,10.8219088,f,4,1,no,Unexpected,17.32023849,2,0
P25,10.8219088,f,4,2,no,Expected,8.022199631,2,0
P28,11.46026893,m,2,1,yes,Unexpected,7.2537979,6,0
P28,11.46026893,m,2,2,yes,Expected,5.654738776,6,0
P32,11.19725811,m,2,1,yes,Unexpected,19.05176229,1,0
P32,11.19725811,m,2,2,yes,Expected,6.862616355,1,0
P13b,10.88766151,m,4,1,no,Unexpected,9.285662061,1,0
P13b,10.88766151,m,4,2,no,Expected,6.854408093,1,0
P16b,11.09862906,f,2,1,yes,Unexpected,11.3175512,2,1
P16b,11.09862906,f,2,2,yes,Expected,4.88713609,2,1
P20e,10.7561561,f,2,1,yes,Unexpected,6.565851406,5,0
P20e,10.7561561,f,2,2,yes,Expected,3.246318771,5,0
P29b,10.85478515,m,4,1,no,Unexpected,1.890798828,4,1
P29b,10.85478515,m,4,2,no,Expected,2.58664698,4,1
P08f,11.16438176,m,2,1,yes,Unexpected,2.518271091,3,0
P08f,11.16438176,m,2,2,yes,Expected,8.334412756,3,0
