Participant,Months,Gender,Condition,Order,Obstacle,Outcome,Looking,TaskOrder,Habituated
P01,11.23013446,f,1,1,yes,Unexpected,18.39224902,1,0
P01,11.23013446,f,1,2,yes,Expected,21.44848551,1,0
P02,11.29588717,m,4,2,no,Unexpected,14.12820482,2,0
P02,11.29588717,m,4,1,no,Expected,13.26426464,2,0
P04,10.72327974,f,3,1,no,Unexpected,23.28766173,1,0
P04,10.72327974,f,3,2,no,Expected,13.01145448,1,0
P05,11.23013446,f,1,1,yes,Unexpected,12.55545708,6,0
P05,11.23013446,f,1,2,yes,Expected,25.1630324,6,0
P09,10.85478515,m,1,1,yes,Unexpected,20.31633999,1,0
P09,10.85478515,m,1,2,yes,Expected,14.2444775,1,0
P11,10.88766151,m,2,2,yes,Unexpected,2.549748693,4,0
P11,10.88766151,m,2,1,yes,Expected,2.356219074,4,0
P12,11.36163987,f,3,1,no,Unexpected,2.63238241,5,0
P12,11.36163987,f,3,2,no,Expected,13.91688602,5,0
P14,11,m,4,2,no,Unexpected,4.551188496,3,0
P14,11,m,4,1,no,Expected,3.561771143,3,0
P15,10.8219088,f,2,2,yes,Unexpected,10.85652361,4,0
P15,10.8219088,f,2,1,yes,Expected,3.173483353,4,0
P17,10.95341421,f,1,1,yes,Unexpected,20.51623724,2,0
P17,10.95341421,f,1,2,yes,Expected,6.465847162,2,0
P18,11,f,4,2,no,Unexpected,15.20662875,3,0
P18,11,f,4,1,no,Expected,13.51461443,3,0
P19,11.29588717,f,2,2,yes,Unexpected,5.109037519,3,1
P19,11.29588717,f,2,1,yes,Expected,9.03095394,3,1
P21,11.03287635,f,1,1,yes,Unexpected,9.83725182,1,0
P21,11.03287635,f,1,2,yes,Expected,5.435635245,1,0
P22,10.95341421,f,4,2,no,Unexpected,18.25094,3,0
P22,10.95341421,f,4,1,no,Expected,15.19420724,3,0
P23,11.26301082,f,2,2,yes,Unexpected,9.18608029,4,0
P23,11.26301082,f,2,1,yes,Expected,9.733981952,4,0
P24,11.42739258,f,3,1,no,Unexpected,7.204908244,6,0
P24,11.42739258,f,3,2,no,Expected,2.461789231,6,0
P25,10.95341421,f,1,1,yes,Unexpected,10.72755789,4,0
P25,10.95341421,f,1,2,yes,Expected,9.114794625,4,0
P26,11.49314528,m,4,2,no,Unexpected,1.802226602,6,1
P26,11.49314528,m,4,1,no,Expected,1.780997357,6,1
P28,11.42739258,m,3,1,no,Unexpected,11.55170871,5,1
P28,11.42739258,m,3,2,no,Expected,3.597025121,5,1
P31,11.23013446,f,2,2,yes,Unexpected,9.414483498,1,0
P31,11.23013446,f,2,1,yes,Expected,9.124629229,1,0
P32,11.29588717,m,3,1,no,Unexpected,9.496588269,4,1
P32,11.29588717,m,3,2,no,Expected,2.846651954,4,1
P10b,11.23013446,m,4,2,no,Unexpected,18.61042874,5,0
P10b,11.23013446,m,4,1,no,Expected,9.183194437,5,0
P13b,11.13150541,m,2,2,yes,Unexpected,8.60507023,5,0
P13b,11.13150541,m,2,1,yes,Expected,13.88468482,5,0
P07c,10.88766151,m,2,2,yes,Unexpected,6.750955638,6,0
P07c,10.88766151,m,2,1,yes,Expected,4.089089014,6,0
P16b,11.29588717,f,3,1,no,Unexpected,11.38032203,6,1
P16b,11.29588717,f,3,2,no,Expected,7.433227134,6,1
P03e,11.26301082,m,2,2,yes,Unexpected,5.991114083,4,0
P03e,11.26301082,m,2,1,yes,Expected,6.424672792,4,0
P30c,10.62465069,m,4,2,no,Unexpected,6.844548542,3,1
P30c,10.62465069,m,4,1,no,Expected,5.780054124,3,1
P27d,11.03287635,m,2,2,yes,Unexpected,8.667591833,2,0
P27d,11.03287635,m,2,1,yes,Expected,5.191569625,2,0
P20e,10.62465069,f,3,1,no,Unexpected,3.774984156,3,1
P20e,10.62465069,f,3,2,no,Expected,9.20692455,3,1
P06c,11.09862906,f,4,2,no,Unexpected,12.43093816,4,0
P06c,11.09862906,f,4,1,no,Expected,4.446261099,4,0
P29b,10.78903245,m,1,1,yes,Unexpected,7.139924301,2,0
P29b,10.78903245,m,1,2,yes,Expected,2.006147223,2,0
P08f,11.36163987,m,3,1,no,Unexpected,15.12234371,5,0
P08f,11.36163987,m,3,2,no,Expected,4.166634506,5,0
