par1,par2,par3,par4,par5,par6,par7,par8,par9,part10,par11,par12,meanGroup,facesDisplayTime,maskTime,id,trial,faceIdentity,faceTime,realSD,rating,rt,numberFaces,condition,oldID,socialAnxiety1,socialAnxiety2,socialAnxiety3,socialAnxiety4,socialAnxiety5,socialAnxiety6,needToBelong1,needToBelong2,needToBelong3,needToBelong4,needToBelong5,needToBelong6,needToBelong7,needToBelong8,needToBelong9,needToBelong10,bigFiveExtraverted,bigFiveCritical,bigFiveCons,bigFiveNeuro,bigFiveOpen,bigFiveReserved,bigFiveWarm,bigFiveCareless,bigFiveCalm,bigFiceConventional,politicalBinary,age,sex,usCitizen,usCitizenText,bornUS,moveUS,geography,geography_text,raceBlack,raceLatin,raceWhite,raceAsian,raceOther,other_text,edu,income
112,NA,128,116,118,114,124,140,134,132,136,138,126.545,0.990381,0.233506,1,1,1,1,9.9453,113,2.70784,10,positive,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
NA,118,136,NA,134,NA,138,120,126,114,NA,122,126,0.999562,0.233518,1,2,3,1,9.9453,143,3.31396,7,negative,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
NA,NA,120,132,148,NA,NA,NA,146,122,124,126,131.143,0.983941,0.233539,1,3,3,1,9.9453,121,2.07151,6,negative,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
118,138,112,134,NA,136,124,NA,116,120,NA,NA,124.75,0.984068,0.233611,1,4,1,1,9.9453,111,1.00027,7,positive,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
104,128,124,115,121,109,NA,104,107,NA,129,105,114.6,0.984361,0.233638,1,5,2,1,9.89949,116,4.01932,9,negative,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
NA,NA,NA,NA,NA,137,139,NA,129,119,NA,NA,131,0.998981,0.233507,1,6,2,1,9.9453,125,4.25862,3,negative,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
121,NA,149,NA,137,145,NA,NA,NA,141,125,147,137.857,0.98409,0.233757,1,7,3,1,9.9453,125,3.6009,6,negative,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
119,111,133,127,107,131,NA,NA,115,109,129,135,121.6,0.984122,0.250132,1,8,1,1,9.9453,122,2.40869,9,positive,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
NA,NA,NA,NA,101,NA,NA,101,NA,NA,NA,NA,101,0.983943,0.233471,1,9,1,1,9.89949,101,5.74238,1,positive,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
118,101,112,125,104,101,NA,106,103,101,121,126,110.727,0.984552,0.250198,1,10,3,1,9.89949,121,7.13616,10,negative,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
NA,108,112,116,106,NA,126,132,130,110,104,NA,116,0.98406,0.233552,1,11,4,1,9.9453,111,0.866943,8,negative,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
126,133,144,149,127,149,138,NA,124,150,147,147,139.455,0.984137,0.233508,1,12,1,1,9.88111,144,4.68955,10,negative,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
NA,114,112,134,116,NA,NA,110,124,132,NA,130,121.5,0.983945,0.233666,1,13,3,1,9.9453,128,10.4387,7,positive,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
116,NA,107,NA,105,105,105,130,NA,129,NA,110,113.375,0.98409,0.23343,1,14,4,1,9.89949,121,3.55989,7,positive,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
NA,107,NA,NA,117,NA,NA,NA,105,121,111,NA,112.2,0.984076,0.250119,1,15,1,1,9.9453,108,0.625027,4,positive,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
123,125,129,105,121,107,103,109,117,127,NA,113,116.273,0.984223,0.250194,1,16,3,1,9.9453,111,1.65044,10,positive,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
NA,NA,129,NA,NA,NA,NA,135,NA,NA,119,133,129,0.983915,0.233525,1,17,4,1,9.9453,131,1.85176,3,positive,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
NA,NA,NA,NA,120,NA,NA,142,NA,NA,NA,NA,131,0.983834,0.233579,1,18,4,1,9.9453,131,2.94617,1,positive,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
NA,122,146,NA,NA,144,NA,NA,NA,120,NA,NA,133,0.983874,0.233454,1,19,1,1,9.9453,140,2.11128,3,negative,33,1,2,2,1,2,1,2,4,1,5,5,2,1,5,4,5,5,2,5,5,7,4,5,4,3,2,1,21,male,1,NA,1,N/A,2,NA,1,0,1,1,0,NA,3,1
