,?..build,computer.platform,date,time,subject,seed,sessionid,blockcode,blocknum,trialcode,trialnum,current_condition,condition_index,oldnew,ltm_item,oldnew_resp,oldnew_RT
1,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,practice,1,next_trial,17,85,8,5,42,6,5853
2,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,practice,1,next_trial,20,80,8,0,1,1,3545
3,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,practice,1,next_trial,23,85,8,5,41,4,4981
4,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,practice,1,next_trial,26,80,8,0,2,1,1648
5,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,9,10,1,0,20,1,1856
6,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,12,40,4,0,52,5,8547
7,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,15,30,3,0,60,1,1909
8,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,18,10,1,0,18,1,1500
9,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,21,65,6,5,210,2,2652
10,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,24,25,2,5,212,1,1650
11,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,27,60,6,0,122,1,1845
12,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,30,45,4,5,231,4,5802
13,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,33,45,4,5,207,6,4291
14,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,36,25,2,5,200,6,1775
15,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,39,30,3,0,54,1,1605
16,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,42,10,1,0,22,1,1583
17,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,45,50,5,0,126,3,3434
18,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,48,40,4,0,57,2,3721
19,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,51,25,2,5,209,5,4928
20,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,54,20,2,0,16,1,2227
21,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,57,40,4,0,53,4,3956
22,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,60,50,5,0,123,4,8879
23,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,63,55,5,5,213,6,2036
24,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,66,35,3,5,215,3,2974
25,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,69,50,5,0,130,1,1680
26,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,72,60,6,0,124,3,2793
27,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,75,30,3,0,57,1,2543
28,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,78,65,6,5,215,3,7090
29,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,81,65,6,5,230,6,2059
30,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,84,35,3,5,218,6,1698
31,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,87,60,6,0,132,4,4409
32,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,90,20,2,0,13,1,9893
33,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,93,45,4,5,225,4,2990
34,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,96,20,2,0,18,5,2262
35,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,99,15,1,5,217,5,2788
36,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,102,55,5,5,233,5,1695
37,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,105,15,1,5,211,6,2345
38,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,108,15,1,5,227,6,1652
39,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,111,35,3,5,232,2,3860
40,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,114,55,5,5,222,5,4292
41,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,117,15,1,5,220,1,6626
42,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,120,65,6,5,233,5,3460
43,6.5.1,win,2021/11/14,15:51:30,60fd0fcc7708d38e6c269af3,1,1,main,2,next_trial,123,55,5,5,216,2,4816
