Participant,Sub-group,Age (Months),Score_Mother,Score_Aunt/Friend
1,Aunt,6.426229508,-0.17086056,0.08763254
2,Aunt,6.491803279,0.172527144,-0.198602703
3,Aunt,6.262295082,-0.014527768,0.111478078
4,Aunt,6.590163934,-0.011049242,-0.013659647
5,Aunt,6.491803279,-0.144196016,0.105158656
6,Aunt,6.655737705,-0.103929569,-0.288340016
7,Aunt,6.819672131,-0.070104675,0.016612516
8,Aunt,6.196721311,-0.061693573,0.010944881
9,Aunt,6.655737705,-0.069977554,-0.091665332
10,Aunt,7,0.110535798,0.059146141
11,Friend,6.721311475,0.152691384,0.082712509
12,Friend,6.262295082,-0.15251407,-0.148343388
13,Friend,6.459016393,0.027114454,-0.051311142
14,Friend,6.721311475,-0.243843402,0.283883749
15,Friend,6.295081967,0.021538321,-0.226429083
16,Friend,6.754098361,-0.362196119,0.172287346
17,Friend,6,0.239500178,-0.19638471
18,Friend,6.590163934,-0.061854538,0.136356905
19,Friend,6.918032787,0.1367789,-0.239927136
20,Friend,6.983606557,-0.007646129,0.181921539
