"acc","accuracy","average_response_time","avg_rt","background","block","block_score","block_type","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","count_break","count_break_1","count_break_2","count_exp_block_long","count_exp_block_long_1","count_exp_block_sequence_long","count_exp_block_sequence_short","count_exp_block_sequence_short_1","count_exp_block_short","count_exp_block_short_1","count_exp_end","count_exp_loop","count_exp_sequence","count_exp_sequence_even","count_exp_sequence_odd","count_experiment","count_getting_started","count_init_block","count_init_block_1","count_init_block_2","count_init_block_3","count_init_exp","count_init_trial","count_instructions","count_long_block","count_new_inline_script","count_new_inline_script_1","count_new_inline_script_2","count_new_inline_script_3","count_new_inline_script_4","count_new_logger","count_new_logger_1","count_new_logger_2","count_new_logger_3","count_practice_block","count_practice_over","count_practice_trial","count_stimulus_presentation","count_stimulus_presentation_1","count_stimulus_presentation_2","count_stimulus_presentation_3","count_stimulus_presentation_4","count_stimulus_presentation_practice","count_trial","count_trial_1","count_trial_2","count_trial_3","count_welcome","count_wheel","count_wheel_1","count_wheel_2","count_wheel_3","count_wheel_feedback","datetime","description","disable_garbage_collection","empty_column","error_angle","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","foreperiod","form_clicks","fullscreen","height","highscore","highscore_text","keyboard_backend","live_row","live_row_practice_block","logfile","mask_duration","mouse_backend","opensesame_codename","opensesame_version","presentation_time","ptimes","repeat_cycle","response","response_break","response_break_1","response_break_2","response_exp_end","response_instructions","response_orientation","response_practice_over","response_time","response_time_break","response_time_break_1","response_time_break_2","response_time_exp_end","response_time_instructions","response_time_practice_over","response_time_welcome","response_welcome","retention_interval","round_decimals","rt","sampler_backend","score","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_duration","target_orientation","time_break","time_break_1","time_break_2","time_exp_block_long","time_exp_block_long_1","time_exp_block_sequence_long","time_exp_block_sequence_short","time_exp_block_sequence_short_1","time_exp_block_short","time_exp_block_short_1","time_exp_end","time_exp_loop","time_exp_sequence","time_exp_sequence_even","time_exp_sequence_odd","time_experiment","time_getting_started","time_init_block","time_init_block_1","time_init_block_2","time_init_block_3","time_init_exp","time_init_trial","time_instructions","time_long_block","time_new_inline_script","time_new_inline_script_1","time_new_inline_script_2","time_new_inline_script_3","time_new_inline_script_4","time_new_logger","time_new_logger_1","time_new_logger_2","time_new_logger_3","time_practice_block","time_practice_over","time_practice_trial","time_stimulus_presentation","time_stimulus_presentation_1","time_stimulus_presentation_2","time_stimulus_presentation_3","time_stimulus_presentation_4","time_stimulus_presentation_practice","time_trial","time_trial_1","time_trial_2","time_trial_3","time_welcome","time_wheel","time_wheel_1","time_wheel_2","time_wheel_3","time_wheel_feedback","title","total_correct","total_response_time","total_responses","trial","uniform_coordinates","wheel_rotation","width","x_response","y_response"
"undefined","undefined","undefined","undefined","grey","0","NA","'practice'","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","15","NA","15","15","NA","15","NA","0","NA","0","0","0","0","0","31","NA","NA","NA","0","NA","0","NA","31","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","Mon Apr 25 16:33:08 2022","The main experiment item","yes","NA","10.443305930164257","adaptive_wm_dynamics3a.osexp","C:/Users/user/Desktop/joost_de_jong/Experiment3a","no","mono","no","18","no","white","829.7427475092854","no","yes","768","0","NA","psycho","0","0","C:/Users/user/Desktop/joost_de_jong/Experiment3a/subject-919.csv","95","psycho","Lentiform Loewenfeld","3.3.9","395","[45, 195, 395]","0","space","NA","NA","NA","NA","space","138.81407483429035","NA","79838.29130000231","NA","NA","NA","NA","79838.29130000231","NA","NA","NA","995","2","4129.5590000008815","psycho","NA","1024","2","48000","-16","experiment","919","odd","NA","128.3707689041261","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3539.0880000013567","NA","NA","NA","NA","NA","3539.4357000004675","NA","3560.3919999994105","NA","NA","NA","NA","NA","NA","92337.2887000005","NA","NA","NA","83399.60100000098","NA","83610.75809999966","NA","NA","NA","NA","NA","83611.10220000046","NA","NA","NA","NA","NA","NA","NA","NA","NA","86041.60899999988","New experiment","0","0","0","1","yes","138.81407483429035","1024","-14","-16"
"undefined","undefined","undefined","undefined","grey","0","NA","'practice'","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","15","NA","15","15","NA","15","NA","0","NA","0","0","0","0","0","31","NA","NA","NA","0","NA","0","NA","31","NA","NA","NA","NA","1","NA","NA","NA","0","0","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Mon Apr 25 16:33:08 2022","The main experiment item","yes","NA","-2.7723612133530224","adaptive_wm_dynamics3a.osexp","C:/Users/user/Desktop/joost_de_jong/Experiment3a","no","mono","no","18","no","white","773.8839035633963","no","yes","768","0","NA","psycho","1","1","C:/Users/user/Desktop/joost_de_jong/Experiment3a/subject-919.csv","95","psycho","Lentiform Loewenfeld","3.3.9","195","[45, 195, 395]","0","space","NA","NA","NA","NA","space","122.27564431457762","NA","79838.29130000231","NA","NA","NA","NA","79838.29130000231","NA","NA","NA","995","2","2205.1624999985506","psycho","NA","1024","2","48000","-16","experiment","919","odd","NA","125.04800552793064","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3539.0880000013567","NA","NA","NA","NA","NA","3539.4357000004675","NA","3560.3919999994105","NA","NA","NA","NA","NA","NA","99127.36900000164","NA","NA","NA","83399.60100000098","NA","92608.38209999929","NA","NA","NA","NA","NA","92608.59039999923","NA","NA","NA","NA","NA","NA","NA","NA","NA","94766.74230000208","New experiment","0","0","0","2","yes","122.27564431457762","1024","-19","-12"
"undefined","undefined","undefined","undefined","grey","0","NA","'practice'","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","15","NA","15","15","NA","15","NA","0","NA","0","0","0","0","0","31","NA","NA","NA","0","NA","0","NA","31","NA","NA","NA","NA","2","NA","NA","NA","0","0","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","Mon Apr 25 16:33:08 2022","The main experiment item","yes","NA","-1.2642594418531985","adaptive_wm_dynamics3a.osexp","C:/Users/user/Desktop/joost_de_jong/Experiment3a","no","mono","no","18","no","white","514.8090921084682","no","yes","768","0","NA","psycho","2","2","C:/Users/user/Desktop/joost_de_jong/Experiment3a/subject-919.csv","95","psycho","Lentiform Loewenfeld","3.3.9","45","[45, 195, 395]","0","space","NA","NA","NA","NA","space","98.53076560994816","NA","79838.29130000231","NA","NA","NA","NA","79838.29130000231","NA","NA","NA","995","2","1655.8800999991945","psycho","NA","1024","2","48000","-16","experiment","919","odd","NA","99.79502505180136","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3539.0880000013567","NA","NA","NA","NA","NA","3539.4357000004675","NA","3560.3919999994105","NA","NA","NA","NA","NA","NA","104927.47470000177","NA","NA","NA","83399.60100000098","NA","99384.67239999954","NA","NA","NA","NA","NA","99384.87309999982","NA","NA","NA","NA","NA","NA","NA","NA","NA","101120.83669999993","New experiment","0","0","0","3","yes","98.53076560994813","1024","-20","-3"
"undefined","undefined","undefined","undefined","grey","0","NA","'practice'","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","15","NA","15","15","NA","15","NA","0","NA","0","0","0","0","0","31","NA","NA","NA","0","NA","0","NA","31","NA","NA","NA","NA","3","NA","NA","NA","0","0","3","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","Mon Apr 25 16:33:08 2022","The main experiment item","yes","NA","0.5200017082918009","adaptive_wm_dynamics3a.osexp","C:/Users/user/Desktop/joost_de_jong/Experiment3a","no","mono","no","18","no","white","910.194608435698","no","yes","768","0","NA","psycho","3","3","C:/Users/user/Desktop/joost_de_jong/Experiment3a/subject-919.csv","95","psycho","Lentiform Loewenfeld","3.3.9","395","[45, 195, 395]","0","space","NA","NA","NA","NA","space","96.70983680775691","NA","79838.29130000231","NA","NA","NA","NA","79838.29130000231","NA","NA","NA","995","2","3104.4438000026275","psycho","NA","1024","2","48000","-16","experiment","919","odd","NA","96.18983509946511","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3539.0880000013567","NA","NA","NA","NA","NA","3539.4357000004675","NA","3560.3919999994105","NA","NA","NA","NA","NA","NA","112957.72170000055","NA","NA","NA","83399.60100000098","NA","105193.49399999919","NA","NA","NA","NA","NA","105193.5795999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","107687.7166000013","New experiment","0","0","0","4","yes","96.70983680775694","1024","-17","-2"
"undefined","undefined","undefined","undefined","grey","0","NA","'practice'","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","15","NA","15","15","NA","15","NA","0","NA","0","0","0","0","0","31","NA","NA","NA","0","NA","0","NA","31","NA","NA","NA","NA","4","NA","NA","NA","0","0","4","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","Mon Apr 25 16:33:08 2022","The main experiment item","yes","NA","14.404012436201356","adaptive_wm_dynamics3a.osexp","C:/Users/user/Desktop/joost_de_jong/Experiment3a","no","mono","no","18","no","white","600.4287816731425","no","yes","768","0","NA","psycho","4","4","C:/Users/user/Desktop/joost_de_jong/Experiment3a/subject-919.csv","95","psycho","Lentiform Loewenfeld","3.3.9","195","[45, 195, 395]","0","space","NA","NA","NA","NA","space","21.540975918538436","NA","79838.29130000231","NA","NA","NA","NA","79838.29130000231","NA","NA","NA","995","2","5547.174700001051","psycho","NA","1024","2","48000","-16","experiment","919","odd","NA","7.13696348233708","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3539.0880000013567","NA","NA","NA","NA","NA","3539.4357000004675","NA","3560.3919999994105","NA","NA","NA","NA","NA","NA","122897.83570000145","NA","NA","NA","83399.60100000098","NA","113218.64730000016","NA","NA","NA","NA","NA","113218.7359999989","NA","NA","NA","NA","NA","NA","NA","NA","NA","115185.17300000167","New experiment","0","0","0","5","yes","-158.45902408146156","1024","15","-38"
"undefined","undefined","undefined","undefined","grey","0","NA","'practice'","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","15","NA","15","15","NA","15","NA","0","NA","0","0","0","0","0","31","NA","NA","NA","0","NA","0","NA","31","NA","NA","NA","NA","5","NA","NA","NA","0","0","5","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","Mon Apr 25 16:33:08 2022","The main experiment item","yes","NA","-37.374012084239524","adaptive_wm_dynamics3a.osexp","C:/Users/user/Desktop/joost_de_jong/Experiment3a","no","mono","no","18","no","white","686.6451594572304","no","yes","768","0","NA","psycho","5","5","C:/Users/user/Desktop/joost_de_jong/Experiment3a/subject-919.csv","95","psycho","Lentiform Loewenfeld","3.3.9","45","[45, 195, 395]","0","space","NA","NA","NA","NA","space","112.61986494804046","NA","79838.29130000231","NA","NA","NA","NA","79838.29130000231","NA","NA","NA","995","2","1094.4870999992418","psycho","NA","1024","2","48000","-16","experiment","919","odd","NA","149.99387703227998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3539.0880000013567","NA","NA","NA","NA","NA","3539.4357000004675","NA","3560.3919999994105","NA","NA","NA","NA","NA","NA","128347.94020000118","NA","NA","NA","83399.60100000098","NA","123159.45930000089","NA","NA","NA","NA","NA","123159.54989999955","NA","NA","NA","NA","NA","NA","NA","NA","NA","125089.26490000158","New experiment","0","0","0","6","yes","112.61986494804043","1024","-12","-5"
"undefined","undefined","undefined","undefined","grey","0","NA","'practice'","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","15","NA","15","15","NA","15","NA","0","NA","0","0","0","0","0","31","NA","NA","NA","0","NA","0","NA","31","NA","NA","NA","NA","6","NA","NA","NA","0","0","6","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","Mon Apr 25 16:33:08 2022","The main experiment item","yes","NA","-2.1550025608546832","adaptive_wm_dynamics3a.osexp","C:/Users/user/Desktop/joost_de_jong/Experiment3a","no","mono","no","18","no","white","510.92818448754286","no","yes","768","0","NA","psycho","6","6","C:/Users/user/Desktop/joost_de_jong/Experiment3a/subject-919.csv","95","psycho","Lentiform Loewenfeld","3.3.9","395","[45, 195, 395]","0","space","NA","NA","NA","NA","space","136.46880071438582","NA","79838.29130000231","NA","NA","NA","NA","79838.29130000231","NA","NA","NA","995","2","3078.3051999969757","psycho","NA","1024","2","48000","-16","experiment","919","odd","NA","138.6238032752405","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3539.0880000013567","NA","NA","NA","NA","NA","3539.4357000004675","NA","3560.3919999994105","NA","NA","NA","NA","NA","NA","135948.11140000093","NA","NA","NA","83399.60100000098","NA","128607.9052999994","NA","NA","NA","NA","NA","128607.98839999916","NA","NA","NA","NA","NA","NA","NA","NA","NA","130708.03620000152","New experiment","0","0","0","7","yes","-43.53119928561418","1024","19","20"
"undefined","undefined","undefined","undefined","grey","0","NA","'practice'","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","15","NA","15","15","NA","15","NA","0","NA","0","0","0","0","0","31","NA","NA","NA","0","NA","0","NA","31","NA","NA","NA","NA","7","NA","NA","NA","0","0","7","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","Mon Apr 25 16:33:08 2022","The main experiment item","yes","NA","2.319660679660984","adaptive_wm_dynamics3a.osexp","C:/Users/user/Desktop/joost_de_jong/Experiment3a","no","mono","no","18","no","white","532.1992862475687","no","yes","768","0","NA","psycho","7","7","C:/Users/user/Desktop/joost_de_jong/Experiment3a/subject-919.csv","95","psycho","Lentiform Loewenfeld","3.3.9","195","[45, 195, 395]","0","space","NA","NA","NA","NA","space","152.35402463626133","NA","79838.29130000231","NA","NA","NA","NA","79838.29130000231","NA","NA","NA","995","2","3956.092100001115","psycho","NA","1024","2","48000","-16","experiment","919","odd","NA","150.03436395660034","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3539.0880000013567","NA","NA","NA","NA","NA","3539.4357000004675","NA","3560.3919999994105","NA","NA","NA","NA","NA","NA","144248.29390000014","NA","NA","NA","83399.60100000098","NA","136210.8646000015","NA","NA","NA","NA","NA","136210.9530000016","NA","NA","NA","NA","NA","NA","NA","NA","NA","138136.39070000136","New experiment","0","0","0","8","yes","-27.64597536373868","1024","11","21"
"undefined","undefined","undefined","undefined","grey","0","NA","'practice'","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","15","NA","15","15","NA","15","NA","0","NA","0","0","0","0","0","31","NA","NA","NA","0","NA","0","NA","31","NA","NA","NA","NA","8","NA","NA","NA","0","0","8","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","Mon Apr 25 16:33:08 2022","The main experiment item","yes","NA","-20.277425634699625","adaptive_wm_dynamics3a.osexp","C:/Users/user/Desktop/joost_de_jong/Experiment3a","no","mono","no","18","no","white","737.946190586353","no","yes","768","0","NA","psycho","8","8","C:/Users/user/Desktop/joost_de_jong/Experiment3a/subject-919.csv","95","psycho","Lentiform Loewenfeld","3.3.9","45","[45, 195, 395]","0","space","NA","NA","NA","NA","space","140.52754015165618","NA","79838.29130000231","NA","NA","NA","NA","79838.29130000231","NA","NA","NA","995","2","1956.6881999999168","psycho","NA","1024","2","48000","-16","experiment","919","odd","NA","160.8049657863558","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3539.0880000013567","NA","NA","NA","NA","NA","3539.4357000004675","NA","3560.3919999994105","NA","NA","NA","NA","NA","NA","150598.41439999946","NA","NA","NA","83399.60100000098","NA","144512.23440000103","NA","NA","NA","NA","NA","144512.31800000096","NA","NA","NA","NA","NA","NA","NA","NA","NA","146475.69060000023","New experiment","0","0","0","9","yes","-39.472459848343824","1024","14","17"
"undefined","undefined","undefined","undefined","grey","1","94","'short'","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","15","NA","15","15","NA","15","NA","0","NA","0","0","0","0","0","31","NA","NA","NA","0","NA","0","NA","31","NA","NA","NA","NA","9","NA","NA","NA","0","0","8","0","NA","NA","NA","NA","8","0","NA","NA","NA","NA","0","NA","NA","NA","8","Mon Apr 25 16:33:08 2022","The main experiment item","yes","NA","-6.263885266171371","adaptive_wm_dynamics3a.osexp","C:/Users/user/Desktop/joost_de_jong/Experiment3a","no","mono","no","18","no","white","826.9530867438467","no","yes","768","0","NA","psycho","0","8","C:/Users/user/Desktop/joost_de_jong/Experiment3a/subject-919.csv","95","psycho","Lentiform Loewenfeld","3.3.9","45","[45, 195, 395]","0","space","NA","NA","NA","NA","space","156.25050550713325","space","11361.088000001473","NA","NA","NA","NA","79838.29130000231","11361.088000001473","NA","NA","995","2","3554.710899999918","psycho","94","1024","2","48000","-16","experiment","919","odd","NA","162.51439077330463","NA","NA","NA","NA","NA","NA","162025.2528000019","NA","162025.3214000004","NA","NA","NA","162025.14689999953","NA","162025.21820000038","3539.0880000013567","NA","162025.28750000056","NA","NA","NA","3539.4357000004675","NA","3560.3919999994105","NA","NA","NA","NA","NA","NA","167948.82080000025","NA","NA","NA","83399.60100000098","150663.62160000062","144512.23440000103","162229.5363000012","NA","NA","NA","NA","144512.31800000096","162229.26630000075","NA","NA","NA","NA","164289.57150000133","NA","NA","NA","146475.69060000023","New experiment","0","0","0","10","yes","-23.74949449286676","1024","11","25"
