Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
02-Jun-2018_15:09:35 Exp 7338 20 female R 1 1 1 immoralSelf immoralSelf match n m 0 0.8551 
02-Jun-2018_15:09:37 Exp 7338 20 female R 1 1 2 immoralSelf moralOther mismatch m m 1 0.8370 
02-Jun-2018_15:09:39 Exp 7338 20 female R 1 1 3 moralOther moralOther match n n 1 0.4785 
02-Jun-2018_15:09:42 Exp 7338 20 female R 1 1 4 moralSelf immoralOther mismatch m m 1 0.7647 
02-Jun-2018_15:09:44 Exp 7338 20 female R 1 1 5 immoralOther moralSelf mismatch m m 1 0.7168 
02-Jun-2018_15:09:47 Exp 7338 20 female R 1 1 6 immoralOther moralSelf mismatch m NA -1 1.0841 
02-Jun-2018_15:09:49 Exp 7338 20 female R 1 1 7 moralOther immoralOther mismatch m n 0 0.3664 
02-Jun-2018_15:09:51 Exp 7338 20 female R 1 1 8 immoralOther immoralOther match n n 1 1.0304 
02-Jun-2018_15:09:54 Exp 7338 20 female R 1 1 9 immoralSelf moralSelf mismatch m n 0 1.0198 
02-Jun-2018_15:09:56 Exp 7338 20 female R 1 1 10 immoralOther immoralOther match n m 0 0.6368 
02-Jun-2018_15:09:59 Exp 7338 20 female R 1 1 11 moralOther immoralSelf mismatch m m 1 0.6304 
02-Jun-2018_15:10:01 Exp 7338 20 female R 1 1 12 moralOther moralOther match n n 1 0.5956 
02-Jun-2018_15:10:03 Exp 7338 20 female R 1 1 13 immoralSelf immoralSelf match n m 0 0.6602 
02-Jun-2018_15:10:06 Exp 7338 20 female R 1 1 14 moralSelf immoralOther mismatch m m 1 0.9021 
02-Jun-2018_15:10:08 Exp 7338 20 female R 1 1 15 immoralSelf moralSelf mismatch m NA -1 1.0841 
02-Jun-2018_15:10:11 Exp 7338 20 female R 1 1 16 immoralOther immoralOther match n n 1 0.9192 
02-Jun-2018_15:10:13 Exp 7338 20 female R 1 1 17 moralSelf immoralOther mismatch m m 1 0.7105 
02-Jun-2018_15:10:16 Exp 7338 20 female R 1 1 18 moralSelf moralSelf match n n 1 0.6573 
02-Jun-2018_15:10:18 Exp 7338 20 female R 1 1 19 moralOther immoralSelf mismatch m m 1 0.7073 
02-Jun-2018_15:10:21 Exp 7338 20 female R 1 1 20 moralSelf moralSelf match n NA -1 1.0841 
02-Jun-2018_15:10:23 Exp 7338 20 female R 1 1 21 moralSelf moralSelf match n n 1 0.6407 
02-Jun-2018_15:10:25 Exp 7338 20 female R 1 1 22 moralOther moralOther match n n 1 0.4742 
02-Jun-2018_15:10:27 Exp 7338 20 female R 1 1 23 immoralOther moralOther mismatch m m 1 0.7204 
02-Jun-2018_15:10:30 Exp 7338 20 female R 1 1 24 immoralSelf immoralSelf match n n 1 0.8796 
02-Jun-2018_15:10:32 Exp 7338 20 female R 1 2 1 immoralOther immoralOther match n m 0 0.8303 
02-Jun-2018_15:10:35 Exp 7338 20 female R 1 2 2 moralOther moralSelf mismatch m n 0 0.6915 
02-Jun-2018_15:10:37 Exp 7338 20 female R 1 2 3 immoralSelf immoralSelf match n m 0 0.7061 
02-Jun-2018_15:10:39 Exp 7338 20 female R 1 2 4 moralSelf moralSelf match n n 1 0.7411 
02-Jun-2018_15:10:42 Exp 7338 20 female R 1 2 5 moralOther immoralOther mismatch m m 1 0.7087 
02-Jun-2018_15:10:44 Exp 7338 20 female R 1 2 6 moralSelf moralSelf match n m 0 0.8397 
02-Jun-2018_15:10:47 Exp 7338 20 female R 1 2 7 immoralOther immoralSelf mismatch m n 0 0.8651 
02-Jun-2018_15:10:49 Exp 7338 20 female R 1 2 8 immoralSelf moralOther mismatch m NA -1 1.0841 
02-Jun-2018_15:10:52 Exp 7338 20 female R 1 2 9 moralOther immoralSelf mismatch m m 1 0.7095 
02-Jun-2018_15:10:54 Exp 7338 20 female R 1 2 10 immoralSelf immoralSelf match n n 1 1.0005 
02-Jun-2018_15:10:57 Exp 7338 20 female R 1 2 11 moralSelf moralSelf match n NA -1 1.0841 
02-Jun-2018_15:11:00 Exp 7338 20 female R 1 2 12 immoralSelf immoralSelf match n n 1 0.9837 
02-Jun-2018_15:11:02 Exp 7338 20 female R 1 2 13 moralSelf immoralOther mismatch m m 1 0.7881 
02-Jun-2018_15:11:04 Exp 7338 20 female R 1 2 14 moralOther moralOther match n n 1 0.5326 
02-Jun-2018_15:11:07 Exp 7338 20 female R 1 2 15 immoralOther moralSelf mismatch m m 1 0.9120 
02-Jun-2018_15:11:09 Exp 7338 20 female R 1 2 16 moralSelf immoralSelf mismatch m n 0 0.9229 
02-Jun-2018_15:11:12 Exp 7338 20 female R 1 2 17 immoralOther immoralOther match n NA -1 1.0841 
02-Jun-2018_15:11:14 Exp 7338 20 female R 1 2 18 moralOther moralOther match n n 1 0.5805 
02-Jun-2018_15:11:16 Exp 7338 20 female R 1 2 19 moralOther moralOther match n n 1 0.5290 
02-Jun-2018_15:11:19 Exp 7338 20 female R 1 2 20 immoralOther immoralSelf mismatch m n 0 0.8282 
02-Jun-2018_15:11:21 Exp 7338 20 female R 1 2 21 immoralSelf moralSelf mismatch m m 1 0.8895 
02-Jun-2018_15:11:24 Exp 7338 20 female R 1 2 22 immoralOther immoralOther match n n 1 0.9401 
02-Jun-2018_15:11:27 Exp 7338 20 female R 1 2 23 immoralSelf moralSelf mismatch m NA -1 1.0841 
02-Jun-2018_15:11:29 Exp 7338 20 female R 1 2 24 moralSelf immoralSelf mismatch m m 1 0.7820 
02-Jun-2018_15:11:31 Exp 7338 20 female R 1 3 1 moralOther moralOther match n n 1 0.4749 
02-Jun-2018_15:11:34 Exp 7338 20 female R 1 3 2 moralOther moralSelf mismatch m n 0 0.7130 
02-Jun-2018_15:11:36 Exp 7338 20 female R 1 3 3 moralSelf moralOther mismatch m n 0 0.5080 
02-Jun-2018_15:11:38 Exp 7338 20 female R 1 3 4 immoralSelf immoralSelf match n m 0 0.5429 
02-Jun-2018_15:11:40 Exp 7338 20 female R 1 3 5 moralOther immoralSelf mismatch m m 1 0.7105 
02-Jun-2018_15:11:43 Exp 7338 20 female R 1 3 6 immoralSelf moralOther mismatch m m 1 0.8414 
02-Jun-2018_15:11:45 Exp 7338 20 female R 1 3 7 moralSelf moralOther mismatch m m 1 0.8109 
02-Jun-2018_15:11:48 Exp 7338 20 female R 1 3 8 immoralOther immoralOther match n n 1 0.9639 
02-Jun-2018_15:11:50 Exp 7338 20 female R 1 3 9 immoralOther immoralOther match n n 1 0.5561 
02-Jun-2018_15:11:52 Exp 7338 20 female R 1 3 10 immoralOther moralSelf mismatch m m 1 0.7199 
02-Jun-2018_15:11:55 Exp 7338 20 female R 1 3 11 moralSelf moralSelf match n n 1 0.7590 
02-Jun-2018_15:11:57 Exp 7338 20 female R 1 3 12 moralSelf moralSelf match n n 1 0.6589 
02-Jun-2018_15:11:59 Exp 7338 20 female R 1 3 13 immoralOther moralOther mismatch m m 1 0.8048 
02-Jun-2018_15:12:02 Exp 7338 20 female R 1 3 14 immoralOther moralOther mismatch m m 1 0.7057 
02-Jun-2018_15:12:05 Exp 7338 20 female R 1 3 15 moralSelf moralSelf match n NA -1 1.0841 
02-Jun-2018_15:12:07 Exp 7338 20 female R 1 3 16 moralSelf moralOther mismatch m m 1 0.7111 
02-Jun-2018_15:12:09 Exp 7338 20 female R 1 3 17 immoralSelf immoralOther mismatch m m 1 0.8260 
02-Jun-2018_15:12:12 Exp 7338 20 female R 1 3 18 immoralOther immoralOther match n n 1 0.9993 
02-Jun-2018_15:12:15 Exp 7338 20 female R 1 3 19 immoralSelf immoralSelf match n n 1 1.0200 
02-Jun-2018_15:12:17 Exp 7338 20 female R 1 3 20 immoralSelf immoralOther mismatch m m 1 0.5811 
